Mладоженецот	The groom	Mladozhenetsot
саронскиот	the Saronic	saronskiot
Сарсар	Sarsar	Sarsar
Сарсехим	Sarsehim	Sarsekhim
сарското	the Saar	sarskoto
Сартан	Sartan	Sartan
Сартана	Sartana	Sartana
Саруа	Sarua	Sarua
Саруе	Sarue	Sarue
Саруев	Saruev	Saruev
Саруева	Sarueva	Sarueva
Саруеви	Saruyev	Saruevi
Саруевиот	Saru's	Sarueviot
Саруевите	The Saru'ites	Saruevite
Саруен	Saruen	Saruen
Саруија	Saruia	Saruija
Саруили	Saruili	Saruili
Саруја	Saruya	Saruja
Сасавасар	Sasawassar	Sasavasar
Сасај	Sasay	Sasaj
Сасак	Sasak	Sasak
Сасакови	Sasaks	Sasakovi
Сасимат	Sasimat	Sasimat
сат	hour	sat
сата	hour	sata
Сатај	Satay	Sataj
сатана	Satan	satana
сатаната	Satan	satanata
сатанин	Satan	satanin
сатанината	Satan's	sataninata
сатано	Satan	satano
сатанска	satanic	satanska
сатанската	satanic	satanskata
сатански	satanic	satanski
сатанските	satanic	satanskite
сатанско	satanic	satansko
сатанското	satanic	satanskoto
Сатар	Chopsticks	Satar
сатах	satah	satakh
сатрапи	satraps	satrapi
сатрапите	the satraps	satrapite
сатрапот	the satrap	satrapot
Сатрафа	Satrap	Satrafa
Сатур	Saturn	Satur
Сау	Sau	Sau
Саул	Saul	Saul
Саула	Saula	Saula
Саулов	Saulov	Saulov
Саулова	Saulova	Saulova
Сауловата	Saul's	Saulovata
Саулови	Sauls	Saulovi
Сауловиот	Saul's	Sauloviot
Сауловите	The Sauls	Saulovite
Саулово	Saulovo	Saulovo
Сауловото	Saul's	Saulovoto
Сауловците	The Saulites	Saulovtsite
Саур	Saur	Saur
саф	row	saf
Сафа	Safa	Safa
Сафаја	Safaya	Safaja
Сафам	Safam	Safam
Сафан	Safan	Safan
Сафана	Safana	Safana
Сафанија	Zephaniah	Safanija
Сафанов	Safanov	Safanov
Сафановиот	Shaphan's	Safanoviot
Сафаратови	Safaris	Safaratovi
Сафат	Safat	Safat
Сафатанов	Safatanov	Safatanov
Сафатиев	Safatiev	Safatiev
Сафатиеви	Safatievs	Safatievi
Сафатиевите	The Safatis	Safatievite
Сафатиј	Saphathius	Safatij
Сафатија	Safatiya	Safatija
Сафатов	Safatov	Safatov
Сафатовиот	Shafat's	Safatoviot
Сафеја	Safiya	Safeja
Сафен	Saphenous	Safen
Сафер	Safer	Safer
сафи	safi	safi
Сафина	Safina	Safina
сафир	sapphire	safir
сафири	sapphires	safiri
сафирска	sapphire	safirska
сафирски	sapphire	safirski
Сафнат	Safnat	Safnat
Сафон	Safon	Safon
Сафониев	Safoniev	Safoniev
Сафоновото	Safon's	Safonovoto
Сафта	Safta	Safta
Сафтанов	Saftanov	Saftanov
Сафтеха	Safteha	Saftekha
Сафута	Safuta	Safuta
Саха	Sakha	Sakha
Сахадут	Sahadut	Sakhadut
Сахадута	Sahaduta	Sakhaduta
Саханиевите	The Sahanis	Sakhanievite
Сахар	Sahara	Sakhar
Сахаров	Sakharov	Sakharov
Сахаровиот	The Sahara	Sakharoviot
Сахасим	Sahasim	Sakhasim
Сахатим	Sahatim	Sakhatim
Сахеја	Saheja	Sakheja
Сахенија	Sahenia	Sakhenija
Сахиј	Sahij	Sakhij
Сахот	Sahota	Sakhot
Сахоха	Sahoha	Sakhokha
сби	gather	sbi
Сбра	I gathered.	Sbra
Сбрината	The care	Sbrinata
Сбриниот	The one who is taken care of	Sbriniot
св	holy	sv
Свад	Wedding	Svad
свадба	wedding	svadba
свадбата	the wedding	svadbata
свадбен	wedding	svadben
свадбена	wedding	svadbena
свадбенава	wedding	svadbenava
свадбената	the wedding	svadbenata
свадбени	wedding	svadbeni
свадбениот	the wedding	svadbeniot
Свајата	Her own	Svajata
Свајтаја	Svayaja	Svajtaja
Свајтих	Svajtih	Svajtikh
сварат	boil	svarat
сварена	boiled	svarena
сварено	cooked	svareno
сварете	boil	svarete
свари	cook	svari
сварив	I cooked	svariv
сваривме	we cooked	svarivme
сварија	they cooked	svarija
сват	matchmaker	svat
Сватих	I got married.	Svatikh
свато	wedding	svato
сватови	wedding guests	svatovi
сватовите	the wedding guests	svatovite
све	everything	sve
сведбена	wedding	svedbena
сведе	reduce	svede
сведо	light	svedo
сведок	witness	svedok
сведока	witness	svedoka
сведокот	the witness	svedokot
сведоци	witnesses	svedotsi
сведоците	the witnesses	svedotsite
сведочам	I testify	svedocham
сведочат	testify	svedochat
сведочеа	testified	svedochea
сведочев	I witnessed	svedochev
сведочевме	we witnessed	svedochevme
сведочејќи	testifying	svedochejkji
сведочел	testified	svedochel
сведочење	testimony	svedochenje
сведочењето	the testimony	svedochenjeto
сведочете	testify	svedochete
сведочеше	testified	svedocheshe
сведочи	testify	svedochi
сведочиме	we testify	svedochime
сведочите	witnesses	svedochite
сведочиш	you testify	svedochish
сведош	you are a witness	svedosh
сведоштва	testimonies	svedoshtva
сведоштвата	testimonies	svedoshtvata
сведоштво	testimony	svedoshtvo
сведоштвото	the testimony	svedoshtvoto
сведоштово	testimony	svedoshtovo
сведоштовото	the testimony	svedoshtovoto
сведоштовто	the testimony	svedoshtovto
сведува	reduces	sveduva
свеж	fresh	svezh
свежа	fresh	svezha
свежи	fresh	svezhi
свежина	freshness	svezhina
свежо	fresh	svezho
свеќа	candle	svekja
свеќи	candles	svekji
свеќите	the candles	svekjite
свеќни	candles	svekjni
свеќник	candlestick	svekjnik
свеќникот	the candlestick	svekjnikot
свеќници	candlesticks	svekjnitsi
свеќниците	the candlesticks	svekjnitsite
свекор	father-in-law	svekor
свекорот	father-in-law	svekorot
свекрва	mother-in-law	svekrva
свекрвата	mother-in-law	svekrvata
свекрви	mothers-in-law	svekrvi
свена	svena	svena
свенаа	they faded	svenaa
свенал	faded	svenal
свенат	faint	svenat
свенатото	the faded	svenatoto
свене	faint	svene
свенува	fades	svenuva
свенуваат	they fade	svenuvaat
свео	everything	sveo
свесен	aware	svesen
свесни	aware	svesni
свесно	consciously	svesno
свест	consciousness	svest
свести	consciousness	svesti
свет	world	svet
света	world	sveta
светало	light	svetalo
светам	I shine	svetam
светат	shine	svetat
светата	the holy one	svetata
светејќи	shining	svetejkji
светење	lighting	svetenje
светец	saint	svetets
светецот	the saint	svetetsot
Светецу	Saint	Svetetsu
светеше	it was shining	sveteshe
свети	shine	sveti
светии	saints	svetii
светиите	the saints	svetiite
светија	saint	svetija
светила	lights	svetila
светилата	the lights	svetilata
светили	lights	svetili
светилиш	light	svetilish
светилишен	sanctuary	svetilishen
светилишна	sanctuary	svetilishna
светилишни	sanctuaries	svetilishni
светилишниот	the sanctuary	svetilishniot
светилишта	sanctuaries	svetilishta
светилиштата	the sanctuaries	svetilishtata
светилиште	sanctuary	svetilishte
светилиштево	sanctuary	svetilishtevo
светилиштето	the sanctuary	svetilishteto
светилиштито	the sanctuary	svetilishtito
светилка	lamp	svetilka
светилката	the lamp	svetilkata
светилки	lamps	svetilki
светилките	the lights	svetilkite
светилната	the light	svetilnata
светилни	lights	svetilni
светилник	lighthouse	svetilnik
светилника	the lighthouse	svetilnika
светилникот	the lighthouse	svetilnikot
светилници	lighthouses	svetilnitsi
светилниците	the lighthouses	svetilnitsite
светило	lamp	svetilo
светилото	the light	svetiloto
светина	shrine	svetina
светината	the sanctuary	svetinata
светини	shrines	svetini
светините	the holy places	svetinite
светиња	shrines	svetinja
светињата	the shrines	svetinjata
светињи	shrines	svetinji
светињите	the shrines	svetinjite
светиот	the holy one	svetiot
светите	the saints	svetite
светители	saints	svetiteli
светителите	the saints	svetitelite
светителот	the saint	svetitelot
светиш	you are shining	svetish
светка	sparkle	svetka
светкаа	they shone	svetkaa
светкаат	shine	svetkaat
светкавица	lightning	svetkavitsa
светкавицата	the lightning	svetkavitsata
светкавици	lightning bolts	svetkavitsi
светкање	flashing	svetkanje
светкањето	the glow	svetkanjeto
светкаше	it was shining	svetkashe
светла	lights	svetla
светлата	the lights	svetlata
светлеј	lighten up	svetlej
светли	bright	svetli
светливо	luminous	svetlivo
светликаво	shiny	svetlikavo
светлина	light	svetlina
светлината	the light	svetlinata
светлиот	the bright one	svetliot
светло	light	svetlo
Светлоносецу	Lightbearer	Svetlonosetsu
светлост	brightness	svetlost
светлоста	the light	svetlosta
светлото	the light	svetloto
светлоцрвена	bright red	svetlotsrvena
светна	it lit up	svetna
светнаа	they lit up	svetnaa
светнат	light up	svetnat
светната	the world	svetnata
светнато	bright	svetnato
светне	light up	svetne
светнеш	you light up	svetnesh
Светни	Worldly	Svetni
светнува	it lights up	svetnuva
свето	holy	sveto
светов	worldly	svetov
световен	worldly	svetoven
световна	worldly	svetovna
световната	the worldly	svetovnata
световни	secular	svetovni
световните	the secular	svetovnite
световно	worldly	svetovno
световното	the worldly	svetovnoto
светол	bright	svetol
светост	holiness	svetost
светоста	holiness	svetosta
светостите	the sanctities	svetostite
светот	the world	svetot
светото	the sacred	svetoto
светската	the world	svetskata
светски	world	svetski
светските	the world's	svetskite
светското	the world	svetskoto
Светувај	Shine.	Svetuvaj
светци	saints	svettsi
светците	the saints	svettsite
свечен	solemn	svechen
свечена	solemn	svechena
свечената	the solemn one	svechenata
свечени	solemn	svecheni
свечениот	the solemn	svecheniot
свечените	the solemn ones	svechenite
свечено	solemnly	svecheno
свеченост	ceremony	svechenost
свеченоста	the ceremony	svechenosta
свечености	festivities	svechenosti
свеченостите	the festivities	svechenostite
свеченото	the solemn	svechenoto
свечери	dinner parties	svecheri
свечерило	evening	svecherilo
свечерува	it's evening	svecheruva
свеш	fresh	svesh
свешеник	priest	sveshenik
свешеникот	the priest	sveshenikot
свешениците	the priests	sveshenitsite
свешетеник	priest	sveshetenik
свешетеникот	the priest	sveshetenikot
свешетникот	the priest	sveshetnikot
свешетниците	the priests	sveshetnitsite
свешненикот	the clerk	sveshnenikot
свешнитениците	the priests	sveshnitenitsite
свеште	holy	sveshte
свештен	priest	sveshten
свештена	priest	sveshtena
свештената	the priest	sveshtenata
свештени	priests	sveshteni
свештеник	priest	sveshtenik
свештенико	priest	sveshteniko
свештеникова	priest's	sveshtenikova
свештениковата	the priest's	sveshtenikovata
свештениковиот	the priest's	sveshtenikoviot
свештениковите	the priests	sveshtenikovite
свештеникој	priest	sveshtenikoj
свештеникот	the priest	sveshtenikot
свештенику	priest	sveshteniku
свештениот	the priest	sveshteniot
свештените	the priests	sveshtenite
свештеници	priests	sveshtenitsi
свештениците	the priests	sveshtenitsite
свештенич	priest	sveshtenich
свештеничка	priestess	sveshtenichka
свештеничката	the priestess	sveshtenichkata
свештенички	priestly	sveshtenichki
свештеничкиот	the priest	sveshtenichkiot
свештеничките	the priests	sveshtenichkite
свештеничко	priestly	sveshtenichko
свештеничкото	the priestly	sveshtenichkoto
свештенкот	the priest	sveshtenkot
свештено	sacredly	sveshteno
свештенодејствено	priestly	sveshtenodejstveno
свештенодејствие	priestly action	sveshtenodejstvie
свештенодејствието	the ceremony	sveshtenodejstvieto
свештенодејството	the priesthood	sveshtenodejstvoto
свештенодејствува	minister	sveshtenodejstvuva
свештенодејствуваа	they were performing religious duties	sveshtenodejstvuvaa
свештенодејствуваат	they act as priests	sveshtenodejstvuvaat
свештенодејствувате	you are a priest	sveshtenodejstvuvate
свештенослужителите	the clergy	sveshtenosluzhitelite
свештенство	priesthood	sveshtenstvo
свештенството	the clergy	sveshtenstvoto
сви	all	svi
свива	shrinks	sviva
свиваат	they bend	svivaat
Свивањата	The contractions	Svivanjata
свиѓаше	liked	svigjashe
свиде	liked	svide
свидетели	witnesses	svideteli
свидетелството	the testimony	svidetelstvoto
свидеше	liked	svideshe
свиди	please	svidi
свидоа	they liked	svidoa
свидува	likes	sviduva
свие	shrink	svie
свик	call	svik
свика	call	svika
свикаа	they called	svikaa
свикаат	convene	svikaat
свикав	I called	svikav
Свикај	Summon	Svikaj
свикајте	call	svikajte
свикам	I call	svikam
свикани	summoned	svikani
свикнаа	they got used to it	sviknaa
свикнал	accustomed	sviknal
свикнат	accustomed	sviknat
свикната	accustomed	sviknata
свикнати	accustomed	sviknati
свикнатите	the accustomed	sviknatite
свикнеш	you get used to it	sviknesh
свикнуваат	they get used to	sviknuvaat
свикнувајте	get used to it	sviknuvajte
свикува	convenes	svikuva
свикуваат	they convene	svikuvaat
свикување	convocation	svikuvanje
свикувате	you convene	svikuvate
свил	silk	svil
свила	silk	svila
свилен	silky	svilen
свилена	silk	svilena
свилени	silk	svileni
свинска	pork	svinska
свинско	pork	svinsko
свиња	pig	svinja
свињарите	the pig farmers	svinjarite
свињата	the pig	svinjata
свињи	pigs	svinji
свињине	pork	svinjine
свињите	the pigs	svinjite
свиок	bend	sviok
свиокот	the bend	sviokot
свир	whistle	svir
свира	plays	svira
свиралка	whistle	sviralka
свиралката	the flute	sviralkata
свиралки	flutes	sviralki
свиралките	the flutes	sviralkite
свирам	I play	sviram
свират	they play	svirat
свирач	piper	svirach
свирачи	musicians	svirachi
свирачите	the musicians	svirachite
свирачот	the musician	svirachot
свиреа	they played	svirea
свиревме	we played	svirevme
свирејќи	playing	svirejkji
свирењето	the playing	svirenjeto
свиреп	cruel	svirep
свирепа	cruel	svirepa
свирепи	cruel	svirepi
свирепо	cruelly	svirepo
свирете	play	svirete
свиреше	played	svireshe
свири	play	sviri
свирите	you play	svirite
свирка	gig	svirka
свиркаат	they whistle	svirkaat
свирката	the gig	svirkata
свирки	gigs	svirki
свирките	the gigs	svirkite
свирна	whistle	svirna
свирнам	I whistle.	svirnam
свирне	whistle	svirne
свирол	swirol	svirol
свиролот	the swirl	svirolot
свите	all	svite
свитка	scroll	svitka
свиткаа	they bent	svitkaa
свиткај	bend	svitkaj
свиткан	bent	svitkan
свиткана	bent	svitkana
свитканите	the bent ones	svitkanite
свиткано	bent	svitkano
свиткаш	you bend	svitkash
свиткува	bends	svitkuva
свиткуваат	bend	svitkuvaat
свиткувале	they bent	svitkuvale
свито	suite	svito
свиток	scroll	svitok
свитокот	the scroll	svitokot
свитоци	scrolls	svitotsi
свјатаја	world	svjataja
Свјатајта	Holy Spirit	Svjatajta
свјатих	holy	svjatikh
свлекуваат	undress	svlekuvaat
свлечам	undress	svlecham
свлечена	stripped	svlechena
свмч	all	svmch
сво	all	svo
свод	vault	svod
сводот	the vault	svodot
свое	own	svoe
своеволни	willful	svoevolni
своеволно	willfully	svoevolno
своеволноста	willfulness	svoevolnosta
своеволното	the willful	svoevolnoto
своерач	self-employed	svoerach
своерачен	self-made	svoerachen
своерачно	manually	svoerachno
своето	own	svoeto
свои	own	svoi
своите	their own	svoite
своитеснопја	your bundles	svoitesnopja
свој	own	svoj
своја	own	svoja
својата	its	svojata
својот	his/her	svojot
својства	properties	svojstva
својствата	the properties	svojstvata
својствена	inherent	svojstvena
својствени	inherent	svojstveni
својствено	inherently	svojstveno
Свот	World	Svot
Своте	Swote	Svote
свр	end	svr
свраката	the magpie	svrakata
свратам	I'm stopping by.	svratam
свратија	they stopped by	svratija
сврзал	connected	svrzal
сврзан	connected	svrzan
сврзана	connected	svrzana
сврзани	connected	svrzani
сврзано	connected	svrzano
сврзете	connect	svrzete
сврзеш	you connect	svrzesh
сврзува	connects	svrzuva
сврзуваш	you connect	svrzuvash
сврталиште	refuge	svrtalishte
свртам	I turn	svrtam
свртат	turn	svrtat
сврте	turned	svrte
свртеа	they turned	svrtea
свртев	I turned	svrtev
свртевме	we turned	svrtevme
свртевте	you turned	svrtevte
свртел	turned	svrtel
свртеле	turned	svrtele
свртен	turned	svrten
свртена	turned	svrtena
свртени	turned	svrteni
свртено	turned	svrteno
свртете	turn	svrtete
свртеше	turned	svrteshe
сврти	turn	svrti
свртив	I turned	svrtiv
свртивме	we turned	svrtivme
свртиврз	turn around	svrtivrz
свртивте	you turned	svrtivte
свртија	they turned	svrtija
свртил	turned	svrtil
свртилиште	turning point	svrtilishte
свртите	turn	svrtite
свртиш	you turn	svrtish
свртува	turns	svrtuva
свртуваа	they turned	svrtuvaa
свртуваат	they turn	svrtuvaat
свртувај	turn around	svrtuvaj
свртувајќи	turning	svrtuvajkji
свртувајте	turn around	svrtuvajte
свртувам	I turn.	svrtuvam
свртуваме	we turn	svrtuvame
свртуваш	you turn	svrtuvash
свртуваше	was turning	svrtuvashe
свршам	I finish.	svrsham
свршат	finish	svrshat
свршена	engaged	svrshena
свршената	the betrothed	svrshenata
свршени	engaged	svrsheni
свршеник	fiancé	svrshenik
свршеникот	the fiancé	svrshenikot
свршеница	fiancée	svrshenitsa
свршеницата	the fiancée	svrshenitsata
свршено	done	svrsheno
свршеток	ending	svrshetok
свршетокот	the end	svrshetokot
сврши	finished	svrshi
свршив	I finished.	svrshiv
свршија	they finished	svrshija
свршил	finished	svrshil
свршите	finish	svrshite
свршиш	you finish	svrshish
свршу	finish	svrshu
свршува	ends	svrshuva
свршуваат	they finish	svrshuvaat
свршување	completion	svrshuvanje
свршувачката	the engagement party	svrshuvachkata
свршуваше	was finishing	svrshuvashe
свте	all	svte
свштениците	the priests	svshtenitsite
се	everything	se
сѐ	everything	sie
сеа	so	sea
Сеал	Seal	Seal
сеам	I am sowing.	seam
сеани	sessions	seani
Сеар	Sear	Sear
Сеариј	Series	Searij
Сеарјасув	Searsuw	Searjasuv
сеат	sow	seat
сеач	sower	seach
сеачот	the sower	seachot
себе	yourself	sebe
себевладеење	self-control	sebevladeenje
себељубиви	selfish	sebeljubivi
себеси	myself	sebesi
себичен	selfish	sebichen
себична	selfish	sebichna
себични	selfish	sebichni
Себичниот	The selfish one	Sebichniot
себичните	the selfish	sebichnite
себично	selfishly	sebichno
себичност	selfishness	sebichnost
Сева	Seva	Seva
Севаија	Sevaia	Sevaija
Севаимови	Sevaim	Sevaimovi
севаимски	Sebaimite	sevaimski
севаимското	the Sevaim	sevaimskoto
Севаини	Sevaini	Sevaini
Севам	I shine.	Sevam
севамска	Sevama	sevamska
Севан	Sevan	Sevan
Севаниевото	The Sevanites	Sevanievoto
Севаниј	Sevaniye	Sevanij
Севанија	Sevania	Sevanija
Севатона	Sewathona	Sevatona
Севегон	Sevegon	Sevegon
Севегона	Sevegona	Sevegona
Севегонов	Sevegonov	Sevegonov
Севегоновата	The Sevegon	Sevegonovata
Севегонови	Seven-legged	Sevegonovi
Севеј	Sevey	Sevej
север	north	sever
Севера	The North	Severa
северец	northerner	severets
северна	northern	severna
северната	the northern	severnata
северни	northern	severni
северниот	the northern one	severniot
северните	the northerners	severnite
северно	north	severno
северозапад	northwest	severozapad
северозападниот	northwestern	severozapadniot
североисточник	northeast	severoistochnik
северот	the north	severot
Севетаха	Sevetaha	Sevetakha
Севетон	Seveton	Seveton
Севетонови	Sevetonov	Sevetonovi
Севи	Sevi	Sevi
Севиш	Sevish	Sevish
Севишен	Supreme	Sevishen
Севишни	Most High	Sevishni
Севишниот	The Most High	Sevishniot
Севма	Sevma	Sevma
Севна	Sevna	Sevna
сево	everything	sevo
севозвеличил	all-magnificent	sevozvelichil
Севоим	Sevoim	Sevoim
севоимски	all-purpose	sevoimski
севоимскот	the Seboym cattle	sevoimskot
Севојима	All of them	Sevojima
Севуил	Seville	Sevuil
сега	now	sega
Сегав	I am here.	Segav
Сегалимска	Segalimska	Segalimska
сегаш	now	segash
сегашен	current	segashen
сегашна	current	segashna
сегашната	the current one	segashnata
сегашни	current	segashni
сегашнината	the present	segashninata
сегашниов	current one	segashniov
сегашниот	the current one	segashniot
сегашните	the current ones	segashnite
сегашно	current	segashno
сегашноста	the present	segashnosta
сегашното	the present	segashnoto
сегнатите	the ones who reached out	segnatite
Сегриј	Ségrius	Segrij
Сегув	Seguv	Seguv
Сегува	Seguva	Seguva
сед	sit	sed
седа	gray hair	seda
Седад	Sedad	Sedad
седам	I am sitting.	sedam
седат	sit	sedat
седата	the gray hair	sedata
Седафоф	Sedafof	Sedafof
Седе	Sit down	Sede
седеа	were sitting	sedea
седев	I was sitting	sedev
седевме	we were sitting	sedevme
седејќи	sitting	sedejkji
Седек	Sedek	Sedek
Седекиевите	Zedekiah	Sedekievite
Седекиевото	Zedekiah's	Sedekievoto
Седекиј	Zedekiah	Sedekij
Седекија	Zedekiah	Sedekija
седел	sat	sedel
седела	she was sitting	sedela
седење	sitting	sedenje
седењето	sitting	sedenjeto
Седете	Sit down.	Sedete
седеф	mother-of-pearl	sedef
седеше	was sitting	sedeshe
седи	sit	sedi
седиме	we are sitting	sedime
седите	sit down	sedite
Седиуров	Sediurov	Sediurov
Седиуровиот	The Sediur	Sediuroviot
седиш	you are sitting	sedish
седишта	seats	sedishta
седиштата	the seats	sedishtata
седиште	seat	sedishte
седиштето	the headquarters	sedishteto
седла	saddles	sedla
седло	saddle	sedlo
седлото	the saddle	sedloto
седм	seventh	sedm
седма	seventh	sedma
седмата	the seventh	sedmata
седми	seventh	sedmi
седмина	seventh	sedmina
седмиот	the seventh	sedmiot
седмица	week	sedmitsa
седмицата	the week	sedmitsata
седмици	weeks	sedmitsi
седмиците	the weeks	sedmitsite
седмичен	weekly	sedmichen
седмо	seventh	sedmo
седмодневен	seven-day	sedmodneven
седмодневна	seven-day	sedmodnevna
седмоѕвездието	the seven constellations	sedmodzvezdieto
седмократна	sevenfold	sedmokratna
седмократно	sevenfold	sedmokratno
седмото	the seventh	sedmoto
седна	sat down	sedna
седнаа	they sat down	sednaa
седнав	I sat down.	sednav
седнавме	we sat down	sednavme
седнал	sat down	sednal
седнала	sat down	sednala
седнам	sit down	sednam
седнат	seated	sednat
седната	sitting	sednata
седнати	seated	sednati
седнативе	seated	sednative
седнатиот	the seated one	sednatiot
седнатите	the seated	sednatite
седне	sit down	sedne
седнеме	let's sit down	sedneme
седнете	sit down	sednete
седнеш	sit down	sednesh
седни	sit down	sedni
седните	sit down	sednite
седнува	sits down	sednuva
седнуваат	they sit down	sednuvaat
седнувај	sit down	sednuvaj
Седнувајќи	Sitting down	Sednuvajkji
седнувајте	sit down	sednuvajte
седнувам	I sit down.	sednuvam
седнуваш	you sit down	sednuvash
седнуваше	sat down	sednuvashe
Седнуров	Sednurov	Sednurov
седо	gray hair	sedo
седоговорија	they all agreed	sedogovorija
седокос	gray-haired	sedokos
седокоси	gray-haired	sedokosi
Седр	Cedar	Sedr
Седрах	Shadrach	Sedrakh
Седраха	Shadrach	Sedrakha
Седраховиот	Shadrach's	Sedrakhoviot
Седржи	It is contained.	Sedrzhi
Седржител	Almighty	Sedrzhitel
Седржителе	Stay strong.	Sedrzhitele
Седржителот	The Almighty	Sedrzhitelot
Седржителу	Almighty	Sedrzhitelu
седум	seven	sedum
седумве	seven	sedumve
седумгодишен	seven-year-old	sedumgodishen
седумгодишниот	the seven-year-old	sedumgodishniot
седумгодишно	seven-year-old	sedumgodishno
Седумдеесет	Seventy	Sedumdeeset
седумдесет	seventy	sedumdeset
седумдесетмина	seventy	sedumdesetmina
седумдесетпати	seventy times	sedumdesetpati
седумдесеттата	the seventieth	sedumdesettata
седумдесетте	the seventies	sedumdesette
Седумдесеттемина	The Seventy	Sedumdesettemina
седумдневен	seven-day	sedumdneven
седумдневна	seven-day	sedumdnevna
седумдневното	the seven-day	sedumdnevnoto
седумкратни	sevenfold	sedumkratni
седумкратниот	the sevenfold	sedumkratniot
седумкратно	sevenfold	sedumkratno
седуммина	seven	sedummina
седуммината	the seven	sedumminata
седумнаесет	seventeen	sedumnaeset
седумнаесетгодиш	seventeen years old	sedumnaesetgodish
седумнаесетгодишна	seventeen-year-old	sedumnaesetgodishna
седумнаесеттата	the seventeenth	sedumnaesettata
седумнаесеттиот	the seventeenth	sedumnaesettiot
седумпати	seven times	sedumpati
седумстотини	seven hundred	sedumstotini
седумте	the seven	sedumte
седумтемина	the seven	sedumtemina
седумчлено	seven-member	sedumchleno
сее	sow	see
сеев	I sowed	seev
сеевиот	the seed	seeviot
сеедно	anyway	seedno
сееја	they sowed	seeja
Сеејќи	Sowing	Seejkji
сеел	seed	seel
сееме	we sow	seeme
сеење	sowing	seenje
сеењето	sowing	seenjeto
сеете	sow	seete
сееш	you sow	seesh
сееше	sowed	seeshe
сезнајниот	the omniscient	seznajniot
сезонскиот	seasonal	sezonskiot
сеи	all	sei
сеидба	sowing	seidba
сеидбата	the sowing	seidbata
Сеир	Seir	Seir
Сеира	Seira	Seira
Сеирови	Seir	Seirovi
Сеировите	The Seirs	Seirovite
Сеирот	Seir	Seirot
сеј	sow	sej
сеја	sow	seja
сејал	sowed	sejal
сејам	sowing	sejam
сејат	they sow	sejat
сејач	sower	sejach
сејачите	the sowers	sejachite
сејачот	the sower	sejachot
сејски	Sejski	sejski
сејте	sow	sejte
сејци	sowers	sejtsi
сејците	the sowers	sejtsite
сека	chop	seka
сеќа	remembers	sekja
сеќава	remembers	sekjava
сеќаваа	they remembered	sekjavaa
сеќаваат	they remember	sekjavaat
сеќавајќи	remembering	sekjavajkji
Сеќавајте	Remember	Sekjavajte
сеќавам	I remember	sekjavam
сеќавањата	memories	sekjavanjata
сеќавање	memory	sekjavanje
сеќавате	do you remember	sekjavate
сеќаваш	do you remember	sekjavash
сеќаваше	remembered	sekjavashe
секавица	lightning	sekavitsa
секавицата	lightning	sekavitsata
секавици	lightning	sekavitsi
секавиците	lightning	sekavitsite
секаде	everywhere	sekade
секаква	any	sekakva
секакви	all kinds	sekakvi
секакво	any	sekakvo
секако	of course	sekako
секаков	any	sekakov
секачите	the cutters	sekachite
секе	cut	seke
Секелаг	Sekelaag	Sekelag
секира	axe	sekira
секирата	the axe	sekirata
секири	axes	sekiri
секирите	the axes	sekirite
секја	sect	sekja
секна	dried up	sekna
секнат	dry	seknat
секне	cut	sekne
секнува	dries up	seknuva
секнуваат	they dry up	seknuvaat
секо	everyone	seko
секога	always	sekoga
секогаш	always	sekogash
секогаше	always	sekogashe
секогашната	the usual	sekogashnata
секогашните	the usual ones	sekogashnite
секогашно	always	sekogashno
секого	everyone	sekogo
секое	each	sekoe
секои	every	sekoi
секој	everyone	sekoj
секоја	each	sekoja
секојднев	everyday	sekojdnev
секојдневен	everyday	sekojdneven
секојдневна	everyday	sekojdnevna
секојдневната	everyday	sekojdnevnata
секојдневни	everyday	sekojdnevni
секојдневниот	everyday	sekojdnevniot
секојдневните	everyday	sekojdnevnite
секојдневно	daily	sekojdnevno
секојдневноста	everyday life	sekojdnevnosta
секојдневното	everyday	sekojdnevnoto
секојпат	every time	sekojpat
секому	to everyone	sekomu
секретарот	the secretary	sekretarot
секри	hide	sekri
сексуални	sexual	seksualni
секта	sect	sekta
Секунд	Second	Sekund
села	villages	sela
Селам	Greetings	Selam
селат	they are moving	selat
селата	the villages	selata
селба	settlement	selba
селбата	the settlement	selbata
Селевкија	Seleucia	Selevkija
Селед	Herring	Seled
Селеим	Selim	Seleim
Селек	Selek	Selek
селеле	they moved	selele
Селемиев	Selemiev	Selemiev
Селемиин	Selemiin	Selemiin
Селемиинов	Selemiinov	Selemiinov
Селемиј	Selemius	Selemij
Селемија	Selemia	Selemija
селен	selenium	selen
селзината	the spleen	selzinata
сели	move	seli
селидбата	the move	selidbata
селија	cell	selija
Селик	Selik	Selik
Селим	Selim	Selim
Селимван	Selimvan	Selimvan
Селимиј	Selimius	Selimij
Селимија	Selimiya	Selimija
Селимовото	Selim's	Selimovoto
Селимовци	Selimovci	Selimovtsi
Селимут	Selimuth	Selimut
Селис	Celis	Selis
селите	the villages	selite
селишта	settlements	selishta
селиштата	the settlements	selishtata
Селмаеви	Selmaevs	Selmaevi
Селмиеви	Selmievi	Selmievi
Селмон	Salmon	Selmon
Селмун	Selmun	Selmun
село	village	selo
Селом	In the village	Selom
Селома	Seloma	Seloma
Селомета	Selometa	Selometa
Селомиев	Selomiev	Selomiev
Селомит	Shelomith	Selomit
Селомот	The village	Selomot
Селомотовите	The Selomots	Selomotovite
