"a.c.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>a.c.</b><br>See <a href=""entry://alternating current"">alternating current</a>"
"standard state","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>standard state</b><br>A state of a system used as a reference value in thermodynamic measurements. Standard states involve a reference value of pressure (usually one atmosphere, 101.325 kPa) or concentration (usually 1 M). Thermodynamic functions are designated as ‘standard’ when they refer to changes in which reactants and products are all in their standard and their normal physical state. For example, the standard molar enthalpy of formation of water at 298 K is the enthalpy change for the reaction <div class=""equ"">H<sub class=""ind"">2</sub>(g) + ½O<sub class=""ind"">2</sub>(g) → H<sub class=""ind"">2</sub>O(l)</div>
<div class=""equ"">Δ<i>H</i><sup class=""expo""><img src=""000176.jpg"" ></img></sup><sub class=""ind"">298</sub> = -285.83 kJ mol<sup class=""expo"">-1</sup>.</div>Note the superscript <sup class=""expo""><img src=""000176.jpg"" ></img></sup> is used to denote standard state and the temperature should be indicated"
"standard temperature and pressure","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>standard temperature and pressure</b><br>See <a href=""entry://s.t.p."">s.t.p.</a>"
"standing wave","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>standing wave</b>
<br>See <a href=""entry://stationary wave"">stationary wave</a>"
"star","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>star</b><br>A self-luminous celestial body, such as the <a href=""entry://sun"">sun</a>, that generates nuclear energy within its core. Stars are not distributed uniformly throughout the universe, but are collected together in <a href=""entry://galaxie"">galaxies</a>. The age and lifetime of a star are related to its mass (see <a href=""entry://stellar evolution"">stellar evolution</a>; <a href=""entry://Hertzsprung-Russell diagram"">Hertzsprung-Russell diagram</a>)"
"star cluster","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>star cluster</b><br>A group of stars that are sufficiently close to each other for them to be physically associated. Stars belonging to the cluster are formed together from the same cloud of interstellar gas and have approximately the same age and initial chemical composition. Because of this, and since the stars in a given cluster are at roughly the same distance from earth, observations of star clusters are of great importance in studies of stellar evolution.
<br>There are two types of star cluster. <i>Open clusters</i> (or <i>galactic clusters</i> ) are fairly loose systems of between a few hundred and a few thousand members. The stars in open clusters are quite young by astronomical standards (some as young as a few million years) and have relatively high abundances of heavy elements. <i>Globular clusters</i> are approximately spherical collections of between ten thousand and a million stars. These are very old (of order 10<sup class=""expo"">10</sup> years) and have low heavy-element abundances"
"Stark effect","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Stark effect</b><br>The splitting of lines in the spectra of atoms due to the presence of a strong electric field. It is named after the German physicist Johannes Stark (1874&ndash;1957), who discovered it in 1913. Like the normal <a href=""entry://Zeeman effect"">Zeeman effect</a>, the Stark effect can be understood in terms of the classical electron theory of Lorentz. The Stark effect for hydrogen atoms was also described by the <a href=""entry://Bohr theory"">Bohr theory</a> of the atom. In terms of <a href=""entry://quantum mechanics"">quantum mechanics</a>, the Stark effect is described by regarding the electric field as a <a href=""entry://perturbation"">perturbation</a> on the quantum states and energy levels of an atom in the absence of an electric field. This application of perturbation theory was its first use in quantum mechanics"
"stat-","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stat-</b><br>A prefix attached to the name of a practical electrical unit to provide a name for a unit in the electrostatic system of units, e.g. statcoulomb, statvolt. Compare <a href=""entry://ab-"">ab-</a>. In modern practice both absolute and electrostatic units have been replaced by <a href=""entry://SI units"">SI units</a>"
"state of matter","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>state of matter</b><br>One of the three physical states in which matter can exist, i.e. <a href=""entry://solid"">solid</a>, <a href=""entry://liquid"">liquid</a>, or <a href=""entry://gas"">gas</a>. <a href=""entry://Plasma"">Plasma</a> is sometimes regarded as the fourth state of matter"
"static electricity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>static electricity</b><br>The effects produced by electric charges at rest, including the forces between charged bodies (see <a href=""entry://Coulomb's law"">Coulomb's law</a>) and the field they produce (see <a href=""entry://electric field"">electric field</a>)"
"statics","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>statics</b><br>The branch of mechanics concerned with bodies that are acted upon by balanced forces and couples so that they remain at rest or in unaccelerated motion. Compare <a href=""entry://dynamics"">dynamics</a>"
"stationary orbit","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stationary orbit</b><br>See <a href=""entry://synchronous orbit"">synchronous orbit</a>"
"stationary state","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stationary state</b><br>A state of a system when it has an energy level permitted by <a href=""entry://quantum mechanics"">quantum mechanics</a>. Transitions from one stationary state to another can only occur by the emission or absorption of an appropriate quanta of energy (e.g. in the form of photons)"
"stationary wave","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stationary wave</b><i>(standing wave)</i>
<br>A form of <a href=""entry://wave"">wave</a> in which the profile of the wave does not move through the medium but remains stationary. This is in contrast to a <i>travelling wave</i> (or <i>progressive wave</i> ), in which the profile moves through the medium at the speed of the wave. A stationary wave results when a travelling wave is reflected back along its own path. In a stationary wave there are points at which the displacement is zero; these are called <i>nodes</i> . Points of maximum displacement are called <i>antinodes</i> . The distance between a node and its neighbouring antinode is one quarter of a wavelength. In a stationary wave all the points along the wave have different amplitudes and the points between successive nodes are in phase; in a travelling wave every point vibrates with the same amplitude and the phase of vibration changes for different points along its path"
"statistical error","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>statistical error</b><br>See <a href=""entry://measurement error"">measurement error</a>"
"statistical mechanics","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>statistical mechanics</b><br>The branch of physics in which statistical methods are applied to the microscopic constituents of a system in order to predict its macroscopic properties. The earliest application of this method was Boltzmann's attempt to explain the thermodynamic properties of gases on the basis of the statistical properties of large assemblies of molecules.
<br>In classical statistical mechanics, each particle is regarded as occupying a point in <a href=""entry://phase space"">phase space</a>, i.e. to have an exact position and momentum at any particular instant. The probability that this point will occupy any small volume of the phase space is taken to be proportional to the volume. The Maxwell-Boltzmann law gives the most probable distribution of the particles in phase space.
<br>With the advent of quantum theory, the exactness of these premises was disturbed (by the Heisenberg uncertainty principle). In the <a href=""entry://quantum statistics"">quantum statistics</a> that evolved as a result, the phase space is divided into cells, each having a volume <i>h<sup class=""expo"">f</sup></i>, where <i>h</i> is the Planck constant and <i>f</i> is the number of degrees of freedom of the particles. This new concept led to Bose-Einstein statistics, and for particles obeying the Pauli exclusion principle, to Fermi-Dirac statistics"
"statistics","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>statistics</b><br>The branch of mathematics concerned with the inferences that can be drawn from numerical data on the basis of probability. A <i>statistical inference</i> is a conclusion drawn about a population as a result of an analysis of a representative sample. See <a href=""entry://sampling"">sampling</a>"
"stator","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stator</b><br>The stationary electromagnetic structure of an electric motor or electric generator. Compare <a href=""entry://rotor"">rotor</a>"
"steady-state theory","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>steady-state theory</b><br>The cosmological theory that the universe has always existed in a steady state, that it had no beginning, will have no end, and has a constant mean density. To compensate for the observed <a href=""entry://expansion"">expansion</a> of the universe this theory postulates that matter is created throughout the universe at a rate of about 10<sup class=""expo"">-10</sup> nucleon per metre cubed per year as a property of space. Because it has failed to account for the <a href=""entry://microwave background radiation"">microwave background radiation</a> or the evidence of evolution in the universe it has lost favour to the <a href=""entry://big-bang"">big-bang</a> theory. It was first proposed by Hermann Bondi (1919&ndash; ), Thomas Gold (1920&ndash; ), and Fred <a href=""entry://Hoyle"">Hoyle</a> in 1948"
"steam distillation","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>steam distillation</b><br>A method of distilling liquids that are immiscible with water by bubbling steam through them. It depends on the fact that the vapour pressure (and hence the boiling point) of a mixture of two immiscible liquids is lower than the vapour pressure of either pure liquid"
"steam engine","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>steam engine</b><br>A <a href=""entry://heat engine"">heat engine</a> in which the thermal energy of steam is converted into mechanical energy. It consists of a cylinder fitted with a piston and valve gear to enable the high-pressure steam to be admitted to the cylinder when the piston is near the top of its stroke. The steam forces the piston to the bottom of its stroke and is then exhausted from the cylinder usually into a condenser. The reciprocating motion of the piston is converted to rotary motion of the flywheel by means of a connecting rod, crosshead, and crank. The steam engine reached its zenith at the end of the 19th century, since when it has been replaced by the steam turbine and the internal-combustion engine. See also <a href=""entry://Rankine cycle"">Rankine cycle</a>"
"steam point","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>steam point</b><br>The temperature at which the maximum vapour pressure of water is equal to the standard atmospheric pressure (101 325 Pa). On the Celsius scale it has the value 100°C"
"steel","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>steel</b><br>Any of a number of alloys consisting predominantly of iron with varying proportions of carbon (up to 1.7%) and, in some cases, small quantities of other elements (<i>alloy steels</i> ), such as manganese, silicon, chromium, molybdenum, and nickel. Steels containing over 11&ndash;12% of chromium are known as <a href=""entry://stainless steel"">stainless steels</a>.
<br>Carbon steels exist in three stable crystalline phases: <i>ferrite</i> has a body-centred cubic crystal, <i>austenite</i> has a face-centred cubic crystal, and <i>cementite</i> has an orthorhombic crystal. <i>Pearlite</i> is a mixture of ferrite and cementite arranged in parallel plates. The phase diagram shows how the phases form at different temperatures and compositions.
<br>Steels are made by the <a href=""entry://basic-oxygen process"">basic-oxygen process</a> (L&ndash;D process), which has largely replaced the <a href=""entry://Bessemer process"">Bessemer process</a> and the <a href=""entry://open-hearth process"">open-hearth process</a>, or in electrical furnaces.<center class=""pic""><img src=""000067.jpg"" ></img><br>Phase diagram for steel</center>"
"Stefan's law","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Stefan's law</b><i>(Stefan-Boltzmann law)</i>
<br>The total energy radiated per unit surface area of a <a href=""entry://black body"">black body</a> in unit time is proportional to the fourth power of its thermodynamic temperature. The constant of proportionality, the <i>Stefan constant</i> (or <i>Stefan-Boltzmann constant</i> ) has the value 5.6697 × 10<sup class=""expo"">-8</sup> J s<sup class=""expo"">-1</sup> m<sup class=""expo"">-2</sup> K<sup class=""expo"">-4</sup>. The law was discovered by the Austrian physicist Joseph Stefan (1853&ndash;93) and theoretically derived by Ludwig <a href=""entry://Boltzmann"">Boltzmann</a>"
"stellar evolution","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stellar evolution</b><br>The changes that occur to a <a href=""entry://star"">star</a> during its lifetime, from birth to final extinction. A star is believed to form from a condensation of interstellar matter, which collects either by chance or for unexplained reasons, and grows by attracting other matter towards itself as a result of its gravitational field. This initial cloud of cold contracting matter, called a <i>protostar</i> , builds up an internal pressure as a result of its gravitational contraction. The pressure raises the temperature until it reaches 5&ndash;10 × 10<sup class=""expo"">6</sup> K, at which temperature the thermonuclear conversion of hydrogen to helium begins. In our <a href=""entry://sun"">sun</a>, a typical star, hydrogen is converted at a rate of some 10<sup class=""expo"">11</sup> kg s<sup class=""expo"">-1</sup> with the evolution of some 6 × 10<sup class=""expo"">25</sup> J s<sup class=""expo"">-1</sup> of energy. It is estimated that the sun contains sufficient hydrogen to burn at this rate for 10<sup class=""expo"">10</sup> years and that it still has half its life to live as a main-sequence star (see <a href=""entry://Hertzsprung-Russell diagram"">Hertzsprung-Russell diagram</a>). Eventually, however, this period of stability comes to an end, because the thermonuclear energy generated in the interior is no longer sufficient to counterbalance the gravitational contraction. The core, which is now mostly helium, collapses until a sufficiently high temperature is reached in a shell of unburnt hydrogen round the core to start a new phase of thermonuclear reaction. This burning of the shell causes the star's outer envelope to expand and cool, the temperature drop changes the colour from white to red and the star becomes a <i>red giant</i> or a <i>supergiant</i> if the original star was very large. The core now contracts, reaching a temperature of 10<sup class=""expo"">8</sup> K, and the helium in the core acts as the thermonuclear energy source. This reaction produces carbon, but a star of low mass relatively soon runs out of helium and the core collapses into a <a href=""entry://white dwarf"">white dwarf</a>, while the outer regions drift away into space, possibly forming a <i>planetary nebula</i> . Larger stars (several times larger than the sun) have sufficient helium for the process to continue so that heavier elements, up to iron, are formed. But iron is the heaviest element that can be formed with the production of energy and when the helium has all been consumed there is a catastrophic collapse of the core, resulting in a <a href=""entry://supernova"">supernova</a> explosion, blowing the outer layers away. The current theory suggests that thereafter the collapsed core becomes a <a href=""entry://neutron"">neutron</a> star or a <a href=""entry://black hole"">black hole</a>"
"stellar wind","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stellar wind</b><br>The radial outflow of matter from the atmosphere of a very hot star. In the case of the sun, the stellar wind is called <a href=""entry://solar wind"">solar wind</a>. The rate at which the stellar matter is emitted varies with the lifetime of the star"
"steradian","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>steradian</b><br>Symbol sr. The supplementary <a href=""entry://SI units"">SI unit</a> of solid angle equal to the <a href=""entry://solid angle"">solid angle</a> that encloses a surface on a sphere equal to the square of the radius of the sphere"
"stere","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stere</b><br>A unit of volume equal to 1 m<sup class=""expo"">3</sup>. It is not now used for scientific purposes"
"stimulated emission","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stimulated emission</b><br>See <a href=""entry://induced emission"">induced emission</a>; <a href=""entry://laser"">laser</a>"
"Stirling engine","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Stirling engine</b><br>A heat engine consisting of a hot cylinder and a cold cylinder separated by a regenerator acting as a heat exchanger. The cylinders enclose oscillating pistons. Heat is applied externally to the hot cylinder, causing the working fluid within it to expand and drive the piston. The fluid is cooled in the regenerator before entering the cold cylinder, where it is compressed by the piston and driven back to be heated in the regenerator before entering the hot cylinder again. Stirling engines, which were invented by Robert Stirling (1790&ndash;1878) in 1816, are silent and efficient but costly to produce. They have found limited use; interest in them revived in the 1960s"
"STM","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>STM</b><br>See <a href=""entry://scanning tunnelling microscope"">scanning tunnelling microscope</a>"
"stochastic process","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stochastic process</b><br>Any process in which there is a random element. Stochastic processes are important in nonequilibrium statistical mechanics and <a href=""entry://disordered solid"">disordered solids</a>. In a <i>time-dependent stochastic process</i> , a variable that changes with time does so in such a way that there is no correlation between different time intervals. An example of a stochastic process is <a href=""entry://Brownian movement"">Brownian movement</a>. Equations, such as the <a href=""entry://Langevin equation"">Langevin equation</a> and the <a href=""entry://Fokker-Planck equation"">Fokker-Planck equation</a>, that describe stochastic processes are called <i>stochastic equations</i> . It is necessary to use statistical methods and the theory of probability to analyse stochastic processes and their equations"
"stokes","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stokes</b><br>Symbol St. A c.g.s. unit of kinematic viscosity equal to the ratio of the viscosity of a fluid in poises to its density in grams per cubic centimetre. <div class=""equ"">1 stokes = 10<sup class=""expo"">-4</sup> m<sup class=""expo"">2</sup> s<sup class=""expo"">-1</sup></div>. It is named after Sir George Gabriel Stokes"
"Stokes' law","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Stokes' law</b><br>A law that predicts the frictional force <i>F</i> on a spherical ball moving through a viscous medium. According to this law <div class=""equ""><i>F</i> = 6π</img>rη<i>v</i></div>, where <i>r</i> is the radius of the ball, <i>v</i> is its velocity, and η is the viscosity of the medium. The sphere accelerates until it reaches a steady terminal speed. For a falling ball, <i>F</i> is equal to the gravitational force on the sphere, less any upthrust. The law was discovered by Sir George Gabriel Stokes"
"Stokes' parameters","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Stokes' parameters</b><br>A set of four parameters, denoted <i>s</i><sub class=""ind"">0</sub>, <i>s</i><sub class=""ind"">1</sub>, <i>s</i><sub class=""ind"">2</sub>, <i>s</i><sub class=""ind"">3</sub>, that determine the state of <a href=""entry://polarization"">polarization</a> of a wave of <a href=""entry://monochromatic radiation"">monochromatic radiation</a> from observations of the beam. The Stokes' parameters are quadratic in the field strength and can be determined by intensity measurements or by a <a href=""entry://polarizer"">polarizer</a>. The Stokes' parameters are not independent since they are related by <div class=""equ""><i>s</i><sub class=""ind"">0</sub><sup class=""expo"">2</sup> = <i>s</i><sub class=""ind"">1</sub><sup class=""expo"">2</sup> + <i>s</i><sub class=""ind"">2</sub><sup class=""expo"">2</sup> + <i>s</i><sub class=""ind"">3</sub><sup class=""expo"">2</sup></div>. The Stokes' parameters are named after Sir George Gabriel Stokes, who introduced them in 1852. The determination of Stokes' parameters has astrophysical applications, which include gaining information concerning the mechanism of electromagnetic radiation from such objects as pulsars"
"Stokes' theorem","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Stokes' theorem</b><br>A theorem that is the analogue of the <a href=""entry://divergence theorem"">divergence theorem</a> for the <a href=""entry://curl"">curl</a> of a vector. Stokes' theorem states that if a surface <i>S</i>, which is smooth and simply connected (i.e. any closed curve on the surface can be contracted continuously into a point without leaving the surface), is bounded by a line <i>L</i> the vector <i>F</i> defined in <i>S</i> satisfies <div class=""equ"">∬<sub class=""ind"">s</sub>curl<b>F</b>•d<i>S</i> = ∫<sub class=""ind""><i>L</i></sub><b>F</b>•d<b>l</b></div>Stokes' theorem was stated Sir George Gabriel Stokes as a Cambridge examination question, having been raised by Lord <a href=""entry://Kelvin"">Kelvin</a> in a letter to Stokes in 1850"
"Stokes, Sir George Gabriel","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Stokes, Sir George Gabriel</b><br><i>(1819&ndash;1903)</i>
<br> British physicist and mathematician, born in Ireland, who worked at Cambridge University all his life. He is best known for <a href=""entry://Stokes' law"">Stokes' law</a>, concerning the movement of objects in a fluid. A unit of <a href=""entry://kinematic viscosity"">kinematic viscosity</a> is named after him"
"stop","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stop</b><br>A circular aperture that limits the effective size of a lens in an optical system. It may be adjustable, as the iris diaphragm in a camera, or have a fixed diameter, as the disc used in some telescopes"
"stopping power","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stopping power</b><br>A measure of the ability of matter to reduce the kinetic energy of a particle passing through it. The <i>linear stopping power</i> , -d<i>E</i>/d<i>x</i>, is energy loss of a particle per unit distance. The <i>mass stopping power</i> , (1/ρ)d<i>E</i>/d<i>x</i>, is the linear stopping power divided by the density (ρ) of the substance. The <i>atomic stopping power</i> , <div class=""equ"">(1/<i>n</i>)d<i>E</i>/d<i>x</i> = (<i>A</i>/ρ<i>N</i>)d<i>E</i>/d<i>x</i></div>, is the energy loss per atom per unit area perpendicular to the particle's motion, i.e. <i>n</i> is the number of atoms in unit volume of the substance, <i>N</i> is the Avogadro number, and <i>A</i> is the relative atomic mass of the substance. The relative stopping power is the ratio of the stopping power of a substance to that of a standard substance, usually aluminium, oxygen, or air"
"storage ring","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>storage ring</b><br>A large evacuated toroidal ring forming a part of some particle accelerators. The rings are designed like <a href=""entry://synchrotron"">synchrotrons</a>, except that they do not accelerate the particles circling within them but supply just sufficient energy to make up for losses (mainly <a href=""entry://synchrotron radiation"">synchrotron radiation</a>). The storage rings are usually built tangentially to the associated accelerator so that particles can be transferred accurately between them. At <a href=""entry://CERN"">CERN</a> in Geneva, two interlaced storage rings are used, containing protons rotating in opposite directions. At the intersections very high collision energies (up to 1700 GeV) can be achieved"
"strain","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>strain</b><br>A measure of the extent to which a body is deformed when it is subjected to a <a href=""entry://stress"">stress</a>. The <i>linear strain</i> or <i>tensile strain</i> is the ratio of the change in length to the original length. The <i>bulk strain</i> or <i>volume strain</i> is the ratio of the change in volume to the original volume. The <i>shear strain</i> is the angular distortion in radians of a body subjected to a <a href=""entry://shearing force"">shearing force</a>. See also <a href=""entry://elasticity"">elasticity</a>; <a href=""entry://elastic modulus"">elastic modulus</a>"
"strain gauge","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>strain gauge</b><br>A device used to measure a small mechanical deformation in a body (see <a href=""entry://strain"">strain</a>). The most widely used devices are metal wires or foils or semiconductor materials, such as a single silicon crystal, which are attached to structural members; when the members are stretched under tensile <a href=""entry://stress"">stress</a> the resistance of the metal or semiconductor element increases. By making the resistance a component in a <a href=""entry://Wheatstone-bridge"">Wheatstone-bridge</a> circuit an estimate of the strain can be made by noting the change in resistance. Other types of strain gauge rely on changes of capacitance or the magnetic induction between two coils, one of which is attached to the stressed member"
"strain hardening","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>strain hardening</b><i>(work hardening)</i>
<br>An increase in the resistance to the further plastic deformation of a body as a result of a rearrangement of its internal structure when it is strained, particularly by repeated stress. See also <a href=""entry://elasticity"">elasticity</a>"
"strange attractor","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>strange attractor</b><br>See <a href=""entry://attractor"">attractor</a>"
"strange matter","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>strange matter</b><br>Matter composed of up, down, and strange quarks (rather than the up and down quarks found in normal nucleons). It has been suggested that strange matter may have been formed in the <a href=""entry://early universe"">early universe</a>, and that pieces of this matter (called <i>S-drops</i> ) may still exist"
"strangeness","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>strangeness</b><br>Symbol <i>s</i>. A property of certain elementary particles called hadrons (K-mesons and hyperons) that decay more slowly than would have been expected from the large amount of energy released in the process. These particles were assigned the quantum number <i>s</i> to account for this behaviour. For nucleons and other nonstrange particles <div class=""equ""><i>s</i> = 0</div>; for strange particles <i>s</i> does not equal zero but has an integral value. In quark theory (see <a href=""entry://elementary particles"">elementary particles</a>) hadrons with the property of strangeness contain a strange quark or its antiquark"
"stratosphere","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stratosphere</b><br>See <a href=""entry://earth's atmosphere"">earth's atmosphere</a>"
"streamline flow","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>streamline flow</b><br>A type of fluid flow in which no <a href=""entry://turbulence"">turbulence</a> occurs and the particles of the fluid follow continuous paths, either at constant velocity or at a velocity that alters in a predictable and regular way (see also <a href=""entry://laminar flow"">laminar flow</a>)"
"stress","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stress</b><br>The force per unit area on a body that tends to cause it to deform (see <a href=""entry://strain"">strain</a>). It is a measure of the internal forces in a body between particles of the material of which it consists as they resist separation, compression, or sliding in response to externally applied forces. <i>Tensile stress</i> and <i>compressive stress</i> are axial forces per unit area applied to a body that tend either to extend it or compress it linearly. <i>Shear stress</i> is a tangential force per unit area that tends to shear a body. See also <a href=""entry://elasticity"">elasticity</a>; <a href=""entry://elastic modulus"">elastic modulus</a>"
"string","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>string</b><br>A one-dimensional object used in theories of elementary particles and in cosmology (<i>cosmic string</i> ). <i>String theory</i> replaces the idea of a pointlike elementary particle (used in quantum field theory) by a line or loop (a closed string). States of a particle may be produced by standing waves along this string. The combination of string theory with supersymmetry leads to <a href=""entry://superstring theory"">superstring theory</a>"
"stroboscope","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>stroboscope</b><br>A device for making a moving body intermittently visible in order to make it appear stationary. It may consist of a lamp flashing at regular intervals or a shutter that enables it to be seen intermittently. <i>Stroboscopic photography</i> is the taking of very short-exposure pictures of moving objects using an electronically controlled flash lamp"
"strong interaction","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>strong interaction</b><br>See <a href=""entry://fundamental interactions"">fundamental interactions</a>"
"structure formation in the universe","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>structure formation in the universe</b><br>The nonuniform distribution of matter throughout the universe. Several mechanisms have been suggested for the ‘clumpy’ structure formation but none of the competing theories are regarded as definitive. In general, ‘clumpiness’ occurs when the matter is not homogeneous, i.e. the gravitational attraction between particles of matter ceases to be uniform. This can occur as a result of quantum fluctuations in the <a href=""entry://early universe"">early universe</a> associated with inflation. There is some evidence for this hypothesis, based on measurements from <a href=""entry://COBE"">COBE</a>. An alternative mechanism for structure formation is based on cosmic strings"
"subatomic particle","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>subatomic particle</b><br>See <a href=""entry://elementary particles"">elementary particles</a>"
"subcritical","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>subcritical</b><br>See <a href=""entry://critical mass"">critical mass</a>; <a href=""entry://critical reaction"">critical reaction</a>; <a href=""entry://multiplication factor"">multiplication factor</a>"
"sublimate","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>sublimate</b><br>A solid formed by sublimation"
"sublimation","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>sublimation</b><br>A direct change of state from solid to gas"
"submillimetre waves","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>submillimetre waves</b><br>Electromagnetic radiation with wavelengths below one millimetre (and therefore frequencies greater than 300 gigahertz), extending to radiation of the far infrared. A source of submillimetre radiation is a medium pressure mercury lamp in quartz. Submillimetre waves can be detected by a <a href=""entry://Golay cell"">Golay cell</a>"
"subshell","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>subshell</b><br>See <a href=""entry://atom"">atom</a>"
"subsonic speed","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>subsonic speed</b><br>A speed that is less than Mach 1 (see <a href=""entry://Mach number"">Mach number</a>)"
"subtractive process","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>subtractive process</b><br>See <a href=""entry://colour"">colour</a>"
"sun","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>sun</b><br>The <a href=""entry://star"">star</a> at the centre of the <a href=""entry://solar system"">solar system</a>. A typical main-sequence dwarf star (see <a href=""entry://Hertzsprung-Russell diagram"">Hertzsprung-Russell diagram</a>; <a href=""entry://stellar evolution"">stellar evolution</a>), the sun is some 149 600 000 km from earth. It has a diameter of about 1 392 000 km and a mass of 1.9 × 10<sup class=""expo"">30</sup> kg. Hydrogen and helium are the primary constituents (about 75% hydrogen, 25% helium), with less than 1% of heavier elements. In the central core, some 400 000 km in diameter, hydrogen is converted into helium by thermonuclear reactions, which generate vast quantities of energy. This energy is radiated into space and provides the earth with all the light and heat necessary to have created and maintained life (see <a href=""entry://solar constant"">solar constant</a>). The surface of the sun, the <a href=""entry://photosphere"">photosphere</a>, forms the boundary between its opaque interior and its transparent atmosphere. It is here that <a href=""entry://sunspot"">sunspots</a> occur. Above the photosphere is the <a href=""entry://chromosphere"">chromosphere</a> and above this the <a href=""entry://corona"">corona</a>, which extends tenuously into interplanetary space. See also <a href=""entry://solar wind"">solar wind</a>"
"sunspot","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>sunspot</b><br>A dark patch in the sun's <a href=""entry://photosphere"">photosphere</a> resulting from a localized fall in temperature to about 4000 K. Most spots have a central very dark umbra surrounded by a lighter penumbra. Sunspots tend to occur in clusters and to last about two weeks. The number of sunspots visible fluctuates over an eleven-year cycle &ndash; often called the <i>sunspot cycle</i> . The cause is thought to be the presence of intense localized magnetic fields, which suppress the convection currents that bring hot gases to the photosphere"
"super high frequency","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>super high frequency</b>(SHF)
<br>A radio frequency in the range 3&ndash;30 gigahertz"
"supercluster","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>supercluster</b><br>See <a href=""entry://galaxy cluster"">galaxy cluster</a>"
