e	and
Chinelos	Slippers
chinesa	Chinese
chineses	Chinese
ChineseTextConverterService	ChineseTextConverterService
chip	chip
chips	chips
chipset	chipset
Chita	Cheetah
Chitas	Cheetahs
chiu	shhh
chocada	shocked
chocolate	chocolate
chocolates	chocolates
chooser	chooser
Chou	Chou
Choukei	Choukei
Chourição	Chorizo
Chourições	Sausages
chow	chow
Chows	Chows
Christi	Christi
Christmas	Christmas
Chroma	Chroma
Chrome	Chrome
Chucha	Pacifier
Chuchas	Pacifiers
CHUD	CHUD
ChunkList	ChunkList
chupa	suck
chupa‑chupa	lollipop
chupa‑chupas	lollipops
chupas	lollipops
Chupetas	Pacifiers
Churrascarias	Steakhouses
Churrasqueiras	Barbecue grills
Chutney	Chutney
Chutneys	Chutneys
Chuvadas	Rains
cianos	cyans
Cíanos	Cyans
ciclistas	cyclists
CID	CID
cidadã	citizen
cidra	cider
Cidras	Ciders
científica	scientific
científicos	scientific
cifrada	encrypted
cifradas	encrypted
cifrado	encrypted
cifrados	encrypted
cifragem	encryption
cifrando	ciphering
cifrar	encrypt
cifras	figures
cifrões	dollar signs
CIMFindInputCodeTool	CIMFindInputCodeTool
Cin	Cin
cinema	cinema
cinemas	cinemas
Cinepak	Cinepak
cingalesa	Sinhalese
cintadora	strapping machine
cintilando	sparkling
cinzentas	gray
Cipher	Cipher
cirando	creating
CIRC	CIRC
Circos	Circuses
circular	circular
circulares	circulars
Cirrípedes	Cirripedes
CIRRUS	CIRRUS
cirurgiã	surgery
cirúrgica	surgical
Cisco	Cisco
Cisnes	Swans
Citi	Citi
Citizen	Citizen
Cítrica	Citrus
cítricas	citrus
Citrinos	Citrus fruits
Citronelas	Citronellas
city	city
civil	civil
CJK	CJK
CJKItalic	CJKItalic
CKL	CKL
cl	cl
Claire	Claire
claque	cheerleader
Claques	Cheerleaders
claquete	clapperboard
claquetes	clapperboards
clareada	lightened
clareado	lightened
clareando	clearing
Clareie	Clear up
Clarinetes	Clarinets
claríssimo	very clear
class	class
classes	classes
Classic	Classic
Clássica	Classical
Classical	Classical
clássicas	classics
Clássicos	Classics
classificaçãoestrela	star rating
classificações	classifications
classificadas	classified
CLASSNAME	CLASSNAME
Claus	Claus
clave	key
Clef	Clef
clicada	clicked
clicado	clicked
clicável	clickable
Clicou	Clicked
clip	clip
clipboard	clipboard
clips	clips
clique em Duplicar	click Duplicate
cliques	clicks
clock	clock
Closed	Closed
CloseGroup	CloseGroup
Closets	Closets
CloseUI	CloseUI
Cloud	Cloud
CLR	CLR
ClrDsp	ClrDsp
ClrLn	ClrLn
Club	Club
Clubes	Clubs
Clubs	Clubs
cluster	cluster
clusters	clusters
clutter	clutter
cm	cm
cmap	cmap
cmc	cmc
CMM	CMM
CMP	CMP
cms	cms
cmsalg	cmsalg
CMSRC	CMSRC
Cmyk	CMYK
CN	CN
CName	CName
cnt	cnt
co‑situado	co-situated
Coadores	Strainers
coala	koala
coalas	koalas
cobradas	charged
Cocares	Headdresses
cocktail	cocktail
cocktails	cocktails
coco	coconut
côco	coconut
cocoa	cocoa
cocos	coconuts
cocós	poops
cocôs	poops
côcos	coconuts
code	code
codec	codec
Codecs	Codecs
codesign	codesign
codifica	encodes
Codificações	Encodings
codificada	coded
codificadas	coded
codificadopor	encoded by
Codificadores	Encoders
codificados	encoded
codificam	encode
codificar	code
codificável	codifiable
codificou	encoded
Coeficientes	Coefficients
coelhinho	bunny
coelhinhos	bunnies
Coentros	Coriander
ções	tions
cofactorDH	cofactorDH
Cofrinhos	Piggy banks
cogumelos	mushrooms
coincida	coincide
coincidam	coincide
coincide	coincide
coincidem	coincide
coincidentes	coincidental
coincidia	coincided
coincidiram	coincided
coincidirem	coincide
coiotes	coyotes
col	col
colaborem	collaborate
Colações	Collations
Colagens	Collages
Colbert	Colbert
colcheias	eighth notes
colchete	bracket
Coldres	Holsters
Colemak	Colemak
Coleslaw	Coleslaw
coletada	collected
coletadas	collected
coletamos	we collect
coletará	will collect
coletem	collect
Coletes	Vests
Colibri	Hummingbird
Colibris	Hummingbirds
colide	collides
colige	collects
colisões	collisions
Collant	Leotard
Collie	Collie
Collies	Collies
Colmeais	Beehives
Colmeal	Beehive
Colmeias	Beehives
colocá‑los	put them
colocando‑as	putting them
colocando‑os	putting them
colombiana	Colombian
Colombo	Columbus
ColorModel	ColorModel
ColorProfile	ColorProfile
colorspace	colorspace
ColorSync	ColorSync
cols	cols
Columbus	Columbus
columnDescription	columnDescription
columns	columns
colun	column
com a Apple	with Apple
Comando 	Command 
combiná	combine
combinada	combined
combinados	combined
combinando	combining
combinará	will combine
combine	combine
combo	combo
comboios	trains
começados	started
comemorativos	commemorative
comentáriodospotlight	spotlightcomment
Comestíveis	Edibles
Comic	Comic
cómica	comic
Comidas	Food
comissária	commissioner
comissões	commissions
COMM	COMM
comment	comment
Commerce	Commerce
commit	commit
commitmentType	commitmentType
Common	Common
comorense	comorean
Comores	Comoros
Comp	Comp
Compact	Compact
compactado	compacted
Compactando	Compacting
compactável	compactable
company	company
compararam	compared
compare	compare
Compart	Share
compartilhá	share
compartilhada	shared
compartilhadas	shared
compartilhado	shared
compartilhamentos	shares
compartilhando	sharing
Compartilhantes	Sharers
compartilhou	shared
compatibility	compatibility
compatible	compatible
completadas	completed
complete	complete
completed	completed
Complexity	Complexity
compondo	composing
component	component
composer	composer
composições	compositions
Composition	Composition
Compositions	Compositions
compr	buy
comprá	buy
comprá‑la	buy it
compress	compress
compressedData	compressedData
compression	compression
compressor	compressor
comprime‑os	compress them
comprimida	compressed
comprimidos	tablets
Comprimindo	Compressing
comprimirá	will compress
Comprovantes	Vouchers
compulsivamente	compulsively
CompuSource	CompuSource
Computa	Compute
computador‑a‑computador	computer-to-computer
computadores	computers
computer	computer
Computing	Computing
Conakry	Conakry
côncava	concave
côncavos	concave
concebidas	conceived
concierge	concierge
Concluindo	In conclusion
Condicionando	Conditioning
Condimentos	Condiments
cone	cone
conectará	will connect
conectarão	will connect
Conectável	Connectable
Conecte‑se	Connect
conectem	connect
conectou	connected
conf	conf
Confeitarias	Confectioneries
confetes	confetti
confetti	confetti
config	config
configurá‑la	set it up
configurá‑los	configure them
configuradas	configured
configuram	configure
configurando	configuring
configurará	will configure
Configurator	Configurator
configure	configure
configurou	configured
confira	check it out
Confira‑a	Check it out
confira‑o	check it out
confirmações	confirmations
confirmWaitTime	confirmWaitTime
Conflict	Conflict
conflita	conflicts
conflitivas	conflicting
Congeladores	Freezers
Congo	Congo
congolesa	Congolese
Conhaques	Cognacs
conífera	coniferous
Coníferas	Conifers
conj	set
conjugada	conjugated
Conjunções	Conjunctions
Conjurações	Conjurations
connect	connect
consectetur	consectetur
console	console
Consonantal	Consonantal
constarem	consist
conste	const
constipada	constipated
Constrained	Constrained
constraints	constraints
consultadas	consulted
contact	contact
contactkeyword	contactkeyword
contacts	contacts
contagemdepixels	pixelcount
container	container
contains	contains
Contatando	Contacting
contêineres	containers
content	content
contentcreated	contentcreated
contentHint	contentHint
contentIdentifier	contentIdentifier
contentInfo	contentInfo
contentíssimo	very happy
contentmodified	contentmodified
contentora	container
contentores	containers
contentReference	contentReference
Contents	Contents
contentTimestamp	contentTimestamp
contentType	contentType
conterem	contain
conteúdoalterado	changed content
conteúdocriado	contentcreated
conteúdomodificado	modified content
conteúdos	contents
contextuais	contextual
contextual	contextual
continue	continue
continuous	continuous
contorna	contours
contornadas	contoured
Contr	Contr
contraditórios	contradictory
contraída	contracted
contraindo	contracting
contribuidores	contributors
contribuintes	contributors
contributor	contributor
control	control
controlá	control
controladores	controllers
ControlBox	ControlBox
controlos	controls
Convém	It is convenient
Convenções	Conventions
Conversíveis	Convertibles
CONVERT	CONVERT
convertê	convert
convertê‑lo	convert it
convexa	convex
convidá	invite
Cook	Cook
cookies	cookies
cool	cool
coordenadas	coordinates
copia	copy
copiá‑lo	copy it
copiá‑los	copy them
copiada	copied
copiando	copying
copie	copy
copies	copies
Coprocessador	Coprocessor
coproduto	co-product
coptas	Copts
Coptic	Coptic
copyright	copyright
coqueiros	coconut trees
coquetéis	cocktails
cor‑de‑rosa	rosy
coradas	blushed
Coral	Coral
corcundas	hunchbacks
core	core
coreana	Korean
CoreAudio	CoreAudio
CoreChineseEngine	CoreChineseEngine
CoreGraphics	CoreGraphics
CorelCRT	CorelCRT
CorelDRW	CorelDRW
CorelEXC	CorelEXC
CoreLocation	CoreLocation
CoreLocationAgent	CoreLocationAgent
CorelPHT	CorelPHT
CoreServices	CoreServices
CoreServicesUIAgent	CoreServicesUIAgent
CoreStorage	CoreStorage
CoreTelephony	CoreTelephony
CoreTypes	CoreTypes
CoreWLAN	CoreWLAN
CoreWLANKit	CoreWLANKit
Corgi	Corgi
Corgis	Corgis
Cork	Cork
Cornetas	Horns
cornish	Cornish
cornos	horns
Corpetes	Corsets
Corpus	Corpus
correctly	correctly
corredoras	runners
correioeletrônico	e-mail
correspondências	correspondences
corretiva	corrective
corrigíveis	correctable
Corsets	Corsets
Cortadora	Cutter
Cortejo	Courtship
Cortejos	Processions
Cortiços	Tenements
Coruchéu	Pinnacle
Coruchéus	Pinnacles
corvineiro	crowberry
cósmica	cosmic
Cosmo	Cosmo
CosmoPod	CosmoPod
Cosmos	Cosmos
costarriquenha	Costa Rican
Costeletas	Chops
cotações	quotes
Côte	coast
couché	couché
count	count
country	country
County	County
Couraçados	Battleships
Courier	Courier
Couves	Cabbages
cover	cover
coverage	coverage
cowboy	cowboy
cowboys	cowboys
cozinheira	cook
CP	CP
CPA	CPA
CPCL	CPCL
CPGZ	CPGZ
CPIO	CPIO
cpm	cpm
CPS	CPS
CPUs	CPUs
cr	cr
Craca	Barnacle
cracker	cracker
Cranberries	Cranberries
Craps	Craps
Craveiros	Carnations
CRC	CRC
created	created
CreateDriveGroup	CreateDriveGroup
CreateLUNMap	CreateLUNMap
CreateVolume	CreateVolume
Creative	Creative
creator	creator
Cremeira	Creamer
Cremeiras	Creamers
Crepe	Crepe
Crepes	Crepes
Crepúsculos	Twilights
criá	create
criá‑lo	create it
Criações	Creations
criadoem	created in
Criadouros	Breeding grounds
Criar ID Apple	Create Apple ID
CriarPDF	CreatePDF
criativa	creative
cricket	cricket
Crickets	Crickets
Crimpagem	Crimping
CriptoCard	CryptoCard
criptografa	encrypts
criptografada	encrypted
criptografadas	encrypted
criptografados	encrypted
criptografando	encrypting
criptográfica	cryptographic
Críquetes	Crickets
Crisântemos	Chrysanthemums
Cristóvão	Christopher
critical	critical
CRL	CRL
crlf	crlf
CRMF	CRMF
Croassãs	Croissant
croissant	croissant
croissants	croissants
Cromado	Chrome
Cromaticidades	Chromaticities
cromatização	chromatization
Cromeleque	Cromlech
crominância	chrominance
Cronômetros	Timers
cross	cross
Crustáceos	Crustaceans
Cruzadores	Cruisers
cruzeiros	cruises
CRW	CRW
cryptlib	cryptlib
Crypto	Crypto
CryptoCard	CryptoCard
Crystal	Crystal
cs	cs
CSA	CSA
CSAL	CSAL
Csd	Csd
CSFDE	CSFDE
csh	csh
csi	csi
CSOR	CSOR
CSOS	CSOS
CSP	CSP
cspCsExtn	cspCsExtn
CSR	CSR
CSS	CSS
CSSM	CSSM
cSum	cSum
csv	csv
ct	ct
ctd	ctd
cti	cti
CTL	CTL
CTO	CTO
ctr	ctr
Ctrl	Ctrl
Cuala	Cuala
cubana	Cuban
cúbicos	cubic
Cubículos	Cubicles
CUDIFFileAccess	CUDIFFileAccess
Cue	Cue
Cuisine	Cuisine
Cuisines	Cuisines
Cult	Cult
Cultivos	Crops
cumprimentando	greeting
cuneiformes	cuneiform
cup	cup
Cupcake	Cupcake
Cupcakes	Cupcakes
Cupertino	Cupertino
Cupins	Termites
Cupões	Coupons
cupons	coupons
cups	cups
cupsaddsmb	cupsaddsmb
cupsctl	cupsctl
cupsd	cupsd
cupsfilter	cupsfilter
cupsICCProfile	cupsICCProfile
cupsPreFilter	cupsPreFilter
cupsRasterInterpretPPD	cupsRasterInterpretPPD
cupstestdsc	cupstestdsc
cupstestppd	cupstestppd
cupsUIConstraints	cupsUIConstraints
cupsUIResolver	cupsUIResolver
Cúpulas	Domes
Curaçao	Curacao
curaçauense	curacaoense
Curcuma	Turmeric
Curcumas	Turmeric
Curgete	Zucchini
Curgetes	Courgettes
curinga	wildcard
CURL	CURL
curling	curling
Current	Current
Curries	Curries
curry	curry
Cursiva	Cursive
Cursivas	Cursives
cursor	cursor
curte	like
curtida	like
Curtindo	Enjoying
curtiram	liked
curtiu	liked
Curvos	Curved
CustominCutInterval	CustominCutInterval
CustominTearInterval	CustominTearInterval
Cut	Cut
cutucou	poked
cv	CV
cvs	CVS
CVSD	CVSD
CVSROOT	CVSROOT
cx	box
Cyber	Cyber
CyberCash	CyberCash
CZAG	CZAG
d	d
dã	from the
dá‑lhe	give it to him
da\nsemana	of the\nweek
Dacar	Dakar
Dacca	Dhaka
Dachshund	Dachshund
Dachshunds	Dachshunds
dactilográfico	typewritten
dactilográficos	typewriters
DAE	DAE
daemon	daemon
daiquiri	daiquiri
Dakar	Dakar
dalet	dalet
Dálias	Dahlias
Dallas	Dallas
Dálmatas	Dalmatians
Dama	Lady
Damayanti	Damayanti
Damos‑lhe	We give you
dançarinos	dancers
Dance	Dance
dane	damn
dango	dango
Daniel	Daniel
Dankort	Dankort
Danseuse	Dancer
dantas	dantas
dari	give
Darjeeling	Darjeeling
Darkwave	Darkwave
darma	dharma
DART	DART
Darussalam	Darussalam
Darwin	Darwin
das\núltimas	of the\nultimate
dashboard	dashboard
Dashboards	Dashboards
Dashcode	Dashcode
dataclass	dataclass
datadeadição	dateofaddition
datadecompra	purchase date
datadegravação	recording date
datafork	datafork
datalimite	deadline
DataZoneBlocksKey	DataZoneBlocksKey
date	date
dateadded	dateadded
dateTime	dateTime
DAVE	DAVE
David	David
Dayi	Dayi
days	days
dB	dB
DbCreate	DbCreate
dBm	dBm
DbOpen	DbOpen
DCI	DCI
dd	dd
DDL	DDL
DDM	DDM
DDNS	DDNS
DDS	DDS
DDThh	DDThh
DdZXCVAsRrdDH	DdZXCVAsRrdDH
de 	of 
De momento	At the moment
de reprodução	of reproduction
de TV	from TV
DEA	DEA
Deactivate	Deactivate
Death	Death
debug	debug
DEC	DEC
Decaída	Decline
Decantador	Decanter
Decanter	Decanter
Decanters	Decanters
decare	decare
decares	decares
deceleration	deceleration
decifrado	deciphered
decifragem	decipherment
decimal	decimal
decissegundos	deciseconds
Deck	Deck
Decks	Decks
decodifica	decodes
decodificadores	decoders
decodificados	decoded
decodificam	decode
decodifiquem	decode
decola	takes off
decolando	taking off
decolará	will take off
Decomposition	Decomposition
decorativa	decorative
decrementar	decrement
decremento	decrement
decriptografado	decrypted
decriptografando	decrypting
decriptografar	decrypt
decriptografe	decrypt
decriptografia	decryption
decUKMs	decUKMs
dedadas	fingerprints
default	default
defaultAction	defaultAction
DefaultImageableArea	DefaultImageableArea
DefaultPaperDimension	DefaultPaperDimension
defaults	defaults
Defense	Defense
Deferida	Granted
defina‑a	define it
define	define
Definições 	Definitions 
definidora	defining
Definimos	We define
Definindo	Defining
definition	definition
Deflate	Deflate
Deforma	Deforms
Deininger	Deininger
dejetos	waste
DelChr	DelChr
DeleteDriveGroup	DeleteDriveGroup
DeleteVolume	DeleteVolume
Delgada	Thin
Deli	Deli
delimitado	delimited
delimitadora	delimiter
delimitadores	delimiters
delivery	delivery
DelLn	DelLn
delta	delta
Dem	Dem
demo	demo
Democrática	Democratic
demoraria	would take a while
denegá	deny
Denim	Denim
dentadas	bites
dental	dental
Dente‑de‑leão	Dandelion
Denver	Denver
deny	deny
DEP	DEP
deparou‑se	came across
departamentos	departments
Department	Department
Depurada	Purified
Deque	Deck
Deques	Decks
Deranged	Deranged
derby	derby
Deregister	Deregister
derspiendem	derspiendem
des	from
desactivada	disabled
desafiá	challenge
desafiá‑lo	challenge him
desafiá‑los	challenge them
Desafie	Challenge
desafios	challenges
desalentada	discouraged
desamigar	unfriend
Desanexando	Detaching
desapontada	disappointed
desaprovada	disapproved
desarquivados	unarchived
desassinalar	unmark
desassinale	uncheck
desassociada	disassociated
desativa	disable
desativá	disable
desativa‑a	disable it
desativá‑la	disable it
desativá‑lo	disable it
desativadas	disabled
desativados	disabled
desativando	deactivating
Desativar VoiceOver	Disable VoiceOver
desativará	will disable
desative	disable
desativou	disabled
desatualizada	outdated
desatualizadas	outdated
desatualizados	outdated
desbloqueá	unlock
desbloqueada	unlocked
desbloqueadas	unlocked
desbloqueados	unlocked
Desbloqueando	Unlocking
Desbloqueia	Unlock
desbloqueie	unlock
desbloqueiem	unlock
Desc	Desc
Descapotáveis	Convertibles
descarregá‑los	download them
descarregada	discharged
descarregadas	downloaded
Descarregando	Downloading
descarregável	downloadable
descarregue	download
descarregue‑a	download it
descartá	discard
descartadas	discarded
Descarte	Disposal
descascada	peeled
descendendo	descending
descodifica	decodes
descodificados	decoded
descodificam	decode
descoincidente	non-coincident
descomprimido	decompressed
Descomprimindo	Decompressing
desconcertada	disconcerted
desconcertado	disconcerted
desconectá	disconnect
desconectou	disconnected
desconfigurada	misconfigured
descontos	discounts
description	description
descritores	descriptors
Descurtir	Dislike
desdobrando	unfolding
deseja‑lhes	wishes them
desencadeadoras	triggers
desencadeia	triggers
desenhando	drawing
desenhará	will draw
desentrelaçamento	deinterlacing
Desentupidor	Drain cleaner
Desentupidores	Drain cleaners
desenvolvedores	developers
Deseret	Deseret
Desestruturado	Unstructured
Desfoca	Blur
desfocada	blurred
desfocagem	blur
desfoque	blur
design	design
designer	designer
designs	designs
desigualmente	unequally
desiludida	disappointed
Desinflar	Deflate
desinstalação	uninstallation
desinstalar	uninstall
desinteressada	uninterested
DeskJet	DeskJet
DesktopServices	DesktopServices
desligação	shutdown
desligar‑se‑á	will turn off
desligou‑se	turned off
deslocados	displaced
deslocamentos	displacements
deslocável	displaceable
desmaiada	fainted
desmapear	unmap
desmarcada	unchecked
Desmarcados	Unmarked
desmarque	uncheck
Desmonte‑os	Disassemble them
desnorteada	bewildered
desorganizada	disorganized
despertadores	alarm clocks
desportivos	sports
Desportos	Sports
despromover	demote
Desproteja	Unprotect
desprotejam	unprotect
Desrelacionar	Unrelate
dessaturadas	desaturated
dessel	dessel
desselecionada	unselected
desselecionado	unselected
desselecione	deselect
desseriação	deseriation
desserialização	deserialization
dest	dest
destacáveis	detachable
destina‑se	is intended
destinam‑se	are intended
destination	destination
destrancado	unlocked
Destreinado	Untrained
dests	dests
DestTypes	DestTypes
Desvinculando	Unlinking
desvinculará	will unlink
DESwrap	DESwrap
DESX	DESX
Detail	Detail
detalha	details
detectadas	detected
detectados	detected
detectará	will detect
detective	detective
detector	detector
detectores	detectors
determinam	determine
determine	determine
determinem	determine
detetadas	detected
detetados	detected
detete	detect
detetores	detectors
Detroit	Detroit
dev	dev
Devanagari	Devanagari
Devanágari	Devanagari
dever‑se	owe
device	device
deviced	deviced
DeviceID	DeviceID
DeviceN	DeviceN
devices	devices
devoluto	returned
DFS	DFS
DFW	DFW
DFX	DFX
dh	dh
dha	dha
Dhabi	Dhabi
Dhaka	Dhaka
dharma	dharma
dhcp	dhcp
DHS	DHS
dhSinglePass	dhSinglePass
diabrete	imp
diacríticas	diacritics
diacríticos	diacritics
DiaDeFimDeSemana	WeekendDay
DiaDeSemana	Weekday
DiagnósticoRedeSemFio	WirelessNetworkDiagnosis
diagnósticos	diagnostics
diagonais	diagonals
diagonal	diagonal
diagonalmente	diagonally
Dialogando	Dialoguing
DIALOGIC	DIALOGIC
diálogos	dialogues
diaporamas	slideshows
diapositivos	slides
dic	dic
dicionários	dictionaries
DICOM	DICOM
DictionaryMain	DictionaryMain
didáticos	didactic
Didot	Didot
Diego	Diego
diérese	diaeresis
diferenc	difference
Diferir	Differ
Difference	Difference
different	different
Diffie	Diffie
DIGIADPCM	DIGIADPCM
DIGIFIX	DIGIFIX
DIGIREAL	DIGIREAL
DIGISTD	DIGISTD
digit	digit
digita	type
digitá‑la	type it
digitá‑las	type them
digitá‑los	type them
digitada	typed
digitadas	typed
digitais	digital
digital	digital
digitalizado	digitized
digitalizador	scanner
digitalizadores	scanners
digitalizados	digitized
DIGITALK	DIGITALK
digitalmente	digitally
digite‑o	type it
digitou	typed
Dígrafos	Digraphs
diluem	dilute
DIME	DIME
dimension	dimension
dimensionada	dimensioned
dimensionado	dimensioned
DIMM	DIMM
dinamarquesa	Danish
dinâmicas	dynamics
dinastias	dynasties
Diners	Diners
Ding	Ding
Dingbats	Dingbats
Dinheiros	Money
dinossáurio	dinosaur
dinossáurios	dinosaurs
dinossauros	dinosaurs
Dióspiro	Persimmon
Dióspiros	Persimmons
diploma	diploma
diplomada	graduated
diplomado	graduate
diplomados	graduates
dir	say
direciona	directs
direcionado	directed
direcionando	directing
direcionável	steerable
directory	directory
direita‑esquerda	right-left
Direita‑Esquerda‑Superior‑Inferior	Right‑Left‑Top‑Bottom
direitosautorais	copyright
disabled	disabled
disableOwners	disableOwners
discando	dialing
DiscHelper	DiscHelper
Disclaimer	Disclaimer
discos	discs
discoteca	disco
Discotecas	Nightclubs
Discover	Discover
Disfarces	Disguises
disk	disk
DiskArb	DiskArb
DiskImageMounter	DiskImageMounter
DiskManagement	DiskManagement
diskmanagementd	diskmanagementd
disp	disp
dispare	shoot
DisplayLink	DisplayLink
displayname	displayname
DisplayPad	DisplayPad
disponibilizá‑lo	make it available
disponibiliza‑o	makes it available
disponibilizado	available
disponibilizando	making available
disponibilizará	will make available
disponibilize	make available
Disponibilize‑os	Make them available
disque	dial
disquetes	floppy disks
Dist	Dist
distânciafocal	focal distance
Distinga	Distinguish
distingui	distinguished
distingui‑las	distinguish them
Distinguidor	Distinguisher
distorcendo	distorting
dite	say
ditongos	diphthongs
diurna	daytime
diurnas	daytime
div	div
diva	diva
Divagação	Rambling
divagações	ramblings
Divãs	Divans
divertida	fun
Divertidas	Fun
divertidíssimo	very funny
divide	divide
Divinatórios	Divination
divisor	divider
divisores	dividers
divo	diva
divsor	divider
divulgamos	we disclose
divulgarão	will disclose
DivX	DivX
Diya	Diya
DJ	DJ
Djibouti	Djibouti
Djibuti	Djibouti
djibutiana	djiboutian
DJs	DJs
dkbps	dkbps
DL	DL
Dlabs	Dlabs
dlg	dlg
Dls	Dls
dm	dm
dmg	dmg
dmm	dmm
dmy	dmy
DN	DN
DNASP	DNASP
DNG	DNG
dnl	dnl
dns	dns
dNSName	dNSName
DNT	DNT
do XOS	from XOS
do\nmês	of\nmonth
Doberman	Doberman
Dobermans	Dobermans
Doc	Doc
Docas	Docks
docente	teacher
dock	dock
document	document
documents	documents
DoD	DoD
DOE	DONATE
dog	dog
Doha	Doha
DOI	DOI
DOJ	DOJ
DOL	DOL
dólares	dollars
Dolby	Dolby
dolor	pain
dolore	pain
doloria	pain
dolum	dolum
domain	domain
Domicílios	Domiciles
Dominica	Dominica
Domínica	Dominica
dominicana	Dominican
dominio	domain
Domínio\Nome	Domain\Name
dominiquense	dominican
Dominós	Dominoes
Domo	Dome
Domos	Domes
domsec	domsec
don	don
doner	doner
dongle	dongle
Doninhas	Weasels
DoNotLoc	DoNotLoc
donut	donut
dónute	donut
dónutes	donuts
donuts	donuts
Dormitórios	Dormitories
dos\núltimos	of the\nultimate
dot	dot
DotMac	DotMac
Douala	Douala
DoubleCommand	DoubleCommand
doughnut	doughnut
doutora	doctor
down	down
Downloader	Downloader
DownloadInternetFile	DownloadInternetFile
downloads	downloads
dp	dp
DPCD	DPCD
dpi	dpi
DPIs	IPRs
Drácula	Dracula
Dragobete	Dragobete
dram	dram
dramas	dramas
dramáticas	dramatic
drams	drams
DRBurnDoubleLayerL	DRBurnDoubleLayerL
driblando	dribbling
drinks	drinks
driver	driver
driverd	driverd
drivers	drivers
DriverType	DriverType
DRM	DRM
Drone	Drone
Drones	Drones
Dropbox	Dropbox
DropDrives	DropDrives
Droplet	Droplet
Droste	Droste
Drs	Drs
drumet	drumet
drumetes	drums
drv	drv
Ds	Ds
DSA	DSA
DSAP	DSAP
DSAT	DSAT
Dsd	Dsd
dsl	dsl
DSP	DSP
DSSS	DSSS
dst	dst
dstd	dstd
Dt	Dt
DTLS	DTLS
DTS	DTS
DTV	DTV
Dual	Dual
Dublin	Dublin
ducha	shower
duchas	showers
duches	showers
duck	duck
duedate	duedate
duh	duh
Dumbo	Dumbo
DummyString	DummyString
dumpling	dumpling
dumplings	dumplings
DUN	DUN
Duna	Dune
duplex	duplex
dúplex	duplex
Duplexer	Duplexer
duplicá	duplicate
duplicadas	duplicated
duplicados	duplicates
Duplicando	Duplicating
duplicar	duplicate
Duployan	Duployan
Duployé	Duploye
duration	duration
Dúrio	Durian
Duriões	Durians
Dúrios	Durians
DV	DV
dvc	dvc
DVCPRO	DVCPRO
dvcs	dvcs
DVCSRequestData	DVCSRequestData
DVCSResponseData	DVCSResponseData
dvd	DVD
DVD‑R	DVD-R
DVD‑RAM	DVD-RAM
DVD‑ROM	DVD-ROM
DVD‑RW	DVD‑RW
DVDs	DVDs
dvg	dvg
DVGA	DVGA
Dvorak	Dvorak
dvr	dvr
Dw	Dw
dx	dx
Dylan	Dylan
Dymo	Dymo
Dynamic	Dynamic
é‑lhe	it is yours
e‑mail	e-mail
e‑mails	e-mails
eac	eac
EAN	EAN
EAP	EAP
EAPOL	EAPOL
eaptlstrust	eaptlstrust
Earl	Earl
EarPods	EarPods
EAS	EAS
EasyLink	EasyLink
EAU	UAE
EAV	EAV
EB	EB
eba	yay
eBay	eBay
EBCDIC	EBCDIC
EBF	EBF
ebi	ebi
Ec	Ec
eca	yuck
ECAPHelperApp	ECAPHelperApp
ECB	ECB
ECC	ECC
ECDSA	ECDSA
Echarpes	Scarves
echo	echo
ECHOSC	ECHOSC
ECID	ECID
éclair	eclair
Económico	Economic
Economizando	Saving
EcoPlus	EcoPlus
ecrãs	screens
ECSIE	ECSIE
ed	ed
Edamame	Edamame
EDE	EDE
EDI	EDI
Edículas	Houses
EDID	EDID
editá‑lo	edit it
editada	edited
editadas	edited
editam	edit
Editar uma cópia	Edit a copy
editaram	edited
editável	editable
edite	edit
Editions	Editions
editor	editor
editores	editors
editorial	editorial
editou	edited
EDN	EDN
EDR	EDR
edu	edu
Eduardo	Eduardo
educadoras	educators
educativos	educational
EEEE	EEEEE
efax	efax
efémera	ephemeral
efêmera	ephemeral
efémero	ephemeral
efetue	perform
Efficiency	Efficiency
efficient	efficient
EFI	EFI
eftpos	eftpos
EG	EG
Egeus	Aegean
EiB	EiB
eID	eID
EIDI	EIDI
eight	eight
éindesejada	is unwanted
éindesejado	is unwanted
EISA	EISA
Eisu	Eisu
eiusmod	eiusmod
ejeta	ejects
ejetá	eject
ejetá‑lo	eject it
ejetada	ejected
ejetadas	ejected
ejetados	ejected
ejetando	ejecting
Ejetável	Ejectable
ejete	eject
EKEntityType	EKEntityType
El Capitan	El Capitan
eLab	eLab
elaborada	elaborated
elástica	elastic
elásticas	elastic
Elba	Elba
Elbasan	Elbasan
Elbasani	Elbasan
ELCO	ELCO
elefantes	elephants
elegíveis	eligible
eleições	elections
ElementoA	ElementA
ElementoB	ElementB
ElementoC	ElementC
Eletrodomésticos	Home appliances
eletrónica	electronics
eletrónico	electronic
Elevadores	Elevators
elfas	elves
elfos	elves
ElGamal	ElGamal
eliminaria	would eliminate
elíptica	elliptical
elit	elite
Ellen	Ellen
Elm	Elm
elmt	elmt
elmts	elmts
Elrond	Elrond
elvis	elvis
em iCloud	in iCloud
eMac	eMac
email	e-mail
emanados	emanated
embaladora	packing machine
embaralhado	shuffled
Embarcadouros	Piers
emergências	emergencies
émidi	emidi
Emília	Emilia
Emirados	Emirates
emirática	emiratic
Emissoras	Broadcasters
Emissores	Issuers
emitidos	issued
emitindo	issuing
EMM	EMM
Emmy	Emmy
