ve	And
uf	Whew
ufakça	smallish
ufaklık	kid
ufalabilme	friability
ufalabilmek	to be able to crumble
ufalama	comminution
ufalamak	crumble
ufalanabilme	friability
ufalanabilmek	to crumble
ufalanış	Crumbling
ufalanıverme	crumble
ufalanıvermek	crumble
ufalanma	Crumbing
ufalanmak	crumble
ufalatma	comminution
ufalatmak	to crumble
ufalayabilme	friability
ufalayabilmek	to crumble
ufalayıcı	Crumbler
ufalayış	Crumbling
ufalayıverme	crumble
ufalayıvermek	crumble
ufalış	shrinkage
ufalma	shrinkage
ufalmak	shrink
ufaltabilme	Shrinkability
ufaltabilmek	to be able to shrink
ufaltılabilme	miniaturization
ufaltılabilmek	to be reduced to a small size
ufaltılış	Shrinkage
ufaltılma	Shrinkage
ufaltılmak	be reduced to small pieces
ufaltış	Shrinkage
ufaltma	Shrinkage
ufaltmak	Shrink
ufalttırış	Shrinkage
ufalttırma	Shrinkage
ufalttırmak	Shrink
ufarak	small
ufarakça	smallish
ufki	Horizon
uflama	crumbling
uflamak	blow away
uflayış	blowing
ufuk	horizon
ufunet	Ufunet
ufunetleniş	ufunetization
ufunetlenme	ufunetization
ufunetlenmek	To be disgusted
ufunetli	Ufunetli
Ugandalı	Ugandan
uğra	come by
uğrak	haunt
uğralama	Don't stop by
uğralamak	to drop by
uğralı	Drop by
uğrama	Don't be put off
uğranma	Don't be bothered
uğranmak	to be visited
uğraşabilme	ability to deal with
uğraşabilmek	be able to deal with
uğraşı	occupation
uğraşılabilme	ability to deal with
uğraşılabilmek	be able to deal with
uğraşılma	dealing with
uğraşılmak	be dealt with
uğraşma	hassle
uğraşmak	to strive
uğraşsal	occupational
uğraştaş	Strugglestone
uğraştaşlık	hustle and bustle
uğraştırabilme	ability to deal with
uğraştırabilmek	be able to deal with
uğraştırılma	Don't bother
uğraştırılmak	be bothered
uğraştırma	Don't bother
uğraştırmak	bother
uğratabilme	ability to interfere
uğratabilmek	to be able to inflict
uğratılış	intrusion
uğratılma	be subjected to
uğratılmak	be subjected to
uğrayabilme	being able to come
uğrayabilmek	to be able to stop by
uğrayış	drop by
uğrayıverme	Don't drop by
uğrayıvermek	drop by
uğrulama	urum
uğrulamak	to visit
uğruluk	auspiciousness
uğrun	for the sake of
uğrunca	for the sake of
uğul uğul	howl howl
uğuldama	whistling
uğuldamak	hum
uğuldayış	humming
uğultulu	howling
uğunabilme	suffocation
uğunabilmek	to be able to
uğundurma	murmur
uğundurmak	to make someone laugh
uğunma	gurgling
uğunmak	To be swept away
uğuntu	hum
uğunuş	murmur
uğur	luck
uğurböceği	ladybird
uğurböcekleri	Ladybugs
uğurlama	sendoff
uğurlanış	farewell
uğurlanma	farewell
uğurlayabilme	to be able to say goodbye
uğurlayabilmek	to be able to see off
uğurlayıcı	farewell
uğurlayış	farewell
uğurluk	good luck
uğurluluk	good luck
uğursama	bad luck
uğursamak	to see off
uğursuz	sinister
uğursuzluk	bad luck
uhde	hug
uhrevi	otherworldly
ukala	highbrow
ukalaca	smart-aleck
ukalalaşma	Don't be a smartass
ukalalaşmak	be cocky
ukalalık	pragmatism
ukde	in ukde
uknum	I am in trouble
Ukraynalı	Ukrainian
ukubet	i am not sure
ulabilme	reachability
ulabilmek	to reach
ulaç	gerund
Ulah	Wallachian
Ulahça	Aromanian
ulam	category
ulama	liaison
ulamak	to reach
ulan	man
ulanış	reaching
ulanma	Don't be shy
ulanmak	To be awake
ulantı	Ulanti
ulaşabilme	accessibility
ulaşabilmek	to reach
ulaşılabilme	accessibility
ulaşılabilmek	be reachable
ulaşılma	reachable
ulaşılmak	to be reached
ulaşılmaz	unattainable
ulaşılmazlaşma	inaccessibility
ulaşılmazlaşmak	become inaccessible
ulaşılmazlık	inaccessibility
ulaşım	transport
ulaşıverme	reach out
ulaşıvermek	reach out
ulaşma	access
ulaştırabilme	ability to deliver
ulaştırabilmek	to be able to deliver
ulaştırılabilme	transportability
ulaştırılabilmek	to be delivered
ulaştırılma	transportation
ulaştırılmak	to be delivered
ulaştırıverme	delivery
ulaştırıvermek	deliver
ulaştırma	transportation
ulaştırmacı	Transporter
ulaştırmacılık	transportation
ulatma	transportation
ulatmak	deliver
ulayabilme	reachability
ulayabilmek	be able to reach
ulayıcı	Usher
ulema	Ulema
ulemalık	Ulama
ulmak	reach
ulufe	Ulufe
ulufeci	Ulufeci
uluk	howl
ululama	howl
ululamak	howl
ululayış	howl
ulum	uluum
ulumak	howl
uluorta	gratuitous
ulusalcı	nationalist
ulusalcılık	nationalism
ulusallaşma	nationalization
ulusallaşmak	become national
ulusallaştırılış	nationalization
ulusallaştırılma	nationalization
ulusallaştırılmak	be nationalized
ulusallaştırma	nationalization
ulusallaştırmak	nationalize
ulusallık	nationality
ulusça	nationally
ulusçu	Nationalist
ulusçuluk	Nationalism
uluslararası	international
uluslararasıcı	internationalist
uluslararasıcılık	internationalism
uluslararasılaşabilme	internationalization
uluslararasılaşabilmek	to internationalize
uluslararasılaşma	internationalization
uluslararasılaşmak	internationalize
uluslararasılaştırılma	internationalization
uluslararasılaştırılmak	be internationalized
uluslararasılaştırma	internationalization
uluslararasılaştırmak	internationalize
uluslaşma	nationalization
uluslaşmak	become a nation
uluslaştırma	nationalization
uluslaştırmak	nationalize
ulusluk	nationhood
ulussever	Nationalist
ulusseverlik	patriotism
ulutma	howl
ulutmak	howl
uluyabilme	howl
uluyabilmek	to howl
uluyadurma	Don't howl
uluyadurmak	howl
uluyakalma	Uluyakalma
uluyakalmak	to be in a hurry
ulvi	lofty
ulviyet	sublimity
umabilme	to be able to hope
umabilmek	to hope
umacı	bogey
umar	I hope
umarsızca	desperately
umarsızlaşma	despair
umarsızlaşmak	become desperate
umarsızlaştırma	despair
umarsızlaştırmak	make desperate
umarsızlık	despair
umde	I hope
umdurma	Don't worry
umdurmak	to hope
umma	hoping
ummadık	We didn't expect it
ummak	expect
umman	Oman
umre	Umrah
umsuluk	hopefulness
umsunuk	hopeless
umu	Hope
umucu	Hopeful
umulabilme	expectability
umulabilmek	to be hoped for
umulma	Don't expect
umulmadık	unexpected
umulmak	to be hoped
umum	public
umumhane	brothel
umumi	public
umumiyet	Generality
umumiyetle	Generally
umunç	hope
umur	Hope
umursama	don't care
umursamak	care
umursamazca	listlessly
umursamazlık	indifference
umursanma	don't care
umursanmak	to be cared for
umursayış	care
umuş	hope
umutlanabilme	hopefulness
umutlanabilmek	to have hope
umutlandırabilme	to give hope
umutlandırabilmek	To give hope
umutlandırıcı	hopeful
umutlandırılma	hopefulness
umutlandırılmak	be hopeful
umutlandırış	hopefulness
umutlandırmak	give hope
umutlanış	hope
umutlanmak	hope
umutluluk	hopefulness
umutsuzca	desperately
umutsuzlanma	Don't despair
umutsuzlanmak	despair
umutsuzlaşabilme	despair
umutsuzlaşabilmek	to despair
umutsuzlaşma	despair
umutsuzlaşmak	despair
umutsuzlaştırma	despair
umutsuzlaştırmak	despair
unculuk	Third place
unlama	flouring
unlamak	flour
unlanma	flouring
unlanmak	to become flour
unluk	flour
unmak	to unlearn
unsur	element
unulma	forgetfulness
unulmak	be forgotten
unutabilme	forgetfulness
unutabilmek	to be able to forget
unutkanlaşabilme	can become forgetful
unutkanlaşabilmek	become forgetful
unutkanlaşma	forgetfulness
unutkanlaşmak	become forgetful
unutkanlık	forgetfulness
unutmabeni	Forget-me-not
unutmak	to forget
unutturabilme	to make you forget
unutturabilmek	to make one forget
unutturma	don't make me forget
unutturmak	make forget
unutturulma	be forgotten
unutturulmak	be forgotten
unutulabilme	forgettability
unutulabilmek	to be forgotten
unutulma	oblivion
unutulmak	to be forgotten
unutuluş	oblivion
unutuluverme	oblivion
unutuluvermek	be forgotten
unutuş	oblivion
unutuverme	don't forget
unutuvermek	forget
upuygun	adequate
upuzun	very long
urağan	Uragan
uran	Uran
uranyum	uranium
uray	Uray
urba	Urba
urbanizm	urbanism
urbasız	without clothes
Urduca	Urdu
urgancı	Ropemaker
urgancılık	ropery
urlaşabilme	urability
urlaşabilmek	be able to urinate
urlaşma	Urification
urlaşmak	Urinate
urmak	to urmak
Uruguaylı	Uruguayan
uruk	Uruk
urup	Urup
uruşkun	Urushkun
uruşman	Urushman
us	base
usanabilme	weariness
usanabilmek	be bored
usandırabilme	irritability
usandırabilmek	To be irritating
usandırıcı	tedious
usandırıcılık	tediousness
usandırılabilme	irritability
usandırılabilmek	be able to be bored
usandırılış	weariness
usandırılma	weariness
usandırılmak	be bored
usandırış	weariness
usandırma	harassment
usandırmak	to tire
usangın	Tired
usanılma	weariness
usanılmak	get tired of
usanış	weariness
usanıverme	Don't get tired
usanıvermek	get tired of
usanmak	get tired
usare	sap
usavurma	reasoning
usavurmak	reason
usbilgisi	intelligence
usbilim	logic
usçu	rationalist
usçuluk	Rationalism
usdışı	irrational
usdışıcı	irrationalist
usdışıcılık	irrationalism
usdışılık	irrationality
uskumru	mackerel
uskumrugiller	Mackerels
uskumrumsugiller	Mackerel
uskur	screw
uskuru	mackerel
uslamlama	reasoning
uslamlamak	reason
uslanabilme	ability to reason
uslanabilmek	to be able to reason
uslanma	mindfulness
uslanmak	to be well-adjusted
usluca	gently
usluluk	sedateness
ussal	rational
ussallaşma	rationalization
ussallaşmak	rationalize
ussallaştırılma	Rationalization
ussallaştırılmak	be rationalized
ussallaştırma	Rationalization
ussallaştırmak	rationalize
ussallık	rationality
ustabaşı	foreman
ustabaşılık	foremanship
ustalaşabilme	mastery
ustalaşabilmek	to be able to master
ustalaşma	mastery
ustalaşmak	master
ustalıkla	skillfully
ustalıklı	artful
ustun	superior
ustunç	superior
usturlap	astrolabe
usturmaça	fender
usturpa	Razor
usturuplu	smart
usulca	gently
usulcacık	gently
usuldan	from the method
usullacık	gently
usulsüz	undue
usulsuzlük	irregularity
uşakkapan	Usakkapan
uşaklık	servanthood
uşkun	Ugly
uşşak	servant
ut	Ut
utaçıcı	embarrassing
utaçıcılık	Shame
utanabilme	To be ashamed
utanabilmek	To be ashamed
utandırabilme	embarrassment
utandırabilmek	To embarrass
utandırıcı	embarrassing
utandırılış	embarrassment
utandırılma	embarrassment
utandırılmak	be embarrassed
utandırış	embarrassment
utangaç	shy
utangaçlık	shyness
utangan	shy
utanılma	Don't be ashamed
utanılmak	be ashamed
utanış	shame
utanmazca	shamelessly
utanmazlaşabilme	to be shameless
utanmazlaşabilmek	to be shameless
utanmazlaşma	shamelessness
utanmazlaşmak	become shameless
utanmazlık	shamelessness
utçu	Utcu
utku	triumph
utkulu	triumphant
utlanma	Don't be ashamed
utlanmak	be ashamed
utmak	To be shy
utulmak	be forgotten
uvertür	overture
uyabilme	adaptability
uyabilmek	to be able to comply
uyak	rhyme
uyaklama	Rhyme
uyaklamak	rhyme
uyaklandırabilme	rhyme
uyaklandırabilmek	be able to rhyme
uyaklandırılış	Rhyme
uyaklandırılma	Rhyming
uyaklandırılmak	be rhymed
uyaklandırış	Rhyme
uyaklandırma	Rhyme
uyaklandırmak	rhyme
uyaklanış	Rhyme
uyaklanma	Rhyme
uyaklanmak	rhyme
uyaklı	rhyming
uyaklılık	Rhyme
uyaksız	rhymeless
uyaksızlık	rhymelessness
uyanabilme	waking up
uyanabilmek	to wake up
uyandırabilme	Awakening
uyandırabilmek	to wake up
uyandırılabilme	awakening
uyandırılabilmek	to be awakened
uyandırılış	awakening
uyandırılma	awakening
uyandırılmak	be awakened
uyandırış	awakening
uyandırıverme	wake up
uyandırıvermek	wake up
uyandırma	wake up
uyanıklaşma	awakening
uyanıklaşmak	wake up
uyanıklık	alertness
uyanılma	wake up
uyanılmak	wake up
uyanış	awakening
uyanıverme	wake up
uyanıvermek	wake up
uyarabilme	warning ability
uyarabilmek	be able to warn
uyarıcılık	warning
uyarılabilme	excitability
uyarılabilmek	be warned
uyarılgan	excitable
uyarılganlık	excitability
uyarılış	arousal
uyarılma	arousal
uyarılmak	be warned
uyarış	warning
uyarıverme	warning
uyarıvermek	give warning
uyarlaç	Adapt
uyarlama	adaptation
uyarlamak	adapt
uyarlanabilme	adaptability
uyarlanabilmek	adaptable
uyarlanış	adaptation
uyarlanma	adaptation
uyarlanmak	adapt
uyarlayabilme	adaptability
uyarlayabilmek	be able to adapt
uyarlayıcı	adapter
uyarlık	Adaptability
uyarma	excitation
uyaroğlu	Uyuroglu
uyartı	warning
uyducu	satellite
uyduculuk	satellite
uydulaşma	satelliteization
uydulaşmak	satelliteize
uydulaştırabilme	satelliteization
uydulaştırabilmek	to satelliteize
uydulaştırılabilme	satelliteability
uydulaştırılabilmek	be satelliteized
uydulaştırılma	satelliteization
uydulaştırılmak	be satelliteized
uydulaştırma	satelliteization
uydulaştırmak	satelliteize
uyduluk	satellite
uydumcu	satellite
uydumculuk	conformity
uydurabilme	inventiveness
uydurabilmek	to make up
uydurmaca	fake
uydurmacı	fabricator
uydurmacılık	fabrication
uydurmak	make up
uydurmasyon	fabrication
uydurmasyoncu	fabricator
uyduru	fabrication
uydurukçu	fabricator
uydurukçuluk	fabrication
uydurulabilme	adaptability
uydurulabilmek	be made up
uydurulma	fabrication
uydurulmak	be made up
uyduruluş	fabrication
uyduruş	fabrication
uyduruverme	Don't make it up
uyduruvermek	make up
uydusavar	anti-satellite
uygar	civilized
uygarlaşabilme	Civilization
uygarlaşabilmek	to be civilized
uygarlaşma	Civilization
uygarlaşmak	become civilized
uygarlaştırabilme	civilizing
uygarlaştırabilmek	to civilize
uygarlaştırıcı	Civilizing
uygarlaştırılabilme	civilizability
uygarlaştırılabilmek	to be civilized
uygarlaştırılma	Civilization
uygarlaştırılmak	be civilized
uygarlaştırma	civilization
uygarlaştırmak	civilize
uygarlık	civilization
uygarlıkçı	Civilizationist
uygarlıkçılık	Civilizationism
uygu	apply
uygulamalı	applied
uygulanabilir	applicable
uygulanabilirlik	applicability
uygulanabilme	applicability
uygulanabilmek	be applicable
uygulanagelme	implementation
uygulanagelmek	to be implemented
uygulanış	application
uygulanma	implementation
uygulanmak	be applied
uygulatabilme	ability to implement
uygulatabilmek	to be able to implement
uygulatılış	implementation
uygulatılma	enforcement
uygulatılmak	be enforced
uygulatış	implementation
uygulatma	enforcement
uygulatmak	enforce
uygulayabilme	Ability to apply
uygulayabilmek	be able to apply
uygulayagelme	implementation
uygulayagelmek	to apply
uygulayıcılık	Practitionership
uygulayım	application
uygulayımbilim	technology
uygulayımcı	practitioner
uygulayımsal	practical
uygulayış	application
uygulayıverme	apply it
uygulayıvermek	apply it
uygunluk	suitability
Uygur	Uyghur
Uygurca	Uigur
uykucu	sleeper
uykuculuk	sleepiness
uykulu	sleepy
uykuluk	sweetbread
uylama	application
uylamak	to obey
uylaşım	Convention
uylaşma	agreement
uylaşmak	agree
uylaştırılma	Mediation
uylaştırılmak	be reconciled
uylaştırma	mediation
uylaştırmak	to reconcile
uyma	fit
uymacılık	conformity
uyruk	nationality
uyruklu	nationality
uyrukluk	nationality
uyruksuz	stateless
uyruksuzluk	statelessness
uysalca	meekly
uysallaşma	tameness
uysallaşmak	become docile
uyuklamak	slumber
uyulma	compliance
uyulmak	to be obeyed
uyuma	sleep
uyumlandırma	harmonization
uyumlandırmak	adapt
uyumlu	compatible
uyumluca	harmoniously
uyumlulaşabilme	adaptability
uyumlulaşabilmek	be compatible
uyumlulaşma	Harmonization
uyumlulaşmak	harmonize
uyumlulaştırma	harmonization
uyumlulaştırmak	harmonize
uyumluluk	compatibility
uyumsuz	incompatible
uyumsuzlaşma	disharmony
uyumsuzlaşmak	become discordant
uyumsuzluk	mismatch
uyunabilme	sleepability
uyunabilmek	to be able to sleep
uyunma	sleep
uyunmak	to obey
uyuntu	sleep
uyurgezer	sleepwalker
uyurgezerlik	sleepwalking
uyuşabilme	compatibility
uyuşabilmek	be compatible
uyuşkan	numb
uyuşma	numbness
uyuşmazlık	disagreement
uyuşturabilme	anesthesia
uyuşturabilmek	to be able to numb
uyuşturan	dulling
uyuşturanbalığı	druggedfish
uyuşturma	anesthesia
uyuşturmak	anesthetize
uyuşturucu	drugs
uyuşturulabilme	anesthesia
uyuşturulabilmek	be anesthetized
uyuşturulma	anesthesia
uyuşturulmak	be anesthetized
uyuşturuluş	anesthetized
uyuşturuş	anesthesia
uyuşturuverme	anesthetize
uyuşturuvermek	anesthetize
uyuşuk	lethargic
uyuşuklaşma	numbness
uyuşuklaşmak	become numb
uyuşum	harmony
uyuşurluk	numbness
uyuşuverme	numbness
uyuşuvermek	become numb
uyutabilme	ability to sleep
uyutabilmek	to be able to sleep
uyutma	don't put to sleep
uyutmak	put to sleep
uyutucu	soporific
uyutulabilme	ability to be put to sleep
uyutulabilmek	be put to sleep
uyutulma	put to sleep
uyutulmak	be put to sleep
uyutum	I slept
uyutumsal	sleepy
uyutuş	sleep
uyuverme	don't fall asleep
uyuvermek	fall asleep
uyuyabilme	being able to sleep
uyuyabilmek	to be able to sleep
uyuyadurma	don't put to sleep
uyuyadurmak	put to sleep
uyuyakalış	fall asleep
uyuyakalma	fall asleep
uyuyakalmak	fall asleep
uyuyuş	sleep
uyuyuverme	don't fall asleep
uyuyuvermek	fall asleep
uyuzböceği	scabies mite
uyuzböcekleri	scabies
uyuzlanma	scabies
uyuzlanmak	to be irritated
uyuzlaşma	scabies
uyuzlaşmak	to be irritable
uyuzlu	scabby
uyuzluk	manginess
uyuzotu	scabious
uyuzsineği	scabies
uz	Long
uzadevim	I am longer
uzaduyum	I'm long
uzakça	far away
uzakçeker	remote control
Uzakdoğu	Far East
Uzakdoğulu	Far Eastern
uzakgörür	farsighted
uzaklaşabilme	Ability to move away
uzaklaşabilmek	be able to get away
uzaklaşadurma	Don't stay away
uzaklaşadurmak	move away
uzaklaşılma	distance
uzaklaşılmak	to be away from
uzaklaşıverme	Don't walk away
uzaklaşıvermek	walk away
uzaklaşma	Don't move away
uzaklaştırabilme	ability to remove
uzaklaştırabilmek	to be able to remove
uzaklaştırılabilme	removable
uzaklaştırılabilmek	be removed
uzaklaştırılış	removal
uzaklaştırılma	removal
uzaklaştırılmak	be removed
uzaklaştırış	removal
uzaklaştırma	removal
uzaksama	distance
uzaksamak	stay away
uzam	space
uzambilgisi	Spatiology
uzambilgisel	Spatiological
uzambilim	cosmology
uzambilimci	geoscientist
uzamsal	spatial
uzama	elongation
uzamak	extend
uzanabilme	reachability
uzanabilmek	be able to reach
uzanılma	reaching out
uzanılmak	lie down
uzanım	elongation
uzanış	reaching out
uzanıverme	Don't lie down
uzanıvermek	lie down
uzanma	reach
uzantı	extension
uzatabilme	extendability
uzatabilmek	To extend
uzatılabilme	extensibility
uzatılabilmek	be extended
uzatılış	Extension
uzatılıverme	prolongation
uzatılıvermek	be extended
uzatılma	extension
uzatılmak	be extended
uzatım	extension
uzatış	Extension
uzatıverme	Don't extend
uzatıvermek	extend
uzatmalı	prolonged
uzattırabilme	ability to extend
uzattırabilmek	to extend
uzattırma	Extension
uzattırmak	extend
uzay	space
uzayabilme	extensibility
uzayabilmek	To be able to extend
uzayadamı	spaceman
uzayadamlığı	spacemanship
uzaybilim	Astronomy
uzaybilimci	astronaut
uzaycı	Spaceman
uzaycılık	space travel
uzaygemisi	spaceship
uzayış	Extension
uzaylı	alien
uzaysal	spatial
uzaysallık	spatiality
uzbilim	astrobiology
uzgöreç	uestimation
uzgören	insightful
uzgörü	foresight
uzgörülü	farsighted
uzgörür	He is foresighted
uzgörürlük	foresight
uziletişim	Telecommunication
uzlaşabilme	Compromise
uzlaşabilmek	be able to compromise
uzlaşı	compromise
uzlaşıcı	conciliatory
uzlaşıcılık	conciliation
uzlaşılabilme	agreeableness
uzlaşılabilmek	be reconcilable
uzlaşılma	compromise
uzlaşılmak	be agreed upon
uzlaşım	Convention
uzlaşımsal	conventional
uzlaşıverme	compromise
uzlaşıvermek	compromise
uzlaşmacı	conciliatory
uzlaşmacılık	conciliationism
uzlaşmak	compromise
uzlaşmalı	Compromised
uzlaşmazlık	disagreement
uzlaştırabilme	reconciliation
uzlaştırabilmek	be able to reconcile
uzlaştırıcı	conciliatory
uzlaştırıcılık	conciliation
uzlaştırılabilme	reconciliation
uzlaştırılabilmek	be reconcilable
uzlaştırılıverme	reconciliation
uzlaştırılıvermek	be reconciled
uzlaştırılma	reconciliation
uzlaştırılmak	be reconciled
uzlaştırış	reconciliation
uzlaştırıverme	reconciliation
uzlaştırıvermek	reconcile
uzlaştırma	conciliation
uzlaştırmacı	conciliator
uzlaştırmacılık	conciliation
uzlaştırmak	reconcile
uzlet	Retreat
uzluk	length
uzman	expert
uzmanca	expertly
uzmanlaşabilme	Ability to specialize
uzmanlaşabilmek	to specialize
uzmanlaşma	specialization
uzmanlaşmak	specialize
uzmanlaştırma	specialization
uzmanlaştırmak	specialize
uzmanlık	expertise
uzunbacaklılar	stilts
uzunçalar	long play
uzundiş	longtooth
uzuneşek	Long Donkey
uzunkafalı	longhead
uzunkuyruk	longtail
uzunlamasına	longitudinal
uzunlevrek	long sea bass
uzunlu kısalı	long and short
uzvi	limb
uzviyet	Organism
uzyazar	spacewriter
uzyazım	spacewriting
üçayak	tripod
üçbir	Three one
üçboyutlu	three-dimensional
üçboyutluluk	three-dimensionality
üçdüzlemli	Triplanar
üçerleme	triples
üçerlemek	three by three
üçetek	threeskirt
üçgen	triangle
üçgül	clover
üçiki	threetwo
üçkâğıt	fiddle
üçkâğıtçı	cheat
üçkâğıtçılık	guile
üçleme	trilogy
üçlemek	triple
üçlenme	trilogy
üçlenmek	triple
üçleşme	trilogy
üçleşmek	triple
üçlü	trio
üçlük	three point
üçtaş	Three Stones
üçteker	three times
üçüç	threethree
üçüncül	tertiary
üçüncülük	third place
üçürdüm	I would have three
üçüz	cheap
üçüzlü	triplet
üfleç	blowtorch
üfleme	blowing
üflemeli	Blown
üflenme	blowing
üflenmek	be blown
üfleyebilme	ability to blow
üfleyebilmek	to be able to blow
üfleyiş	blowing
üfleyiverme	blow away
üfleyivermek	blow away
üflük	Ufuk
üful	Uful
üfürebilme	ability to blow
üfürebilmek	to blow
üfürme	murmur
üfürmek	blow
üfürük	puff
üfürükçü	healer
üfürükçülük	Healing
üfürülme	murmur
üfürülmek	be blown
üfürüm	murmur
üfürüntü	murmur
üfürüş	murmur
üğrüm	I am sad
üğrüme	rot
üğrümek	To gurgle
üğrünme	disgust
üğrünmek	To be disgusted
ülen	Ulen
üleş	Ules
üleşebilme	Ability to share
üleşebilmek	to be able to reach
üleşilebilme	accessibility
üleşilebilmek	be accessible
üleşilme	distribution
üleşilmek	be shared
üleşim	ü lesion
üleşimci	Communitarian
üleşimcilik	Communalism
üleşiverme	Don't be too quick
üleşivermek	to be overwhelmed
üleşme	overflow
üleşmek	To reach
üleştirebilme	ability to share
üleştirebilmek	to be able to share
üleştirilebilme	distributability
üleştirilebilmek	be shared
üleştiriliş	distribution
üleştirilme	distribution
üleştirilmek	be distributed
üleştirim	distribution
üleştirimli	distributive
üleştiriş	distribution
üleştiriverme	distribution
üleştirivermek	share out
üleştirme	distribution
üleştirmek	to share
üleştirmeli	should be distributed
ülfet	intimacy
ülger	villus
ülkelerarası	international
ülkesel	territorial
ülkesellik	nationality
ülkesever	patriotic
ülkeseverlik	patriotism
ülkü	ideal
ülkücü	idealistic
ülkücülük	Idealism
ülküdeş	Idealist
ülküdeşlik	Idealism
ülküleştiriliş	idealization
ülküleştirilme	idealization
ülküleştirilmek	be idealized
ülküleştiriş	idealization
ülküleştirme	idealization
ülküleştirmek	idealize
ülküsel	idealistic
ülküsellik	Idealism
ülser	ulcer
ültimatom	ultimatum
ültimatomsu	ultimatum
ültramodern	ultramodern
ültrason	ultrasound
ültrasonografi	Ultrasonography
ültrasonografik	Ultrasonographic
ültraviyole	ultraviolet
üluhiyet	divinity
ümitlendirilme	hopefulness
ümitlendirilmek	be hopeful
ümitlendirme	hopefulness
ümitlendirmek	give hope
ümitleniş	hope
ümitlenme	Don't hope
ümitlenmek	hope
ümitli	hopeful
ümmetçe	Ummah
ümmetçi	Ummah
ümmetçilik	Ummahism
ümmi	unlettered
ümmilik	illiteracy
ümran	Imran
ümük	bone
üniforma	uniform
üniformalı	uniformed
üniversal	universal
üniversalizm	Universalism
üniversite	university
üniversitelerarası	Interuniversity
üniversiteli	University student
ünlem	exclamation
ünleme	exclamation
ünlemek	to celebrate
ünlenebilme	to be famous
ünlenebilmek	to become famous
ünleniş	fame
ünleniverme	fame
ünlenivermek	become famous
ünlenme	fame
ünlenmek	become famous
ünletme	interjection
ünletmek	to celebrate
ünleyebilme	Ability to Celebrate
ünleyebilmek	To be able to celebrate
ünleyiş	exclamation
ünlüleşme	becoming famous
ünsiyet	familiarity
ünsüz	consonant
ürat	urate
Ürdünlü	Jordanian
üre	urea
ürem	urea
üremek	to reproduce
üremi	uremia
üretebilme	ability to produce
üretebilmek	to be able to produce
üretedurma	production stop
üretedurmak	to produce
üreteç	generator
üreti	production
üretici	manufacturer
üreticilik	productivity
üretilebilme	manufacturability
üretilebilmek	to be produced
üretiliş	production
üretiliverme	production
üretilivermek	be produced
üretilme	production
üretilmek	be produced
üretim	production
üretimevi	production house
üretimlik	productive
üretimsel	productive
üretiş	production
üretiverme	produce
üretivermek	produce
üretken	productive
üretkenleşme	Productivity
üretkenleşmek	become productive
üretkenlik	productivity
üretme	producing
üretmek	to produce
üretmen	to produce
üreyebilme	Reproductive ability
üreyebilmek	to reproduce
üreyiş	reproduction
ürik asit	uric acid
ürkebilme	fearfulness
ürkebilmek	to be afraid
ürkekçe	timidly
ürkekleşme	Don't be timid
ürkekleşmek	become timid
ürkeklik	timidity
ürkme	wince
ürkmek	be afraid
ürkü	Fear
ürkünçlük	Scariness
ürküntü	fright
ürküntülü	scary
ürküsüz	fearless
ürküsüzlük	fearlessness
ürküş	fright
ürkütebilme	ability to scare
ürkütebilmek	To scare
ürkütme	scare
ürkütmek	scare
ürkütücülük	eeriness
ürkütülebilme	frightenability
ürkütülebilmek	to be frightened
ürkütülme	Don't be scared
ürkütülmek	be frightened
ürkütülüş	fright
ürküverme	Don't be startled
ürküvermek	startle
ürme	reproduction
ürmek	to breed
ürolog	urologist
üroloji	urology
ürperebilme	ability to shiver
ürperebilmek	to be able to shiver
ürperiş	shiver
ürperiverme	Don't shiver
ürperivermek	to shiver
ürpermek	to shiver
ürpertebilme	ability to make you shiver
ürpertebilmek	to make one shiver
ürperti	shudder
ürpertici	creepy
ürpertili	creepy
ürpertiş	shiver
ürpertme	chill
ürpertmek	to shiver
ürtiker	urticaria
ürüme	decay
ürümek	to rot
ürüş	ruş
ürüşme	rot
ürüşmek	To rot
üryan	bare
üryani	prunelle
üs–	base-
üs	base
üsküf	Uskof
üsküre	Usurp
üslenebilme	Ability to assume
üslenebilmek	to be able to undertake
üslenme	assumption
üslenmek	to undertake
üslup	style
üslupçu	stylist
üslupçuluk	Stylism
üsluplaştırma	stylization
üsluplaştırmak	stylize
üsluplu	stylish
üslupsuz	unstylish
üstalize	superimposed
üstatça	Masterfully
üstatlaşma	mastery
üstatlaşmak	master
üstatlık	Mastery
üstbitken	supervegetable
üstçavuş	sergeant major
üstçavuşluk	sergeant major
üstçene	upper jaw
üstderi	epidermis
üstdil	metalanguage
üstdudak	upper lip
üsteğmen	first lieutenant
üsteğmenlik	First Lieutenant
üstel	exponential
üsteleme	insistence
üstelemek	insist
üstelenebilme	Ability to take on
üstelenebilmek	to be able to undertake
üsteleniş	insistence
üstelenme	insistence
üstelenmek	insist
üsteletme	insistence
üsteletmek	insist
üsteleyebilme	Ability to insist
üsteleyebilmek	to insist
üsteleyiş	insistence
üstenci	Undertaker
üstencilik	overlordship
üstenme	Don't take it on
üstenmek	undertake
üsterme	superimposition
üstermek	to overthrow
üstgeçiş	overpass
üstgeçit	overpass
üstgerçek	metafact
üstgerçekçi	hyperrealistic
üstgerçekçilik	hyperrealism
üstinsan	superman
