我	wǒ 
衰退	shuāituì 
甩	shuăi 
率領	shuàilĭng 
雙	shuāng 
雙胞胎	shuāngbāotāi 
雙方	shuāngfāng 
水分/份	shuĭfèn 
水災	shuǐzāi 
稅	shuì 
說服	shuìfú 
順	shùn 
順	shùn 
順手	shùnshŏu 
順序	shùnxù 
說不定	shuōbúdìng 
碩士	shuòshì 
絲	sī 
撕	sī 
私立	sīlì 
私人	sīrén 
思索	sīsuŏ 
死	sĭ
死亡	sĭwáng 
四處	sìchù 
四處	sìchù 
四方	sìfāng 
四季	sìjì 
四周/週	sìzhōu 
飼養	sìyăng 
鬆	sōng 
送行	sòngxíng 
俗	sú 
俗話	súhuà  
俗話說	súhuàshuō 
算	suàn 
算起來	suànqĭlái  
算是	suànshì  
算帳	suànzhàng  
隨	suí 
隨手	suíshŏu
隨意	suíyì  
隨著	suízhe 
碎	suì 
歲數	suìshù  
孫女	sūnnǚ 
孫子	sūnzi 
損失	sŭnshī 
損失	sŭnshī 
縮	suō 
縮短	suōduăn 
縮水	suōshuĭ
鎖	suŏ 
鎖	suŏ 
塌	tā 
踏	tà 
抬頭	táitóu 
太空	tàikōng 
攤子	tānzi 
彈	tán 
談判	tánpàn 
毯子	tănzi 
探	tàn 
探親	tànqīn 
探討	tàntăo 
趟	tàng 
燙	tàng 
燙	tàng 
掏	tāo 
逃	táo 
逃避	táobì 
逃走	táozŏu 
陶瓷	táocí 
淘氣	táoqì 
桃子	táozi 
討	tăo 
套	tào
套	tào 
特別	tèbié 
特點	tèdiăn 
提	tí 
提起	tíqĭ
提前	tíqián 
提醒	tíxĭng 
提早	tízăo 
題	tí 
體溫	tĭwēn 
體驗	tǐyàn 
天才	tiāncái 
天空	tiānkōng 
天然	tiānrán 
天文	tiānwén 
天真	tiānzhēn 
天主教	Tiānzhŭjiào
田野	tiányě 
挑	tiāo 
挑選	tiāoxuăn 
條	tiáo 
條約	tiáoyuē 
調	tiáo 
調整	tiáozhěng 
跳高	tiàogāo 
跳遠	tiàoyuăn 
貼心	tiēxīn 
停止	tíngzhĭ 
挺	tĭng 
挺	tĭng 
通	tōng
通	tōng 
通常	tōngcháng  
通過	tōngguò 
通信	tōngxìn  
通訊	tōngxùn  
同	tóng 
同	tóng 
同胞	tóngbāo  
同志	tóngzhì  
銅	tóng 
桶	tǒng 
統計	tǒngjì  
統一	tǒngyī  
統治	tǒngzhì  
痛快	tòngkuài 
偷/偷偷	tōu/tōutōu
頭	tóu
頭腦	tóunăo 
投票	tóupiào 
投入	tóurù  
投降	tóuxiáng  
投資	tóuzī  
透	tòu 
透過	tòuguò 
禿	tū 
突出	túchū 
突破	túpò  
突破	túpò  
途徑	tújìng 
圖書	túshū  
圖章	túzhāng  
吐	tŭ 
團	tuán 
團結	tuánjié 
推動	tuīdòng 
推翻	tuīfān 
推廣	tuīguăng 
退	tuì 
退出	tuìchū 
退回	tuìhuí 
吞	tūn 
拖	tuō 
拖鞋	tuōxié 
托兒所	tuōérsuŏ 
脫離	tuōlí 
妥當(ㄉㄤ˙)	tuǒdang
妥善	tuŏshàn 
妥協	tuŏxié 
哇	wā 
挖	wā 
歪	wāi 
外部	wàibù 
外出	wàichū 
外地	wàidì 
外觀	wàiguān 
外行	wàiháng 
外匯	wàihuì 
外交	wàijiāo 
外界	wàijiè 
外科	wàikē 
外頭	wàitou 
彎	wān 
彎腰	wānyāo 
完畢	wánbì 
完善	wánshàn 
完整	wánzhěng 
玩笑	wánxiào 
晚輩	wănbèi 
往	wăng 
望	wàng 
威脅	wēixié 
威脅	wēixié 
圍	wéi 
違反	wéifăn 
維護	wéihù 
維他命	wéitāmìng 
危機	wéijī 
為難	wéinán 
唯一	wéiyī 
尾巴	wěiba 
委屈	wěiqū 
委託	wěituō 
委員	wěiyuán 
未	wèi 
未婚	wèihūn 
位於	wèiyú 
味/味兒	wèi/wèir
味精	wèijīng 
為何	wèihé 
衛生	wèishēng 
衛生紙	wèishēngzhĭ 
衛星	wèixīng 
慰問	wèiwèn 
溫和	wēnhé 
文法	wénfă 
文具	wénjù 
文憑	wénpíng 
文物	wénwù 
文藝	wényì 
蚊子	wénzi 
吻	wěn 
吻	wěn 
穩	wěn 
握	wò 
臥房	wòfáng 
汙/污染	wūrăn
無可奈何	wúkěnàihé 
無論	wúlùn 
無情	wúqíng 
無數	wúshù 
無限	wúxiàn 
無意	wúyì 
武器	wŭqì 
武術	wŭshù 
舞	wŭ 
舞蹈	wŭdào 
舞台/臺	wŭtái 
舞廳	wŭtīng 
勿	wù 
物理	wùlǐ 
物質	wùzhí 
誤	wù 
誤	wù 
誤點	wùdiăn 
誤會	wùhuì 
霧	wù 
西裝	xīzhuāng 
吸	xī 
吸取	xīqŭ 
吸食	xīshí 
吸煙	xīyān 
媳婦	xífù 
喜酒	xĭjiŭ 
喜劇	xǐjù 
系列	xìliè  
細胞	xìbāo  
細節	xìjié  
細菌	xìjùn  
細小	xìxiăo  
瞎	xiā 
蝦(子)	xiā(zi)
蝦米	xiāmĭ 
下巴	xiàbā  
下降	xiàjiàng  
下來	xiàlái  
下棋	xiàqí  
下去	xiàqù  
下午茶	xiàwŭchá  
下游	xiàyóu  
夏季	xiàjì  
先進	xiānjìn 
鮮	xiān 
鮮花	xiānhuā 
鮮奶	xiānnăi 
鮮血	xiānxiě 
閒	xián 
嫌	xián 
顯得	xiănde 
顯然	xiănrán 
顯示	xiănshì 
顯著	xiănzhù 
現	xiàn 
現場	xiànchăng 
現成	xiànchéng 
現金	xiànjīn 
羨慕	xiànmù 
限制	xiànzhì 
相	xiāng 
相處	xiāngchŭ 
相當	xiāngdāng 
相互	xiānghù 
相親相愛	xiāngqīnxiāngài 
相似	xiāngsì 
箱	xiāng 
香腸	xiāngcháng 
鄉村	xiāngcūn 
想不到	xiăngbúdào 
想念	xiăngniàn 
享受	xiăngshòu 
享有	xiăngyŏu 
響應	xiăngyìng 
象	xiàng 
相片/相片兒	xiàngpiàn/xiàngpiànr
相親	xiàngqīn 
巷(子)	xiàng(zi)
向來	xiànglái 
項目	xiàngmù 
消	xiāo 
消除	xiāochú 
消費	xiāofèi 
消費	xiāofèi 
消化	xiāohuà 
消極	xiāojí 
消滅	xiāomiè 
消失	xiāoshī 
消/宵夜	xiāoyè 
銷路	xiāolù 
銷售	xiāoshòu 
小便	xiăobiàn 
小費	xiăofèi 
小麥	xiăomài 
小氣	xiăoqì 
小腿	xiăotuǐ 
小子	xiăozi 
曉得	xiăode 
校車	xiàochē 
校友	xiàoyŏu 
效率	xiàolǜ 
笑容	xiàoróng 
歇	xiē 
斜	xié 
血管	xiěguăn 
血型	xiěxíng 
血液	xiěyè 
心靈	xīnlíng 
心目中	xīnmùzhōng 
心聲	xīnshēng 
心跳	xīntiào 
心臟	xīnzàng 
新郎	xīnláng 
新娘	xīnniáng 
新式	xīnshì 
新興	xīnxīng 
薪水	xīnshuĭ 
信號	xìnhào 
信任	xìnrèn 
信仰	xìnyăng 
信仰	xìnyăng 
信用	xìnyòng 
星光	xīngguāng 
行程	xíngchéng 
行動	xíngdòng 
行人	xíngrén 
形成	xíngchéng 
形式	xíngshì 
形象	xíngxiàng 
形狀	xíngzhuàng 
性質	xìngzhí 
雄偉	xióngwěi 
休假	xiūjià 
休閒	xiūxián  
修正	xiūzhèng  
需	xū 
須知	xūzhī  
許	xŭ 
許願	xŭyuàn  
宣布/佈	xuānbù
宣傳	xuānchuán 
宣傳	xuānchuán 
懸	xuán 
選手	xuănshŏu 
靴(子)	xuē(zi)
學會	xuéhuì 
學歷	xuélì 
學術	xuéshù 
學位	xuéwèi 
學業	xuéyè 
學者	xuézhě 
雪花	xuěhuā 
削減	xuèjiăn 
尋	xún 
循環	xúnhuán 
迅速	xùnsù 
壓	yā 
壓力	yālì 
壓迫	yāpò 
牙膏	yágāo 
煙/菸	yān
沿	yán 
嚴	yán 
嚴格	yángé 
嚴肅	yánsù 
鹽巴	yánbā 
延長	yáncháng 
癌症	yánzhèng 
演唱	yănchàng 
演奏	yănzòu 
掩蓋	yăngài 
宴會	yànhuì 
厭惡	yànwù 
癢	yăng 
氧氣	yăngqì 
樣品	yàngpĭn 
喲	yāo 
腰	yāo 
搖	yáo 
搖擺	yáobăi 
搖頭	yáotóu 
要不	yàobù 
要好	yàohăo 
要命	yàomìng 
藥方	yàofāng 
藥水	yàoshuĭ 
藥物	yàowù 
野	yě 
野獸	yěshòu 
野心	yěxīn 
夜景	yèjǐng 
夜晚	yèwăn 
業務	yèwù 
業餘	yèyú 
葉子	yèzi 
一一	yīyī 
衣裳	yīshang 
依據	yījù 
依然	yīrán 
醫	yī 
醫師	yīshī 
醫學	yīxué 
一帶	yídài 
一旦	yídàn 
一大早	yídàzăo 
一面	yímiàn 
一再	yízài 
一致	yízhì 
移	yí 
移動	yídòng 
移民	yímín 
疑問	yíwèn 
儀器	yíqì 
儀式	yíshì 
乙	yĭ
已婚	yĭhūn
以	yĭ
以便	yĭbiàn 
以及	yĭjí 
以往	yĭwăng 
一般而言	yìbānéryán 
一口氣	yìkŏuqì 
一旁	yìpáng 
一齊	yìqí 
一天到晚	yìtiāndàowăn 
易	yì 
意識	yìshì 
意外	yìwài 
意願	yìyuàn
意志	yìzhì 
億	yì 
義務	yìwù 
議會	yìhuì 
因而	yīnér 
因素	yīnsù 
銀	yín 
引發	yĭnfā 
飲	yĭn 
飲食	yĭnshí 
印	yìn 
印刷	yìnshuā 
印象	yìnxiàng 
印章	yìnzhāng 
應當	yīngdāng 
嬰兒	yīngér 
英雄	yīngxióng 
贏得	yíngdé 
迎接	yíngjiē 
營養	yíngyăng 
營業	yíngyè 
影本	yĭngběn 
影印	yĭngyìn 
影子	yĭngzi 
硬	yìng 
應付	yìngfù 
應邀	yìngyāo 
應用	yìngyòng 
擁抱	yŏngbào 
擁護	yŏnghù 
擁擠	yŏngjĭ 
勇氣	yŏngqì 
用不著	yòngbùzháo
用處	yòngchù 
用得著	yòngdezháo
用具	yòngjù 
用力	yònglì 
用心	yòngxīn 
憂鬱	yōuyù 
優惠	yōuhuì 
優良	yōuliáng 
優美	yōuměi 
優越	yōuyuè 
由	yóu 
油	yóu 
油膩	yóunì 
游	yóu 
郵差	yóuchāi 
郵件	yóujiàn 
遊戲	yóuxì 
遊戲	yóuxì 
遊行	yóuxíng 
猶豫	yóuyù 
友好	yŏuhăo 
有關	yŏuguān 
有關	yŏuguān 
有力	yŏulì 
有利	yŏulì 
有些	yŏuxiē 
有些	yŏuxiē 
娛樂	yúlè 
語調	yŭdiào 
語氣	yŭqì 
語音	yŭyīn 
與其	yŭqí 
遇	yù 
遇見	yùjiàn 
預報	yùbào 
預定	yùdìng 
預訂	yùdìng 
預計	yùjì 
預算	yùsuàn 
預先	yùxiān 
冤枉	yuānwăng 
元旦	yuándàn 
原來	yuánlái 
原理	yuánlĭ 
原料	yuánliào 
原始	yuánshĭ 
原先	yuánxiān 
原則	yuánzé 
原則上	yuánzéshàng 
原子筆	yuánzĭbĭ 
圓滿	yuánmăn 
圓形	yuánxíng 
緣故	yuángù 
遠大	yuăndà 
願	yuàn 
月份	yuèfèn 
月光	yuèguāng 
月球	yuèqiú 
暈	yūn 
允許	yŭnxŭ 
運輸	yùnshū 
運送	yùnsòng 
運用	yùnyòng 
運轉	yùnzhuăn 
砸	zá 
雜	zá 
災害	zāihài 
災難	zāinàn 
在	zài
在乎	zàihū 
再度	zàidù 
再說	zàishuō 
載	zài 
咱們	zánmen 
贊成	zànchéng 
贊同	zàntóng 
讚美	zànměi 
葬禮	zànglĭ
糟	zāo 
糟糕	zāogāo 
遭到	zāodào 
遭受	zāoshòu 
遭遇	zāoyù 
早晨	zăochén 
早點	zăodiăn 
早點	zăodiăn 
早晚	zǎowǎn 
早已	zăoyĭ 
造	zào 
造句	zàojù 
則	zé 
則	zé 
怎	zěn 
增長	zēngzhăng 
贈品	zèngpĭn 
贈送	zèngsòng 
窄	zhăi 
展出	zhănchū 
展開	zhănkāi 
展覽	zhănlăn 
展覽	zhănlăn 
展示	zhănshì 
占/佔	zhàn 
占/佔	zhàn 
占/佔有	zhànyŏu 
站住	zhànzhù 
戰場	zhànchăng 
張	zhāng 
章	zhāng 
長	zhǎng 
長輩	zhǎngbèi
漲	zhăng 
漲價	zhăngjià 
掌聲	zhăngshēng 
帳單	zhàngdān 
丈夫	zhàngfū 
招呼	zhāohū 
招手	zhāoshŏu 
照	zhào 
照常	zhàocháng 
召開	zhàokāi 
折	zhé 
折合	zhéhé 
折扣	zhékòu 
折磨	zhémó 
者	zhě 
針	zhēn 
針對	zhēnduì 
偵探	zhēntàn 
珍惜	zhēnxí 
珍珠	zhēnzhū 
真心	zhēnxīn 
枕頭	zhěntou 
陣	zhèn 
陣子	zhènzi 
震動	zhèndòng 
爭	zhēng 
爭論	zhēnglùn 
爭取	zhēngqŭ 
睜	zhēng 
徵求	zhēngqiú 
正月	zhēngyuè 
整	zhěng 
整	zhěng 
整潔	zhěngjié 
整數	zhěngshù 
正	zhèng 
正方形	zhèngfāngxíng 
正規	zhèngguī 
正好	zhènghăo 
正好	zhènghăo 
正經	zhèngjīng 
正面	zhèngmiàn 
政策	zhèngcè 
政黨	zhèngdăng 
政府	zhèngfŭ 
證件	zhèngjiàn 
證據	zhèngjù 
證明	zhèngmíng 
證實	zhèngshí 
症狀	zhèngzhuàng 
之	zhī 
之	zhī 
之後	zhīhòu 
之間	zhījiān 
之類	zhīlèi 
之前	zhīqián 
支	zhī
支持	zhīchí 
支出	zhīchū 
支票	zhīpiào 
支援	zhīyuán 
直	zhí 
直接	zhíjiē 
直線	zhíxiàn 
值	zhí 
擲	zhí 
職位	zhíwèi 
執行	zhíxíng 
止	zhǐ 
只	zhĭ
只是	zhĭshì 
指	zhĭ 
指出	zhĭchū 
指導	zhĭdăo 
指定	zhĭdìng 
指示	zhĭshì 
指示	zhĭshì 
指責	zhǐzé 
紙張	zhĭzhāng 
治	zhì 
至	zhì 
制定	zhìdìng 
制止	zhìzhĭ
志氣	zhìqì 
志願	zhìyuàn 
秩序	zhìxù 
製造	zhìzào 
製作	zhìzuò 
中	zhōng 
中級	zhōngjí 
中年	zhōngnián 
中途	zhōngtú 
中央	zhōngyāng 
中藥	zhōngyào 
腫	zhŏng 
種類	zhŏnglèi 
種子	zhŏngzĭ 
種族	zhŏngzú 
中	zhòng 
中毒	zhòngdú 
重	zhòng 
重大	zhòngdà 
重量	zhòngliàng 
重傷	zhòngshāng 
重傷	zhòngshāng 
重心	zhòngxīn 
州	zhōu 
周/週	zhōu 
周到	zhōudào 
粥	zhōu 
竹(子)	zhú(zi)
逐漸	zhújiàn 
主辦	zhŭbàn 
主持	zhŭchí 
主觀	zhŭguān 
主角/角	zhŭjiăo/jué
主席	zhŭxí 
主張	zhŭzhāng 
主張	zhŭzhāng 
祝賀	zhùhè 
住院	zhùyuàn 
住宅	zhùzhái 
住址	zhùzhĭ
注射	zhùshè 
註冊	zhùcè 
專家	zhuānjiā 
專利	zhuānlì 
專門	zhuānmén 
專人	zhuānrén 
專業	zhuānyè 
轉	zhuăn 
轉變	zhuănbiàn 
轉播	zhuănbò 
轉達	zhuăndá 
轉告	zhuăngào 
轉機	zhuănjī 
轉身	zhuănshēn 
轉向	zhuănxiàng 
轉	zhuàn 
賺	zhuàn 
裝飾	zhuāngshì 
壯	zhuàng 
撞	zhuàng 
狀況	zhuàngkuàng 
追	zhuī 
准	zhŭn 
准考證/証	zhŭnkăozhèng 
準	zhŭn 
準確	zhŭnquè 
捉	zhuō 
桌	zhuō 
資本	zīběn 
資格	zīgé 
資金	zījīn 
資訊	zīxùn 
紫	zĭ 
子女	zĭnǚ 
字幕	zìmù 
字母	zìmŭ 
自來水	zìláishuĭ
自然	zìrán 
自私	zìsī 
自我	zìwǒ 
自信	zìxìn 
自願	zìyuàn 
自主	zìzhŭ 
總	zǒng 
總共	zǒnggòng 
總理	zǒnglĭ 
綜合	zònghé 
綜合	zònghé 
走道	zǒudào 
走私	zǒusī 
足	zú
足以	zúyĭ 
組	zŭ 
組織	zŭzhī 
阻礙	zŭài 
阻止	zŭzhĭ
祖國	zŭguó 
鑽	zuān 
鑽石	zuànshí
罪	zuì 
最少	zuìshăo 
遵守	zūnshŏu 
尊重	zūnzhòng 
左右	zuŏyòu 
左右	zuŏyòu 
作	zuò 
作家	zuòjiā 
作為	zuòwéi 
作文	zuòwén 
作文	zuòwén 
作用	zuòyòng 
做	zuò 
做客	zuòkè 
挨	āi 
欸	ăi
愛戴	àidài 
愛國	àiguó 
愛滋病	àizībìng 
安頓	āndùn 
安撫	ānfŭ 
安寧	ānníng 
安詳	ānxiáng 
安置	ānzhì 
暗暗	ànàn 
案件	ànjiàn 
案情	ànqíng 
案子	ànzi 
按摩	ànmó 
昂貴	ángguì 
奧妙	àomiào 
懊惱	àonăo 
八卦	bāguà 
八字	bāzì 
把	bă
把持	băchí 
把手	băshǒu 
白皮書	báipíshū 
拜會	bàihuì 
頒發	bānfā 
頒獎	bānjiăng 
辦案	bànàn 
半島	bàndăo 
半導體	bàndăotǐ 
幫	bāng 
綁	băng 
包袱	bāofú 
包圍	bāowéi 
寶	băo 
寶貝	băobèi 
寶石	băoshí 
飽和	băohé 
飽滿	băomăn 
保安	băoān 
保管	băoguăn 
保齡球	băolíngqiú 
保姆	băomŭ 
保全	băoquán 
保險	băoxiăn 
保佑	băoyòu 
保重	băozhòng 
報案	bàoàn 
報表	bàobiăo 
報酬	bàochóu 
報導	bàodǎo
報復	bàofù 
報關	bàoguān 
報價	bàojià 
報刊	bàokān 
報應	bàoyìng 
報章	bàozhāng
暴力	bàolì 
暴雨	bàoyŭ 
爆發	bàofā 
抱負	bàofù 
抱歉	bàoqiàn
碑	bēi 
悲哀	bēiāi 
悲觀	bēiguān 
貝殼	bèiké 
倍數	bèishù 
背誦	bèisòng 
背心	bèixīn 
被子	bèizi 
奔騰	bēnténg 
本	běn 
本事	běnshì 
本位	běnwèi 
本性	běnxìng 
本質	běnzhí
崩潰	bēngkuì 
甭	béng 
敝	bì
必	bì 
編輯	biānjí 
編輯	biānjí 
編寫	biānxiě 
編織	biānzhī 
編制	biānzhì 
編製	biānzhì 
邊界	biānjiè 
邊緣	biānyuán 
貶	biăn 
貶值	biănzhí 
匾額	biăné 
便	biàn 
辨認	biànrèn 
辨識	biànshì 
辯	biàn 
辯護	biànhù 
辯論	biànlùn 
變革	biàngé 
變遷	biànqiān 
變通	biàntōng 
變形	biànxíng 
標籤	biāoqiān 
標語	biāoyŭ 
表白	biăobái 
表明	biăomíng 
鼻孔	bíkǒng 
鼻涕	bítì 
筆錄	bǐlù 
筆友	bǐyǒu
比率	bǐlǜ 
比擬	bǐnǐ 
比喻	bǐyù
比重	bǐzhòng 
必備	bìbèi 
必定	bìdìng 
必然	bìrán 
閉幕	bìmù 
閉塞	bìsè 
避難	bìnàn
避孕	bìyùn 
畢生	bìshēng 
幣值	bìzhí 
憋	biē 
別	bié 
別墅	biéshù 
兵	bīng 
賓館	bīnguăn 
柄	bǐng 
並列	bìngliè 
並重	bìngzhòng 
併發	bìngfā 
病床	bìngchuáng 
病菌	bìngjùn 
病情	bìngqíng 
撥	bō 
波	bō 
波及	bōjí  
波浪	bōlàng 
剝	bō 
剝削	bōxuè 
搏鬥	bódòu 
播出	bòchū 
不便	búbiàn 
不動產	búdòngchăn 
不力	búlì 
不料	búliào 
不下	búxià 
不肖	búxiào 
不懈	búxiè 
不再	búzài 
不致	búzhì 
不至/致於	búzhìyú 
補給	bǔjǐ
補救	bŭjiù 
補習班	bǔxíbān
哺乳動物	bŭrŭdòngwù 
不得	bùdé
不等	bùděng
不凡	bùfán 
不妨	bùfáng 
不法	bùfă 
不公	bùgōng 
不禁	bùjīn
不及	bùjí 
不堪	bùkān
不免	bùmiăn 
不容	bùróng 
不時	bùshí 
不惜	bùxí 
不知不覺	bùzhībùjué
部落	bùluò 
部署	bùshŭ 
步調	bùdiào 
步驟	bùzòu
猜測	cāicè 
猜忌	cāijì 
猜想	cāixiăng 
裁縫	cáiféng 
裁減	cáijiăn 
財團	cáituán 
財政	cáizhèng 
才智	cáizhì 
採訪	căifăng 
採光	căiguāng 
採納	căinà 
採取	căiqŭ 
彩繪	căihuì 
餐具	cānjù 
參謀	cānmóu 
殘暴	cánbào 
殘酷	cánkù 
殘殺	cánshā 
慘重	cănzhòng 
燦爛	cànlàn 
蒼白	cāngbái 
蒼蠅	cāngyíng 
操縱	cāozòng 
草案	căoàn 
草叢	căocóng 
草率	căoshuài 
草藥	căoyào 
測	cè 
策畫/劃	cèhuà 
差額	chāé 
插曲	chāqŭ 
插嘴	chāzuǐ 
茶具	chájù 
察覺	chájué 
查明	chámíng 
蟬	chán
饞	chán 
潺潺	chánchán 
猖獗	chāngjué 
腸	cháng 
長遠	chángyuăn 
場次	chăngcì 
場面	chăngmiàn 
倡導	chàngdăo 
唱腔	chàngqiāng 
暢銷	chàngxiāo 
產物	chănwù 
產值	chănzhí 
超速	chāosù 
超脫	chāotuō 
抄襲	chāoxí 
吵嘴	chăozuǐ 
車輛	chēliàng 
車廂	chēxiāng 
撤回	chèhuí 
撤銷	chèxiāo 
沉默	chénmò 
沉思	chénsī 
沉重	chénzhòng 
塵土	chéntŭ 
呈	chéng 
乘	chéng 
承包	chéngbāo 
承擔	chéngdān
承諾	chéngnuò 
成敗	chéngbài 
成見	chéngjiàn 
成就	chéngjiù 
成品	chéngpǐn 
成全	chéngquán 
成人	chéngrén
成效	chéngxiào 
成衣	chéngyī 
成員	chéngyuán 
成長	chéngzhǎng
稱號	chēnghào 
稱呼	chēnghū 
撐腰	chēngyāo 
程式	chéngshì 
呈獻	chéngxiàn 
誠心	chéngxīn 
誠心誠意	chéngxīnchéngyì  
誠摯	chéngzhì 
稱	chèng 
吃驚	chījīng 
吃苦	chīkŭ 
吃力	chīlì 
持	chí 
持久	chíjiŭ 
持平	chípíng 
持續	chíxù 
池(子)	chí(zi)
遲鈍	chídùn 
充斥	chōngchì 
充裕	chōngyù 
沖淡	chōngdàn 
沖天	chōngtiān 
衝	chōng 
衝動	chōngdòng 
衝擊	chōngjí 
衝突	chōngtú 
憧憬	chōngjǐng 
重疊	chóngdié 
崇尚	chóngshàng 
寵愛	chǒngài 
寵物	chǒngwù
抽查	chōuchá 
抽空	chōukòng  
抽象	chōuxiàng 
抽樣	chōuyàng 
愁	chóu 
仇	chóu 
仇恨	chóuhèn 
稠密	chóumì 
出超	chūchāo 
出錯	chūcuò 
出發點	chūfādiăn 
出局	chūjú 
出口	chūkǒu
出力	chūlì 
出路	chūlù 
出馬	chūmă 
出賣	chūmài 
出面	chūmiàn 
出名	chūmíng 
出品	chūpǐn 
出示	chūshì 
出手	chūshǒu 
出頭	chūtóu 
出頭	chūtóu 
出土	chūtŭ 
出息	chūxí 
出血	chūxiě 
初期	chūqí 
儲備	chúbèi 
除此之外	chúcǐzhīwài
鋤頭	chútou
處	chŭ 
處方	chŭfāng 
處分	chŭfèn 
處分	chŭfèn 
處境	chŭjìng 
處事	chŭshì 
處於	chŭyú 
處女	chùnǚ 
穿梭	chuānsuō 
傳	chuán 
傳遞	chuándì 
傳奇	chuánqí 
傳奇	chuánqí 
傳神	chuánshén 
傳授	chuánshòu 
船隻	chuánzhī 
喘	chuăn 
串	chuàn 
創傷	chuāngshāng 
創	chuàng 
創辦	chuàngbàn 
創立	chuànglì 
創新	chuàngxīn 
創業	chuàngyè 
創作	chuàngzuò 
吹牛	chuīniú 
垂	chuí 
垂直	chuízhí 
辭	cí 
辭典	cídiǎn
辭行	cíxíng 
慈善	císhàn 
此刻	cǐkè 
次	cì 
次要	cìyào 
伺候	cìhòu 
刺殺	cìshā 
匆忙	cōngmáng 
從容	cōngróng
從而	cóngér 
湊巧	còuqiăo 
粗糙	cūcāo 
粗魯	cūlŭ 
促	cù 
促成	cùchéng 
促使	cùshǐ 
促銷	cùxiāo 
簇擁	cùyǒng 
摧殘	cuīcán 
摧毀	cuīhuǐ 
催眠	cuīmián 
脆弱	cuìruò 
存貨	cúnhuò 
磋商	cuōshāng 
撮合	cuòhé 
搭配	dāpèi 
達	dá 
答覆	dáfù 
打	dă 
打鬥	dădòu 
打賭	dădŭ 
打發	dăfā 
打擊	dăjí 
打量	dăliàng 
打獵	dăliè 
打牌	dăpái 
打手	dăshǒu 
打烊	dăyáng 
大道	dàdào 
大隊	dàduì 
大使	dàshǐ 
大選	dàxuăn 
大洋洲	dàyángzhōu
大意	dàyì 
大致	dàzhì 
呆	dāi 
待	dāi 
歹徒	dăitú 
逮捕	dàibǔ
代課	dàikè 
怠慢	dàimàn 
擔	dān
擔當	dāndāng 
擔負	dānfù 
單獨	dāndú 
單價	dānjià 
單據	dānjù 
單親	dānqīn 
單行道	dānxíngdào 
膽	dăn 
膽固醇	dăngùchún 
但	dàn 
淡季	dànjì
淡水	dànshuǐ 
刀	dāo 
導師	dăoshī 
導致	dăozhì 
島嶼	dăoyŭ 
道	dào 
道別	dàobié 
道地	dàodì 
道士	dàoshì 
道義	dàoyì 
到期	dàoqí 
到頭來	dàotóulái 
倒數	dàoshǔ
當	dāng 
當兵	dāngbīng 
當代	dāngdài 
當局	dāngjú 
當前	dāngqián 
當心	dāngxīn 
黨派	dăngpài 
黨員	dăngyuán 
得以	déyǐ 
登場	dēngchăng 
登陸	dēnglù 
燈火	dēnghuǒ 
燈籠	dēnglóng 
等候	děnghòu 
等價	děngjià 
瞪	dèng 
滴	dī 
嘀咕	dígū 
底片	dǐpiàn 
抵	dǐ 
抵押	dǐyā 
抵制	dǐzhì 
地表	dìbiăo 
地步	dìbù 
地勢	dìshì 
地域	dìyù 
地獄	dìyù 
地質	dìzhí 
地主	dìzhŭ 
締結	dìjié 
締造	dìzào 
弟兄	dìxiōng 
顛覆	diānfù 
典型	diănxíng 
典雅	diănyă 
點子	diănzi 
奠定	diàndìng 
惦記	diànjì 
電工	diàngōng 
電力	diànlì 
電流	diànliú 
電器	diànqì 
電視劇	diànshìjù 
電壓	diànyā 
凋零	diāolíng 
調	diào
調查	diàochá
調度	diàodù 
吊橋	diàoqiáo
釣魚	diàoyú 
疊	dié 
頂	dǐng 
頂	dǐng 
定額	dìngé 
定義	dìngyì 
釘	dìng 
訂購	dìnggòu 
丟棄	diūqì 
凍結	dòngjié 
洞穴	dòngxuè 
動產	dòngchăn
動機	dòngjī 
動靜	dòngjìng 
動力	dònglì 
動亂	dòngluàn 
動脈	dòngmài 
動態	dòngtài 
動向	dòngxiàng 
動員	dòngyuán 
抖	dǒu 
陡	dǒu 
逗留	dòuliú 
鬥志	dòuzhì 
督促	dūcù 
獨創	dúchuàng 
獨到	dúdào 
獨占/佔	dúzhàn 
讀物	dúwù 
堵	dŭ 
堵塞	dŭsè 
賭博	dŭbó 
賭場	dŭchăng 
渡	dù 
度量衡	dùliánghéng 
端正	duānzhèng 
短缺	duănquē 
短暫	duănzhàn 
斷絕	duànjué 
堆積	duījī 
隊伍	duìwŭ 
兌現	duìxiàn 
對比	duìbǐ 
對照	duìzhào 
對峙	duìzhì 
頓	dùn 
頓	dùn 
頓時	dùnshí 
多寡	duōguă 
多虧	duōkuī 
多媒體	duōméitǐ 
多元	duōyuán 
奪魁	duókuí 
躲避	duǒbì 
墮胎	duòtāi 
額外	éwài 
惡	è 
惡化	èhuà 
惡性	èxìng 
惡意	èyì 
恩愛	ēnài 
恩情	ēnqíng 
恩人	ēnrén 
恩怨	ēnyuàn 
而	ér 
而是	érshì
而言	éryán
兒女	érnǚ 
耳光	ěrguāng 
發	fā 
發電	fādiàn 
發瘋	fāfēng 
發掘	fājué
發誓	fāshì 
發炎	fāyán 
發音	fāyīn
發育	fāyù 
發展	fāzhǎn
發作	fāzuò
法定	fădìng 
法官	făguān 
