the	ðiː	t-h-ē	ㄘㄧ	該
industrious	ɪnˈdʌstrɪəs	i-n-d-u-s-t-r-ē-ə-s	ㄧㄋㄉㄨㄙㄉㄖㄧㄦㄙ	勤勞
diligence	ˈdɪlɪʤəns	d-i-l-i-y-ə-n-s	ㄉㄧㄌㄧㄓㄣㄙ	勤勉
toils	tɔɪlz	t-o-ē-l-z	ㄉㄛㄧㄌㄗ	勞碌
labor	ˈleɪbə	l-ā-b-ə	ㄌㄝㄧㄅㄦ	勞動
winning	ˈwɪnɪŋ	w-i-n-i-ng	ㄨㄧㄋㄧㄥ	勝利
victory	ˈvɪktəri	v-i-k-t-ə-r-ē	ㄈㄧㄍㄉㄦㄖㄧ	勝利
victories	ˈvɪktəriz	v-i-k-t-ə-r-ē-z	ㄈㄧㄍㄉㄦㄖㄧㄗ	勝利
triumphed	ˈtraɪəmft	t-r-ī-ə-m-f-t	ㄉㄖㄚㄧㄦㄇㄈㄉ	勝利
triumph	ˈtraɪəmf	t-r-ī-ə-m-f	ㄉㄖㄚㄧㄦㄇㄈ	勝利
competent	ˈkɒmpɪtənt	k-o-m-p-i-t-ə-n-t	ㄍㄛㄇㄅㄧㄉㄣㄉ	勝任
momentum	məʊˈmɛntəm	m-ə-oo-m-é-n-t-ə-m	ㄇㄦㄡㄇㄜㄋㄉㄦㄇ	動量
turmoil	ˈtɜːmɔɪl	t-û-m-o-ē-l	ㄉㄦㄇㄛㄧㄌ	動盪
anim	anim	a-n-ē-m	ㄢㄧㄇ	動畫
animals	ˈænɪməlz	a-n-i-m-ə-l-z	ㄚㄋㄧㄇㄦㄌㄗ	動物
animal	ˈænɪməl	a-n-i-m-ə-l	ㄚㄋㄧㄇㄦㄌ	動物
motives	ˈməʊtɪvz	m-ə-oo-t-i-v-z	ㄇㄦㄡㄉㄧㄈㄗ	動機
motive	ˈməʊtɪv	m-ə-oo-t-i-v	ㄇㄦㄡㄉㄧㄈ	動機
motivated	ˈməʊtɪveɪtɪd	m-ə-oo-t-i-v-ā-t-i-d	ㄇㄦㄡㄉㄧㄈㄝㄧㄉㄧㄉ	動機
wavers	ˈweɪvəz	w-ā-v-ə-z	ㄨㄝㄧㄈㄦㄗ	動搖
wavered	ˈweɪvəd	w-ā-v-ə-d	ㄨㄝㄧㄈㄦㄉ	動搖
waver	ˈweɪvə	w-ā-v-ə	ㄨㄝㄧㄈㄦ	動搖
swayed	sweɪd	s-w-ā-d	ㄙㄨㄝㄧㄉ	動搖
shaken	ˈʃeɪkən	sh-ā-k-ə-n	ㄕㄝㄧㄍㄣ	動搖
tempted	ˈtɛmptɪd	t-é-m-p-t-i-d	ㄉㄜㄇㄅㄉㄧㄉ	動心
mobilizing	ˈməʊbɪlaɪzɪŋ	m-ə-oo-b-i-l-ī-z-i-ng	ㄇㄦㄡㄅㄧㄌㄚㄧㄗㄧㄥ	動員
mobilized	ˈməʊbɪlaɪzd	m-ə-oo-b-i-l-ī-z-d	ㄇㄦㄡㄅㄧㄌㄚㄧㄗㄉ	動員
mobilize	ˈməʊbɪlaɪz	m-ə-oo-b-i-l-ī-z	ㄇㄦㄡㄅㄧㄌㄚㄧㄗ	動員
extortioners	ɪksˈtɔːʃnəz	i-k-s-t-ô-sh-n-ə-z	ㄧㄍㄙㄉㄛㄕㄋㄦㄗ	勒索
extorting	ɪksˈtɔːtɪŋ	i-k-s-t-ô-t-i-ng	ㄧㄍㄙㄉㄛㄉㄧㄥ	勒索
extorted	ɪksˈtɔːtɪd	i-k-s-t-ô-t-i-d	ㄧㄍㄙㄉㄛㄉㄧㄉ	勒索
extort	ɪksˈtɔːt	i-k-s-t-ô-t	ㄧㄍㄙㄉㄛㄉ	勒索
strangled	ˈstræŋgld	s-t-r-a-ng-g-l-d	ㄙㄉㄖㄚㄥㄍㄌㄉ	勒死
rissah	rissah	r-ē-s-s-a-h	ㄖㄧㄙㄙㄚㄏ	勒撒
reined	reɪnd	r-ā-n-d	ㄖㄝㄧㄋㄉ	勒住
reluctantly	rɪˈlʌktəntli	r-i-l-u-k-t-ə-n-t-l-ē	ㄖㄧㄌㄨㄍㄉㄣㄉㄌㄧ	勉強
grudgingly	ˈgrʌʤɪŋli	g-r-u-y-i-ng-l-ē	ㄍㄖㄨㄓㄧㄥㄌㄧ	勉強
courage	ˈkʌrɪʤ	k-u-r-i-y	ㄍㄨㄖㄧㄓ	勇氣
courageous	kəˈreɪʤəs	k-ə-r-ā-y-ə-s	ㄍㄦㄖㄝㄧㄓㄦㄙ	勇敢
brave	breɪv	b-r-ā-v	ㄅㄖㄝㄧㄈ	勇敢
warriors	ˈwɒrɪəz	w-o-r-ē-ə-z	ㄨㄛㄖㄧㄦㄗ	勇士
excitedly	ɪkˈsaɪtɪdli	i-k-s-ī-t-i-d-l-ē	ㄧㄍㄙㄚㄧㄉㄧㄉㄌㄧ	勃然
robbing	ˈrɒbɪŋ	r-o-b-i-ng	ㄖㄛㄅㄧㄥ	劫財
robbers	ˈrɒbəz	r-o-b-ə-z	ㄖㄛㄅㄦㄗ	劫匪
efforts	ˈɛfəts	é-f-ə-t-s	ㄜㄈㄦㄗ	努力
assistants	əˈsɪstənts	ə-s-i-s-t-ə-n-t-s	ㄦㄙㄧㄙㄉㄣㄗ	助理
assistant	əˈsɪstənt	ə-s-i-s-t-ə-n-t	ㄦㄙㄧㄙㄉㄣㄉ	助理
assist	əˈsɪst	ə-s-i-s-t	ㄦㄙㄧㄙㄉ	助攻
aides	eɪdz	ā-d-z	ㄝㄧㄉㄗ	助手
gamaliel	gamaliel	g-a-m-a-l-ē-e-l	ㄍㄚㄇㄚㄌㄧㄝㄌ	加馬
aggravated	ˈægrəveɪtɪd	a-g-r-ə-v-ā-t-i-d	ㄚㄍㄖㄦㄈㄝㄧㄉㄧㄉ	加重
gadi	gadi	g-a-d-ē	ㄍㄚㄉㄧ	加迪
gaddi	gaddi	g-a-d-d-ē	ㄍㄚㄉㄉㄧ	加迪
load	ləʊd	l-ə-oo-d	ㄌㄦㄡㄉ	加載
raises	ˈreɪzɪz	r-ā-z-i-z	ㄖㄝㄧㄗㄧㄗ	加薪
joining	ˈʤɔɪnɪŋ	y-o-ē-n-i-ng	ㄓㄛㄧㄋㄧㄥ	加盟
joined	ʤɔɪnd	y-o-ē-n-d	ㄓㄛㄧㄋㄉ	加盟
kerioth	kerioth	k-e-r-ē-o-t-h	ㄍㄝㄖㄧㄛㄉㄏ	加略
heated	ˈhiːtɪd	h-ē-t-i-d	ㄏㄧㄉㄧㄉ	加熱
deepens	ˈdiːpənz	d-ē-p-ə-n-z	ㄉㄧㄅㄣㄗ	加深
gaza	ˈgɑːzə	g-ä-z-ə	ㄍㄚㄗㄦ	加沙
addition	əˈdɪʃ(ə)n	ə-d-i-sh-ə--n	ㄦㄉㄧㄕㄦㄋ	加成
strengthened	ˈstrɛŋθənd	s-t-r-é-ng-th-ə-n-d	ㄙㄉㄖㄜㄥㄊㄣㄉ	加強
strengthen	ˈstrɛŋθən	s-t-r-é-ng-th-ə-n	ㄙㄉㄖㄜㄥㄊㄣ	加強
stepped	stɛpt	s-t-é-p-t	ㄙㄉㄜㄅㄉ	加強
reinforced	ˌriːɪnˈfɔːst	r-ē-i-n-f-ô-s-t	ㄖㄧㄧㄋㄈㄛㄙㄉ	加強
reinforce	ˌriːɪnˈfɔːs	r-ē-i-n-f-ô-s	ㄖㄧㄧㄋㄈㄛㄙ	加強
carpus	ˈkɑːpəs	k-ä-p-ə-s	ㄍㄚㄅㄦㄙ	加布
working	ˈwɜːkɪŋ	w-û-k-i-ng	ㄨㄦㄍㄧㄥ	加工
aggravate	ˈægrəveɪt	a-g-r-ə-v-ā-t	ㄚㄍㄖㄦㄈㄝㄧㄉ	加劇
crowning	ˈkraʊnɪŋ	k-r-o-w-n-i-ng	ㄍㄖㄚㄡㄋㄧㄥ	加冕
crowned	kraʊnd	k-r-o-w-n-d	ㄍㄖㄚㄡㄋㄉ	加冕
coronation	ˌkɒrəˈneɪʃən	k-o-r-ə-n-ā-sh-ə-n	ㄍㄛㄖㄦㄋㄝㄧㄕㄣ	加冕
joins	ʤɔɪnz	y-o-ē-n-z	ㄓㄛㄧㄋㄗ	加入
join	ʤɔɪn	y-o-ē-n	ㄓㄛㄧㄋ	加入
adding	ˈædɪŋ	a-d-i-ng	ㄚㄉㄧㄥ	加入
gallons	ˈgælənz	g-a-l-ə-n-z	ㄍㄚㄌㄣㄗ	加侖
gallon	ˈgælən	g-a-l-ə-n	ㄍㄚㄌㄣ	加侖
function	ˈfʌnŋkʃən	f-u-n-ng-k-sh-ə-n	ㄈㄨㄋㄥㄍㄕㄣ	功能
feat	fiːt	f-ē-t	ㄈㄧㄉ	功績
power	ˈpaʊə	p-o-w-ə	ㄅㄚㄡㄦ	功率
effort	ˈɛfət	é-f-ə-t	ㄜㄈㄦㄉ	功夫
feats	fiːts	f-ē-t-s	ㄈㄧㄗ	功勳
dose	dəʊs	d-ə-oo-s	ㄉㄦㄡㄙ	劑量
swordsmen	swordsmen	s-w-o-r-d-s-m-e-n	ㄙㄨㄛㄖㄉㄙㄇㄝㄋ	劍士
woodchoppers	woodchoppers	w-oo-d-c-h-o-p-p-e-r-s	ㄨㄛㄛㄉㄕㄏㄛㄅㄅㄝㄖㄙ	劈柴
kindling	ˈkɪndlɪŋ	k-i-n-d-l-i-ng	ㄍㄧㄋㄉㄌㄧㄥ	劈柴
crackled	ˈkrækld	k-r-a-k-l-d	ㄍㄖㄚㄍㄌㄉ	劈啪
divide	dɪˈvaɪd	d-i-v-ī-d	ㄉㄧㄈㄚㄧㄉ	劃分
uproot	ʌpˈruːt	u-p-r-ū-t	ㄨㄅㄖㄨㄉ	剷除
creation	kri(ː)ˈeɪʃən	k-r-ē---ā-sh-ə-n	ㄍㄖㄧㄝㄧㄕㄣ	創建
creating	kri(ː)ˈeɪtɪŋ	k-r-ē---ā-t-i-ng	ㄍㄖㄧㄝㄧㄉㄧㄥ	創建
creates	kri(ː)ˈeɪts	k-r-ē---ā-t-s	ㄍㄖㄧㄝㄧㄗ	創建
created	kri(ː)ˈeɪtɪd	k-r-ē---ā-t-i-d	ㄍㄖㄧㄝㄧㄉㄧㄉ	創建
create	kri(ː)ˈeɪt	k-r-ē---ā-t	ㄍㄖㄧㄝㄧㄉ	創建
circumcision	ˌsɜːkəmˈsɪʒən	s-û-k-ə-m-s-i-zh-ə-n	ㄙㄦㄍㄦㄇㄙㄧㄓㄣ	割禮
circumcising	ˈsɜːkəmsaɪzɪŋ	s-û-k-ə-m-s-ī-z-i-ng	ㄙㄦㄍㄦㄇㄙㄚㄧㄗㄧㄥ	割禮
circumcised	ˈsɜːkəmsaɪzd	s-û-k-ə-m-s-ī-z-d	ㄙㄦㄍㄦㄇㄙㄚㄧㄗㄉ	割禮
circumcise	ˈsɜːkəmsaɪz	s-û-k-ə-m-s-ī-z	ㄙㄦㄍㄦㄇㄙㄚㄧㄗ	割禮
refrain	rɪˈfreɪn	r-i-f-r-ā-n	ㄖㄧㄈㄖㄝㄧㄋ	副歌
copies	ˈkɒpiz	k-o-p-ē-z	ㄍㄛㄅㄧㄗ	副本
lieutenants	lɛfˈtɛnənts	l-é-f-t-é-n-ə-n-t-s	ㄌㄜㄈㄉㄜㄋㄣㄗ	副手
shorn	ʃɔːn	sh-ô-n	ㄕㄛㄋ	剪毛
shearing	ˈʃɪərɪŋ	sh-ē-ə-r-i-ng	ㄕㄧㄦㄖㄧㄥ	剪毛
shear	ʃɪə	sh-ē-ə	ㄕㄧㄦ	剪斷
sheared	ʃɪəd	sh-ē-ə-d	ㄕㄧㄦㄉ	剪切
surplus	ˈsɜːpləs	s-û-p-l-ə-s	ㄙㄦㄅㄌㄦㄙ	剩餘
left	lɛft	l-é-f-t	ㄌㄜㄈㄉ	剩下
stripping	ˈstrɪpɪŋ	s-t-r-i-p-i-ng	ㄙㄉㄖㄧㄅㄧㄥ	剝離
stripped	strɪpt	s-t-r-i-p-t	ㄙㄉㄖㄧㄅㄉ	剝離
deprived	dɪˈpraɪvd	d-i-p-r-ī-v-d	ㄉㄧㄅㄖㄚㄧㄈㄉ	剝奪
deprive	dɪˈpraɪv	d-i-p-r-ī-v	ㄉㄧㄅㄖㄚㄧㄈ	剝奪
forehead	ˈfɒrɪd	f-o-r-i-d	ㄈㄛㄖㄧㄉ	前額
forward	ˈfɔːwəd	f-ô-w-ə-d	ㄈㄛㄨㄦㄉ	前鋒
advancing	ədˈvɑːnsɪŋ	ə-d-v-ä-n-s-i-ng	ㄦㄉㄈㄚㄋㄙㄧㄥ	前進
senior	ˈsiːnjə	s-ē-n-y-ə	ㄙㄧㄋㄡㄦ	前輩
predecessors	ˈpriːdɪsɛsəz	p-r-ē-d-i-s-é-s-ə-z	ㄅㄖㄧㄉㄧㄙㄜㄙㄦㄗ	前輩
battlefront	battlefront	b-a-t-t-l-e-f-r-o-n-t	ㄅㄚㄉㄉㄌㄝㄈㄖㄛㄋㄉ	前線
frontiers	ˈfrʌntɪəz	f-r-u-n-t-ē-ə-z	ㄈㄖㄨㄋㄉㄧㄦㄗ	前沿
eve	iːv	ē-v	ㄧㄈ	前夕
outposts	ˈaʊtpəʊsts	o-w-t-p-ə-oo-s-t-s	ㄚㄡㄉㄅㄦㄡㄙㄗ	前哨
outpost	ˈaʊtpəʊst	o-w-t-p-ə-oo-s-t	ㄚㄡㄉㄅㄦㄡㄙㄉ	前哨
predecessor	ˈpriːdɪsɛsə	p-r-ē-d-i-s-é-s-ə	ㄅㄖㄧㄉㄧㄙㄜㄙㄦ	前任
slash	slæʃ	s-l-a-sh	ㄙㄌㄚㄕ	削減
cuts	kʌts	k-u-t-s	ㄍㄨㄗ	削減
weakens	ˈwiːkənz	w-ē-k-ə-n-z	ㄨㄧㄍㄣㄗ	削弱
weaken	ˈwiːkən	w-ē-k-ə-n	ㄨㄧㄍㄣ	削弱
cripple	ˈkrɪpl	k-r-i-p-l	ㄍㄖㄧㄅㄌ	削弱
sharpened	ˈʃɑːpənd	sh-ä-p-ə-n-d	ㄕㄚㄅㄣㄉ	削尖
sharpen	ˈʃɑːpən	sh-ä-p-ə-n	ㄕㄚㄅㄣ	削尖
razor	ˈreɪzə	r-ā-z-ə	ㄖㄝㄧㄗㄦ	剃刀
shaved	ʃeɪvd	sh-ā-v-d	ㄕㄝㄧㄈㄉ	剃光
unkind	ʌnˈkaɪnd	u-n-k-ī-n-d	ㄨㄋㄍㄚㄧㄋㄉ	刻薄
embroidery	ɪmˈbrɔɪdəri	i-m-b-r-o-ē-d-ə-r-ē	ㄧㄇㄅㄖㄛㄧㄉㄦㄖㄧ	刺繡
embroiderers	ɪmˈbrɔɪdərəz	i-m-b-r-o-ē-d-ə-r-ə-z	ㄧㄇㄅㄖㄛㄧㄉㄦㄖㄦㄗ	刺繡
pierces	ˈpɪəsɪz	p-ē-ə-s-i-z	ㄅㄧㄦㄙㄧㄗ	刺穿
pierced	pɪəst	p-ē-ə-s-t	ㄅㄧㄦㄙㄉ	刺穿
pierce	pɪəs	p-ē-ə-s	ㄅㄧㄦㄙ	刺穿
impaled	ɪmˈpeɪld	i-m-p-ā-l-d	ㄧㄇㄅㄝㄧㄌㄉ	刺穿
impale	ɪmˈpeɪl	i-m-p-ā-l	ㄧㄇㄅㄝㄧㄌ	刺穿
stung	stʌŋ	s-t-u-ng	ㄙㄉㄨㄥ	刺痛
stinging	ˈstɪŋɪŋ	s-t-i-ng-i-ng	ㄙㄉㄧㄥㄧㄥ	刺痛
stimulate	ˈstɪmjʊleɪt	s-t-i-m-y-oo-l-ā-t	ㄙㄉㄧㄇㄡㄡㄌㄝㄧㄉ	刺激
irritate	ˈɪrɪteɪt	i-r-i-t-ā-t	ㄧㄖㄧㄉㄝㄧㄉ	刺激
locust	ˈləʊkəst	l-ə-oo-k-ə-s-t	ㄌㄦㄡㄍㄦㄙㄉ	刺槐
acacia	əˈkeɪʃə	ə-k-ā-sh-ə	ㄦㄍㄝㄧㄕㄦ	刺槐
goad	gəʊd	g-ə-oo-d	ㄍㄦㄡㄉ	刺棒
assassins	əˈsæsɪnz	ə-s-a-s-i-n-z	ㄦㄙㄚㄙㄧㄋㄗ	刺客
whitewashers	ˈwaɪtwɒʃəz	w-ī-t-w-o-sh-ə-z	ㄨㄚㄧㄉㄨㄛㄕㄦㄗ	刷牆
refreshes	rɪˈfrɛʃɪz	r-i-f-r-é-sh-i-z	ㄖㄧㄈㄖㄜㄕㄧㄗ	刷新
refreshed	rɪˈfrɛʃt	r-i-f-r-é-sh-t	ㄖㄧㄈㄖㄜㄕㄉ	刷新
refresh	rɪˈfrɛʃ	r-i-f-r-é-sh	ㄖㄧㄈㄖㄜㄕ	刷新
leatherworker	leatherworker	l-ea-t-h-e-r-w-o-r-k-e-r	ㄌㄝㄚㄉㄏㄝㄖㄨㄛㄖㄍㄝㄖ	制皮
uniforms	ˈjuːnɪfɔːmz	yü-n-i-f-ô-m-z	ㄡㄨㄋㄧㄈㄛㄇㄗ	制服
uniform	ˈjuːnɪfɔːm	yü-n-i-f-ô-m	ㄡㄨㄋㄧㄈㄛㄇ	制服
subdued	səbˈdjuːd	s-ə-b-d-yü-d	ㄙㄦㄅㄉㄡㄨㄉ	制服
overpowered	ˌəʊvəˈpaʊəd	ə-oo-v-ə-p-o-w-ə-d	ㄦㄡㄈㄦㄅㄚㄡㄦㄉ	制服
instituted	ˈɪnstɪtjuːtɪd	i-n-s-t-i-t-yü-t-i-d	ㄧㄋㄙㄉㄧㄉㄡㄨㄉㄧㄉ	制定
subdues	səbˈdjuːz	s-ə-b-d-yü-z	ㄙㄦㄅㄉㄡㄨㄗ	制勝
reaching	ˈriːʧɪŋ	r-ē-ch-i-ng	ㄖㄧㄓㄧㄥ	到達
reaches	ˈriːʧɪz	r-ē-ch-i-z	ㄖㄧㄓㄧㄗ	到達
reached	riːʧt	r-ē-ch-t	ㄖㄧㄓㄉ	到達
arriving	əˈraɪvɪŋ	ə-r-ī-v-i-ng	ㄦㄖㄚㄧㄈㄧㄥ	到達
arrives	əˈraɪvz	ə-r-ī-v-z	ㄦㄖㄚㄧㄈㄗ	到達
arrived	əˈraɪvd	ə-r-ī-v-d	ㄦㄖㄚㄧㄈㄉ	到達
arrive	əˈraɪv	ə-r-ī-v	ㄦㄖㄚㄧㄈ	到達
arrival	əˈraɪvəl	ə-r-ī-v-ə-l	ㄦㄖㄚㄧㄈㄦㄌ	到達
everywhere	ˈɛvrɪweə	é-v-r-i-w-ã	ㄜㄈㄖㄧㄨㄝㄦ	到處
maturity	məˈtjʊərɪti	m-ə-t-y-ü-ə-r-i-t-ē	ㄇㄦㄉㄡㄡㄦㄖㄧㄉㄧ	到期
scrapings	ˈskreɪpɪŋz	s-k-r-ā-p-i-ng-z	ㄙㄍㄖㄝㄧㄅㄧㄥㄗ	刮出
athaliah	athaliah	a-t-h-a-l-ē-a-h	ㄚㄉㄏㄚㄌㄧㄚㄏ	利雅
lydda	lydda	l-y-d-d-a	ㄌㄩㄉㄉㄚ	利達
rekem	rekem	r-e-k-e-m	ㄖㄝㄍㄝㄇ	利肯
interests	ˈɪntrɪsts	i-n-t-r-i-s-t-s	ㄧㄋㄉㄖㄧㄙㄗ	利益
interest	ˈɪntrɪst	i-n-t-r-i-s-t	ㄧㄋㄉㄖㄧㄙㄉ	利益
recab	ˌriːˈkæb	r-ē-k-a-b	ㄖㄧㄍㄚㄅ	利甲
exploiting	ɪksˈplɔɪtɪŋ	i-k-s-p-l-o-ē-t-i-ng	ㄧㄍㄙㄅㄌㄛㄧㄉㄧㄥ	利用
exploited	ɪksˈplɔɪtɪd	i-k-s-p-l-o-ē-t-i-d	ㄧㄍㄙㄅㄌㄛㄧㄉㄧㄉ	利用
exploit	ˈɛksplɔɪt	é-k-s-p-l-o-ē-t	ㄜㄍㄙㄅㄌㄛㄧㄉ	利用
profits	ˈprɒfɪts	p-r-o-f-i-t-s	ㄅㄖㄛㄈㄧㄗ	利潤
profit	ˈprɒfɪt	p-r-o-f-i-t	ㄅㄖㄛㄈㄧㄉ	利潤
elishah	elishah	e-l-ē-s-h-a-h	ㄝㄌㄧㄙㄏㄚㄏ	利沙
sherebiah	sherebiah	s-h-e-r-e-b-ē-a-h	ㄙㄏㄝㄖㄝㄅㄧㄚㄏ	利比
spreads	sprɛdz	s-p-r-é-d-z	ㄙㄅㄖㄜㄉㄗ	利差
rehob	ˌriːˈhɒb	r-ē-h-o-b	ㄖㄧㄏㄛㄅ	利合
elkanah	elkanah	e-l-k-a-n-a-h	ㄝㄌㄍㄢㄚㄏ	利加
regem	ˌriːˈʤɛm	r-ē-y-é-m	ㄖㄧㄓㄜㄇ	利健
leah	leah	l-ea-h	ㄌㄝㄚㄏ	利亞
elsewhere	ˈɛlsˈweə	é-l-s-w-ã	ㄜㄌㄙㄨㄝㄦ	別處
perga	perga	p-e-r-g-a	ㄅㄝㄖㄍㄚ	別加
judgments	ˈʤʌʤmənts	y-u-y-m-ə-n-t-s	ㄓㄨㄓㄇㄣㄗ	判斷
judgment	ˈʤʌʤmənt	y-u-y-m-ə-n-t	ㄓㄨㄓㄇㄣㄉ	判斷
judging	ˈʤʌʤɪŋ	y-u-y-i-ng	ㄓㄨㄓㄧㄥ	判斷
judged	ˈʤʌʤd	y-u-y-d	ㄓㄨㄓㄉ	判斷
sentenced	ˈsɛntənst	s-é-n-t-ə-n-s-t	ㄙㄜㄋㄉㄣㄙㄉ	判刑
firstfruits	ˈfɜːstfruːts	f-û-s-t-f-r-ū-t-s	ㄈㄦㄙㄉㄈㄖㄨㄗ	初熟
levi	ˈliːvaɪ	l-ē-v-ī	ㄌㄧㄈㄚㄧ	列維
rowing	ˈrəʊɪŋ	r-ə-oo-i-ng	ㄖㄦㄡㄧㄥ	划船
criminal	ˈkrɪmɪnl	k-r-i-m-i-n-l	ㄍㄖㄧㄇㄧㄋㄌ	刑事
removal	rɪˈmuːvəl	r-i-m-ū-v-ə-l	ㄖㄧㄇㄨㄈㄦㄌ	切除
shredded	ˈʃrɛdɪd	sh-r-é-d-i-d	ㄕㄖㄜㄉㄧㄉ	切絲
severing	sɪˈvɪərɪŋ	s-i-v-ē-ə-r-i-ng	ㄙㄧㄈㄧㄦㄖㄧㄥ	切斷
severed	sɪˈvɪəd	s-i-v-ē-ə-d	ㄙㄧㄈㄧㄦㄉ	切斷
earnestly	ˈɜːnɪstli	û-n-i-s-t-l-ē	ㄦㄋㄧㄙㄉㄌㄧ	切實
cutting	ˈkʌtɪŋ	k-u-t-i-ng	ㄍㄨㄉㄧㄥ	切割
sort	sɔːt	s-ô-t	ㄙㄛㄉ	分類
classified	ˈklæsɪfaɪd	k-l-a-s-i-f-ī-d	ㄍㄌㄚㄙㄧㄈㄚㄧㄉ	分類
separating	ˈsɛpəreɪtɪŋ	s-é-p-ə-r-ā-t-i-ng	ㄙㄜㄅㄦㄖㄝㄧㄉㄧㄥ	分離
separated	ˈsɛpəreɪtɪd	s-é-p-ə-r-ā-t-i-d	ㄙㄜㄅㄦㄖㄝㄧㄉㄧㄉ	分離
separate	ˈsɛprɪt	s-é-p-r-i-t	ㄙㄜㄅㄖㄧㄉ	分離
detachment	dɪˈtæʧmənt	d-i-t-a-ch-m-ə-n-t	ㄉㄧㄉㄚㄓㄇㄣㄉ	分離
detachments	dɪˈtæʧmənts	d-i-t-a-ch-m-ə-n-t-s	ㄉㄧㄉㄚㄓㄇㄣㄗ	分隊
minutes	ˈmɪnɪts	m-i-n-i-t-s	ㄇㄧㄋㄧㄗ	分鐘
minute	ˈmɪnɪt	m-i-n-i-t	ㄇㄧㄋㄧㄉ	分鐘
distribution	ˌdɪstrɪˈbjuːʃən	d-i-s-t-r-i-b-yü-sh-ə-n	ㄉㄧㄙㄉㄖㄧㄅㄡㄨㄕㄣ	分配
distributes	dɪsˈtrɪbju(ː)ts	d-i-s-t-r-i-b-yü---t-s	ㄉㄧㄙㄉㄖㄧㄅㄡㄨㄗ	分配
assigning	əˈsaɪnɪŋ	ə-s-ī-n-i-ng	ㄦㄙㄚㄧㄋㄧㄥ	分配
assigned	əˈsaɪnd	ə-s-ī-n-d	ㄦㄙㄚㄧㄋㄉ	分配
assign	əˈsaɪn	ə-s-ī-n	ㄦㄙㄚㄧㄋ	分配
allotted	əˈlɒtɪd	ə-l-o-t-i-d	ㄦㄌㄛㄉㄧㄉ	分配
spoils	spɔːɪlz	s-p-ô-i-l-z	ㄙㄅㄛㄧㄌㄗ	分贓
split	splɪt	s-p-l-i-t	ㄙㄅㄌㄧㄉ	分裂
splintered	ˈsplɪntəd	s-p-l-i-n-t-ə-d	ㄙㄅㄌㄧㄋㄉㄦㄉ	分裂
distribute	dɪsˈtrɪbju(ː)t	d-i-s-t-r-i-b-yü---t	ㄉㄧㄙㄉㄖㄧㄅㄡㄨㄉ	分發
divided	dɪˈvaɪdɪd	d-i-v-ī-d-i-d	ㄉㄧㄈㄚㄧㄉㄧㄉ	分為
hairsbreadth	hairsbreadth	h-a-ē-r-s-b-r-ea-d-t-h	ㄏㄞㄖㄙㄅㄖㄝㄚㄉㄉㄏ	分毫
divides	dɪˈvaɪdz	d-i-v-ī-d-z	ㄉㄧㄈㄚㄧㄉㄗ	分歧
disagreements	ˌdɪsəˈgriːmənts	d-i-s-ə-g-r-ē-m-ə-n-t-s	ㄉㄧㄙㄦㄍㄖㄧㄇㄣㄗ	分歧
differences	ˈdɪfrənsɪz	d-i-f-r-ə-n-s-i-z	ㄉㄧㄈㄖㄣㄙㄧㄗ	分歧
analyze	ˈænəlaɪz	a-n-ə-l-ī-z	ㄚㄋㄦㄌㄚㄧㄗ	分析
marks	mɑːks	m-ä-k-s	ㄇㄚㄍㄙ	分數
scatter	ˈskætə	s-k-a-t-ə	ㄙㄍㄚㄉㄦ	分散
dispersed	dɪsˈpɜːst	d-i-s-p-û-s-t	ㄉㄧㄙㄅㄦㄙㄉ	分散
disperse	dɪsˈpɜːs	d-i-s-p-û-s	ㄉㄧㄙㄅㄦㄙ	分散
parted	ˈpɑːtɪd	p-ä-t-i-d	ㄅㄚㄉㄧㄉ	分手
distractions	dɪsˈtrækʃənz	d-i-s-t-r-a-k-sh-ə-n-z	ㄉㄧㄙㄉㄖㄚㄍㄕㄣㄗ	分心
distracting	dɪsˈtræktɪŋ	d-i-s-t-r-a-k-t-i-ng	ㄉㄧㄙㄉㄖㄚㄍㄉㄧㄥ	分心
elements	ˈɛlɪmənts	é-l-i-m-ə-n-t-s	ㄜㄌㄧㄇㄣㄗ	分子
childbirth	ˈʧaɪldbɜːθ	ch-ī-l-d-b-û-th	ㄓㄚㄧㄌㄉㄅㄦㄊ	分娩
birth	bɜːθ	b-û-th	ㄅㄦㄊ	分娩
partitioned	pɑːˈtɪʃənd	p-ä-t-i-sh-ə-n-d	ㄅㄚㄉㄧㄕㄣㄉ	分區
separation	ˌsɛpəˈreɪʃən	s-é-p-ə-r-ā-sh-ə-n	ㄙㄜㄅㄦㄖㄝㄧㄕㄣ	分割
separately	ˈsɛprɪtli	s-é-p-r-i-t-l-ē	ㄙㄜㄅㄖㄧㄉㄌㄧ	分別
distinction	dɪsˈtɪŋkʃən	d-i-s-t-i-ng-k-sh-ə-n	ㄉㄧㄙㄉㄧㄥㄍㄕㄣ	分別
distributions	ˌdɪstrɪˈbjuːʃənz	d-i-s-t-r-i-b-yü-sh-ə-n-z	ㄉㄧㄙㄉㄖㄧㄅㄡㄨㄕㄣㄗ	分佈
distributing	dɪsˈtrɪbju(ː)tɪŋ	d-i-s-t-r-i-b-yü---t-i-ng	ㄉㄧㄙㄉㄖㄧㄅㄡㄨㄉㄧㄥ	分佈
