och	and
skatterestitution	tax refund
skatteskala	tax scale
skatteskolk	tax evader
skatteskolkare	tax dodger
skatteskruv	tax screw
skatteskuld	tax debt
skattesmitning	tax evasion
skattesmäll	tax hit
skattesänkning	tax reduction
skattetabell	tax table
skatteteknisk	tax technical
skattetänkande	tax thinking
skatteunderlag	tax base
skatteuppbörd	tax collection
skatteutjämning	tax equalization
skatteuttag	tax withdrawal
Skatteverket	Tax Agency
skatteväsen	tax authority
skattgrävare	treasure digger
skattjakt	treasure hunt
skattkammarväxel	treasury bill
Skattkammarön	Treasure Island
skattkista	treasure chest
skattletare	treasure hunter
skavning	chafing
skedblad	spoon blade
skedskaft	spoon handle
skedvatten	spoon water
skeet	the spoon
skelettartad	skeletal
skelettcancer	bone cancer
skelettdel	skeletal part
skeletthus	skeleton house
skelning	squint
skelögd	cross-eyed
skelögdhet	strabismus
skenande	rampant
skenanfall	feigned seizure
skenargument	mock argument
skenavrättning	mock execution
skenavtal	sham agreement
skenbarligen	apparently
skendebatt	mock debate
skendemokrati	sham democracy
skendomstol	mock court
skendrabbning	mock collision
skendräktighet	feigned pregnancy
skendränkning	mock immersion
skenfirma	sham company
skenfäkta	mock fencing
skenföretag	sham company
skengalen	the rascal
skengraviditet	false pregnancy
skenhelighet	hypocrisy
skenkristen	the false Christ
skenköp	sham purchase
skenliv	pretend life
skenlösning	sham solution
skenmanöver	mock maneuver
skenproblem	sham problem
skenprocess	sham process
skenrättegång	mock trial
skenskarv	dummy joint
skentillvaro	sham existence
skenäktenskap	sham marriage
skepparkavaj	skipper jacket
skeppning	shipping
skeppningsdokument	shipping documents
skeppningsklar	ready to ship
skeppningskostnader	shipping costs
skeppningsmöjlighet	shipping option
skeppningsort	place of shipment
skeppsbesättning	ship's crew
skeppsbyggare	shipbuilder
skeppsbygge	shipbuilding
skeppsbyggeri	shipbuilding
skeppsbyggnad	shipbuilding
skeppsbyggnadsingenjör	shipbuilding engineer
skeppsbyggnadskonst	shipbuilding art
skeppsdagbok	ship's logbook
skeppsdocka	ship's dock
skeppsdäck	ship's deck
skeppsfart	shipping
skeppsfurnerare	ship veneerer
skeppsförnödenheter	ship supplies
skeppshandlingar	ship documents
skeppskock	ship's cook
skeppskompass	ship's compass
skeppslanterna	the ship's lantern
skeppslast	ship cargo
skeppslucka	ship's hatch
skeppslägenhet	ship apartment
skeppsläkare	ship's doctor
skeppspapper	ship paper
skeppsproviant	ship's provisions
skeppspräst	ship's chaplain
skeppsrederi	shipping company
skeppsregister	ship register
skeppssida	ship side
skeppsvarv	shipyard
skeppsvrak	shipwreck
skevbent	crooked
skevhet	skewness
skevning	warping
skevningsstag	skew brace
skevt	crooked
skibob	ski bobsled
skidbacke	ski slope
skidbindning	ski binding
skidbox	ski box
skidbyxor	ski pants
skiddräkt	ski suit
skidentusiast	skiing enthusiast
skidfodral	ski case
skidfrukt	ski fruit
skidfärd	ski trip
skidföre	ski driver
skidglasögon	ski goggles
skidhandske	ski glove
skidlärare	ski instructor
skidlöpare	skier
skidlöpning	cross-country skiing
skidmössa	ski cap
skidorientering	ski orienteering
skidort	ski resort
skidoverall	ski overalls
skidpjäxa	ski boot
skidsemester	ski holiday
skidsko	ski boot
skidskola	ski school
skidskrapa	ski scraper
skidstafett	ski relay
skidstavskringla	ski pole pretzel
skidställ	ski rack
skidsäsong	ski season
skidterräng	ski terrain
skidtolkning	ski interpretation
skidtur	ski trip
skidtävling	ski competition
skiduthyrning	ski rental
skidutrustning	ski equipment
skidvalla	ski slope
skidåkare	skier
skifferartad	slaty
skifferbrott	shale quarry
skiffergrå	slate grey
skifferplatta	slate plate
skiffertavla	slate board
skiffertäcka	slate cover
skiffra	slate
skiftande	changing
skiftarbete	shift work
skiftesvis	alternately
skiftlås	shift lock
skifttangent	shift key
skiktad	layered
skiljbar	separable
skiljedomstol	arbitration court
skiljemärke	punctuation mark
skiljning	divorce
skilsmässoansökan	divorce application
skilsmässobarn	children of divorce
skilsmässoorsak	cause of divorce
skilsmässoprocess	divorce proceedings
skimmerfjäril	shimmer butterfly
skingringsförbud	dispersal ban
skinit	shined
skinklåda	ham box
skinkomelett	Ham omelette
skinksmörgås	ham sandwich
skinnbesatt	skin-obsessed
skinnbyxor	leather pants
skinnfoder	leather lining
skinnfodrad	leather lined
skinnfåtölj	leather armchair
skinnhandske	leather glove
skinnjacka	leather jacket
skinnklädd	leather clad
skinnklädsel	leather upholstery
skinnkrage	leather collar
skinnmöbel	leather furniture
skinn- och benfri	skin and boneless
skinnrygg	leather back
skinnsoffa	leather sofa
skinnställ	leather stand
skinnvaror	leather goods
skioptikonapparat	ski opticon apparatus
skioptikonbild	ski optic icon image
skissartad	sketchy
skissbok	sketchbook
skitbra	shit good
skitdålig	crappy
skitfull	shitty
skitförbannad	pissed off
skithus	shithouse
skitit	crap
skitjobb	crap job
skitkul	shit fun
skiträdd	scared shitless
skitskraj	bullshit
skitsnygg	gorgeous
skitsur	shitty
skitunge	shit kid
skivad	sliced
skivaffär	record store
skivalbum	record album
skivarkiv	record archive
skivbolag	record label
skivbytare	disc changer
skivdebut	record debut
skivfodral	disc case
skivhjul	disc wheel
skivinspelning	disc recording
skivkontrakt	record contract
skivkoppling	disc clutch
skivmärke	record label
skivomslag	album cover
skivsamlare	record collector
skivsamling	record collection
skjortblusklänning	shirt blouse dress
skjortfabrik	shirt factory
skjortknapp	shirt button
skjortkrage	shirt collar
skjortlinning	shirt waistband
skjortskräddare	shirt tailor
skjorttyg	shirting
skjutande	shooting
skjutbar	pushable
skjutfärdighet	marksmanship
skjutfönster	sliding window
skjutgalen	shooting maniac
skjutglad	happy to shoot
skjuthastighet	rate of fire
skjutjärnsjournalistik	bulletproof journalism
skjutlucka	sliding hatch
skjutläge	shooting mode
skjutmask	shooting mask
skjutmotstånd	shooting resistance
skjutning	shooting
skjutreglage	slider
skjutriktning	shooting direction
skjutskicklighet	marksmanship
skjuttelefon	push phone
skjuttävling	shooting competition
skjututbildning	shooting training
skjutvarning	shooting alert
skjutövning	shooting practice
skoaffär	shoe store
skoavdelning	shoe department
skoband	shoelace
skoborstare	shoe brush
skoborste	shoe brush
skobutik	shoe store
skofabrik	shoe factory
skogbeväxt	forest cover
skogfattig	forest poor
skoglös	forestless
skogrik	woody
skogsallmänning	forest general
skogsarbete	forestry work
skogsavverkning	logging
skogsbacke	forest hill
skogsbestånd	forest stocks
skogsbrukslinje	forestry line
skogschampinjon	forest mushroom
skogsdjur	forest animal
skogsdunge	grove
skogseld	forest fire
skogsfågel	forest bird
skogsgud	forest god
skogshallon	forest raspberry
skogshare	forest hare
skogsindustri	forest industry
skogskatt	forest tax
skogsklematis	forest clematis
skogsklöver	wood clover
skogslandskap	forest landscape
skogsluft	forest air
skogsmark	woodland
skogsmyra	forest ant
skogsmård	forest marten
skogsmänniska	forest person
skogsnatur	forest nature
skogsnymf	forest nymph
skogsnäva	forest fist
skogsodling	forestry
skogsområde	wooded area
skogsparti	forest lot
skogsplantering	afforestation
skogsrik	forested
skogssjö	forest lake
skogsskola	forest school
skogsskötsel	forestry
skogsskövling	deforestation
skogssmultron	forest crumb
skogssnigel	wood snail
skogssnäppa	Woodcock
skogssork	forest vole
skogsstig	forest path
Skogsstyrelsen	The Norwegian Forestry Agency
skogstjärn	forest star
skogstrakt	forest area
skogstroll	forest troll
skogsvetenskap	forest science
skogsvård	forestry
skogsåverkan	forest impact
skogsäng	forest bed
skoindustri	shoe industry
skojarfirma	prank company
skokartong	shoe box
skolad	trained
skolagning	school preparation
skolavgift	school fee
skolbal	prom
skolbetyg	school grades
skolbibliotek	school library
skolbildande	school formation
skolbildning	schooling
skolbruk	school use
skolbyggnad	school building
skoldags	school day
skoldemokrati	school democracy
skoldisko	school disco
skolengelska	school english
skolexpedition	school office
skolferier	school holidays
skolflicksaktig	schoolgirlish
skolform	school form
skolföreståndare	school principal
skolförhållanden	school conditions
skolhälsovård	school health care
skolkamrat	schoolmate
skolkatalog	school directory
skolklass	school class
skolkontor	school office
skolkunskaper	school knowledge
skolkurator	school counselor
skolleda	head of school
skollov	school holidays
skollunch	school lunch
skolläkare	school doctor
skollärare	schoolteacher
skolman	schoolboy
skolmat	school food
skolmateriel	school supplies
skolmatsal	school cafeteria
skolmedicin	school medicine
skolmognad	school age
skolmyndighet	school authority
skolmässig	scholastic
skolmästarton	schoolmaster cartoon
skolmästerskap	school championship
skolmössa	school cap
skolpliktig	school compulsory
skolpojke	schoolboy
skolpojksaktig	schoolboyish
skolpolitik	school policy
skolpsykolog	school psychologist
skolreform	school reform
skolridning	school riding
skolritt	school ride
skolrum	school room
skolschema	school schedule
skolsjuka	school sickness
skolsköterska	school nurse
skolstadga	school charter
skolstart	start of school
skolsystem	school system
skoltandläkare	school dentist
skoltandvård	school dental care
skolteater	school theater
skoltid	school
skoltidning	school newspaper
skoltimme	school hour
skoltrötthet	school fatigue
skol-tv	school television
skoltvång	compulsory schooling
skolundervisning	school teaching
skoluniform	school uniform
skolupplaga	school edition
skolvaktmästare	school janitor
Skolverket	School Board
skolväsen	school system
skolväska	school bag
skolålder	school age
skolämne	school subject
skolöverläkare	school superintendent
Skolöverstyrelsen	School board
skomakarbeck	cobbler's pitch
skomakarverkstad	shoemaker's workshop
skontvätt	gentle wash
skoputsning	shoe shine
skoreparation	shoe repair
skorpsmulor	crust crumbs
skorrande	squeaky
skorrning	scorching
skorstensbrand	chimney fire
skorstenseld	chimney fire
skorstensmur	chimney wall
skorstenspipa	chimney pipe
skorstensrök	chimney smoke
skorstensstock	chimney log
skospänne	shoe buckle
skosula	shoe sole
skosvärta	shoe black
skottdrama	shooting drama
skottehistoria	Scottish history
skottfri	shot free
skotthål	bullet hole
Skottland	Scotland
skottläge	shooting mode
skottmånad	leap month
skottning	shoveling
skottriktning	shot direction
skottsalva	salvo
skottskada	gunshot wound
skottsår	gunshot wound
skottverkan	shot action
skottvidd	shooting range
skottväxling	shot exchange
skovelhjul	paddle wheel
skrake	merganser
skrankor	counters
skrapjärn	scraping iron
skrapsår	scrapes
skrattagen	laughing days
skrattanfall	fits of laughter
skrattfågel	laughing bird
skrattlust	laughter
skrattmuskel	laughing muscle
skrattparoxysm	paroxysm of laughter
skrattrynkor	laugh lines
skrattsjuk	sick with laughter
skrattsuccé	roaring success
skridit	crawled
skridskois	ice skating
skridskosegel	skate sail
skridskoskydd	skate protection
skridskotur	skating tour
skridskotävling	skating competition
skridskoåkare	ice skater
skrifta	shrive
skriftenlig	scriptural
skriftexpert	writing expert
skriftprov	written test
skriftserie	writing series
skriftspråksform	written language form
skriftsystem	writing system
skrifttolkning	scriptural interpretation
skriftväxling	font exchange
skrivande	writing
skrivarbete	writing work
skrivarkurs	writing course
skrivarpapper	printer paper
skrivbiträde	writing assistant
skrivblock	writing pad
skrivblockering	write blocking
skrivbordsalmanacka	desktop almanac
skrivbordsarbete	desk work
skrivbordsbolag	desk company
skrivbordsfunderingar	desk musings
skrivbordslampa	desk lamp
skrivbordslåda	desk drawer
skrivbordsprodukt	desktop product
skrivbordsstol	desk chair
skrivbordsstrateg	desktop strategist
skrivbordsställ	desk stand
skrivbordsunderlägg	desktop wallpaper
skrivcentral	writing center
skrivgöromål	writing goals
skrivhjul	writing wheel
skrivhjälp	writing help
skrivhuvud	printhead
skrivkonst	writing art
skrivkunnighet	writing skills
skrivlag	writing team
skrivmaskinsbord	typewriter table
skrivmaskinspapper	typewriter paper
skrivmaskinsvals	typewriter roller
skrivmateriel	writing material
skrivpapper	writing paper
skrivportfölj	writing portfolio
skrivpulpet	the desk
skrivregler	writing rules
skrivrättighet	write permission
skrivsal	writing room
skrivskydd	write protection
skrivskyddad	read-only
skrivställ	writing stand
skrivunderlägg	writing pad
skrivvakt	desk clerk
skrivövning	writing exercise
skrockfullhet	completeness
skrolla	scroll
skrotfärdig	scrap ready
skrothandel	scrap trade
skrothandlare	scrap dealer
skrotmejsel	scrap chisel
skrotupplag	scrap yard
skrovlighet	huskiness
skrubbhyvel	scrub plane
skrubbkräm	scrub cream
skruvboll	screw ball
skruvborr	screw drill
skruvbroms	screw brake
skruvbult	screw bolt
skruvfjäder	coil spring
skruvformig	helical
skruvgänga	screw thread
skruvhopp	bolt jump
skruvhuvud	screw head
skruvkork	screw cap
skruvlock	screw cap
skruvmutter	screw nut
skruvpenna	screw pen
skruvögla	screw eye
skrymmande	bulky
skrymtande	boasting
skrynklas	creased
skrytbil	brag car
skrytbygge	bragging rights
skrålig	shrill
skråmässig	clan-like
skråpuksansikte	sloppy face
skråsystem	guild system
skräckblandad	mixed with horror
skräckfylld	filled with horror
skräckfärd	horror ride
skräckhistoria	horror story
skräckkammare	horror chamber
skräckkänsla	sense of dread
skräcknovell	horror short story
skräckroman	horror novel
skräckromantik	horror romance
skräckscen	horror scene
skräckscenario	horror scenario
skräckskildring	horror portrayal
skräckstämning	horror mood
skräddargesäll	tailor's journeyman
skräddarkrita	tailor's chalk
skräddarmästare	master tailor
skräddarsydd	tailored
skräddaryrke	tailoring profession
skrämselmetod	intimidation method
skrämselpropaganda	scaremongering
skrämseltaktik	scare tactics
skränfri	slope-free
skräpbod	junk shed
skräpkammare	junk chamber
skräplitteratur	junk literature
skräpmat	junk food
skräppost	spam
skräppåse	garbage bag
skräprum	junk room
skräpsak	junk thing
skrävlig	awful
skuffas	get pushed
skuggboxas	shadow boxed
skuggfigur	shadow figure
skuggfri	shadow free
skugglik	shadowy
skuggliv	shadow life
skuggning	shading
skuggrädd	afraid of shadows
skuggrädsla	fear of shadows
skuggtillvaro	shadow existence
skuggvärld	shadow world
skuggväxt	shade plant
skuldbelopp	debt amount
skuldbörda	debt burden
skulderparti	shoulder part
skuldfordran	debt claim
skuldfråga	debt issue
skuldfälla	debt trap
skuldförbindelse	debt obligation
skuldkomplex	guilt complex
skuldkonto	liability account
skuldkänsla	guilt
skuldmedvetenhet	guilt consciousness
skuldmärkt	debt marked
skuldpost	debt item
skuldregister	debt register
skuldsedel	promissory note
skuldsumma	amount owed
skuldsättning	indebtedness
skuldtak	debt ceiling
skuldtyngd	burdened with guilt
skulltork	skull dryer
skumbildning	foam formation
skumbubbla	foam bubble
skumgummimadrass	foam rubber mattress
skummjölksost	skimmed milk cheese
skumraskaffär	quick deal
skumraskfigur	twilight figure
skurborste	scrub brush
skurduk	scouring pad
skurgumma	scumbag
skurkaktig	villainous
skurkaktighet	villainy
skurkroll	villain role
skurkstat	rogue state
skurmedel	scouring agent
skuttare	shooter
skvalande	chattering
skvalleraktighet	gossip correctness
skvallerhistoria	gossip story
skvallerhåla	gossip den
skvallerkrönika	gossip column
skvallerkrönikör	gossip columnist
skvallerkåsör	gossip monger
skvallerkäring	gossip girl
skvallerrör	overflow pipe
skvallertagen	gossipy
skvallertidning	gossip magazine
skvallerväg	gossip route
skvättbord	splash table
skyddsande	protective spirit
skyddsanordning	protective device
skyddsdräkt	protective suit
skyddsföreskrift	protection regulation
skyddsgaller	protective grid
skyddsglasögon	protective glasses
skyddshjälm	protective helmet
skyddshäkte	protective custody
skyddskläder	protective clothing
skyddskommitté	protection committee
skyddskåpa	protective cover
skyddsmakt	protection power
skyddsmärke	protection mark
skyddsobjekt	protection object
skyddsomslag	protective cover
skyddsrock	protective coat
skyddsuppfostran	protective upbringing
skyddsutrustning	protective equipment
skyddsväst	protective vest
skyddsympning	protective vaccination
skyddsåtgärd	protective measure
skyddsöverdrag	protective cover
skyfallsliknande	downpour-like
skygghet	shyness
skygglappar	blinders
skyldighetsdans	obligation dance
skyldighetsvisit	duty visit
skylift	sky lift
skyltexemplar	sign copy
skyltskåp	display cabinet
skyltvakt	sign guard
skymfligen	shamefully
skymningstimme	twilight hour
skypa	skype
skytisk	Scythian
skytteförening	rifle club
skyttekompani	shooting company
skyttemärke	shooting mark
skyttetävling	shooting competition
skådelysten	the desire to act
skådespelarbana	acting career
skådespelartalang	acting talent
skådespelsförfattare	playwright
skålad	toasted
skålankare	cup anchor
skålformig	bowl-shaped
skålig	cupped
skåljärn	cast iron
skåpdörr	cabinet door
skåplucka	cupboard door
skåpsmak	cupboard taste
skåpsupare	cupboard cleaner
skägglös	beardless
skäggmes	bearded tit
skäggprydd	beard trim
skäggriska	bearded
skäggsimpa	beard dip
skäggstrå	stubble
skäggväxt	beard growth
skäkt	joke
skälighet	reasonableness
skälmaktighet	reasonableness
skälmstycke	scrap piece
skälvning	tremor
skämmig	shameful
skämtartikel	joke article
skämthistoria	joke story
skämtsamhet	jocularity
skämtsamt	jokingly
skämtserie	joke series
skämttecknare	joke cartoonist
skämttidning	joke magazine
skänkdisk	sideboard
skänkrum	sideboard
skärgårdsbo	archipelago dweller
skärgårdsmiljö	archipelago environment
skärmanordning	screen device
skärmaskin	cutting machine
skärmbildsfotografera	screenshot capture
skärmblad	screen sheet
skärmdump	screenshot
skärmflygare	paraglider
skärmflygning	paragliding
skärmmössa	screen cap
skärmsegling	parasailing
skärmtak	canopy
skärningslinje	intersection line
skärpeinställning	focus setting
skärpning	sharpening
skärpspänne	belt buckle
skärrad	cut row
skärskådande	sharp-sighted
skärsnultra	cutting ultrasound
skärsår	cut
skärtand	incisor
skärverktyg	cutting tool
skärvinkel	cutting angle
sköldbagge	turtle
sköldformig	shield-shaped
sköldpaddsimitation	turtle imitation
sköldpaddskam	tortoise shell
sköldpaddsskal	tortoise-shell
sköldpaddssoppa	turtle soup
sköljmaskin	rinsing machine
sköljmedel	fabric softener
sköljskål	rinse bowl
sköljvatten	rinse water
skönhetsdyrkan	the worship of beauty
skönhetsdyrkare	beauty worshipper
skönhetsexpert	beauty expert
skönhetsideal	beauty ideal
skönhetsinstitut	beauty institute
skönhetsklinik	beauty clinic
skönhetskräm	beauty cream
skönhetskult	cult of beauty
skönhetsoperation	cosmetic surgery
skönhetssalong	beauty salon
skönhetssinne	sense of beauty
skönhetsupplevelse	beauty experience
skönhetsvård	beauty care
skönmålning	fine painting
skönstaxering	discretionary assessment
skördepermission	harvest leave
skördeutsikter	harvest prospects
skörta	skirt
sköterskedräkt	nurse outfit
sköterskeelev	nursing student
sköterskeutbildning	nursing education
skötsamhet	housekeeping
skötselanvisning	care instructions
skötselråd	care advice
slabbgöra	slack off
sladderaktig	gossipy
sladderkäring	gossiping
sladdfri	cordless
sladdharv	cord harrow
sladdkrock	cord clash
sladdlös	cordless
sladdmärke	cord brand
sladdolycka	cord accident
sladdspår	wiring trace
sladdvinda	cable winding
slagfalk	peregrine falcon
slagfjäder	shock spring
slagfärdighet	batting skill
slaggbetong	slag concrete
slaggbildning	slag formation
slagghög	slag heap
slaggklump	lump of slag
slaghållfasthet	impact strength
slagkryssare	battlecruiser
slaglax	smoked salmon
slaglinje	stroke line
slagman	batsman
slagruteman	diviner
slagräknare	stroke counter
slagskott	impact shot
slagstift	firing pin
slagtålighet	impact resistance
slagur	punch clock
slaktarkniv	butcher knife
slaktboskap	slaughter cattle
slakteriaffär	butcher shop
slakteriarbetare	slaughterhouse worker
slaktfärdig	ready for slaughter
slalombacke	slalom slope
slalompjäxa	slalom boot
slalomsko	slalom shoe
slalomtävling	slalom competition
slalomåk	slalom skiing
slalomåkare	slalom skier
slalomåkning	slalom skiing
slammig	muddy
slamning	slamming
slamrig	muddy
slangmunstycke	hose nozzle
slangord	slang word
slangspråk	slang language
slanguttryck	slang expression
slankhet	slenderness
slantsingling	coin single
slantspö	penny stick
slappas	relax
slarvmaja	sloppiness
slaskband	slack band
slaskfil	slush file
slaskhink	slush bucket
slaskrör	slush pipe
slaskvatten	slush water
slaskväder	slushy weather
slavauktion	slave auction
slavgöra	enslave
slavkontrakt	slave contract
slavliv	slave life
slavlön	slave wage
Slavonien	Slavonia
slavpiska	slave whip
slavskepp	slave ship
slavättling	slave descendant
slejfsko	slipper shoe
slemavsöndrande	pituitary
slemavsöndring	mucus secretion
slemfisk	slime fish
slemhinneinflammation	mucositis
slemklump	lump of mucus
slemkörtel	mucous gland
slemsvampar	slime fungi
slentrianmässig	casual
slentrianmässigt	casually
sliddersladder	slipper gossip
slide-telefon	slide phone
slidkatarr	catarrh of the vagina
slidkrans	sheath ring
slingbacksko	slingback shoe
slingerväg	winding road
slingmönster	loop pattern
slingrande	meandering
slingring	meandering
slingvävnad	loop tissue
slipduk	sanding cloth
slipmaskin	grinding machine
slipmedel	abrasives
slippapper	sandpaper
slippasta	sanding paste
slipshållare	tie holder
slipskiva	grinding wheel
slipsklädd	wearing a tie
slipsnål	tie pin
slirfri	non-slip
slirning	slipping
slitbanemönster	tread pattern
slit-och-slängmentalitet	wear-and-throw mentality
slit-och-slängsamhället	the wear and tear society
slit-och-slängvara	wear and tear
slitsad	slotted
slitskydd	abrasion protection
slitstyrka	wear resistance
slitsula	outsole
slokig	sloppy
slopande	sloppily
slottsbyggnad	castle building
slottsfogde	castle bailiff
slottsförvaltare	castle manager
slottsgård	castle yard
slottskapell	castle chapel
slottsknekt	castle knave
slottskyrka	castle church
slottslik	castle-like
slottsliknande	castle-like
slottsruin	castle ruin
Slovakien	Slovakia
Slovenien	Slovenia
slowmotion	slow motion
slukhål	sinkhole
slumkvarter	slums
slumområde	slum area
slumpbetonad	randomized
slumpparti	random lot
slumppris	random price
slumsanering	slum clearance
slungsten	sling stone
slusker	slurps
slussavgift	lock fee
slussbassäng	lock basin
slusskammare	lock chamber
slusslucka	sluice gate
slussning	sluicing
slussport	sluice gate
slussvakt	lock guard
slussventil	gate valve
slutackord	final chord
slutakt	final act
slutanmärkning	final note
slutavräkning	final settlement
slutbehandla	finalize
slutbetala	final payment
slutbetalning	final payment
slutbetyg	final grade
slutbokstav	final letter
slutbud	final bid
slutdatum	end date
slutdebatt	final debate
slutexamen	final exam
slutfas	final phase
slutfras	closing sentence
slutförsälja	final sale
slutförsäljning	final sale
sluthastighet	final speed
slutjustera	final adjust
slutjustering	final adjustment
slutkapitel	final chapter
slutkommuniké	final communiqué
slutkontroll	final check
slutkurs	final course
slutledningsförmåga	reasoning skills
slutleverans	final delivery
slutlikvid	final liquidation
slutlopp	final race
slutmål	end goal
slutnotering	final note
slutnummer	final number
slutomdöme	final judgment
slutomgång	final round
slutprodukt	final product
slutprov	final exam
slutpsalm	final psalm
slutrapport	final report
slutredigera	final edit
slutredovisning	final report
slutreglering	final regulation
slutreplik	closing remarks
sluträkning	final bill
slutscen	final scene
slutsedel	final note
slutskattsedel	final tax bill
slutskede	final stage
slutstation	end station
slutstavelse	final syllable
slutsträcka	final stretch
slutsälja	sell out
sluttendens	end trend
sluttningshus	hillside house
sluttävlan	the final competition
slutuppgörelse	final settlement
slutvotering	final vote
slutänden	end end
slynaktig	sleazy
slyngelaktig	mischievous
slyngelåldern	the rogue age
slyngelåren	the rascal years
slynig	sleazy
slynåldern	the old age
slynåren	the squint
slånbuske	sloe bush
slånbärsbuske	sloeberry bush
slånbärslikör	lingonberry liqueur
slåtterfolk	reapers
slåttertid	mowing time
slåttervall	mowing embankment
slåtteräng	hay meadow
släckning	quenching
släckningsarbete	extinguishing work
släckningsdags	extinguishing day
släckningsförsök	extinguishment attempt
släckningsredskap	extinguishing equipment
slädfärd	sleigh ride
slädföre	sled driver
slädåkning	sledding
släggkastare	hammer thrower
släggkastning	hammer throw
släktfejd	family feud
släktforska	genealogy
släktforskare	genealogist
släktförbindelser	family ties
släktförhållande	family relationship
släktgods	family heirlooms
släktkalas	family feast
släktkalender	family calendar
släktklenod	family heirloom
släktkänsla	sense of family
släktkär	relatives
släktkärlek	family love
släktmiddag	family dinner
släktmöte	family meeting
släktroman	the family novel
släktskapsförhållande	kinship relationship
släktträff	family reunion
släpjakt	tow hunt
släpnät	trawl net
släpphänthet	indulgence
släpring	drag ring
släpsko	tow shoe
släpärter	trailing peas
slätbladig	smooth-leaved
slätborrad	smooth drilled
slätborrning	smooth drilling
slätfila	smooth file
slätharv	smooth harrow
släthet	smoothness
släthugga	smooth cut
släthyvel	smooth plane
släthyvla	smooth plane
slätkamma	smooth comb
slätlopp	smooth race
slätrakad	clean shaven
slätskonare	smooth schooner
slätsnok	smooth
slätstrukenhet	smoothness
slätsöm	smooth stitch
slättbo	plain dweller
slättbygd	plains
slättland	plains
slöhet	lethargy
slöjdaffär	handicraft shop
slöjdalster	craftsman
slöjdans	craft dance
slöjdlärare	crafts teacher
slöjdsal	craft room
slösaktighet	lavishness
slötittare	slot watcher
smackning	smacking
smakbortfall	loss of taste
smakfråga	matter of taste
smakfullhet	palatability
smakfullt	tasteful
smakförfining	taste refinement
smakförnimmelse	sense of taste
smakförsämring	taste impairment
smaklöst	tasteless
smaknerv	taste nerve
smakorgan	organ of taste
smakriktning	taste direction
smaksensation	taste sensation
smaktillsats	seasoning
smalaxlad	narrow shouldered
smalbent	narrow-legged
smalfilmskamera	narrow film camera
smalhalsad	narrow-necked
smalhus	narrow house
smalkost	snack food
smalrandig	narrow-striped
smalända	narrow end
smalände	narrow end
smalögd	narrow-eyed
smaragdödla	emerald lizard
smartcard	smart card
smartmobil	smartphone
smarttelefon	smartphone
smetfri	smear-free
smidbar	malleable
smidbarhet	malleability
smidd	forged
smidesarbete	forging work
smideskol	blacksmith school
smidesugn	forge furnace
smidesvaror	forged goods
smidesverkstad	blacksmith shop
smidighet	flexibility
smilare	smiler
sminkare	makeup artist
sminkburk	makeup jar
sminkning	make-up
sminkspegel	makeup mirror
sminkstång	makeup stick
sminkväska	makeup bag
smitare	quitter
smitning	contagion
smittande	catching
smittfara	risk of infection
smittfarlig	contagious
smittfri	infection free
smittförande	contagious
smittkoppsvaccin	smallpox vaccine
smittkurva	infection curve
smittobärare	carrier of infection
smittofara	risk of infection
smittofarlig	contagious
smittofri	infection free
smittokälla	source of infection
smittorisk	risk of infection
smittosam	contagious
smittospridare	spreader of infection
smittotillfälle	chance of infection
smittoämne	infectious agent
smittoöverföring	disease transmission
smittrisk	risk of infection
Smittskyddsinstitutet	The Institute for Infection Control
smittskyddslag	infection control law
smittskyddslagen	the Infection Protection Act
smittskyddsläkare	infection control doctor
smittspridare	spreader of infection
smittspridning	spread of infection
smittspårning	infection tracking
sms:a	sms
sms-lån	sms loan
smuggelförsök	smuggling attempt
smuggelgods	contraband
smuggelliga	contraband
smuggelsprit	contraband liquor
smuggeltrafik	contraband traffic
smulpaj	cobbler
smulte	crumbled
smultronfärgad	marshmallow colored
smutsbrun	dirty brown
smutsfläck	dirt stain
smutsgul	dirty yellow
smutsgöra	make dirty
smutsrand	streak of dirt
smyckeskrin	jewelry box
smyckesten	jewelry stone
smygande	insidious
smyghandel	smuggling
smyghöjning	stealth raise
smygkontorisera	stealthily contortize
smygkontorisering	stealth accounting
smyglyssna	eavesdropping
smygläsa	sneak peek
smygmaska	stealth mask
smygpropaganda	stealth propaganda
smygreklam	stealth advertising
smygröka	sneak smoke
smygsocialisering	stealth socialization
smygsupa	sneaky soup
smygtitta	sneak peek
smygtittare	eavesdropper
småaktighet	pettiness
småannons	classified ad
småbakelse	small pastry
småbarnsaktig	childish
småbarnsfamilj	family with small children
småbarnsförälder	parent of young children
småbekymmer	little worries
småbelopp	small amounts
småbildsprojektor	thumbnail projector
småblad	leaflets
småbord	small table
smådetalj	small detail
smådjävul	little devil
smådopping	small dipping
smådugga	tiny bit
småelak	mean
småfel	small errors
småfisk	fry
småflickor	little girls
småfrusen	little frozen
småfrysa	small freezer
småfull	petty drunk
småfurste	little prince
smågalen	little crazy
smågata	small street
småglimtar	small glimpses
smågnabbas	little boys
smågnola	small gnola
smågris	piglet
smågräla	petty quarrel
småhagel	small hail
småhosta	whooping cough
småhusbebyggelse	single-family housing development
småindustri	cottage industry
småinvesterare	small investors
småjobb	small jobs
småklasser	small classes
småkoka	simmer
småkonung	little king
småkort	small cards
småkrig	petty war
småkrullig	curly
småkrämpor	small ailments
småljuga	small yoke
smålom	small lom
