از	From	z
ندانستیم،	We didn't know,	ndnstym,
فهمد؟	Do you understand?	fhmd?
بیفتدخواهد	It will happen.	byftdkhwhd
بامفسدان	Corrupt	bmfsdn
خواهدبرخاست،	Will rise,	khwhdbrkhst,
اونفرت	Onfert	wnfrt
نمایندشادمانی	Representative of happiness	nmyndshdmny
بوسد	Kissed	bwsd
درملک	Dramlak	drmlkh
بالبهای	Valuable	blbhy
میرویید،	You are leaving,	myrwyyd,
وخس	Wachs	wkhs
میپوشانید،	You cover,	mypwshnyd,
دیوارسنگیش	Stone wall	dywrsngysh
ونیازمندی	And need	wnyzmndy
عمقش،	Its depth,	`mqsh,
زرگربیرون	Goldsmith Outside	zrgrbyrwn
تاکرسی	Tuckersy	tkhrsy
درآخرش	Finally	drakhrsh
ندانی	You don't know.	ndny
رازدیگری	Secret	rzdygry
وبدنامی	Webname	wbdnmy
مرصعکاری	Inlay work	mrS`khry
شنوا،	Listener,	shnw,
بخششهای	Donations	bkhshshhy
بیباران	Rainless	bybrn
تونفرت	Tonfert	twnfrt
تبرزین	Tabriz	tbrzyn
دلتنگ،	to miss someone,	dltng,
ازبودن	Existence	zbwdn
سردبرای	Cold for	srdbry
درحصاد،	In the harvest,	drHSd,
پریدن	Jumping	prydn
مباداتو	Mobadato	mbdtw
مباداخویشتن	Don't be shy.	mbdkhwyshtn
بیتمکین	Bitmikian	bytmkhyn
ومثلی	And so on.	wmthly
رااجیر	Hired	rjyr
خودحکیم	Self-righteous	khwdHkhym
اوبیشتر	More	wbyshtr
اسددر	Asadur	sddr
پاشنهاش	His heels	pshnhsh
ازبرآوردن	To carry out	zbrawrdn
شوخی	Joke	shwkhy
ازنبودن	Absence	znbwdn
پرمحبت	Loving	prmHbt
پردرد	Very painful	prdrd
اماخباثت	But evil	mkhbtht
بغلطاند	Rolled	bGlTnd
خودت،	Yourself,	khwdt,
ثقیل،	Heavy,	thqyl,
سیل،	Flood,	syl,
اماکیست	But who is it?	mkhyst
ازشان	From them	zshn
امابرای	But for	mbry
آشیانهاش	His nest	ashynhsh
حلاوت	Sweetness	Hlwt
شادکن،	Cheer up,	shdkhn,
درعقوبت	In the end	dr`qwbt
ستیزهجو	Militant	styzhjw
مشابهاند	Similar	mshbhnd
خودگرفته	Self-made	khwdgrfth
وعلوفه	And fodder	w`lwfh
شجاعند	They are brave.	shj`nd
استقامتش	His endurance	stqmtsh
ستاید،	Praise,	styd,
اماطالبان	But the Taliban	mTlbn
رونده	Rolling	rwndh
مسرفان،	Spendthrift,	msrfn,
رسوامی	Disgrace	rswmy
نیکوخواهند	Well-wishers	nykhwkhwhnd
برخوردارنخواهد	will not have	brkhwrdrnkhwhd
مسکین،	Poor,	mskhyn,
غرنده	Roaring	Grndh
گردنده	Spinner	grdndh
باطلان	The false ones	bTln
فقرسیر	Poverty	fqrsyr
اماآنکه	But that	mankhh
شکرخواهد	Thank you.	shkhrkhwhd
خودچاپلوسی	Self-flattery	khwdchplwsy
انگیزاند،	Motivational,	ngyznd,
نمایدنجات	Save	nmydnjt
وعلاجی	Andalegi	w`ljy
هامعاشرت	Society	hm`shrt
اماشریر	But wicked	mshryr
نشانند	Nishanand	nshnnd
بخندد	Laugh	bkhndd
طالبند	Taliban	Tlbnd
نشاند	Sit down	nshnd
تنبیه،	Punishment,	tnbyh,
اماپسری	But boy	mpsry
خواهدبخشید	Will forgive	khwhdbkhshyd
زیرااگرچه	Because although	zyrgrchh
نازمی	Nazmi	nzmy
مردحلیم	Gentleman	mrdHlym
میگستراند،	It spreads,	mygstrnd,
اماداوری	Preparation	mdwry
طریق،	Through,	Tryq,
خودمرقوم	Self-written	khwdmrqwm
بشناس،	Know,	bshns,
اوطریقهایت	Your ways	wTryqhyt
وفورنعمت	Abundance of blessings	wfwrn`mt
چرخشتهای	Cycles	chrkhshthy
داردتادیب	Discipline	drdtdyb
ازلعلها	For some reason	zl`lh
تودور	Tudor	twdwr
ازاهلش	From his family	zhlsh
آوردنش	Bring it.	awrdnsh
وبازگرد،	And return,	wbzgrd,
باکسیکه	Boxing	bkhsykhh
زیراکج	Zero point	zyrkhj
نزدراستان	Nearest	nzdrstn
رافیض	Rafiz	rfyD
آکور	Achor	akhwr
یاقه	Collar	yqh
اکال	Ekal	khl
نیاموختهام	I haven't learned.	nymwkhthm
ندانستهام	I didn't know.	ndnsthm
آنجانزول	Get down	anjnzwl
اگراطلاع	If information	grTl`
مرابپرور،	My beloved,	mrbprwr,
رالعنت	Damn	rl`nt
پاکاند،	Pakand,	pkhnd,
قدربلند	High-ranking	qdrblnd
مژگانشان	Their eyelashes	mjgnshn
کاردهاتا	Kardhata	khrdht
چیزکه	Something	chyzkhh
نازاد،	Unborn,	nzd,
غرابهای	Crows	Grbhy
واحمقی	Stupid	wHmqy
مورچهها	Ants	mwrchhh
بیقوتند،	They are powerless,	byqwtnd,
ونکها	Winks	wnkhh
آنهادسته	They are a group.	anhdsth
چلپاسهها	The puddles	chlpshh
درقصرهای	In the palaces	drqSrhy
خرام	Khram	khrm
ازهیچکدام	None	zhychkhdm
رابرافراشتهای	You are an angel.	rbrfrshthy
اندیشیدهای،	Thoughts,	ndyshydhy,
لموئیل	Lemuel	lmwy'yl
گویمای	Guimai	gwymy
شایدای	Maybe	shydy
لموئیل،	Lemuel,	lmwy'yl,
هلاکتندبده	Deadly	hlkhtndbdh
جانان،	Janan,	jnn,
میخرد،	Buys,	mykhrd,
ازکسب	From business	zkhsb
وچراغش	And his lamp	wchrGsh
وانگشتهایش	And his fingers	wngshthysh
مبسوطمی	Expansion	mbswTmy
ترسد،	Fear,	trsd,
اطلس	Atlas	Tls
اسبابهای	Tools	sbbhy
دربارها	Courts	drbrh
مینشیند	Sits down	mynshynd
وکمربندها	And belts	wkhmrbndh
عزت،	Ezzat,	`zt,
میگشاید،	Opens,	mygshyd,
محبتآمیز	Affectionate	mHbtamyz
وخوراک	Food	wkhwrkh
میستاید	Praises	mystyd
جمال،	Jamal,	jml,
همهچیزافضل	Everything is better.	hmhchyzfDl
وافسر	Officer	wfsr
راهدایت	Guidance	rhdyt
خوابند	They are sleeping.	khwbnd
نلغزانیده	Non-slip	nlGznydh
تزایدمی	Overgrowth	tzydmy
غلیظاست،	It is thick,	GlyZst,
دورنشود	Don't go away.	dwrnshwd
توراست	It is you.	twrst
همواربساز،	Composer,	hmwrbsz,
فراگیر،	Comprehensive,	frgyr,
تاتدابیر	Tatdabir	ttdbyr
چکاند،	It dripped,	chkhnd,
وقدمهایش	And his feet	wqdmhysh
مرابشنوید،	Listen to me,	mrbshnwyd,
اونزدیک	Nearby	wnzdykh
خودنوحه	Self-indulgence	khwdnwHh
نشنیدم،	I didn't hear,	nshnydm,
عام،	General,	`m,
برگیری؟	Will you take it?	brgyry?
مدنظر	Intended	mdnZr
میسنجد	It measures	mysnjd
ازسخنان	From the word	zskhnn
پسرمن،	My son,	psrmn,
رافروتن	Rafferty	rfrwtn
کمندو	Commando	khmndw
درراههای	On the way	drrhhy
اماخوراک	But food	mkhwrkh
خودکی	Self-portrait	khwdkhy
خوی،	Temperament,	khwy,
اعوجاج	Distortion	`wjj
غمزه	Smile	Gmzh
باانگشتهای	With fingers	bngshthy
ودستهایی	And some hands	wdsthyy
پایهایی	Bases	pyhyy
درزیان	Damage	drzyn
تدبیرآمیز	Resourceful	tdbyramyz
خبیثه	Evil	khbythh
ازچاپلوسی	From flattery	zchplwsy
پلکهایش	His eyelids	plkhhysh
نگردد؟	Don't turn around?	ngrdd?
تاجان	Crown	tjn
نظرنخواهد	No opinion.	nZrnkhwhd
دوشکهاگسترانیدهام،	I need a mattress,	dwshkhhgstrnydhm,
مجروحانداخته	Injured	mjrwHndkhth
زورآورانند	They are strong.	zwrawrnnd
عالیه	Excellent.	`lyh
آنهانزد	Near them	anhnzd
وراه	Way	wrh
میخرامم،	I will buy it,	mykhrmm,
مبداء	Origin	mbd
هانبود	Hanbud	hnbwd
برپاشود،	Stand up,	brpshwd,
وصحراها	And the deserts	wSHrh
برسطح	On the surface	brsTH
بالااستوار	High-strength	blstwr
اوتجاوز	He/She is a transgressor.	wtjwz
آبادی	Abadi	abdy
ردمنمایید	You are not welcome.	rdmnmyyd
مرایابد	Find me.	mrybd
بلندشهر	Bolandshahr	blndshhr
علمش	His knowledge	`lmsh
مینشیند،	Sits down,	mynshynd,
درمکانهای	In places	drmkhnhy
کرسی،	Chair,	khrsy,
رابخواند،	Read it,	rbkhwnd,
ودعوتشدگانش	And his guests	wd`wtshdgnsh
نایستد،	Don't stop,	nystd,
بادآن	Badan	bdan
درمشورت	In consultation	drmshwrt
اندیشیدهاند،	They have thought,	ndyshydhnd,
هرگزجنبش	NeverMovement	hrgzjnbsh
رانخواهم	I don't want to.	rnkhwhm
زیرزبانش	Under his tongue	zyrzbnsh
کمینهای	Ambush	khmynhy
وزبون	Wazbun	wzbwn
رابرافراز	Rabarafraz	rbrfrz
چراشریر	Why is it evil?	chrshryr
مینگری،	Mingari,	myngry,
نیابی	Deputy	nyby
فراگرفتهای،	You have learned,	frgrfthy,
تایتیمان	Thaiman	tytymn
راآواز	Raavaz	rawz
باشادی	Bashadi	bshdy
اوهستیم	We are.	whstym
باحمد	With Ahmed	bHmd
حمدگویید	Praise.	Hmdgwyyd
رفتارخواهم	I want behavior.	rftrkhwhm
خودغیبتگوید،	Self-abuse says,	khwdGybtgwyd,
امنای	Trustees	mny
فریادمن	My cry	frydmn
تنگیام	I am in trouble.	tngym
زیراخوردن	Because eating	zyrkhwrdn
سقای	Watering	sqy
زیراخاکستر	Because of the ash	zyrkhkhstr
خوردهام	I have eaten.	khwrdhm
مشروب	Liquor	mshrwb
بااشک	With tears	bshkh
آمیختهام،	I am mixed,	amykhthm,
توزیرا	Tozira	twzyr
افکندهای	Projectiles	fkhndhy
توبرخاسته،	You have risen,	twbrkhsth,
نشمرده	Uncounted	nshmrdh
صیهون	Zion	Syhwn
دراورشلیم،	In Jerusalem,	drwrshlym,
وممالک	And the kingdoms	wmmlkh
گفتمای	You said	gftmy
برمدار	Boron	brmdr
رحمان	Rahman	rHmn
برفرزندان	To have children	brfrzndn
برترسندگان	Top performers	brtrsndgn
جبلت	Instinct	jblt
صحراهمچنان	The desert is still	SHrhmchnn
میشکفد	It blooms.	myshkhfd
ونابود	And destroyed	wnbwd
استوارنموده،	Established,	stwrnmwdh,
زورآورید	Bring it on.	zwrawryd
پوشانیدهای	Covered	pwshnydhy
غرفات	Booths	Grft
رامرکب	Ramrakab	rmrkhb
اساسش	Its basis	sssh
پوشانیدهای،	Covered,	pwshnydhy,
کوههاایستادهاند	The mountains are standing still.	khwhhystdhnd
رعدتو	Your thunder	r`dtw
همواریها	Plains	hmwryh
نگذرند	Don't pass.	ngdhrnd
صحرارا	Sahara	SHrr
رافرو	Rafro	rfrw
ازغرفات	From the rooms	zGrft
سبزهها	Greens	sbzhh
شادابند،	They are happy,	shdbnd,
هابرای	For you	hbry
یربوع	Yerboo	yrbw`
موسمهاساخت	Seasonal construction	mwsmhskht
الاطراف	Al-Atraf	lTrf
میپوشانی	You cover.	mypwshny
میفرستی،	You send,	myfrsty,
فشان	Fash	fshn
رالذیذ	Delicious	rldhydh
رابخوانید	Read it.	rbkhwnyd
هااعلام	Announcement	h`lm
رایاد	Riyadh	ryd
شماشود	You are welcome.	shmshwd
ضررمرسانید	Don't harm me.	Drrmrsnyd
خستند	They are tired.	khstnd
وسلطان	Sultan	wslTn
غوکها	Gooks	Gwkhh
درحرمهای	In the sanctum	drHrmhy
موهاو	Mojave	mwhw
اوائل	Early	wy'l
سیرگردانید	Take a tour.	syrgrdnyd
وزمینهای	And the lands	wzmynhy
بگوییدزیرا	Tell me because	bgwyydzyr
بشنواند؟	Can you hear?	bshnwnd?
رضامندیی	Satisfaction	rDmndyy
تاسعادت	Happiness	ts`dt
نمودنددر	They showed up.	nmwdnddr
بادیه؛	Bedouin;	bdyh;
درجانهای	Doors	drjnhy
اوموسی	Omosi	wmwsy
صحرااز	Desert	SHrz
امتهابیندازد	Ummahbind	mthbyndzd
ناسزاگفت	He cursed.	nszgft
آمیختند	They mixed	amykhtnd
راریختند	They poured	rrykhtnd
راخلاصی	Rakhali	rkhlSy
فخرنماییم	We are proud.	fkhrnmyym
اونیکو	Oniko	wnykhw
دربادیهای	In the wilderness	drbdyhy
بیطریق	Undirected	byTryq
تشکرنمایند	Thank you.	tshkhrnmynd
درمذلت	In humiliation	drmdhlt
خدامخالفت	Opposition to God	khdmkhlft
بلغزیدند	They slipped.	blGzydnd
هلاکتهای	Fatalities	hlkhthy
دریارفتند،	They went to sea,	dryrftnd,
درلجهها	In the streets	drljhh
شدندزیرا	They became because	shdndzyr
مرادایشان	Their wishes	mrdyshn
بادیه	Bedouin	bdyh
زار،	Zar,	zr,
کثیرشدند	They multiplied.	khthyrshdnd
بازکم	Again	bzkhm
بادیهای	Winds	bdyhy
ازمشقتش	From his hardship	zmshqtsh
هابرایش	Haberisch	hbrysh
طایفهها	Clans	Tyfhh
وشوی	Washi	wshwy
بالشکرهای	Sugar gliders	blshkhrhy
درخدا	In God	drkhd
ومنصب	And position	wmnSb
اویتیم	Oytim	wytym
خودقوت	Self-reliance	khwdqwt
مراخلاصی	Mykholasi	mrkhlSy
رفتهام	I am gone.	rfthm
زانوهایم	My knees	znwhym
عارگردیدهام	I am ashamed.	`rgrdydhm
جنبانند	They are moving.	jnbnnd
ایستادتا	Stand up.	ystdt
میدهندبرهاند	They give and take.	mydhndbrhnd
بهجانم	My dear	bhjnm
خودبگریزید	Escape yourself.	khwdbgryzyd
وتیر	Vetiver	wtyr
مینگرد،	Looking,	myngrd,
خودحکمرانی	Self-government	khwdHkhmrny
زینتهای	Ornaments	zynthy
صحرگاه	Desert	SHrgh
برخواهدافراشت	Will raise	brkhwhdfrsht
آنهاتفتیش	They are investigating.	anhtftysh
رزقی	Rezqi	rzqy
نیکوداده	Nicodemus	nykhwddh
خودبیان	Self-expression	khwdbyn
عاملین	Actors	`mlyn
اوپایدار	He is stable.	wpydr
زورآورخواهند	They want to be strong.	zwrawrkhwhnd
وعدالتش	His justice	w`dltsh
بدنخواهد	The body will not	bdnkhwhd
خداوندتوکل	Trust in God	khdwndtwkhl
ترسیدتا	Terrified	trsydt
ابدپایدار	Eternal	bdpydr
نظرنماید	Comment	nZrnmyd
واردن	Warden	wrdn
دریاتو	Sea	drytw
برگشتی؟	Are you back?	brgshty?
چرابگویند	Why should they say that?	chrbgwynd
وطلاست،	And gold,	wTlst,
چشمهاست	It is the eyes.	chshmhst
گوشهاست	It is a corner.	gwshhst
خودتنطق	Self-talk	khwdtnTq
آنهاهستند،	They are,	anhhstnd,
وسپر	Vesper	wspr
یادآورده،	Remembered,	ydawrdh,
شمامبارک	Congratulations.	shmmbrkh
مرارهایی	Merarahai	mrrhyy
درپریشانی	In distress	drpryshny
گشودهای	Open	gshwdhy
ابدالاباداست	Forever	bdlbdst
ازتوکل	From Tawakkol	ztwkhl
مرااحاطه	Surroundings	mrHTh
مراگرفتند،	They caught me,	mrgrftnd,
مرااعانت	Respect	mr`nt
باشجاعت	With courage	bshj`t
خداوندمتعال	Almighty God	khdwndmt`l
میرم	I'm going.	myrm
نسپرده	Unpaid	nsprdh
تووصایای	Recommendations	twwSyy
توگمراه	Togmara	twgmrh
تومتبارک	Tomtbark	twmtbrkh
توانگری،	Wealth,	twngry,
توتفکر	Tootfekker	twtfkhr
میبرم،	I will take it,	mybrm,
چسبیدم	I stuck.	chsbydm
سبیل	Mustache	sbyl
رحمهای	Uteri	rHmhy
مگیرزیرا	Magirzira	mgyrzyr
طلبیدهام	I asked.	Tlbydhm
ازوصایای	From the wills	zwSyy
نگردانیدم	I didn't.	ngrdnydm
خداوندداوریهای	God's judgments	khdwnddwryhy
یادآوردم	I remembered.	ydawrdm
شتابیدم	I rushed.	shtbydm
خداوندموافق	God willing	khdwndmwfq
تلذذمی	Indulgence	tldhdhmy
تافرایض	To perform duties	tfryD
مرافهیم	We are in love.	mrfhym
توامیدوار	Hopeful	twmydwr
تلذذمن	Telzaman	tldhdhmn
دودگردیدهام	I was smoking.	dwdgrdydhm
جفاکنندگانم	My persecutors	jfkhnndgnm
تونیستند	Tonystand	twnystnd
تاشهادات	Certificates	tshhdt
آسمانهاپایدار	The skies are stable.	asmnhpydr
ازدشمنانم	My enemies	zdshmnnm
ترشدم	I got sour.	trshdm
ازداوریهای	Judgments	zdwryhy
برنگردانیدم،	I didn't return it,	brngrdnydm,
توفطانت	Storm	twfTnt
راوفا	Raufa	rwf
وداوریهای	And judgments	wdwryhy
داشتهام،	I have,	dshthm,
شمردهای	Counts	shmrdhy
رحمانیتت	Your mercy	rHmnytt
ازین	From here	zyn
نورمی	Nurmi	nwrmy
راخواندهام،	I read it,	rkhwndhm,
خودمرا	Myself	khwdmr
اززمان	Since time	zzmn
ازشهادات	From the testimonies	zshhdt
برنگردانیدم	I didn't return it.	brngrdnydm
پیدانموده	Found	pydnmwdh
اماشریعت	But Sharia	mshry`t
میخوانم،	I am reading,	mykhwnm,
مردمقدس	Holy people	mrdmqds
امناء	Trustees	mn
میگویند؛	They say;	mygwynd;
ماخداوند	My God	mkhdwnd
میخرامند،	They are buying,	mykhrmnd,
فریادکردم	I shouted.	frydkhrdm
گر؟	Where?	gr?
تیزجباران	The strong	tyzjbrn
گزیدهام	I am tired.	gzydhm
شدسکونت	Settlement	shdskhwnt
کوههابرمی	Burmese mountains	khwhhbrmy
نخواهدخوابید	You will not sleep.	nkhwhdkhwbyd
خوابد	Sleep	khwbd
حفظخواهد	Will keep	HfZkhwhd
بدانجااسباط	Where are the tribes?	bdnjsbT
یاه،	Yeah,	yh,
بهخاطرخانه	For the sake of the house	bhkhTrkhnh
آسمانهاجلوس	The heavens are sitting.	asmnhjlws
زیراچه	Because	zyrchh
ماپر	Mapper	mpr
مستریحان	Vacationers	mstryHn
بگوید؛	Say;	bgwyd;
راغرق	Drowned	rGrq
زور،	Force,	zwr,
صهیوناند	Zionand	Shywnnd
کوههاگرداگرد	Mountain range	khwhhgrdgrd
اشکهامی	Ashkhami	shkhhmy
باگریه	With tears	bgryh
بنایانش	Its construction	bnynsh
شماصبح	You are welcome.	shmSbH
اجرتی	Salary	jrty
ازاوست	From the east	zwst
طفولیتم	My childhood	Tfwlytm
درازنمودند	They did not stretch.	drznmwdnd
راگسیخت	Broken	rgsykht
بامهاباشند،	Roofs,	bmhbshnd,
درونده	Incoming	drwndh
پوشید؟	Did you wear it?	pwshyd?
خودمشورت	Self-advice	khwdmshwrt
بخسبم	Good morning.	bkhsbm
ومخالفانم	And my opponents	wmkhlfnm
پریشانیام	I am distressed.	pryshnym
میدارم؛	I will;	mydrm;
خداوندسرود	God, the song	khdwndsrwd
فریادبرآوردم	I shouted.	frydbrawrdm
مرابشنو	Listen to me.	mrbshnw
کیستای	Who is it?	khysty
بهکارهایی	With works	bhkhrhyy
بچهای	Children	bchhy
ازشیر	From the milk	zshyr
امیدوارباشند،	Hopeful,	mydwrbshnd,
مذلتهای	Humiliations	mdhlthy
خداوندپیدا	God-fearing	khdwndpyd
ومقدسانت	And your holiness	wmqdsnt
خودداود،	David himself,	khwddwd,
برنخواهدگشت	He will not return.	brnkhwhdgsht
وشهادتم	And I testify.	wshhdtm
میآموزم،	I am learning,	myamwzm,
نیزبر	Also	nyzbr
فقیرانش	His poor	fqyrnsh
ایستید،	Stop,	ystyd,
رابسرایید	Sing it.	rbsryyd
خداوندیعقوب	The Lord of Jacob	khdwndy`qwb
بسیاررا	Very much	bsyrr
ابدالاباد؛	Forever;	bdlbd;
دهنها	Mouths	dhnh
گویند؛	They say;	gwynd;
بینند؛	See;	bynnd;
گوشهادارند	They have ears.	gwshhdrnd
ربالارباب	Rabalrab	rblrbb
زادگانش	His descendants	zdgnsh
آویختیم	We hung it.	awykhtym
سرودخواستند؛	They sang a hymn;	srwdkhwstnd;
یادنیاورم،	I don't remember,	ydnywrm,
بچسبد،	Stick,	bchsbd,
یادآور،	Reminder,	ydawr,
ماجزا	Magza	mjz
توعبادت	You are worshipped.	tw`bdt
درجانم	In my room	drjnm
خواهندسرایید،	They will sing,	khwhndsryyd,
وشناختهای	and cognitions	wshnkhthy
فهمیدهای	You understand.	fhmydhy
نهادهای	Institutions	nhdhy
کجابگریزم؟	Where should I run away?	khjbgryzm?
آنجاهستی	You are there.	anjhsty
توآنجا	You there	twanj
دراقصای	In the end	drqSy
مراخواهد	He wants me.	mrkhwhd
دررحم	In the womb	drrHm
نبودوقتی	There was no time.	nbwdwqty
نقشبندی	Pattern	nqshbndy
میگشتم	I was looking.	mygshtm
جنین	Fetus	jnyn
آنهاوجود	They exist.	anhwjwd
رابشمارم،	I will count,	rbshmrm,
یقینای	Certainly	yqyny
مکرآمیز	Insidious	mkhramyz
آیامخالفان	Are the opponents?	aymkhlfn
شمارم؟	My number?	shmrm?
میشمارم	I count.	myshmrm
مرابیازما	I am trying.	mrbyzm
بیمعرفت	Ignorant	bym`rft
خوانند؟	Are they singing?	khwnnd?
رابرگرداند،	Return it,	rbrgrdnd,
زهرافعی	Zohrafei	zhrf`y
بلغزانند	They slide.	blGznnd
ودام	Vadam	wdm
رابرایش	For him	rbrysh
دیگرنخواهند	They won't want it anymore.	dygrnkhwhnd
خداونددادرسی	God of Justice	khdwndddrsy
حمدخواهند	They will praise.	Hmdkhwhnd
بخورآراسته	Decorated incense	bkhwrarsth
دستهایم،	My hands,	dsthym,
درلبهایم	On my lips	drlbhym
بدکارنشوم	I am not a bad person.	bdkhrnshwm
راابا	Raaba	rb
نیزدعای	Also, prayer.	nyzd`y
مابر	Maber	mbr
نهادهاند	Institutions	nhdhnd
کمندهای	Lassos	khmndhy
خداوندتضرع	God, pray.	khdwndtDr`
بشناسد	to know	bshnsd
فکرجان	Thought	fkhrjn
وگفتم	And I said	wgftm
ذلیلم	I am humble.	dhlylm
زورآورترند	They are more powerful.	zwrawrtrnd
برمیا	Bermia	brmy
فروروندگان	Submerged	frwrwndgn
بشنوان	Listen	bshnwn
بردهام	I got it.	brdhm
خودای	God	khwdy
وانگشتهای	And fingers	wngshthy
زیراطاعت	Subordination	zyrT`t
بشناسی؟	Do you know?	bshnsy?
بیاوری؟	Bring it?	bywry?
رعدرا	Thunderstorm	r`dr
بسیارخلاصی	Very open.	bsyrkhlSy
راسرودی	Singing	rsrwdy
میسرایم	Misraim	mysrym
راترنم	Rotherham	rtrnm
میبخشی،	Forgive me,	mybkhshy,
میرهانی	Mirhani	myrhny
ریزان	Rizan	ryzn
کرورهادر	Crorehader	khrwrhdr
باربردارشوند	To be loaded	brbrdrshwnd
کثیرالاحسان	Kathir-ul-Ihsan	khthyrlHsn
ومقدسان	And the saints	wmqdsn
راحکایت	Yours sincerely	rHkhyt
دورها	Rounds	dwrh
وجوددارم،	I exist,	wjwddrm,
روساتوکل	Rosatokel	rwstwkhl
خداوندخم	God willing	khdwndkhm
پسند،	Like,	psnd,
ازساقهای	From the stems	zsqhy
ازمغز	From the brain	zmGz
میگدازد	Melts	mygdzd
میوزاند،	It blows,	mywznd,
بخوانیدزیرا	Read because	bkhwnydzyr
راپایدار	Sustainable	rpydr
وبرف	Weberf	wbrf
تنهامتعال	The only one who is supreme	tnhmt`l
فخرباشد	Be proud.	fkhrbshd
تادیبها	Disciplines	tdybh
برطوایف	On tribes	brTwyf
کرامت	Dignity	khrmt
فرودآید؟	Landing?	frwdayd?
توساکن	Tosaken	twskhn
بهجاآورد،	Fulfilled,	bhjawrd,
ننماید؛	Don't do it;	nnmyd;
اقارب	Relatives	qrb
اوتسبیح	Otsbih	wtsbyH
عظمتش	His greatness	`Zmtsh
ذوات	Essence	dhwt
اوتار	Avatar	wtr
صنجهای	Sanjai	Snjhy
برتوتوکل	Bertotuckel	brtwtwkhl
توخداوند	Tokhodavand	twkhdwnd
فاضلان،	Fazelan,	fDln,
میشتابند،	They are in a hurry,	myshtbnd,
خونیایشان	Their blood	khwnyyshn
توقرعه	Prediction	twqr`h
خطه	Region	khTh
بهی	Good	bhy
فسادرا	Corruption	fsdr
مراآزمودهای،	You tested me,	mrazmwdhy,
نیافتهای،	You didn't find it.	nyfthy,
ازمخالفان	From the opponents	zmkhlfn
دوختهاند	They have sewn	dwkhthnd
ذخایرخود	Own reserves	dhkhyrkhwd
پرساختهای	Prefabricated	prskhthy
مراگرفته	It caught me.	mrgrfth
کوههابلرزید	The mountains trembled.	khwhhblrzyd
دخان	Smoke	dkhn
برکروبی	Cherubim	brkhrwby
میشتافتند،	They were running,	myshtftnd,
آتشهای	Fires	atshhy
بینداخت	Throwing	byndkht
ازآبهای	From the waters	zabhy
خصمانم،	My enemies,	khSmnm,
مرابجای	My place	mrbjy
نورزیدهام،	Noordzeeham,	nwrzydhm,
فرائض	Duties	fry'D
راکامل	Complete	rkhml
زیراقوم	Because	zyrqwm
مراخواهی	You are welcome.	mrkhwhy
افروخت؛	It ignited;	frwkht;
جهم	Jham	jhm
خداوندمصفی	God is the one who clears.	khdwndmSfy
مقامهای	Officials	mqmhy
مرابزرگ	My grandfather	mrbzrg
زیرم	Below	zyrm
بستهای	Packages	bsthy
انداختهای	You threw it.	ndkhthy
برآوردنداما	Estimated size	brawrdndm
بادساییدهام؛	Bad Saaedhämm;	bdsyydhm;
هاساختهای	Structures	hskhthy
درقلعه	In the castle	drql`h
وقومها	And the peoples	wqwmh
برخصمانم	My opponent	brkhSmnm
وفلک	Waffle	wflkh
آوازآنها	Their song	awzanh
ازدویدن	Running away	zdwydn
خروجش	His departure	khrwjsh
گرداند؛	Turn;	grdnd;
طاهراست	Tahirast	Thrst
شیرینتر	Sweeter	shyryntr
درحفظ	In preservation	drHfZ
سهوهای	Inadvertence	shwhy
مخفیام	I am hiding.	mkhfym
طوائف	Tribes	Twy'f
خودبیندازیم	Let's think about ourselves.	khwdbyndzym
خندد	Laugh	khndd
خردخواهی	Wisdom	khrdkhwhy
راببوسید	Kiss me.	rbbwsyd
سرافرازنماید	To make proud	srfrznmyd
رهاند	Rahand	rhnd
ایستادهایم	We are standing.	ystdhym
وجدخواهد	Will be delighted.	wjdkhwhd
اززر	Azzur	zzr
توخواست	You wanted.	twkhwst
رامبارک	Rambark	rmbrkh
دارندخواهد	They will.	drndkhwhd
مکایدی	Makaidi	mkhydy
رااندیشیدند	They thought	rndyshydnd
زههای	Strings	zhhy
مراخاموشی	Silence	mrkhmwshy
توهستی	You are.	twhsty
نربسیار	Narbsiyar	nrbsyr
زیراسگان	Zirasgan	zyrsgn
سفتهاند	Strong hand	sfthnd
شمشیرخلاص	Sword of Salvation	shmshyrkhlS
گاووحشی	Wild bull	gwwHshy
برآورداو	His estimate	brawrdw
حضورترسندگانت	The presence of your fears	HDwrtrsndgnt
غذاخورده،	Eaten,	Gdhkhwrdh,
متذکر	Noting	mtdhkhr
نخواهدساخت	Will not build	nkhwhdskht
ذریتی	Offspring	dhryty
خبرخواهند	Want to know	khbrkhwhnd
سبزمرا	Sabzmara	sbzmr
میخواباند	He sleeps.	mykhwbnd
میگسترانی	Migstarani	mygstrny
کاسهام	Kasham	khshm
اواساس	Oasis	wss
خداوندقدیر	Almighty God	khdwndqdyr
جبار؟	Tyrant?	jbr?
دروازهها،	Gates,	drwzhh,
میکشدخجل	It kills, it embarrasses.	mykhshdkhjl
خداوندطریق	God is the way	khdwndTryq
خداونداحسانات	God's favors	khdwndHsnt
خداوندنیکو	Good Lord	khdwndnykhw
وحق	And right	wHq
مرابیامرز	Merabiamars	mrbymrz
بطریقی	In a way	bTryqy
ازمشقت	From hardship	zmshqt
خطایایم	My mistakes	khTyym
بردشمنانم	My enemies	brdshmnnm
منتظرتو	Waiting for you	mntZrtw
ننشستهام	I didn't sit down.	nnshsthm
