- 和所有	- and all
無論如何	whatever next
無論是否	whether or no
無質量	massless
無足	footless
無趾	toeless
無路	pathless
無路可退	out on a limb
無邊	edgeless
無鎖	lockless
無鑰匙	keyless
無限制	without limit
無須	beardless
無頜	jawless
無頭	headless
無頸部	neckless
無風的	windless
無鱗	scaleless
焦油和羽毛	tar and feather
然後一些	and then some
然後在那裡	then and there
煙像煙囪	smoke like a chimney
煙霧和鏡子	smoke and mirrors
煤炭到紐卡斯爾	coals to Newcastle
煤質	coaly
照常營業	business as usual
照我看來	as I see it
照耀著	shine through
照耀著	take a shine to
照顧	look after
照顧	take care of
煩躁	fussiness
煮到	boil down to
煮書	cook the books
煮沸了	boil over
煮熟	doneness
熄滅了	brassed off
熄火	flame out
熄燈	lights out
熊掉了	bear away
熔爐	melter
熬夜	stay up
熱去小跑	hot to trot
熱又重	hot and heavy
熱和打擾	hot and bothered
熱烈	warmly
熱身	warm down
燃燒兩端的蠟燭	burn the candle at both ends
燃燒午夜油	burn the midnight oil
燒完	burn out
燒掉	burn up
燕麥	oaten
營銷	marketer
燥	rainless
燭台	candler
爆炸	blow up
爆炸了	bang on
爆發	break out
爬上小溪	be up the creek
爬下	climb down
爬到	creep to
爬得上去的	climbable
爭取時間	buy time
爭奪陣線	line of scrimmage
爭論之骨	bone of contention
爭論的	contestable
爭論道	argue the toss
父親	fatherhood
牆壁有耳朵	walls have ears
牆根	hided
牛奶和蜂蜜	milk and honey
牢牢	firmly
物有所值	value for money
物理	physically
特寫	close up
狂歡一場	live it up
狂跑	run wild
狗一樣	doglike
狗一樣的	doggish
狗吃狗	dog eat dog
狗和小馬錶演	dog-and-pony show
狗和骨頭	dog and bone
狗的抱怨	the dog's bollocks
狗的毛	hair of the dog
狗的生命	a dog's life
狡猾	slyness
狡猾的話	weasel words
猜測者	guesser
猶豫的人已經失去了	he who hesitates is lost
獅子的巢穴	the lion's den
獅子般的	lion-like
獨眼	eyed
獨立	stand alone
獰笑	grimly
獲得時間	gain time
獲得的味道	an acquired taste
獲得身體	get physical
玉米棒	corn on the cob
王八蛋	son of a bitch
王權	kingship
玩一些東西	play something out
玩地獄	play hell
玩場	play the field
玩市場	play the market
玩弄破壞	play havoc with
玩弄髒	play dirty
玩得很難	play hard to get
玩房子	play house
玩政治	play politics
玩時間	play for time
玩板球者	cricketer
玩火	play with fire
玩的狀態	state of play
玩神	play God
玩笨蛋	play dumb
玩第二個小提琴	play second fiddle
玩耍	play away
玩耍	play on
玩起來	play up
玩起來	play up to
玩遊戲	play games
玩遊戲	play the game
玫瑰樣	rose-like
玻璃般	glass-like
珍異	scarceness
現在	at present
現在	just now
現在你在說話	now you're talking
現在現在	now now
現在的武器	present arms
現成的	off the shelf
現行	in force
現金	cash in
現金在手	cash in hand
球在你的法庭上	the ball is in your court
球狀	spheral
理論上	in theory
瑪麗薩	findable
環狀的	ringed
瓶出來	bottle out
瓶和玻璃	bottle and glass
瓶蓋	capful
甜美的十六歲	sweet sixteen
甜美輕盈	sweetness and light
甜蜜	sweetly
甜蜜的nothings	sweet nothings
甜蜜的夢	sweet dreams
生	give birth
生動活潑	liveliness
生命之吻	kiss of life
生命之水	the water of life
生命和肢體	life and limb
生命的呼吸	the breath of life
生效	come into effect
生效	take effect
生根	take root
生氣	crossly
生氣	piss off
生活	live with
生活危險	live dangerously
生活和生活	live and let live
生活在地上	live off the land
生活在希望之中	live in hope
生活在快車道	life in the fast lane
生活在罪中	live in sin
生活方式	way of life
生活狀態	state of life
生活的事實	the facts of life
生活的工作人員	the staff of life
生活的麵包	the bread of life
生產資料	means of production
生病	get sick
生病了	be sick
生病到胃裡	sick to one's stomach
生病死亡	sick to death of
生病而累	sick and tired of
用什麼	what with
用分叉舌	with forked tongue
用地板擦拭	wipe the floor with
用它	with it
用完	run out
用完了	run out on
用完了氣	run out of gas
用完了蒸汽	run out of steam
用手	by hand
用水	by water
用火打火	fight fire with fire
用粗糙的光滑	take the rough with the smooth
用鼻子	by a nose
甩掉包袱	good riddance
由你自己	by yourself
由力	by dint of
由協會負責	guilt by association
由卡車	by the truckload
由和by	by and by
由我們自己	by ourselves
由於	by reason of
由於	due to
由於	on account of
由於	owing to
由書	by the book
由某人自己	by oneself
由頭	by the head
男人和男孩	man and boy
男人對男人	man to man
男人關於城鎮	man about town
男孩會是男孩	boys will be boys
留下來	leave it at that
留下來	stay put
留在	stay with
留意	keep an eye on
畢竟	after all
畫一個空白	draw a blank
畫一幅畫	paint a picture of
畫一條珠子	draw a bead on
畫一條線	draw a line under
畫出一些東西	figure something out
畫出短的稻草	draw the short straw
畫在	draw on
畫線	draw the line
畫蛇添足	gild the lily
異口同聲	with one voice
異性	the opposite sex
當一切已經說過並且做完了	when all is said and done
當和時	as and when
當場	on the spot
當它發生的時候	as it happens
當家	headed
當我住和呼吸	as I live and breathe
當然	for sure
當然	of course
當然	off course
當然	on course
當然了	a matter of course
當狗狗撞上風扇時	when the shit hits the fan
當芯片關閉時	when the chips are down
當道	hold sway
疏於練習	out of practice
疑	doubting
疣和所有	warts and all
疣狀	warty
疼痛	soreness
痛	bitterly
瘋狂	wildly
瘋狂的	cracky
癢癢	crawly
癢癢的象牙	tickle the ivories
登出	sign off
登錄	sign on
登陸	land up
發件人	addresser
發出聲音	make a noise
發問者	asker
發問者	questioner
發射	blast off
發抖	trembling
發揮作用	play a part
發揮出來	played out
發狂	craziness
發狂地	crazily
發現故障	find fault
發生	take place
發生事故等待發生	an accident waiting to happen
發瘋	go mad
發癢	itchiness
發白	whitely
發白的	whitish
發短信	send word
發紅	redness
發行	issuance
發行者	issuer
發言	take the floor
發誓	swear by
發誓	swear off
發誓	swear to
發送一個消息	send a message
發送給	send for
白了出來	white out
白人的負擔	white man's burden
白度	whiteness
白色的男人	men in white coats
百倍	hundredfold
百萬分之一	millionth
的snugness	snugness
的Twitter	twitterer
的一切事情	of all things
的一級	of the first magnitude
的全部	in its entirety
的力量	the strength of
的原因	in the cause of
的同類	of its kind
的大小	of a size
的定義	definitional
的年齡	of an age
的形狀	in the shape of
的必要性	of necessity
的情況下	in case of
的所有	of all
的方式	in the way of
的時刻	of the moment
的本質	of the essence
的標記	of mark
的目標	in goal
的目的	to the purpose
的第一水	of the first water
的粉紅色	pinkness
的老	of old
的調子	to the tune of
的選擇	of choice
的選擇	of one's choice
的長度和廣度	the length and breadth of
的順序	of the order of
皮樣	skin-like
盒子外面	out of the box
盒狀	box-like
盔	hatted
盛宴或飢荒	feast or famine
盡可能多	as many
盡可能多	as much
監護	wardship
盤狀	pan-like
目前	for now
盯著尾巴	sting in the tail
盲目的	eyeless
直	straightly
直	straightness
直上	straight up
直到母牛回家	till the cows come home
直到電線	down to the wire
直到鼻煙	up to snuff
直接蝙蝠	right off the bat
直而窄	the straight and narrow
直至另行通告	until further notice
相似性	likeliness
相信	believe in
相信	in the belief that
相反	as opposed to
相反	oppositely
相當一些	quite some
相當一點	quite a little
相當的東西	quite something
相處	get along
看一下東西	look something up
看一個人	look someone up
看一個人關於一隻狗	see a man about a dog
看不見	lose sight of
看不見	out of sight
看不見，不在乎	out of sight, out of mind
看不起	look down on
看世界	see the world
看世界去	watch the world go by
看到一些東西	see something of
看到一些東西	see something out
看到一些東西	see something through
看到一天的光	see the light of day
看到光	see the light
看到後面	see the back of
看到更好的日子	have seen better days
看到有人通過	see someone through
看到雙倍	be seeing double
看另一種方式	look the other way
看在上帝的份上！	for God's sake!
看後	see after
看得見	a sight to behold
看日光	see daylight
看星星	see stars
看時間	watch the time
看東西	be seeing things
看生活	see life
看看	see over
看看這部分	look the part
看穿	see through
看著光明的一面	look on the bright side
看見	catch sight of
看起來很嚇人	look a fright
看起來很好	look kindly on
看起來很小	look small
看起來很活潑	look lively
看起來很鋒利	look sharp
看起來有人上下	look someone up and down
看起來聰明	look smart
看這個空間	watch this space
看這裡！	see here!
看鐘	watch the clock
真實性	realness
真實性	trueness
真正的事情	the real thing
真正的文章	the genuine article
真理的時刻	moment of truth
真的	for real
真的很好	well and truly
真的真的	really and truly
真錢	real money
眨眼間	on the blink
眼巴巴	eagerly
眼淚	vale of tears
眼睛疼痛的眼睛	a sight for sore eyes
眼見為實	seeing is believing
眾多的罪惡	a multitude of sins
睜開眼睛	lay eyes on
睡個好覺	sleep tight
睡在它上面	sleep on it
睡在裡面	sleep in
睡著了	drop asleep
睡覺	sleep around
睡覺了	hit the sack
睡覺了	sleep over
睡覺很簡單	sleep easy
瞄準	take aim
瞧，	lo and behold
知情同意書	informed consent
知道了	be in the know
知道得分	know the score
知道是什麼	know what's what
知道最好	know best
知道比	know better than
知道誰是誰	know who's who
短小	shortness
短小的	smallish
短暫，震驚	short, sharp shock
短缺	short for
短而甜蜜	short and sweet
石頭之心	heart of stone
砂粒狀	sand-like
砍掉垃圾	cut the crap
研磨	grind on
砰的一聲	bang on about
破壞一條直腸	bust a gut
破敗某人的剁碎	bust someone's chops
破滅的厄運	crack of doom
破爛	raggedly
破船	break ship
破解	crack on
破解一本書	crack a book
硬奶酪	hard cheese
硬幣的另一面	the other side of the coin
硬指甲	hard as nails
硬的	hard by
硬而快	hard and fast
硬著頭皮	bite the bullet
硬起來	hard up
碧空	cloudless
碰撞和燒傷	crash and burn
確保	make sure
確定	be sure
確定	make certain
確定死亡	as sure as death
磚和砂漿	bricks and mortar
磨邊機	edger
礦主	mine host
祖母	grandmotherly
祝一個人好	wish someone well
祝一切順利	all the best
祝你今天愉快	have a nice day
祝你好運	for luck
祝福你！	bless you!
神格	godhood
神的人	man of God
神經之戰	war of nerves
神職人員的好處	benefit of clergy
禁果	forbidden fruit
禁止	barred
禿頭	baldness
私下	in private
秤	weigher
移動天地	move heaven and earth
移山	move mountains
稀薄的空氣	thin air
稍大	largish
稍短	shortish
稍長	longish
稍高	tallish
稱職	assed
稱重	weigh on
稱重	weigh out
稱重在	weigh in at
稱量體重	weigh in
稱雄	rule the roost
穩健	steadiness
穩坐	sit tight
穩步	steadily
空出來，騰出來	to spare
空氣和恩典	airs and graces
空白	blankness
空腹	on an empty stomach
空虛	hollowness
空虛地	emptily
空間不足	out of place
穿上	wear on
穿上狗	put on the dog
穿著殺了	dressed to kill
穿著襪子	stockinged
穿薄	wear thin
穿過T	cross the T
穿過地板	cross the floor
穿過屋頂	go through the roof
穿過網	slip through the net
穿鞋	shoeless
穿點東西	dress something up
突然	on a sudden
突然間	all of a sudden
突破	break out in
突破	break through
突破	break with
突破	topped
窩在家裡	hole up
竄氣吹	blow-by-blow
竊取	stealer
竊取節目	steal the show
立刻	at once
站出來	stand out
站在	stand in
站在	stand to
站在一邊	stand aside
站在儀式上	stand on ceremony
站在後面	stay behind
站在我身上	stand on me
站立在	stand over
站立拍拍	stand pat
站起來	stand down
站起來	stand someone up
站起來	stand up
站起來	stand up for
站起來去	stand up to
站起來算數	stand up and be counted
章節	chapter and verse
端到端	end to end
符合	in accord with
符合條件	come to terms with
符文	runic
第一	first up
第一件事	first thing
第一件事先	first things first
第一個表弟曾經被刪除	first cousin once removed
第一和最後	first and last
第一滴血	first blood
第一百	hundredth
第一眼	at first sight
第三個表弟	third cousin
第二個想法	a second thought
第二個表弟	second cousin
第二好	come off second best
第五	fifthly
第十一小時	the eleventh hour
第十九	nineteenth
第四十	fortieth
第四牆	the fourth wall
第四遺產	the fourth estate
筆墨	pen and ink
筆直走	go straight
等一下	hold on
等候接聽	on hold
等等	and so forth
等等	and such
等等	and the like
等等	wait for it
等等	wait up
等著瞧	wait and see
筒狀	tube-like
箍	hooped
算羊	count sheep
管下來	pipe down
管他呢	or whatever
管狀的	pipy
管道上	pipe up
箭頭	arrowed
節拍時間	beat time
簡單來說	in brief
簡短	briefer
簡簡	plain Jane
簡而言之	for short
簡而言之	in a nutshell
簡而言之	in short
簽名者	signer
簽收	sign for
簽收	sign off on
籬笆邊	side of the fence
籬笆那邊	over the fence
粉紅色	pinkish
粉鼻子	powder one's nose
粗暴的正義	rough justice
粗糙度	roughness
粗糙的人上來	rough someone up
粗糙的東西	rough stuff
粗糙的邊緣	rough edges
粗糙而準備	rough and ready
粗野	grossness
粘土的腳	feet of clay
粘性	stickiness
粘手指	sticky fingers
精巧	masterhood
精巧	mastership
精心	choicely
精打細算的日子	day of reckoning
精神世界	the spirit world
精神高於物質	mind over matter
精美	beautifully
糊塗	silliness
糖丸	sugar the pill
系列	in series
糾纏	foulness
紅	reddish
紅色在牙齒和爪子	red in tooth and claw
紅色的星球	the red planet
紙牌屋	house of cards
素食	meatless
索維	sower
索賠	stake a claim
紫色	purplish
紮實	solidly
累	tiredly
細	finely
組成	be made up
結合起來	in conjunction
結婚錢	marry money
結局的開始	the beginning of the end
結束	be over
結束	on end
結束一切	end it all
結束了	be the end
結束了	end on
結束了	over and done with
結束滿足	make ends meet
結果子	bear fruit
結果發現	turn out
結論是	in conclusion
結轉	carry over
絕不	in no way
絕望	desperateness
絞肉機	mincer
絢	decked
給一個男人	to a man
給一點想念	give something a miss
給了	give over
給予地方	give place to
給予聲音	give voice to
給些東西	give something in
給他媽的	give a fuck
給信	to the letter
給出一些東西	give something out
給別人一個手指	give someone the finger
給吮吸	give suck
給和採取	give and take
給嘴	give mouth
給我嗎 -	give me - 
給某人	give it to someone
給某人一個困難的時刻	give someone a hard time
給某人一天的時間	give someone the time of day
給某人一隻鳥	give someone the bird
給某人喊一聲	give someone a shout
給某人回來	pay someone back
給某人開機	give someone the boot
給自己的信用	to one's credit
給血	give blood
給謊言	give the lie to
給電池充電	recharge one's batteries
給魔鬼他應有的	give the devil his due
給點東西	give something away
給點東西	give something up
絹絲狀	silk-like
綁人	tie someone up
綁起來	tie something up
經受住時間的考驗	stand the test of time
經常沒有	as often as not
經過	go through
經過一段時尚	after a fashion
經驗法則	rule of thumb
綜上所述	in summary
綠地	greenly
綠色	greenness
綠色與羨慕	green with envy
網狀	in mesh
網狀	meshed
綻放是玫瑰花	the bloom is off the rose
緊張	tightness
緊急狀態	state of emergency
緊緊	tightly
緊貼	snugly
線狀	thread-like
線路輸出	line out
線阻力最小	the line of least resistance
緞帶	ribboned
編碼器	coder
緩慢	slowness
緩速器	retarder
練習的對象	the object of the exercise
縫合	in stitches
縮放	scaled
總共	in sum
總的來說	by and large
總的來說	on balance
總結	sum up
總而言之	all in all
總體上	on the whole
繁忙	busyness
繁榮景氣	boom boom
繞彎道	round the bend
繼續	carry on
繼續	go on
繼續	keep going
繼續	keep on
繼續	keep on at
繼續前進	move in on
缺乏	short of
缺乏思想	absence of mind
缺席讓心臟變得更加喜歡	absence makes the heart grow fonder
罐頭製造商	canner
罷工	strike in
羅馬不是一天建成的	Rome was not built in a day
羊肉	muttony
羊肉打扮成羊肉	mutton dressed as lamb
美元兌甜甜圈	dollars to doughnuts
美味	flavourful
美國主義	Americanism
美國夢	the American dream
美國性	Americanness
美在旁觀者的眼中	beauty is in the eye of the beholder
美好的一天	one fine day
美麗新世界	brave new world
美麗的人	the beautiful people
美麗的遊戲	the beautiful game
羽毛	featherless
羽毛之鳥聚集在一起	birds of a feather flock together
習慣的生物	creature of habit
翳影	fogginess
翻	turn over
翻車機	tilter
翻轉漢堡	flip burgers
翻轉腳本	flip the script
翻閱	flip through
翻閱	thumbed
翼狀	wing-like
老實說	to be honest
老氣	oldish
老火焰	old flame
老豆	old bean
老靴子	old boot
老鱒魚	old trout
考慮到	in consideration of
考慮到	take into consideration
而已	that's it
耙子	raker
耳	eared
耳環	dangler
耽誤	hold up
聖徒	sainthood
聚合	aggregation
聚在一起	stick together
聚會	get together
聞到一隻老鼠	smell a rat
聞到玫瑰	smell the roses
聞到血液	smell blood
聯合力量	join forces
聯手	join hands
聯繫	in touch
聯繫到	get hold of
聲明	declared
聲淚俱下	shed tears
聲稱	lay claim to
聲稱成名	claim to fame
聳立	towered
聽東西	be hearing things
聽理由	listen to reason
聽者	hearer
聾	deafness
聾啞	fall on deaf ears
肉和兩塊蔬菜	meat and two veg
肉和土豆	meat and potatoes
肉片	plates of meat
肉眼	the naked eye
肉體	physicality
肉體的罪惡	sins of the flesh
肌肉發達	muscled
肌肉起來	muscle up
肢	limbed
肥胖	fatness
肩	shouldered
肯定地	affirmatively
肯定的	in the affirmative
肯定的事	sure thing
背後有刺	a stab in the back
胸怀大志	aim high
能知	knower
脖子上的樹林	neck of the woods
脫掉	make off
脫掉	take off
脫掉	wear off
脫掉它	come off it
脫掉邊緣	take the edge off
脫穎而出	stand off
脫穎而出	to the fore
脫膠	come unglued
脫鉤	off the hook
脫離工作	out of a job
脫離步伐	off the pace
脫離聯​​合	out of joint
脫風	off the wind
腳先	feet first
腳的球	the ball of the foot
腳趾線	toe the line
腳趾腳趾	toe to toe
腴	thickish
腿	legged
膝蓋虛弱	weak at the knees
臉皮厚	have a thick skin
臉貼臉	cheek to cheek
臨陣退縮	cold feet
自動駕駛員	on automatic pilot
自娛自樂	please yourself
自己	be oneself
自己付錢	pay for itself
自己滾動	roll one's own
自己的	of one's own
自己的袖子	up one's sleeve
自己肯定	sure of oneself
自從	ever since
自然而然	come naturally
自由	at liberty
自由世界	the free world
自由和容易	free and easy
自由的土地	the land of the free
自豪的地方	pride of place
臭	stinky
至今	so far
至今還沒有	as yet
至少	at least
至於	as for
至於	as regards
至於	as to
至高無上	the Supreme Being
致使者	causer
致富快	get-rich-quick
致相關人士	to whom it may concern
與 - 	up with - 
與...一起跑	run with
與...共同點	in common with
與...同行	go along with
與...搭配	make off with
與...搭配	make with
與...相符	on a par with
與...開放	be open with
與上帝同在	with God
與之相反	contrary to
與兩個桶	with both barrels
與公司合作	in company with
與太陽	with the sun
與孩子	with child
與它一起出來	out with it
與年輕人	with young
與此同時	at the same time
與此有關	in connection with
與此相反的	to the contrary
與自己分開	divided against itself
興趣	interestingness
舉個例子	make an example of
舉手	raise one's hand
舉手！	hands up!
舉行堡壘	hold the fort
舉行法庭	hold court
舉證責任	burden of proof
舉起國旗	hoist the flag
舉起或閉嘴	put up or shut up
舊時代	the old days
舌頭	tongueless
航行	sailed
船桅	masted
良好的信譽	in good standing
艱難的方式	the hard way
艾芬	effing
芝麻開門	open sesame
芯片走了	chip away at
花一分錢	spend a penny
花了一個胳膊和一條腿	cost an arm and a leg
花式	fanciness
花點時間	take a fancy to
若隱若現	gleamingly
英國的花園	the garden of England
英寸	inch by inch
英雄所見略同	great minds think alike
茶和同情	tea and sympathy
茶杯裡的風暴	a storm in a teacup
莊嚴	royally
莊園的主人	lord of the manor
華納	warner
華麗地	splendidly
落入	fall in
落到位	fall into place
落在路邊	fall by the wayside
落後	behind time
落後	fall behind
落後於時代	behind the times
葉兒	leafless
葉狀	leaf-like
葉齡	leafage
著名十五分鐘	famous for fifteen minutes
著名遺言	famous last words
著手	set about
著火	catch fire
著火	on fire
著色器	shader
蓊	jungled
蓋上東西	cover something up
蓋帽	to cap it all
蓺	handiness
薄	thinly
薄	thinness
薩耶爾	sayer
藍色	blueness
藍色的男孩	boys in blue
藍色藍色	blue on blue
藏起來	hider
藤的果實	the fruit of the vine
蘋果和梨	apples and pears
蘋果和橘子	apples and oranges
蘋果永遠不會遠離樹木	the apple never falls far from the tree
處於劣勢	at a disadvantage
處於戒備	on guard
處於狀態	lie in state
處於自然狀態	in a state of nature
處於隔離狀態	in isolation
處理機	treater
虛幻	illusionary
虛心	humbly
號角	horn in
蜂鳥	hummer
蜜蜂的膝蓋	the bee's knees
螺旋	screw around
螺母和螺栓	nuts and bolts
蠕動	wiggly
蠟和減弱	wax and wane
蠟抒情	wax lyrical
血，汗和眼淚	blood, sweat, and tears
血和雷聲	blood and thunder
血比水厚	blood is thicker than water
血液和膽量	blood and guts
血王子	prince of the blood
血腥	bloodily
血腥	bloodiness
血腥細節	the gory details
行動勝於雄辯	actions speak louder than words
行動方針	course of action
行動的人	man of action
行動起來	act up
行尾	the end of the line
行蛆	act the maggot
行軍線	line of march
街道上鋪滿了黃金	the streets are paved with gold
衝擊波	blaster
衣領下熱	hot under the collar
表現原因	show cause
袋狀	sack-like
袖珍	pocketable
被拋棄	be cast away
被拋棄	be cast down
被放在	be put upon
被淘汰出局	lose out
被焚燒在樁上	be burned at the stake
被試者	testee
被說出來	be spoken for
被調入	be tuned in
被遺棄	be left for dead
裂了	crack up
裂縫多的	crannied
補丁	patcher
補償	make good
裝釘	tacker
裸奔	streaker
裸眼	glassless
裸露	bareness
裸露的牙齒	bare one's teeth
裸骨頭	the bare bones
複音	syllabled
褐色	brownness
褻慢	scorner
襪子和小牛皮	sock and buskin
要不然	or else
要么接受，要么離開它	take it or leave it
要做某事	be on to something
要做點什麼	be about to do something
要堅強	be hard on
要是	if only
要槍殺	be gunning for
要殘忍地要善良	be cruel to be kind
要求	call for
要責怪	be to blame
要長	be long
覆蓋	lay over
覆蓋海濱	cover the waterfront
見紅色	see red
規則的道路	rule of the road
規模	in scale
規模化	to scale
規模經濟	economy of scale
視情況可以是	as the case may be
視線	line of sight
視線	line of vision
視野開闊	on view
親吻	kiss up to
親吻並告訴	kiss and tell
親吻和彌補	kiss and make up
親愛的生活	for dear life
親自	in person
親近	closeness
解釋器	explainer
觸底	bottomed
觸摸	to the touch
觸摸	touch at
觸摸一個人	touch someone up
觸摸下來	touch down
觸摸基地	touch base
觸摸木頭	touch wood
觸摸自然	touch of nature
觸發	triggered
訂書機	stitcher
訂購	on order
訂購	to order
計劃A	plan A
計劃B	plan B
計算成本	count the cost
計費	billable
計費	billed
討價還價	bargainer
記住自己的事情	mind one's own business
記筆記	take notice
記錄在案	on record
設在家裡	set up home
設定一個人	set someone up
設定世界	set the world alight
設定步伐	set the pace
設定舞台	set the stage for
設定議程	set the agenda
設置	set to
設置一些東西	set something off
設置一些東西	set something out
設置具體	be set in concrete
設置在	set in
設置在運動	set in motion
設置場景	set the scene
設置東西	set something in
設置東西	set something up
許可打印錢	licence to print money
訴訟原因	cause of action
註冊	sign up
評論者	commenter
試用	on trial
試試	try it on
試試我	try me
試錯	trial and error
詫異	questioningly
詭秘	queerly
該做什麼和不該做什麼	dos and don'ts
該物種的女性	the female of the species
詳細	in detail
詳細介紹	go into detail
誇大妄想	delusions of grandeur
認出	make out
認為合適	think fit
認為是理所當然的	take for granted
認為是這樣	be of the opinion that
認為這個世界	think the world of
認真地	in earnest
認識聖經中的人	know someone in the biblical sense
誘人親吻	kissable
語重心長	earnestness
誤事	drop the ball
誤入歧途	go astray
誤差範圍	margin of error
說	that said
說“茄子	say cheese
說一條藍條紋	talk a blue streak
說來話長	it's a long story
說出來	speak up for
說同樣的語言	speak the same language
說夠了	enough said
說大話	talk big
說惡	speak evil of
說方言	speak in tongues
說話	speak one's mind
說話	speak up
說話	speak volumes
說話	talk to
說謊	lie off
說謊	lie over
說謊	lie with
說起	speaking of
說這個字	say the word
說髒話	talk dirty
誰去那裡	who goes there?
課程標準	par for the course
調出來	tune out
調成	tune into
調整	adjuster
調用曲調	call the tune
調皮	monkeyish
調速裝置	speeder
談火雞	talk turkey
談話	talk at
談話	talk down to
談話店	talk shop
談話感	talk sense into
談談	talk the talk
談論	talk about
請上帝	please God
請問	take issue with
請律師	take counsel
請求者	demander
請求者	requester
請注意	call attention to
請注意	pay attention
論證者	arguer
諾比	knobby
謊言	falseness
謙卑的居所	one's humble abode
講話	on speaking terms
謝幕	take a bow
謝謝	thanks to
謝謝一堆	thanks a bunch
證明	prover
證明有人錯了	prove someone wrong
警察	cop on
警察	cop to
警惕感覺	cop a feel
讀我的唇語	read my lips
變成	turn into
讓rip	let rip
讓一個人過來	make someone over
讓一邊下來	let the side down
讓事情滑落	let something slip
讓別人出去	let someone out
讓別人知道	let someone know
讓它一起出去	let it all hang out
讓我們來假裝	let's pretend
讓我告訴你	let me tell you
讓我看看	let me see
讓某人進來	let someone in
讓步	give in
讓步;讓路	give way
讓睡狗說謊	let sleeping dogs lie
讓秋天	let fall
讓自己出洋相	make an ass of oneself
讓路	make way
讓過去的人過去	let bygones be bygones
讓開車	let drive
讓飛	let fly
讚美是	praise be
讚美者	praiser
豆山	a hill of beans
豌豆狀	pea-like
豐厚	handsomely
象棋	scratcher
豪爽地	nobly
豬在中間	pig in the middle
豬樣	hog-like
豹子不能改變他的斑點	a leopard can't change his spots
貓和老鼠	cat and mouse
負責	in charge
負責	take charge
負載下	under load
貨到付款	cash on delivery
貪婪	tender mercies
貴重	preciousness
買它	buy it
買農場	buy the farm
貸款	on loan
貼片機	mounter
貿易地點	trade places
資助者	funder
資金	in funds
賣空	sell short
質樸無華	starkness
賭棍	gamester
贊成	in favour of
贏家	gainer
贏得一天	win the day
贏得積分	win on points
贏或輸	win or lose
赤膊上陣	shirtless
赤裸裸	nakedly
赤裸裸	stark naked
赤裸裸	starkly
走一下	make a go of
走下深處	go off the deep end
走了	be gone on
走了	come away
走了一百萬	gone a million
走出低谷，重新振作起來，重整旗鼓	out of whack
走出危險	out of danger
走出去	step out
走出去	step out on
走出去	walk out
走出路	step out of line
走出這個世界	out of this world
走出鐵軌	go off the rails
走吧	walk it
走在空中	walk on air
走在蛋殼上	walk on eggshells
走在街上	walk the streets
走強	going strong
走得太遠	go too far
走得很遠	go far
走板	walk the boards
走板條	walk the plank
走漏消息	spill the beans
走穩	go steady
走自己的路	go one's own way
走進	walk into
走進去	walk in on
走遍全身	walk all over
走過去	walk over
走開	get lost
走開	walk away
走開	walk away with
走開	walk off with
起作用	kick in
起來	heave to
起初臉紅	at first blush
起床	get up
起床	get up to
趁熱打鐵	strike while the iron is hot
超出測量	beyond measure
超出範圍	out of bounds
超時	out of time
超越以上	above and beyond
超越回憶	beyond recall
超越描述	beyond description
超越比較	beyond comparison
超越的背後	the back of beyond
超越蒼白	beyond the pale
超越面紗	beyond the veil
超過	over and above
超過某人的頭	over someone's head
越來越多	more and more
越來越少	less and less
越過高峰	over the top
趕上	catch up with
趕上人	catch someone up
趕上太陽	catch the sun
趕上燈光	catch the light
趕出來	snap out of
趕快	make haste
趕時髦的人	swinger
足夠好	well enough
足夠近了	near enough
趴在臉上	fall flat on one's face
趾	toed
跌幅	decliner
跑一英里	run a mile
跑來跑去	come running
跑來跑去	run along
跑出來	run off with
跑向	run to
跑在	run at
跑步	run its course
跑步跳	take a running jump
跑過，匆匆處理	run through
跑過來	run over
跑錯了	run an errand
距離任何地方	miles from anywhere
距離很遠	be miles away
跟上	keep up with
跟上來	catch up
跟上步調	keep pace with
跟上瓊斯	keep up with the Joneses
跟著下去	go down with
跟著去	go with
跟隨	follow on
跟隨	follow suit
跟隨	follow through
跨國	across country
跨欄運動員	hurdler
跨越	run across
路的盡頭	the end of the road
跳上	jump on
跳上下來	be jumping up and down
跳上潮流	jump on the bandwagon
跳下去	jump off
跳保釋	jump bail
跳出來	jump out
跳到結論	jump to conclusions
跳槍	jump the gun
跳舞的	danceable
跳船	jump ship
跳躍生氣	hopping mad
跳躍者	leaper
跳進去	jump at
跳進床上	jump into bed with
跳過	tick over
跳過籃球	jump through hoops
跳鯊魚	jump the shark
踏實	sureness
踏浪號	treader
踟	hesitating
踢下來	kick down
踢出來的狗屎	kick the shit out of
踢回來	kick back
踢某人，當他們失望	kick someone when they are down
踢某人出來	kick someone out
踢某人在牙齒	kick someone in the teeth
踢起來	kick up
踩水	tread water
蹄	hoofed
身體不舒服	under the weather
身體和靈魂	body and soul
身體美麗	the body beautiful
身高越高	tallness
躲避	avoidance
躲避	avoider
躺在	lay into
躺在後面	lie behind
躺在自己的牙齒上	lie through one's teeth
躺起來	lie up
車夫	puller
車輪和交易	wheel and deal
軌道的錯誤一面	the wrong side of the tracks
軟選項	soft option
輕	make light of
輕拍	flick through
輕拍背部	a pat on the back
輕推	nudger
輕而易舉	easy does it
輕觸	a light touch
輕輕一擊	strike a light
輕輕地在腳下	be light on one's feet
輕輕的	softly
