og	and
stregformat	line format
stregkodegenerator	barcode generator
stregkoder	barcodes
stregoperator	line operator
Stregrækkefølge	Stroke order
stregsekvens	stroke sequence
Stregtykkelse	Line thickness
Stregtyper	Line types
stremma	strema
strengkomponent	string component
strenglængde	string length
stress	stress
Stribekontrast	Stripe contrast
stribemønster	stripe pattern
stribemønsteret	the stripe pattern
striberadius	stripe radius
striberne	the stripes
stribernes	the stripes
stribes	striped
Stribestyrke	Stripe strength
string	thong
strings	thong
strip	strip
striped	striped
strisserbil	police car
strissere	cops
strisseren	the cop
strisservogn	police car
strøgne	iron
Strømbegivenheder	Power events
strømbesparelse	power saving
strømbesvarelse	power response
strømforsyn	power supply
strømforsyningen	the power supply
strømkalibreringsområde	current calibration range
Strømstatus	Power status
Strømstyringslogarkiver	Power management logs
strømtilførsel	power supply
strong	strong
Strudel	Strudel
Strudels	Strudels
strukturdomænet	the structural domain
strukturelle	structural
strukturen	the structure
strukturer	structures
struktureret	structured
strukturerne	the structures
strukturværdier	structural values
Stryger	Ironing
sts	sts
student	student
studio	studio
Studio³	Studio³
studiomikrofon	studio microphone
Stuebord	Coffee table
Stueborde	Coffee tables
Stuer	Living rooms
Stuff	Stuff
Stuffit	Stuffit
Stuvninger	Stews
Style	Style
styreenhed	control unit
styreenheden	the control unit
styreenheder	control units
Styreenhedsmodul	Control unit module
Styrenhed	Control unit
styrketræning	strength training
sub	sub
subdomæne	subdomain
subject	subject
SubjectAltName	SubjectAltName
SubjectKeyID	SubjectKeyID
subnet	subnet
subnetadressen	the subnet address
subnetmaske	subnet mask
subnetmasken	subnet mask
Subnetmasker	Subnet masks
subnetværk	subnet
subprime	subprime
subscription	subscription
Subscriptions	Subscriptions
subservice	subservice
subsystem	subsystem
subsystemet	subsystem
Subsystemets	Subsystem
subtitle	subtitle
Subtotal	Subtotal
Subtraher	Subtract
subtype	subtype
subwoofer	subwoofer
subwoofere	subwoofers
Sucheng	Sucheng
Sudan	Sudan
Sudans	Sudanese
sudo	sudo
SugarSync	SugarSync
Suica	Suica
Suit	Suit
Suitcase	Suitcase
Suite	Suite
Sukiyaki	Sukiyaki
Sukiyakis	Sukiyaki
Sukkerknald	Sugar lollipop
Sukkerknalder	Sugarloaf
Sukkerstænger	Sugar canes
Sukkerstang	Sugarcane
sum	sum
Sumerisk	Sumerian
summary	summary
SummaryView	SummaryView
Sumo	Sumo
Sumoer	Sumo wrestlers
Sumpområder	Wetlands
Sun	Sun
Sundanesisk	Sundanese
Sunday	Sunday
sundheds	health
sundhedsfare	health hazard
sunny	sunny
sunrise	sunrise
suntiist	suntiist
superblok	superblock
SuperDrive	SuperDrive
superklip	super clip
Superkursiv	Super Italic
SuperSpeed	SuperSpeed
Supper	Soups
Suppl	Supplement
suppLangTags	suppLangTags
supplement	supplement
support	support
supportarkiver	support archives
supportartikel	support article
supportartikler	support articles
Supported	Supported
supportmuligheder	support options
Supportvilkår	Support Terms
surf	surf
surfboard	surfboard
Surfboards	Surfboards
surfer	surfer
surfere	surfers
Surfing	Surfing
Surimi	Surimi
Surinams	Surinamese
surrogater	surrogates
surround	surround
Survivor	Survivor
Sus	Sigh
Susan	Susan
sushi	sushi
Sushiretter	Sushi dishes
Suspend	Suspend
suspenderes	suspended
suspenderet	suspended
sutteflasker	baby bottles
Sutter	Sucks
suv	SUV
SUVs	SUVs
SV	SW
Svab	Swab
Svaber	Swabs
Svabere	Swabs
sværdkamp	sword fight
Svævebaner	Cable cars
Svalegang	Swallowing
Svalegange	Swallow passages
Svaner	Swans
svarblok	answer block
svarkommentar	reply comment
svarpostkort	reply postcard
svarstatus	response status
svartid	response time
svartider	response times
Svarvektoren	The response vector
svcp	svcp
sveddråbe	sweat drop
sveddråber	sweat drops
Sveriges	Sweden's
SVG	SVG
Svinekødet	The pork
svineskind	pigskin
Svøber	Swabs
svøbningsforvrængning	wrapping distortion
Svøm	Swim
Svømmebælter	Swimming belts
svømmedragt	swimsuit
Svømmedragter	Swimsuits
svømmere	swimmers
Svømmetøj	Swimwear
svømmetur	swim
svulmende	swelling
Svupper	Slurp
Svuppere	Swoopers
sw	sw
SWAP	SWAP
Swaziland	Swaziland
Swazilands	Swaziland
Sweater	Sweater
Sweatere	Sweaters
Swift	Swift
Swing	Swing
Swingdans	Swing dance
switch	switch
switchen	the switch
Switcher	Switches
switches	switches
SX900	SX900
SX910	SX910
SXGA	SXGA
SxS	SxS
Sydafrikas	South Africa's
Sydasiatiske	South Asian
Sydkoreas	South Korea
Sydney	Sydney
Sydøstasiatiske	Southeast Asian
sydøstpil	southeast arrow
Sydsudan	South Sudan
Sydsudans	South Sudan
sydsudansk	South Sudanese
sydvestpil	southwest arrow
sygemaske	medical mask
Syloti	Sylothy
Syltede	Pickled
Symantec	Symantec
symaskines	sewing machine
symbol	symbol
symbolbillede	symbol image
symboldata	symbol data
symboleksempel	symbol example
symbolfunktion	symbol function
symboloversigt	symbol overview
symbolsæt	symbol set
Symbolstørrelse	Symbol size
Symboltype	Symbol type
symbolvariant	symbol variant
symkeydist	symkeydist
symlink	symlink
Symphony	Symphony
SyncBraille	SyncBraille
SyncServices	SyncServices
SynergyKM	SynergyKM
synk	sink
synkroniser	synchronize
synkroniserede	synchronized
synkroniserer	synchronizes
synkroniseres	synchronized
synkroniseringen	the synchronization
synkroniseringer	synchronizations
synkroniseringsadvarsel	sync warning
synkroniseringsarkiv	synchronization archive
synkroniseringsdato	synchronization date
Synkroniseringsdiagnostik	Synchronization diagnostics
synkroniseringsfremstilling	synchronization production
synkroniseringsfunktion	synchronization function
synkroniseringsindstillinger	synchronization settings
synkroniseringskilder	synchronization sources
Synkroniseringsklient	Sync client
synkroniseringskonflikt	synchronization conflict
synkroniseringskonflikter	synchronization conflicts
synkroniseringsmærke	synchronization mark
synkroniseringsoplysninger	synchronization information
synkroniseringsoplysningerne	the synchronization information
synkroniseringsprogrammet	the synchronization program
synkroniseringsserver	synchronization server
synkroniseringsserveren	the synchronization server
Synkroniseringsstatus	Sync status
synkroniseringstatus	synchronization status
synkroniseringstjenester	synchronization services
synonymordbog	thesaurus
synonymordbøger	thesauruses
synsfeltet	field of vision
synsvinkler	viewpoints
syntaksfejl	syntax error
Synth	Synth
Synthesizer	Synthesizer
sysdiagnose	sysdiagnosis
SysRq	SysRq
system	system
Systemadgangskode	System password
systemadministration	system administration
systemadministrator	system administrator
systemadministratoren	the system administrator
Systemadvarsler	System warnings
Systemafgange	System departures
systemarkiver	system archives
systembegivenheder	system events
systembeskrivelse	system description
systembeskrivelsen	the system description
Systembeskrivelser	System descriptions
systembiblioteket	the system library
Systembiblioteksudvidelser	System library extensions
systembillede	system image
Systembrugernavn	System username
Systembuffer	System buffer
systemdataarkiver	system data archives
systemdatabase	system database
Systemdiagnostik	System diagnostics
systemdialog	system dialog
systemdialoger	system dialogs
systemdisk	system disk
Systemdrev	System drive
systemelement	system element
systemenhed	system unit
systemenheden	system unit
systemet	the system
systemets	the system's
systemfejl	system error
systemgenveje	system shortcuts
systemgodkendelse	system authentication
systemhandling	system action
Systemhandlinger	System actions
systemhukommelse	system memory
systemidentitet	system identity
systemindstilling	system setting
systemindstillingen	the system setting
systemindstillingerne	the system settings
systeminstallering	system installation
systemintegration	system integration
systemkomponenter	system components
systemkonfiguration	system configuration
systemkvitteringer	system receipts
systemlås	system lock
Systemlog	System log
systemlydstyrke	system volume
systemlydstyrken	system volume
systemmappe	system folder
systemmappen	the system folder
Systemmarkør	System marker
Systemmenu	System menu
systemnedbrud	system crash
systemnetværket	the system network
systemnøglering	system keychain
systemnøgleringen	the system keychain
Systemopdateringen	The system update
Systemoverførsel	System transfer
Systemoversigt	System overview
systempartition	system partition
systempartitionen	the system partition
systempartitionens	the system partition
systempolitik	system policy
systempolitikregler	system policy rules
Systemprinterdeling	System printer sharing
systemproblemer	system problems
Systemprofil	System profile
systemprogram	system program
systemprogrammer	system programs
systemrapport	system report
systemressource	system resource
systemskrift	system font
Systemskriftarkivet	The system font archive
systemskriften	system font
systemskrifter	system fonts
systemskrifterne	the system fonts
systemsoftware	system software
systemsprog	system language
systemsproget	the system language
systemstandarder	system standards
systemstandarderne	the system standards
systemstartprogram	system startup program
systemstemme	system voice
systemstyrke	system strength
systemsvigt	system failure
Systemtjenester	System services
systemudvidelse	system expansion
Systemudvidelsen	The system expansion
systemudvidelser	system extensions
systemudvidelsesoplysningerne	the system expansion information
SystemUIServer	SystemUIServer
Systemværktøjet	The system tool
systemversion	system version
Systemversionen	System version
systemvindue	system window
Systemzoom	System zoom
Systen	Sister
syvarmet	seven-armed
t	t
T1	T1
T2	T2
TAAAA	TAAAA
TAAVPlugin	TAAVPlugin
Tabbouleh	Tabbouleh
Tabboulehretter	Tabbouleh dishes
tabelform	tabular form
tabelformat	table format
tabelinstruktioner	table instructions
Tabelinteraktion	Table interaction
tabelkolonne	table column
tabellen	the table
tabellens	the table's
tabeller	tables
tabellerne	the tables
tabeloversigt	table overview
tabeloverskrift	table header
tabeloverskrifter	table headings
tabelrække	table row
tabelstruktur	table structure
TabExpose	TabExpose
Table	Table
tables	tables
tabulator	tabulator
tabulatoradskilt	tab-delimited
tabulatoradskilte	tab separators
tabulatorer	tabs
tabulatormærker	tab stops
tabulatorseparerede	tab-delimited
tabulatorstop	tab stop
tabulatortasten	tab key
tacoer	tacos
Tacoskaller	Taco shells
Tadsjikistans	Tajikistan
tae	tae
taekwondo	taekwondo
tællere	counters
tælleren	the counter
Tændstikker	Matchstick
tænkeboble	thought bubble
tænkebobler	thought bubbles
tænksomt	thoughtfully
tærskelværdi	threshold value
tærskelværdien	the threshold value
Tærsklens	Threshold
Tærter	Pies
tæsket	beaten
Tætheden	The density
Tæthedsenhed	Density unit
tæthedsmærke	tightness mark
Taffy	Taffy
Taffyslik	Taffy candy
Tagalog	Tagalog
Tagbanwa	Tagbanwa
tågesky	fog cloud
Tagged	Tagged
Tagtøj	Roofing
tai	Thai
Taipei	Taipei
Taiwan	Taiwan
Taiwans	Taiwan's
take	take
takeaway	takeaway
Takri	Takri
taksigelsesdag	Thanksgiving Day
Taktangivelse	Time signature
taktstreger	bar lines
taleattribut	speech attribute
talebesked	voice message
talebobbel	speech bubble
Taleboblehale	Speech bubble tail
talegenkendelsesfunktion	speech recognition function
Talehastighed	Speech rate
talehastigheden	the rate of speech
Talemarkør	Speech marker
talens	speech
talentkonkurrence	talent competition
Taleoverførsel	Voice transfer
taletast	talk key
Talfejl	Numerical error
talformer	numerals
Talformularer	Number forms
talindstilling	number setting
Talkie	Talkie
tallerkner	plates
Talskilletegn	Number separator
Talskive	Dial
Talskiver	Dials
talstave	number sticks
talsymboler	number symbols
Taltaster	Number keys
Tamer	Tamer
tanabata	tanabata
Tandoori	Tandoori
Tandooris	Tandoori
Tang	Tongs
tangenter	keys
Tango	Tango
tank	tank
tankebobbel	thought bubble
tankeboble	thought bubble
tankestreger	dashes
tanktop	tank top
Tanzania	Tanzania
Tanzanias	Tanzanian
tao	Tao
taoist	Taoist
Tapas	Tapas
Tapback	Tapback
Tapbacks	Tapbacks
Tapioca	Tapioca
Tapiocas	Tapioca
tar	takes
Tarantula	Tarantula
Tarantulaer	Tarantulas
Targa	Targa
target	target
Tarik	Tariq
Taro	Taro
Taroer	Taroes
TAS3001C	TAS3001C
TAS3004	TAS3004
Tashkent	Tashkent
tastaturadgang	keyboard access
tastaturbegivenheder	keyboard events
tastaturer	keyboards
tastaturet	the keyboard
tastaturets	keyboard
tastaturfokus	keyboard focus
Tastaturfremviser	Keyboard viewer
Tastaturfremviserhjælp	Keyboard viewer help
tastaturgenveje	keyboard shortcuts
tastaturhjælp	keyboard help
tastaturindstillinger	keyboard settings
tastaturkommandoer	keyboard commands
tastaturkontrol	keyboard control
tastaturlayout	keyboard layout
tastaturlayoutet	the keyboard layout
tastaturlysstyrke	keyboard brightness
tastaturmarkør	keyboard cursor
tastaturmenu	keyboard menu
tastaturmuligheder	keyboard options
tastaturstyring	keyboard control
Tastatursymboler	Keyboard symbols
tastaturtype	keyboard type
tastaturtypen	keyboard type
tastaturvindue	keyboard window
tastaturzoom	keyboard zoom
tasteanslag	keystroke
tastelyde	key sounds
tasten	the key
taster	keys
tasterne	the keys
Tasters	Buttons
tastetryk	keystroke
tasthandling	key action
tastkombination	key combination
tastkombinationen	the key combination
Tastnummer	Key number
tavlen	the board
taxi	taxi
taxibil	taxi
Taxier	Taxis
tb	tb
Tbc	TB
TBCP	TBCP
Tbit	Tbit
tbl	table
Tbr	Tbr
TBS	TBS
Tchads	Chad
TCIM	TCIM
tcp	tcp
TCP1	TCP1
TCS	TCS
tcsh	tcsh
TDD	TDD
TDTInfo	TDTInfo
tea	tea
teatermasker	theater masks
teatervogn	theater carriage
teatre	theaters
tebibyte	tebibyte
techno	techno
Technologies	Technology
Technology	Technology
Teddy	Teddy
Teddybjørne	Teddy bears
tegnafstand	character spacing
Tegndeler	Character divider
Tegnebøger	Wallets
tegnene	the signs
tegnes	drawn
Tegneserieeffekt	Cartoon effect
Tegnfremviser	Character viewer
tegngenkendelse	character recognition
tegningsskabelon	drawing template
Tegnkategori	Character category
Tegnkode	Character code
Tegnpalet	Character palette
Tegnsættet	The character set
tegnsætværdi	character set value
Tegnskrift	Character script
Tegnstørrelse	Character size
Tegucigalpa	Tegucigalpa
teintvælger	complexion selector
Tekander	Teapots
teknikker	techniques
Tekniske	Technical
teknologiarbejder	technology worker
Tekopper	Teacups
tekrus	teacup
tekstændring	text change
Tekstafstand	Text spacing
tekstarkiv	text archive
tekstarkiver	text archives
Tekstarkivet	The text archive
tekstarkivtype	text file type
tekstattributter	text attributes
tekstbehandlingsdokument	word processing document
tekstbehandlingsskabelon	word processing template
tekstbilledgenerator	text image generator
tekstblok	text block
Tekstcelle	Text cell
tekstchat	text chat
tekstdokument	text document
tekstdokumenter	text documents
tekstelement	text element
tekstelementet	the text element
tekstemne	text topic
tekstemner	text topics
Tekster	Lyrics
teksterstatninger	text replacements
tekstfarve	text color
tekstfarven	the text color
tekstfarvevælger	text color picker
tekstfelt	text field
tekstfelter	text fields
tekstfelterne	the text fields
tekstfeltet	text field
Tekstfeltscelle	Text field cell
tekstformat	text format
Tekstformater	Text formats
tekstgennemstregning	text strikethrough
Tekstiler	Textiles
Tekstindhold	Text content
tekstindstillinger	text settings
tekstindtasting	text input
tekstinputemne	text input topic
tekstjustering	text alignment
tekstjusteringen	the text alignment
Tekstkanter	Text borders
tekstkodning	text encoding
tekstkodningen	the text encoding
tekstkombination	text combination
Tekstliste	Text list
tekstmængde	text volume
tekstmærker	text tags
tekstmaster	text master
tekstmatch	text match
Tekstmeddelelse	Text message
Tekstmedie	Text media
tekstobjekt	text object
tekstområde	text area
tekstområder	text areas
tekstområdet	text area
Tekstopacitet	Text opacity
tekstoversigt	text overview
tekstproblemer	text problems
tekstramme	text frame
tekstrammer	text frames
Tekstredigering	Text editing
tekstresultat	text result
tekstretning	text direction
tekstside	text page
tekstsider	text pages
tekstskabelon	text template
tekstskygge	text shadow
tekstsnit	text section
tekstspalter	text columns
Tekstspor	Text track
tekstsporing	text tracking
tekststatus	text status
tekststykke	piece of text
tekststykker	text pieces
tekstudsnit	text snippet
tekstunderstregning	text underlining
teksturkort	texture map
Teksturstøtte	Texture support
tekstværdi	text value
tekstværdier	text values
tekstvalg	text selection
telefonen	the phone
telefoner	phones
telefonforbindelsen	the telephone connection
Telefonihjul	Telephony wheel
Telefonnr	Phone number
telefonnummeret	the phone number
telefonnummerfelt	phone number field
telefonnumre	phone numbers
telefonopkald	phone call
telefontegn	telephone sign
telefontjeneste	telephone service
Telekom	Telecom
Telesec	Telesec
Teleskoper	Telescopes
Telesoft	Telesoft
Teletex	Teletex
Teletrust	Teletrust
telex	telex
TelldusCenter	TelldusCenter
Telnet	Telnet
telnetadgang	telnet access
Telugu	Telugu
temaer	themes
Temaet	The theme
temakategori	theme category
Temaoverførsel	Theme transfer
temapark	theme park
Temaparker	Theme parks
temavælger	theme selector
temperaturfejl	temperature error
tempor	tempor
tempura	tempura
Tempuraretter	Tempura dishes
ten	ten
Tencent	Tencent
Tenex	Tenex
tennis	tennis
tennisbolde	tennis balls
tentakler	tentacles
TenthMountain	TenthMountain
tequila	tequila
Tequilaer	Tequilas
terabyte	terabyte
Terisa	Teresa
teriyaki	teriyaki
Teriyakier	Teriyaki
term	term
terminal	terminal
terminalen	the terminal
Terminalforbindelsen	The terminal connection
Terminalinstruks	Terminal instructions
Terminalinstruksen	The terminal instruction
terminalvindue	terminal window
Termiske	Thermal
termistor	thermistor
Termitter	Termites
Termoflasker	Thermos bottles
Termokander	Thermoses
termometre	thermometers
Termostater	Thermostats
terninger	dice
terningespil	dice game
Terningspil	Dice game
Terrarier	Terrariums
Terrarium	Terrarium
Terrasser	Terraces
terrier	terrier
terriere	terriers
territoriers	territories
Tessa	Tessa
Tesselated	Tessellated
test	test
TestAlert	TestAlert
testarkiv	test archive
Testcykler	Test cycles
Testcyklus	Test cycle
Testdefinitionsarkiv	Test definition archive
testeksempel	test example
testenheder	test units
testes	tested
testfrigivelse	test release
testmiljø	test environment
testprogrammer	test programs
testrapport	test report
testresultater	test results
tests	tests
testsession	test session
testside	test page
TestTarget	TestTarget
testToRun	testToRun
Testudbyder	Test provider
TeX	TeX
Texas	Texas
text	text
Textcelle	Text cell
TextEdit	TextEdit
TextLabel	TextLabel
textWithLanguage	textWithLanguage
TGA	TGA
TH	TH
Thaana	Thaana
Thailand	Thailand
Thailands	Thailand's
Tham	Tham
than	then
Thanh	Thanh
Thanksgiving	Thanksgiving
Thanksgivingsdag	Thanksgiving Day
that	that
Thawte	Thawte
the	the
Theater	Theater
theCards	theCards
these	thesis
theta	theta
thing	thing
third	third
this	this
Thomas	Thomas
thr	thr
thread	thread
Threading	Threading
Three	Three
Threshold	Threshold
throttled	throttled
Thuluth	Thuluth
thumbnail	thumbnail
thumbnails	thumbnails
Thunder	Thunder
Thunderbolt	Thunderbolt
Tian	Tian
tiara	tiara
Tiaraer	Tiaras
TiB	TiB
Ticker	Ticker
tickle	tickle
tidevandsbølge	tidal wave
tidsændringer	time changes
tidsafsnit	time period
Tidsbase	Time base
Tidsbegrænsninger	Time restrictions
Tidsbestemt	Timed
Tidsbevis	Time certificate
Tidseffekt	Time effect
tidselementer	time elements
Tidsfejl	Time error
tidsfelt	time field
tidsfeltet	time field
Tidsforbrug	Time consumption
Tidsforløb	Time course
tidsformat	time format
tidsformater	time formats
Tidsforskel	Time difference
tidsforslag	time suggestion
tidsgrænsen	the time limit
tidshandling	time action
tidsindikatorer	time indicators
Tidsindstillinger	Time settings
tidsinterval	time interval
Tidskilden	The time source
Tidskode	Timecode
tidslinjemærke	timeline mark
tidslinjevalg	timeline selection
Tidsmærke	Timestamp
Tidsmåler	Timer
tidsområde	time range
tidsserver	time server
tidssignatur	time signature
Tidssignatursystem	Time signature system
Tidsskrifter	Magazines
tidsstempel	timestamp
tidsstempeldata	timestamp data
tidsstempelhandling	timestamp action
Tidsstempelhandlingen	The timestamp action
tidsstempelmyndighed	timestamp authority
tidsstempelmyndigheden	timestamp authority
tidsstempelprogram	timestamp program
Tidsstempeltjenesten	The timestamp service
tidsstemplet	timestamp
tidsstempling	timestamp
tidsstemplingsliste	timestamp list
tidsstreng	time string
Tidsstyrede	Time-controlled
tidstempelmyndigheden	timestamp authority
Tidsvælger	Time selector
tidsværdi	time value
tidszoneindstilling	time zone setting
tidszonen	the time zone
tidszonens	time zone
tidszoner	time zones
Tidtagere	Timers
tidtagningsur	stopwatch
Tientsin	Tianjin
tif	tiff
tiff	tiff
Tifinagh	Tifinagh
tiger	tiger
tigeransigt	tiger face
Tigere	Tigers
tigerhoved	tiger head
tigerunge	tiger cub
tigre	tigers
tihi	silent
Tikkersymbol	Ticker symbol
tilbageførsel	refund
tilbageført	reverted
Tilbagehold	Withholding
tilbagekald	callback
tilbagekaldelser	recalls
Tilbagekaldelses	Recall
Tilbagekaldelsesflag	Revocation flag
tilbagekaldelseskontrol	recall control
tilbagekaldsfunktion	callback function
Tilbagekaldsmeddelelse	Recall message
tilbagekaldt	revoked
tilbagekaldte	recalled
Tilbagerul	Rewind
tilbagestil	reset
tilbagestille	reset
Tilbagestiller	Resets
tilbagestilles	reset
tilbagestillet	reset
tilbehøret	the accessories
tilbehørets	accessory
tilbehørsarkiverne	the accessory archives
tilbehørsarkivet	the accessories archive
Tilbehørsindstillinger	Accessory settings
Tilbehørsopdatering	Accessory update
tilbydes	offered
tilde	tilde
tildelingsblokkene	the allocation blocks
tildeoperator	tilde operator
tilfældige	random
Tilfældighedsgenerator	Random generator
tilføj	add
Tilføjelsesdato	Date added
tilføjelseshandling	addition action
tilføjelsesprogram	add-on program
tilføjelsestilladelser	add permissions
tilføjes	added
Tilfør	Add
Tilgænge	Available
Tilgængeligheds	Accessibility
tilgængelighedsfunktioner	accessibility features
Tilgængelighedsindstillinger	Accessibility settings
Tilgængelighedstastatur	Accessibility keyboard
tilgængelighedstastaturet	accessibility keyboard
Tilgængelighedstastaturs	Accessibility keyboard
tilkendegivelser	statements
tilladelser	permits
tilladelserne	the permits
tillades	allowed
tilladte	permitted
tillægsfaktor	additional factor
Tillidsgrænse	Confidence limit
Tilmeldelse	Registration
tilmeldes	sign up
tilmelding	registration
tilmeldingen	registration
tilmeldinger	registrations
tilmeldingsbeskrivelsen	the registration description
tilmeldingsfase	registration phase
tilmeldingsserver	registration server
tilmeldt	registered
tilnærme	approximate
tilpasningsmuligheder	customization options
tilpasningsoversigt	customization overview
tilpasningspalet	customization palette
tilpasser	adapts
tilpasses	adapt
tilrådes	is advised
tilsendt	sent
Tilsidesæt	Set aside
tilsidesættelse	disregard
tilsidesættelsesfelt	override field
tilskuerens	the spectator's
Tilskuerplads	Spectator area
Tilskuerpladser	Spectator seats
tilslut	connect
tilslutningsenhed	connection unit
tilslutningsfejl	connection error
Tilslutningsfunktion	Connection function
Tilslutningstid	Connection time
tilslutningstype	connection type
Tilslutningsvalg	Connection options
tilslutter	connects
tilsluttes	connect
tilstedeværelsen	the presence
tilsvarene	the equivalents
tilsynscertifikatet	the inspection certificate
Tilt	Tilt
Timba	Timba
Timbuktu	Timbuktu
Time Machine	Time Machine
Timeglassene	The hourglasses
timeout	timeout
timers	hourly
timesignature	time signature
timeStampToken	timeStampToken
Timianplanter	Thyme plants
timing	timing
Timor	Timor
Tin	Tin
tindren	tinder
tip	tip
tipier	teepees
tips	tips
Tir	Tue
Tiramisu	Tiramisu
Tiramisudessert	Tiramisu dessert
Tirhuta	Tirhuta
TIRS	TUESDAY
Titanium	Titanium
titellinje	title bar
titelmærke	title tag
Titeloplysninger	Title information
titelside	title page
titelvælger	title selector
title	title
title1	title1
title2	title2
TitleLabel	TitleLabel
titler	titles
Tjekkiets	Czech Republic
Tjekkiske	Czech
tjenesteadresse	service address
tjenestedata	service data
tjenestedataene	the service data
tjenesteforekomst	service instance
Tjenestehandling	Service action
Tjenestehandlinger	Service actions
tjenesteklient	service client
Tjenestelogo	Service logo
tjenestenavn	service name
tjenestenavnet	the service name
Tjenestenøgle	Service key
tjenesteoplysninger	service information
tjenestermenu	services menu
tjenesterne	the services
tjenestetypen	service type
tjenesteudbyder	service provider
tjenesteudbyderen	the service provider
tjenesteudvidelser	service extensions
TK	TK
TKIP	TKIP
tlb	tlb
TLC	TLC
tlf	tel.
TLS	TLS
TM	TM
TMH	TMH
tmp	tmp
Toast	Toast
Tobago	Tobago
Tobagos	Tobago
tofaktorgodkendelse	two-factor authentication
Tofu	Tofu
Toggarage	Train garage
Toggarager	Train garages
Togo	Togo
Togos	Togo
togsæt	train set
togskinne	train track
togskinner	train tracks
Togstationer	Train stations
togvogn	train carriage
Tohjulet	Two-wheeled
toilet	toilet
toiletter	toilets
Tøjsnore	Clotheslines
Tokelau	Tokelau
Tokelaus	Tokelau
tokelausk	Tokelauan
token	token
Tokencode	Token code
Tokend	Tokend
Tokyo	Tokyo
Tokyos	Tokyo's
Toldbod	Customs booth
toldere	customs officers
tomater	tomatoes
Tomatketchupper	Tomato ketchup
Tomatsalat	Tomato salad
Tome	Tome
Tomé	Tome
Tomés	Tomes
tommefinger	thumb
Tommelaftryk	Thumbprint
tommelfingeren	the thumb
tommeltast	thumb button
tømmes	emptied
tømning	emptying
ton	ton
Tonal	Tonal
tone	tone
Tonearten	The key
tonebredde	pitch width
Tonebutik	Tone shop
Toneeffekt	Tone effect
tonehøjdeeffekt	pitch effect
tonehøjden	the pitch
Tonehøjdeskala	Pitch scale
Tonekurv	Tone basket
tonekurve	tone curve
tonemærker	tone marks
Tonemætning	Tone saturation
toneområde	tonal range
TonePort	TonePort
tonerbeholdning	toner supply
tonereaktionen	the tone reaction
tonerpatron	toner cartridge
tonet	tinted
Tonetegn	Tone marks
Tonga	Tonga
Tongas	Tongan
Tons	Tons
tool	tools
top	top
Tophit	Top hit
Tophits	Top hits
Topkant	Top edge
Topmargen	Top margin
topmaster	top master
Toppunkter	Highlights
TorchUpdater	TorchUpdater
tordenbyger	thunderstorm
Torito	Torito
tornado	tornado
tornadoer	tornadoes
tornadosky	tornado cloud
Toronto	Toronto
Tørretumbler	Tumble dryer
Tørretumblere	Tumble dryers
Tortilla	Tortilla
Tortillaer	Tortillas
totalbitrate	total bitrate
TotalFinder	TotalFinder
TotalSpaces	TotalSpaces
Totrinsbekræftelse	Two-step verification
touch	touch
Touch ID	Touch ID
touchbar	touch bar
Tovbaner	Cable cars
Tove	Ropes
Tovværk	Ropework
tower	tower
Town	Town
TOWNS	TOWNS
Trace	Trace
Traceroute	Traceroute
tracking	tracking
tracknumber	track number
Trackpad	Trackpad
TrackpadIM	TrackpadIM
Trademark	Trademark
Trådfejl	Thread error
trådløse	wireless
trådløst	wireless
Træblæsere	Woodwinds
Træby	Wooden town
trækfunktion	pull function
Trækharmonikaer	Accordions
trækket	the pull
træklås	pull lock
Trækmærke	Pull mark
Trækvogne	Tractors
træningscenter	gym
Træningsfunktion	Training function
træstruktur	wooden structure
Trævippe	Wooden seesaw
Trævipper	Wooden swing
trafikforhold	traffic conditions
Trafikken	Traffic
Trafikkontrol	Traffic control
trafiklys	traffic light
trafiksignal	traffic signal
Trafiksignaler	Traffic signals
trailing	trailing
Traktorer	Tractors
Trampoliner	Trampolines
Trance	Trance
transaktionen	the transaction
transaktioner	transactions
Transaktionerne	The transactions
Transaktions	Transaction
Transaktionsadvarsel	Transaction warning
transaktionsbeløb	transaction amount
transaktionsgebyr	transaction fee
transaktionsgruppen	transaction group
transaktionshistorik	transaction history
transaktionshistorikken	transaction history
transaktionskontrolsteder	transaction checkpoints
Transaktionsmuligheder	Transaction options
TRANSAKTIONSSTANDARDER	TRANSACTION STANDARDS
transaktionstabel	transaction table
transfer	transfer
transferred	transferred
Transformerer	Transforms
transienter	transients
transit	transit
Transition	Transition
translate	translate
Translation	Translation
translations	translations
Translokationer	Translocations
transmission	transmission
transmissionen	the transmission
transmissionsfejl	transmission error
Transmissionsstatus	Transmission status
transmitterede	transmitted
Transparent	Transparent
Transparentenhed	Transparency unit
transportable	transportable
transportlinje	transport line
Transportmidler	Means of transport
transportråd	transport council
Transskriber	Transcribe
transskriptioner	transcriptions
Trappetrin	Stair steps
Travel	Travel
Traveller	Traveler
trebladede	three-leafed
trebladet	three-leafed
tredimensionalt	three-dimensional
tredjeparter	third parties
tredjeparters	third-party
tredjeparts	third party
tredjepartsapps	third-party apps
tredjepartstastatur	third-party keyboard
tredjepartsudvikler	third-party developer
tredjeplads	third place
Tredobbelthæftet	Triple-stitched
tree	tree
Trefødder	Tripods
treforkemblem	trident emblem
Trehjulede	Tricycles
Trehjulet	The tricycle
trejdeparter	third parties
Trekamp	Triathlon
Trekampe	Three-way match
trekantede	triangular
