㑫	nộm
𣊘	ngừ
𣊾	bây
𣊿	chiều
𣋀	sao
𣋁	tối
𣋂	chiều
𣋃	rạng
𣋆	nhoạng
𣋇	đổi
𣋑	dịp
𣋚	hôm
𣋛	lát
𣋜	cợm
𣋝	ráo
𣋨	xôm
𣋩	lát
𣋰	bão
𣋱	hẩng
𣋻	mịt
𣋼	giỗ
𣋽	sớm
𣋾	thủa
𣌁	trưa
𣌂	trưa
𣌆	trưa
𣌉	khuya
𣌋	sớm
𣌌	rua
𣌒	đổi
𣌔	trán
𣌛	trán
𣌝	nắng
𣌴	ngoặt
𣌵	quặp
𣌶	còng
𣌹	vạy
𣌺	xéo
𣍀	ngúc
𣍁	vạy
𣍂	góc
𣍅	vẹo
𣍊	hết
𣍋	cúi
𣍍	oăm
𣍕	ngoèo
𣍗	còng
𣎀	đêm
𣎃	tháng
𣎊	mề
𣎏	có
𣎖	chạp
𣎞	trăng
𣎢	chiều
𣎣	khuỷu
𣎦	ráng
𣎷	ớt
𣏒	hòn
𣏾	qua
𣏿	then
𣐄	truông
𣐅	nhum
𣐆	thớt
𣐝	xốp
𣐲	quéo
𣐳	sứ
𣐴	sậy
𣑌	trát
𣑎	rơi
𣑳	chồi
𣑴	giàn
𣑵	nhót
𣑶	rễ
𣑷	sim
𣑺	trồng
𣑻	nen
𣒠	vạy
𣒣	măng
𣒱	xoài
𣒲	sao
𣒳	cong
𣒴	táu
𣒵	cải
𣒾	vông
𣓆	rườm
𣓋	sến
𣓦	phím
𣓿	lau
𣔓	bễ
𣔝	đón
𣔞	cui
𣔟	bắp
𣔠	cần
𣔡	phà
𣔢	xới
𣔣	ngộc
𣔤	sứ
𣔥	chanh
𣔦	nhài
𣔧	đó
𣔨	khẳng
𣔩	bó
𣔲	quạnh
𣕘	hay
𣕬	nọc
𣖖	chày
𣖗	chày
𣖘	hồng
𣖙	mía
𣖚	ca
𣖛	chót
𣖜	vựa
𣖝	sề
𣖞	bí
𣖟	ghế
𣖠	suốt
𣖡	trắc
𣖢	trót
𣖧	sòi
𣗌	mê
𣗑	chạn
𣗒	chằm
𣗓	chưa
𣗪	chà
𣗱	lè
𣗼	vên
𣗾	son
𣗿	tủ
𣘁	cà
𣘂	ươi
𣘃	cây
𣘄	thớt
𣘆	nẹp
𣘈	son
𣘉	cùm
𣘊	đồ
𣘌	choác
𣘓	bẫy
𣘽	nâu
𣘾	vai
𣙙	rắc
𣙦	trĩ
𣙧	nhãn
𣙨	bè
𣙩	sồng
𣙪	mơ
𣙫	sộp
𣙬	lặt
𣙭	giậu
𣙮	chay
𣙯	rui
𣙷	máng
𣙸	sốt
𣙹	cốn
𣙺	mâm
𣚮	trôm
𣛟	xanh
𣛠	máy
𣛡	gụ
𣛢	vả
𣛣	khay
𣛤	trái
𣛥	be
𣛦	đu
𣛧	chuôm
𣛨	chèo
𣛩	then
𣛪	tu
𣛭	đu
𣛯	rạo
𣛱	dom
𣜋	mớ
𣜰	lim
𣜱	son
𣜲	đụn
𣜳	vông
𣜴	dó
𣜵	hèo
𣜶	ót
𣜷	sầu
𣜸	vừng
𣜻	nhủ
𣜾	chửa
𣜿	nhịp
𣝀	cằn
𣝅	ngái
𣝉	duối
𣞂	giổi
𣞃	khù
𣞄	cuối
𣞅	chũm
𣞊	sôn
𣞍	thợ
𣞎	tràm
𣞪	mức
𣞶	sến
𣞻	bưởi
𣞽	dặng
𣞾	trầu
𣟂	khuôn
𣟃	mộng
𣟩	dùi
𣟪	nóc
𣟫	nhãn
𣟭	mạ
𣟮	mềm
𣠑	bòng
𣠒	thắm
𣠓	pheo
𣠕	chưa
𣠖	chửa
𣠗	que
𣠘	gàu
𣠩	tràm
𣠰	giần
𣠱	trâm
𣠲	rễ
𣠳	mềm
𣠶	đỏ
𣠺	nạng
𣡓	tràm
𣡙	trái
𣡚	trái
𣡝	vui
𣡤	nén
𣡯	bẫy
𣡹	siểng
𣢹	lỏi
𣥱	trải
𣦆	trải
𣦍	ngay
𣦎	thẳng
𣦓	giêng
𣦛	thẳng
𣦮	tuổi
𣦰	trải
𣨕	giã
𣨧	giuộc
𣨭	quàn
𣨮	giẫm
𣨰	thác
𣩁	chết
𣩂	chết
𣩦	ngoéo
𣩸	toi
𣫕	đền
𣫲	đừng
𣫷	vắn
𣭃	sù
𣭛	bờm
𣭯	ria
𣭰	mào
𣭻	mau
𣮇	ngù
𣯡	lông
𣰏	ngòi
𣰙	quặm
𣰳	lông
𣰴	lông
𣰵	lông
𣱆	họ
𣱬	hơi
𣱭	bủm
𣱰	rắm
𣱶	vục
𣱼	đao
𣱽	lầy
𣱾	lẻo
𣱿	nhớp
𣲍	ngụt
𣲠	ngớt
𣲦	sểu
𣲹	nhèm
𣳔	dòng
𣳡	mồ
𣳢	ngòi
𣳪	lượi
𣳮	lả
𣴓	cạn
𣴙	đư
𣴚	hụp
𣴛	nhúng
𣴜	thác
𣵮	bưng
𣵯	xôi
𣵰	lặn
𣵲	bợn
𣵴	ngấm
𣵵	ngập
𣵶	xuôi
𣶈	vóng
𣷠	mênh
𣷭	bể
𣷮	lội
𣷯	cặn
𣷰	nhơm
𣷱	sữa
𣷲	sữa
𣷳	đáy
𣷴	vẻo
𣷷	biển
𣹓	đầy
𣹔	hoảnh
𣹕	lụt
𣹖	tồ
𣹗	tràn
𣹘	dãi
𣹙	ọ
𣹟	cống
𣺺	dò
𣺻	đắm
𣺼	đoảng
𣺽	bãi
𣺾	nhựa
𣻀	nuột
𣻁	chặm
𣻂	sết
𣻃	bụi
𣻄	sờ
𣻅	cát
𣻆	tuôn
𣻇	xối
𣻈	bỏng
𣻉	dưới
𣻕	mà
𣻗	dề
𣻽	kênh
𣻾	nít
𣼍	són
𣼩	ẩm
𣼪	bớt
𣼫	chã
𣼬	đểnh
𣼭	dồi
𣼮	thìa
𣼯	vùi
𣼰	lùng
𣼱	ngàu
𣼲	doi
𣼳	xọp
𣼴	nhẵng
𣼶	vẩn
𣼷	lớt
𣼸	nhợt
𣼹	dợn
𣼺	mèm
𣼼	tràn
𣼽	lắng
𣼾	lẻo
𣽀	ngấu
𣽆	veo
𣽊	thỏi
𣾃	ngót
𣾵	choẹt
𣾶	dội
𣾸	đìa
𣾹	giặt
𣾺	khơi
𣾻	chã
𣾼	vượt
𣾽	xối
𣾾	bụi
𣾿	ói
𣿃	ngấu
𣿅	rỏng
𣿇	đắm
𣿌	ạt
𤀏	thía
𤀐	đáy
𤀒	nhỏ
𤀓	lọc
𤀔	ẩm
𤀕	ráy
𤀖	ngoi
𤀗	rửa
𤀘	vùng
𤀙	ồ
𤀚	lượn
𤀛	lầy
𤀜	tành
𤀞	chứa
𤁓	dào
𤁔	khơi
𤁕	lạt
𤁖	loã
𤁘	trong
𤁙	bớt
𤁛	chửa
𤁠	dào
𤁩	giợt
𤂧	bồng
𤂨	mò
𤂩	rửa
𤂪	dấn
𤂫	phùn
𤂬	lội
𤂭	toé
𤂱	rề
𤂷	ứ
𤃛	bều
𤃜	leo
𤃝	rách
𤃞	mương
𤃟	úng
𤃠	nổi
𤃡	rãnh
𤃢	lõm
𤃤	nhão
𤃥	rèm
𤃧	thướt
𤄋	tỏng
𤄌	giết
𤄍	rượu
𤄭	rề
𤄮	nhiều
𤄯	trong
𤄰	nhăn
𤄱	dẫn
𤄲	cấn
𤅉	ráng
𤅜	veo
𤅧	xổn
𤅶	biển
𤆈	nảy
𤆷	loá
𤆸	tom
𤆹	nhá
𤆺	hóng
𤆻	thếp
𤇊	bừng
𤇌	kho
𤇢	vặc
𤇣	xên
𤇤	xáo
𤇥	lập
𤇦	mò
𤇧	sấy
𤇨	phơi
𤇩	tắt
𤇪	chín
𤇮	bép
𤇲	nhúm
𤇳	nhũn
𤈜	cháy
𤈝	nghẹ
𤈞	lùi
𤈟	nhừ
𤈠	sốt
𤈡	ngút
𤈤	hông
𤈪	chớ
𤉒	giãi
𤉓	tro
𤉔	tác
𤉕	tro
𤉖	se
𤉗	héo
𤉘	ngún
𤉚	sôi
𤉛	toà
𤉜	ràng
𤉠	chườm
𤊒	luộc
𤊠	rọi
𤊡	bóng
𤊢	ngời
𤊣	tro
𤊤	nhem
𤊥	lừng
𤊦	phỏng
𤊧	rực
𤊨	vặc
𤊩	rom
𤊪	rỡ
𤊫	phơi
𤊬	phơi
𤊭	lốm
𤊰	bén
𤋵	dãi
𤋶	rành
𤋷	nấu
𤋸	khét
𤋹	kho
𤋻	phới
𤋼	kho
𤋽	chới
𤋾	um
𤋿	đốt
𤌀	kíp
𤌄	chả
𤌅	nháng
𤌋	khói
𤌣	rát
𤍃	hây
𤍄	tỏ
𤍅	rệt
𤍆	ngốt
𤍇	nấu
𤍉	ngùn
𤍊	tỏ
𤍋	hực
𤍌	thiêng
𤍑	chong
𤍶	loà
𤎍	quắc
𤎎	mờ
𤎏	nóng
𤎐	nực
𤎑	mõm
𤎒	phấp
𤎓	thiêng
𤎔	rạng
𤎕	tắt
𤎛	rấm
𤎜	rậng
𤏢	nhội
𤏣	tỏ
𤏤	hơ
𤏥	thui
𤏦	khét
𤏧	thắp
𤏨	se
𤏪	rao
𤏫	buốt
𤏬	rạng
𤐓	khê
𤐚	hâm
𤐛	nấu
𤐜	ngòi
𤐝	soi
𤐠	luộc
𤐡	khói
𤑈	chang
𤑉	rỡ
𤑍	hửng
𤑟	rõ
𤑫	bùng
𤑬	loé
𤑭	lói
𤑮	mồ
𤑯	sém
𤒘	đuốc
𤒙	chín
𤒚	nung
𤒛	nấu
𤒟	nhùi
𤒠	đỏ
𤒢	lốm
𤒦	sém
𤒲	chờn
𤒴	thắp
𤓆	ram
𤓇	quầng
𤓛	dìu
𤓢	nến
𤓩	bén
𤓺	vấu
𤔛	sụ
𤔯	vuốt
𤔷	dành
𤔻	móng
𤔽	móng
𤔾	móng
𤕔	cha
𤖡	rìu
𤖶	bánh
𤖸	chũa
𤖹	lớp
𤗆	múi
𤗖	mảnh
𤗤	cổng
𤗲	tấm
𤗹	phướn
𤘁	mỏng
𤘂	mỏng
𤘋	ngà
𤘓	nanh
𤙭	bò
𤙮	ngàu
𤚆	bê
𤚇	nghé
𤚦	cộ
𤚧	sao
𤛇	chăn
𤛞	nghé
𤛠	trâu
𤜠	nái
𤜬	săn
𤜭	tử
𤜯	cọp
𤝋	vằn
𤝑	mướp
𤝞	chuột
𤝫	nhím
𤝹	chù
𤞐	chồn
𤞑	hòi
𤞒	ngỗng
𤞓	săn
𤞔	thấc
𤞕	tấy
𤞖	lòi
𤞘	sề
𤞦	mọi
𤞧	khọn
𤞨	bò
𤞩	rợ
𤞪	rợ
𤞫	rái
𤞺	cáo
𤞻	hùm
𤞼	lợn
𤞽	mường
𤟂	độc
𤟛	thỏ
𤠂	đười
𤠃	kễnh
𤠄	gà
𤠅	voi
𤠆	ươi
𤠋	trâu
𤠚	chó
𤠤	hoẵng
𤠰	gấu
𤠱	ươi
𤠲	khái
𤠳	khỉ
𤠴	vượn
𤠶	chằn
𤠷	sề
𤠹	rái
𤡁	mãn
𤡌	muông
𤡚	khái
𤡛	nanh
𤡮	nhiên nhen
𤢇	vuốt
𤢈	săn
𤢔	nhen
𤢗	lòi
𤢤	bẵm
𤢥	vượn
𤢫	ngáo
𤢬	đười
𤢽	nhắt
𤢾	nhím
𤢿	sói
𤣄	beo
𤣚	nhím
𤣡	dọc
𤤰	vua
𤥑	vòng
𤥭	xà
𤪊	cườm
𤫿	dưa
𤬀	dưa
𤬈	hấu
𤬪	ngói
𤬲	ngói
𤬸	sành
𤭚	gáo
𤭵	ấm
𤭶	hông
𤭷	chậu
𤭸	bình
𤮃	ang
𤮄	gạch
𤮑	be
𤮒	hũ
𤮗	lọ
𤮘	gạch
𤮞	ngói
𤮟	ngói
𤮠	muống
𤮥	âu
𤮾	ngọt
𤮿	ngọt
𤯆	ngon
𤯊	chè
𤯑	lắm
𤯨	sống
𤯩	sống
𤯭	sánh
𤯰	đẻ
𤯱	gã
𤯶	cữ
𤯺	siêng
𤯿	đẻ
𤰁	cữ
𤲂	dưới
𤲌	ruộng
𤲼	dái
𤳄	bởi
𤳆	trai
𤳇	trai
𤳢	trống
𤳧	lạ
𤳨	rộc
𤳰	ve
𤳱	ruộng
𤳷	bởi
𤳸	bởi
𤳽	ruộng
𤴏	lạ
𤴥	ngất
𤴪	ghẻ
𤴬	đau
𤴭	bớt
𤴵	nhức
𤴶	sởi
𤵊	đòn
𤵕	khờ
𤵖	vết
𤵪	sẹo
𤵳	bón
𤵴	sảy
𤵶	si
𤵺	dại
𤶄	nhặm
𤶈	tấy
𤶎	chau
𤶏	choáng
𤶐	chồn
𤶑	nhăn
𤶒	ben
𤶜	choáng
𤶹	guộc
𤶺	xoải
𤶻	nghén
𤶼	mâng
𤶽	mụt
𤶾	lằn
𤶿	hầu
𤷂	phị
𤷄	quèn
𤷒	tê
𤷭	điếc
𤷮	váng
𤷯	loét
𤷰	bủng
𤷱	mòn
𤷲	sần
𤷳	nhom
𤷴	ê
𤷵	phờ
𤷶	bướu
𤸒	ngúng
𤸧	hoen
𤸨	xìu
𤸭	rồ
𤹑	rôm
𤹒	khừ
𤹓	quặn
𤹔	báng
𤹕	ươn
𤹖	hen
𤹗	ỏng
𤹘	nhọc
𤹙	chốc
𤹚	nhức
𤹼	bướu
𤹽	nốt
𤹾	hủi
𤹿	ngơ
𤺭	buốt
𤺮	gúa
𤺯	mụn
𤺰	khom
𤺱	nhèn
𤺲	sởn
𤺳	tê
𤺴	bướu
𤺵	ốm
𤺶	ngứa
𤻎	cúm
𤻏	hủi
𤻐	hom
𤻑	rêm
𤻒	toi
𤻓	gầy
𤻔	ngứa
𤻪	nhó
𤻫	nhối
𤻬	thượt
𤻭	ngứa
𤻳	luỗi
𤻻	mệt
𤻼	rỗ
𤻽	xải
𤻾	rạn
𤼓	rôm
𤼔	ngợm
𤼕	nhức
𤼞	gầy
𤼸	dâng
𤽀	trẻo
𤽗	ngươi
𤽴	hếu
𤽵	phau
𤽶	vía
𤽸	trắng
𤾓	trăm
𤾔	vang
𤾟	hớ
𤾯	mởn
𤾰	ngươi
𤾱	nhênh
𤾷	phếch
𤿍	vỏ
𤿤	bè
𤿦	da
𤿭	vỏ
𤿰	trống
𤿱	bịt
𥀌	giày
𥀪	ủng
𥀳	mo
𥁷	vịm
𥂉	trộm
𥃑	mâm
𥃚	mâm
𥃛	mâm
𥃞	hết
𥃨	vúc
𥃱	nhắp
𥄫	mập
𥄬	ngủ
𥄭	ngó
𥄮	nhắm
𥄯	ngơm
𥄰	nhơn
𥅃	nhớn
𥅘	nháy
𥅞	thức
𥅦	lồi
𥅲	chau
𥅿	chợp
𥆀	giương
𥆁	liếc
𥆂	nhằm
𥆃	nhơ
𥆄	quáng
𥆟	đoái
𥆡	dòm
𥆹	ngớp
𥆺	dấu
𥆻	rử
𥆼	lé
𥆽	ngỏm
𥆾	nhìn
𥆿	quàu
𥇀	màng
𥇁	trố
𥇂	bét
𥇈	nhốn
𥇶	him
𥇷	nhòm
𥇸	nhác
𥇹	ngái
𥇺	trợn
𥇻	trố
𥇼	nhõi
𥇽	nhõ
𥈁	nghểnh
𥈢	mí
𥈭	ngác
𥈯	láy
𥈰	hóng
𥈱	nhìn
𥈲	ngấp
𥈳	chột
𥈴	ngước
𥈵	nhớn
𥈶	nom
𥈹	nhòm
𥈺	dòm
𥈿	ngóng
𥉩	trông
𥉪	háy
𥉫	trông
𥉬	lét
𥉭	trít
𥉮	sọc
𥉯	khoẻ
𥉰	dòm
𥉲	trợn
𥉸	ghèn
𥊀	xăm
𥊖	đui
𥊗	gượm
𥊘	ghé
𥊙	mòm
𥊚	mờ
𥊛	trông
𥊜	nguýt
𥊝	chớp
𥊞	quắc
𥊟	nhăn
𥊠	sòng
𥊡	nhỏn
𥊢	thẳng
𥊣	thẳng
𥊤	ngươi
𥊥	dòm
𥊦	mù
𥊴	toét
𥋒	tré
𥋓	ngoảnh
𥋔	trừng
𥋕	trộm
𥋟	ngươi
𥋲	lem
𥋳	coi
𥋴	ngắm
𥋵	him
𥋶	lấm
𥋷	liếc
𥋸	soi
𥋹	ngáy
𥋺	dòm
𥋼	gườm
𥋽	tráo
𥌀	xét
𥌈	trộm
𥌎	nhó
𥌙	nhó
𥌥	khoé
𥌦	lén
𥌧	ló
𥌫	trợn
𥌬	nhìn
𥌷	hiếng
𥌸	dim
𥌹	ngắm
𥍍	lom
𥍎	ngóng
𥍑	ghẹo
𥍒	chăm
𥍖	trõm
𥍘	nheo
𥍛	ngom
𥎁	mềm
𥏋	tên
𥏌	tên
𥏍	tên
𥏿	vắn
𥐆	vắn
𥐇	ngắn
𥐈	số
𥐉	ngắn
𥐋	ngủi
𥐍	ngắn
𥐏	cộc
𥐐	ngủn
𥐒	cụt
𥐔	vắn
𥐦	dĩa
𥐧	lỏi
𥐨	đĩa
𥑂	chai
𥑃	bền
𥑠	cườm
𥑥	sinh
𥑭	xách
𥑲	rắn
𥑴	ì
𥑶	lọi
𥒃	đĩa
𥒅	gại
𥒥	đá
𥒦	đĩa
𥒮	vỡ
𥓄	mài
𥓅	vỡ
𥓉	sành
𥓳	bể
𥓴	mài
𥓵	đĩa
𥓶	vỡ
𥓷	canh
𥓸	sờm
𥓹	lỗi
𥔦	vôi
𥔧	chồng
𥕄	mài
𥕊	mảnh
𥕌	chởm
𥕥	gồ
𥖐	đọi
𥖑	vỡ
𥖒	quành
𥖓	vỡ
𥖔	sạn
𥖕	lở
𥖖	vỡ
𥖩	cuội
𥖸	oè
𥖺	mẻ
𥗌	gạch
𥗍	rè
𥗎	ghề
𥗏	quánh
𥗐	sỏi
𥗜	chén
𥗨	nén
𥗩	gạch
𥗳	gạch
𥗹	tô
𥗽	lởm
𥘀	nặng
𥘂	bến
𥘑	vạ
𥘪	ngó
𥘶	trẽ
𥘷	trẻ
𥙒	trẩy
𥙓	rúng
𥙧	nhẽ
𥙩	lấy
𥙪	rưỡi
𥚄	lạy
𥚅	nhễ
𥚆	nhìn
𥚇	lưỡi
𥚤	thờ
𥚥	lãi
𥚯	dễ
𥛉	lậy
𥛗	nhòm
𥛭	lẻ
𥜀	vải
𥜡	nhẽ
𥜤	rẻ
𥝎	gặt
𥝥	cặp
𥝽	cấy
𥞖	giống
𥞵	thê
𥟈	thóc
𥟉	thóc
𥟊	ngô
𥟌	bông
𥟹	lụi
𥟼	bắp
𥠬	trấu
𥠭	giống
𥠮	rơm
𥠯	rơm
𥡗	má
𥡘	vựa
𥢂	mạ
𥢃	nành
𥢄	mấm
𥢅	riêng
𥢆	riêng
𥢉	thóc
𥢐	cau
𥢫	gặt
𥢬	vè
𥢳	chứa
𥣐	vừng
𥣑	trồng
𥣒	giỗ
𥣽	chuỗi
𥦝	dòm
𥧎	hang
𥧩	núp
𥧪	rỗng
𥨋	lủng
𥨧	xó
𥨨	trống
𥩇	hoắm
𥩉	chui
𥩍	xỏ
𥩯	dựng
𥩰	sập
𥪅	xòi
𥪝	trong
𥪞	trong
𥪸	đứng
𥫌	trỗi
𥫟	giễ
𥫭	nứa
𥬉	gầu
𥬊	cần
𥬋	sề
𥬧	chòm
𥬨	khau
𥬩	nia
𥬮	giang
𥭌	trạc
𥭍	dằm
𥭎	măng
𥭏	mấu
𥭵	nả
𥭶	măng
𥮇	bương
𥮈	hum
𥮉	bu
𥮊	đũa
𥮋	thẻ
𥯇	rổ
𥯈	ván
𥯉	đó
𥯊	rá
𥯋	mành
𥯌	tre
𥯍	mui
𥯎	xóm
𥯏	cổng
𥯒	tơi
𥯓	trúm
𥯝	đốt
𥯪	trấu
𥰄	cảu
𥰆	rế
𥰇	kè
𥰈	siểng
𥰊	thấp
𥱨	rọ
𥱪	cót
𥱫	sáo
𥱬	ghi
𥱭	giành
𥱮	nôi
𥱯	thời
𥱰	giò
𥱱	chòm
𥱲	kèn
𥱴	vó
𥳂	lược
𥳃	khại
𥳄	giần
𥳅	rá
𥳉	giô
𥳐	khay
𥳓	sáo
𥴗	thúng
𥴘	mui
𥴙	dậu
𥴚	gầu
𥴛	chòi
𥴜	chiếu
𥴢	trĩ
𥵕	chiếu
𥵖	tơi
𥵗	hom
𥵘	rây
𥵙	giậu
𥵚	cần
𥵛	nong
𥵾	chõng
𥵿	mung
𥶀	thùng
𥶁	lạt
𥶂	gây
𥶃	mủng
𥶄	nón
𥶇	rổ
𥶮	toi
𥶯	còi
𥶰	nừng
𥶱	phách
𥶲	chổi
𥶳	dằm
𥷒	lách
𥷓	nôi
𥷧	trạc
𥷺	mo
𥷻	mây
𥸁	nan
𥸄	giậm
𥸆	liếp
𥸍	siểng
𥸒	nẳn
𥸓	níp
𥸝	trúm
𥸠	thẻ
𥸷	xôi
𥸿	bả
𥹀	tấm
𥹘	bánh
𥹙	cháo
𥹞	dại
𥹯	dồi
𥹰	lâu
𥹸	bột
𥺆	sền
𥺊	gạo
𥺎	bổi
𥺏	xôi
𥺐	thính
𥺑	tấm
𥺒	thính
𥺓	lớ
𥺔	xôi
𥺕	bã
𥺖	bã
𥺹	oản
𥺺	xệp
𥺻	cốm
𥺽	suông
𥺾	khằn
𥺿	ỉa
𥻙	mẻ
𥻠	dẻo
𥻡	mày
𥻢	thính
𥻣	dầy
𥻧	hèm
𥻮	tẻ
𥻸	bún
𥻹	chè
𥻺	khê
𥻻	nếp
𥻼	ú
𥻽	cứt
𥼕	lép
𥼖	mẳn
𥼱	kẹo
𥼲	hẩm
𥼳	ú
𥽄	thúng
𥽇	cám
𥽌	gạo
𥽍	cốm
𥽎	hèm
𥽔	men
𥽡	phân
𥽢	phèn
𥽤	xia
𥽩	xầy
𥽪	đúc
𥽵	nhão
𥾃	men
𥾋	nái
𥾗	díu
𥾘	Sợi
𥾛	chặt
𥾵	phảng
𥾽	bền
𥾾	buộc
𥾿	ngó
𥿀	vít
𥿁	vương
𥿂	tim
𥿗	giấy
𥿠	bủa
𥿡	nỉ
𥿣	chão
𥿤	khâu
𥿥	sợi
𥿺	vòng
𦀅	niền
𦀊	dai
𦀋	buông
𦀌	nhợ
𦀍	rách
𦀎	riết
𦀏	thùa
𦀐	chằng
𦀑	trói
𦀖	kép
𦀗	xích
𦀚	giềng
𦀨	nơ
𦀪	vá
𦀫	yếm
𦀴	mạng
𦀵	chuỗi
𦀹	thun
𦀺	xe
𦀻	cửi
𦀼	nối
𦀽	kéo
𦀾	ràng
𦀿	vải
𦁀	bối
𦁁	nuộc
𦁂	bận
𦁅	sô
𦁢	chằng
𦁣	go
𦁸	mạng
𦁹	rớ
𦁺	món
𦁻	nịt
𦁼	may
𦁽	vướng
𦁾	ửng
𦁿	gò
𦂁	đỏi
𦂈	trủ
𦂛	the
𦂺	ươm
𦂻	luốt
𦂼	giậm
𦂽	đột
𦂾	dệt
𦂿	buộc
𦃀	chải
𦃐	tao
𦃮	gai
𦃯	tói
𦃾	lượt
𦃿	vải
𦄀	mã
𦄁	thùn
𦄂	dải
𦄃	chít
𦄄	quấn
𦄅	dệt
𦄆	may
𦄇	nịt
𦄈	xuyến
𦄌	chắp
𦄓	xâu
𦄞	vấn
𦄠	nút
𦄣	cuộn
𦄴	chài
𦄵	dứt
𦄶	rìa
𦄷	thòng
𦄸	xụng
𦄹	chão
𦄺	rắng
𦄻	quắn
𦄾	vóc
𦅭	đũi
𦅮	tàn
𦅯	nhẳng
𦅰	đùm
𦅱	thùa
𦅲	vợt
𦅴	vở
𦆙	sồi
𦆚	néo
𦆟	mùng
𦆹	đũi
𦆺	lĩnh
𦇇	nhão
𦇒	rối
𦇮	chùng
𦈂	nhàu
𦈽	chậu
𦉱	bảy
𦊚	bốn
𦊛	tư
𦋕	bẫy
𦋦	ra
𦍉	lạ
𦍛	dáng
𦎍	giòn
𦎛	gương
𦎡	xinh
𦎬	tanh
𦏄	đỏm
𦏒	miều
𦏓	bọn
𦑃	cánh
𦑅	lượn
𦑗	quạt
𦒮	lông
𦒵	khụ
𦒹	sáu
𦓅	già
𦓇	khụ
𦓉	lụ
𦓊	cỗi
𦓜	lẫu
𦓡	mà
𦓿	cầy
𦔙	cấy
𦕟	vểnh
𦕳	lảu
𦖇	bịt
𦖑	nghe
𦖡	điếc
𦖻	tai
𦗏	lắng
𦗝	lỏm
𦗞	ghé
𦗽	điếc
𦘧	vẽ
𦘱	vóc
𦘹	sườn
𦙀	phỡn
𦙏	ngực
𦙜	nách
𦙣	mọc
𦙤	mào
𦙥	họng
𦙦	tim
𦙫	giêng
𦚔	chạo
𦚕	cằm
𦚖	mập
𦚗	tóp
𦚭	truồng
𦛉	đéo
𦛊	chồn
𦛋	gật
𦛌	ruột
𦛍	tái
𦛜	hàm
𦛺	bét
𦛻	thộn
𦛼	bênh
𦛽	ngóm
𦛾	nục
𦛿	mang
𦜀	phị
𦜘	vú
𦜞	rốn
𦝂	đít
𦝃	ròm
𦝄	răng
𦝅	phễn
𦝆	sần
𦝇	đít
𦝈	ngắc
𦝉	đẻ
𦝊	trôn
𦝋	mụn
𦝌	mép
𦝍	sần
𦝎	phốp
𦝥	sáp
𦝬	nhót
𦝹	lườn
𦝺	mẩy
𦞁	tươi
𦞍	cáy
𦞎	nghén
𦞏	ôi
𦞐	ngực
𦞑	vòi
𦞒	đẫy
𦞓	phay
𦞔	hoẳn
𦞢	tao
𦟂	mề
𦟉	còm
𦟊	phổi
𦟋	bọ
𦟍	gây
𦟎	sươi
𦟏	khu
𦟐	má
𦟑	iả
𦟒	giòn
𦟖	mỡ
𦟗	nem
𦟜	nách
𦟪	lườn
𦟵	bệu
𦟶	nem
𦟷	bòi
𦟸	nách
𦟹	lồn
𦟺	ngoải
𦟻	nạc
𦟼	bế
𦟽	mật
𦟾	khù
𦟿	đùi
𦠆	sụn
𦠘	vai
𦠯	nhờn
𦠰	vác
𦠱	phét
𦠲	ú
𦠳	sườn
𦠴	cằm
𦠵	rọi
𦠶	seo
𦠽	vòi
𦡋	rốn
𦡞	ngấm
𦡟	lưng
𦡠	sống
𦡡	ngậy
𦡢	rau
𦡣	bầm
𦡤	chũn
𦡥	nách
𦡦	dỏng
𦡬	cằm
𦡮	phổi
𦡯	đít
𦡲	nính
𦡶	lọm
𦢄	buồi
𦢉	mật
𦢞	chó
𦢟	phịch
𦢠	răng
𦢡	nóc
𦢢	nóc
𦢩	tủy
𦢳	vai
𦢴	lột
𦢵	rõm
𦢶	đùi
𦢷	má
𦢾	gáy
𦣎	nân
𦣕	phèo
𦣗	nhau
𦣘	nứng
𦣙	nấng
𦣰	nằm
𦤠	hôi
𦤭	lẹt
𦤮	thối
𦤯	khắm
𦤰	thủm
𦤱	khẳn
𦤾	đến
𦥃	đến
𦧃	lâu
𦧘	thịt
𦧜	lưỡi
𦧷	liếm
𦧽	lưỡi
𦨂	múa
𦨑	chài
𦨜	qua
𦨢	đáy
𦨻	khoang
𦩚	mui
𦩛	gụ
𦩰	xuồng
𦩳	giã
𦪂	đò
𦪃	sõng
𦪏	thong
𦪐	sõng
𦪦	xưởng
𦪨	trẩy
𦪵	ghe
𦪻	khoang
𦪼	ghe
𦫘	bợt
𦬑	nở
𦬶	ngò
𦭦	trổ
𦭧	túp
𦭪	húng
𦮲	rễ
𦮴	nen
𦯬	dưa
𦰟	ngọn
𦰠	óng
𦰢	nưa
𦰣	đay
𦰤	lau
𦰦	cải
𦲒	nhài
𦲵	chênh
𦲹	rạ
𦲺	sả
𦲻	rơm
𦲼	ngó
𦲾	mướp
𦲿	lá
𦳙	tré
𦴋	mống
𦵗	ké
𦵘	sả
𦵙	nhựa
𦵚	nụ
𦵛	đốt
𦵜	ráy
𦵠	hẹ
𦷨	chè
𦷩	bốm
𦷫	hái
𦷬	bí
𦷭	cói
𦷮	ngổ
𦷯	mài
𦷾	đấy
𦹯	cỏ
𦹰	mầm
𦹱	gừng
