Chinese	Taiwanese	Sort	English
祖產	pe7-kong-sa2i-a2	pe kong sai a	ancestral estate
受祖蔭的	pe7-kong ti3-i3m e5	pe kong ti im	obtained by inheritance
父老子幼	pe7 la7u, ki2a* iu3	pe lau	father is old and children are young
攔住	pe2 le3	pe le 01	block or hinder
咱們來抓那隻雞 ,你去那邊攔住。	::La2n la5i lia8h hit chiah ke, li2 khi3 hit pe5ng pe2 le3.	pe le 01a	Let's catch that chicken, you block it on that side.
扒飯	pe-pn7g	pe png	rake rice into one's mouth, gather all the rice remaining in a bowl together in order to put it into the mouth
把子 ,穀把	pe5-put-a2	pe put a	large toothless rake for spreading rice in the sun
敝舍	pe3-si3a	pe sia	my house (self-depreciatory term)
把守	pe2-si2u	pe siu	stop, to guard, hold fast
爬蟲類	pe5-tha5ng-lu7i	pe thang lui	reptile
幣值	pe3-ti8t	pe tit	purchasing power of a currency
弊端	pe3-toan	pe toan	abuses, corrupt practices
拉緊 ,繃緊 ,張蓋	pe* (pi*)	pe* 01	make hard or stiff, make tight or rigid, straighten something, to stretch, to pitch, to draw, to pull, to haul, to drag, to cover (umbrella ribs with cloth)
笨拙	pe7*	pe* 01	stupid, dull
我很笨 ,連這種問題也不會。	::Go2a chin pe7*, lia5n chit kho2an e5 bu7n-te5 ma7 be7-hia2u.	pe* 01a	I'm very dumb, even this kind of question I don't know how to answer.
皮包骨	::chi8t te5ng pho5e pe* chi8t te5ng kut.	pe* 01a	one layer (ply) of skin covering the bones ─ be only skin and bones
坪	pe5* (phe5ng)	pe* 02	level piece of ground, area of 6 feet square
坪數	::pe5*-so3+	pe* 02a	number of such measures in a piece of land
柄	pe3* (pi3*, pe3ng)	pe* 03	handle, hilt (of a sword), half (of a dagger), grasp, grip, shaft, (broom) stick
掃帚柄	::sa3u-chi2u-pe3*	pe* 03a	broomstick
鋤頭柄	::ti-tha5u-pe3*	pe* 03b	hoe handle
刀柄	::to-pe3*	pe* 03c	handle of a knife (sword)
平	pe5* (pi5*, pe5ng)	pe* 04	level, even, just, equal
公平	::kong-pe5*	pe* 04a	fair, just, equitable
修平	::siu-pe5*	pe* 04b	level (the ground, road)
棚	pe5* (pi5*, pe5ng)	pe* 05	tent, awning, booth, shed, rack, trellis, shelf, stage, canopy
一齣戲	::chi8t pe5* hi3	pe* 05a	one play (show)
戲棚	::hi3-pe5*	pe* 05b	outdoor stage
葡萄棚	::pho5-to5-pe5*	pe* 05c	grapevine trellis
搭棚	::tah-pe5*	pe* 05d	make a trellis or shed
病	pe7* (pi7*, pe7ng)	pe* 06	sickness, illness, disease, fault, defect, vice, injure, to harm, incapable weak
熱病	::jia8t-pe7*	pe* 06a	fever
多病	::ka7u-pe7*	pe* 06b	chronically ill
舊病	::ku7-pe7*	pe* 06c	old complaint
毛病	::mo5+-pe7*	pe* 06d	fault, defect, shortcoming
患病 ,生病	::pho3a-pe7*	pe* 06e	get sick, fall ill
相思病	::siu*-si-pe7*	pe* 06f	lovesickness
傳染病	::tho5an-jia2m-pe7*	pe* 06g	infectious disease
治病	::ti7-pe7*	pe* 06h	treat a disease
棚子	pe5*-a2	pe* a	shed, shack, plank use for drama's canopy
拉緊 ,張緊	pe*-a5n	pe* an	stretch tight, to stretch by applying more tension, to stretch with force in order to make tight
病後	pe7*-au7	pe* au	after an illness, during convalescence
平面	pe5*-bi7n	pe* bin	plane (surface)
平面幾何	pe5*-bi7n ki2-ho5	pe* bin ki ho	plane geometry
平面三角	pe5*-bi7n sa*-kak	pe* bin sa* kak	plane trigonometry
平面圖	pe5*-bi7n-to5+	pe* bin to+	floor plan
病根	pe7*-bo2	pe* bo	long term effects, owing to incomplete cure
同年 ,同歲	pe5* che7 ho3e	pe* che hoe	same age (persons that are)
病症	pe7*-che3ng	pe* cheng 01	disease, ailment, name of the disease determined by diagnosis
病情	pe7*-che5ng	pe* cheng 02	patient's condition
平手	pe5*-chhi2u	pe* chhiu	tie another (in competition), come out with even scores
病床	pe7*-chhn5g	pe* chhng	sickbed
公平 ,公正	pe5*-chi3a*	pe* chia*	just, fair, impartial
病從口入	pe7* chio5ng khi2o ji8p	pe* chiong khio jip	diseases enter by the mouth (Therefore, one should be careful in his diet or eating habits)
病原	pe7*-go5an	pe* goan	cause of a disease, origin of a disease
病原論	pe7*-go5an-lu7n	pe* goan lun	etiology
病原體	pe7*-go5an-the2	pe* goan the	virus
病危	pe7*-gu5i	pe* gui	dying of illness, about to die of an illness
同歲數 ,同年	pe5*-ho3e	pe* hoe	same age
病況	pe7*-ho2ng	pe* hong	condition of a patient
醫院	pe7*-i7*	pe* i*	hospital
病因	pe7*-in	pe* in	cause of a disease, origin of a disease
平原	pe5*-iu5*	pe* iu* 01	flat countryside, a plain
臺灣的平原都在西部。	::Ta5i-oa5n e5 pe5*-iu5* lo2ng ti7 se-po7+.	pe* iu* 01a	Taiwan's flat countryside is all on the west side.
病入膏盲	pe7* ji8p ko-bo5ng	pe* jip ko bong	disease has entered the vital region ─ there is little hope for recovery
病癒	pe7*-ju2	pe* ju	recover from illness, get well
病假	pe7*-ka2	pe* ka 01	sick leave
請病假	::chhe2ng pe7*-ka2	pe* ka 01a	ask for a sick leave
同價	pe5*-ke3	pe* ke	of equal price, the same value
戲台下	pe5*-kha (hi3-pe5*-kha)	pe* kha	foot of a stage
病苦	pe7*-kho2+	pe* kho+	illness
強拉開	pe*-khui	pe* khui	spread, open
病菌	pe7*-khu2n	pe* khun	germ, bacteria, virus
害喜	pe7*-ki2a*	pe* kia*	morning sickness, sickness in pregnancy
病根	pe7*-kin	pe* kin	long term effects, owing to incomplete cure, root or cause of a disease
病故	pe7*-ko3+	pe* ko+ 02	die of illness
病人	pe7*-la5ng	pe* lang	sick man, patient
病例	pe7*-le7	pe* le	incidence of a particular disease
病歷	pe7*-le8k	pe* lek	chart, (medical) history
病歷表	pe7*-le8k-pi2o	pe* lek pio	chart
病理學	pe7*-li2-ha8k	pe* li hak	pathology
平路 ,坦途	pe5*-lo7+	pe* lo+	even road, without up and downs, good road
病魔	pe7*-mo5+	pe* mo+	demon of ill health, curse of disease
平版	pe5*-pa2n	pe* pan	photogravure printing plates
戲棚的木板	pe5*-pang	pe* pang 01	canopy, shed, shack, build one tent for show
平房	pe5*-pa5ng	pe* pang 02	level roof, one story house
平均 ,平坦	pe5*-pa7ng	pe* pang 03	smooth and orderly, steady, even
牆壁抹得很平順。	::Piah boah lia2u chin pe5*-pa7ng.	pe* pang 03a	The wall was plastered very smoothly.
病房	pe7*-pa5ng	pe* pang 04	sickroom, ward
平平地 ,一樣的	pe5*-pe5*	pe* pe*	perfectly level, very level, in the same plain, equal, equally, simple, plain
扁鼻	pe5*-phi7*	pe* phi* 01	snub nose
東洋人比較扁鼻。	::Tang-iu5*-la5ng khah pe5*-phi7*.	pe* phi* 01a	Oriental people have a flatter nose.
很平坦	pe5*-pho-pho	pe* pho pho 01	level, even and smooth like a road, very flat
到處的路都開得很平坦。	::Si3-ke3 e5 lo7+ lo2ng khui kah pe5*-pho-pho.	pe* pho pho 01a	All the roads are level and smooth.
平埔	pe5*-po+	pe* po+ 01	level ground, prairie, vast tract of level land
平埔族	Pe5*-po+-cho8k	pe* po+ chok	Formosan aborigines who submitted to Chinese rule and learned to speak Chinese
平輩	pe5*-po3e	pe* poe	of the same generation
平分	pe5*-pun	pe* pun 01	divide equally
身體的抗病力 ,治病的錢	pe7*-pu2n	pe* pun 02	power of resistance, money for treat illness
病勢	pe7*-se3	pe* se	aspect of a case of sickness
病室	pe7*-sek	pe* sek	hospital ward, sickroom
病死	pe7*-si2	pe* si	die from disease
相思病	pe7*-siu*-si (siu*-si-pe7*)	pe* siu* si	suffer from lovesickness
坪數	pe5*-so3+	pe* so+	level piece of ground
平底 ,平底鞋	pe5*-te2 (-e5)	pe* te 01	low heeled shoe
平地	pe5*-te7	pe* te 02	plains, piece of level ground
平地風波	pe5*-te7 hong-pho	pe* te hong pho	unexpected turn of event, troubles that arise all of a sudden, unexpected disturbance
平地人	pe5*-te7-la5ng	pe* te lang	people who live in the plains
戲台上	pe5*-te2ng	pe* teng	an outdoor stage
平坦	pe5*-tha2* (pe5*-tha2*-tha2*)	pe* tha*	level (road)
病態	pe7*-tha3i	pe* thai	sickly appearance, symptom, abnormal
病蟲害	pe7*-tha5ng-ha7i	pe* thang hai	blight
平頭	pe5*-tha5u	pe* thau 01	crew cut
以前的男生都要理平頭。	::Khah-cha2 e5 la5m-seng lo2ng a3i thi3 pe5*-tha5u.	pe* thau 01a	Formerly boy students all had to have crew cuts.
病人的身體	pe7*-the2	pe* the	patient's body
病痛	pe7*-thi3a*	pe* thia*	suffering, illness
一樣大	pe5*-to7a	pe* toa	of equal size
病毒	pe7*-to8k	pe* tok	virus
八	peh (poeh, pat)	peh 01	eight, eighth
百	peh (pek)	peh 02	hundred
老百姓	::la7u-peh-se3*	peh 02a	the people, the common people
伯	peh (pek)	peh 03	father's elder brothers, uncle
伯父	::a-peh	peh 03a	father's elder brother(s), uncle
堂親	::chek-peh	peh 03b	paternal uncles in general
堂姊妹	::chek-peh chi2-mo7e	peh 03c	first cousin (daughter of paternal uncle)
堂兄弟	::chek-peh hia*-ti7	peh 03d	first cousins (sons of paternal uncle)
大伯父 ,大伯	::to7a-peh	peh 03e	father's eldest brother, husband's eldest brother
爬	peh	peh 04	ascend, climb up, crawl up
柏	peh (pek)	peh 05	the fir, pine tree
松柏	::chhe5ng-peh	peh 05a	fir tree
扁柏	::pi2*-peh	peh 05b	ornamental dwarf tree
剝 ,擘 ,張開	peh	peh 06	break, to open, to tear, open the mouth or eyes, break (open) tangerines with the fingers
眼睛張開	::ba8k-chiu peh-khui	peh 06a	open the eyes
嘴張開	::chhu3i peh-khui	peh 06b	open the mouth
白	pe8h (pe8k)	peh 07	white, clear, clean, bright, pure, plain, futile, fruitless, empty, fat of meat
蛋白	::nn7g-pe8h	peh 07a	white of an egg, albumen
漂白	::phi3o-pe8h	peh 07b	bleach
黑白片	::o+-pe8h-phi3*	peh 07d	black-and-white photos, films
白喉	pe8h-au5	peh au	diphtheria
白喉菌	pe8h-au5-khu2n	peh au khun	diphtheria bacillus
膚色白	pe8h-bah-te2	peh bah te	light complexion
看不懂好壞 ,白癡	pe8h-ba8k (pe8h-chhi)	peh bak	be undiscriminating, idiot
白眉	pe8h-ba8k-ba5i	peh bak bai	white eyebrow
白米	pe8h-bi2	peh bi	white polished rice
白面書生	pe8h-bi7n su-seng	peh bin su seng	fair complexioned young scholar, inexperienced young scholar, callow student
白忙	pe8h-bo5-e5ng	peh bo eng	busy oneself to no purpose
白牡丹	pe8h-bo2+-tan	peh bo+ tan	white peony
白木耳	pe8h-bo8k-ni2	peh bok ni	type of white edible tree fungus
白茫茫	pe8h-bo5ng-bo5ng	peh bong bong	showing a vast expanse of white
白跑一趟	pe8h cha2u chi8t cho7a	peh chau chit choa	make a futile trip
白種	pe8h-che2ng	peh cheng	white race
白菜	pe8h-chha3i	peh chhai	Chinese cabbage, white rape
很白	pe8h-chhang-chhang	peh chhang chhang 01	very white
沒幾歲 ,頭髮就很白了。	::Bo5 ku2i ho3e ni7a, tha5u-mo+ to7 pe8h-chhang-chhang a.	peh chhang chhang 01a	When I was very young my hair was already very white.
謊言 ,說謊	pe8h-chha8t	peh chhat 01	lie, white lie
謊話說一整套	::pe8h-chha8t-oe7 ko2ng kui-tho3	peh chhat 01a	tell a whole series of prepared falsehoods
白癡	pe8h-chhi (pe8k-ba8k)	peh chhi 01	idiot, dull looking, stupid
白養	pe8h-chhi7	peh chhi 02	bring up in vain
白手成家	pe8h-chhi2u se5ng-ka	peh chhiu seng ka	built up fortune from scratch
淡而無味	pe8h-chi2a* bo5-bi7 (chi2a*-phi8h-phu8h)	peh chia* bo bi	tasteless (food), insipid
白吃	pe8h-chia8h	peh chiah	free meal, eat without payment
爬上天	peh-chi7u*-thi*	peh chiu* thi*	spoil somebody, fast advancement in one's career
白做的	pe8h-cho3-e5	peh cho e	work without attaining good or desired results
白紙	pe8h-cho2a	peh choa	white paper
白水	pe8h-chu2i	peh chui	plain water
白銀	pe8h-gi5n	peh gin	silver
八月	peh-goe8h	peh goeh	August
八個月	peh goe8h-ji8t	peh goeh jit	eight months
打呵欠	peh-ha	peh ha	to yawn
白蟻	pe8h-hi7a	peh hia	termite, white ant
白蟻巢	pe8h-hi7a-si7u	peh hia siu	nest of white ants
白血球	pe8h-hiat-ki5u	peh hiat kiu	white blood cells, leucocytes, white corpuscles in the blood
白血球症	pe8h-hiat-ki5u-che3ng	peh hiat kiu cheng	mononucleosis
白血球過多	pe8h-hiat-ki5u ko3e-to	peh hiat kiu koe	leukemia
白熊	pe8h-hi5m	peh him	polar bear
白虎	pe8h-ho2+	peh ho+	woman's reproductive organ devoid of pubic hair (slang)
白血球	pe8h-hoeh-ki5u	peh hoeh kiu	white blood cells, leucocytes, white corpuscles in the blood
白血病	pe8h-hoeh-pe7*	peh hoeh pe*	leukemia
白鶴	pe8h-ho8h	peh hoh	white crane
白費	pe8h-hu3i	peh hui 01	use up or spend without profit, to waste
白費心機	::pe8h-hu3i sim-ki	peh hui 01a	scheme in vain, make plans to no avail
白費心神	::pe8h-hu3i sim-si5n	peh hui 01b	scheme in vain, make plans to no avail
白衣天使	pe8h-i thian-sa3i	peh i thian sai	angels in white ─ nurses
白鹽 ,精製鹽	pe8h-ia5m (iu3-ia5m)	peh iam	refined salt
白柚	pe8h-iu7	peh iu	pomelo
八字	peh-ji7 (poeh-ji7)	peh ji 01	eight words of a man's horoscope: year, month, day, and hour of birth, each one of them determines a man's fate through life
八字好	::ho2 peh-ji7 (peh-ji7 ho2)	peh ji 01a	one's fate is good
八字壞	::pha2i* peh-ji7 (peh-ji7 pha2i*)	peh ji 01b	one's fate is bad
八字不合	peh-ji7 be7 ha8h	peh ji be hah	horoscopes do not agree
八字重	peh-ji7 ta7ng	peh ji tang	horoscope very good, no grounds for fear
白熱化	pe8h-jia8t-ho3a	peh jiat hoa	reach the white-hot point (of a contest, movement), reach the climax
白眼	pe8h-ji5n	peh jin	white of the eye
白日 ,白天	pe8h-ji8t	peh jit 01	daytime, daylight, broad daylight
光天化日	::tng-tha5u pe8h-ji8t	peh jit 01a	in daytime, in broad daylight
白日夢	pe8h-ji8t-ba7ng	peh jit bang	daydream, reverie
八日敬禮	peh-ji8t ke3ng-le2	peh jit keng le	octave (Catholic)
眼珠翻白	pe8h-ka5i*	peh kai*	show whites of one's eyes (as from die)
八角	peh-kak	peh kak	octagonal, eight corners
八角形	peh-kak-he5ng	peh kak heng	octagonal (figure)
剝殼	peh-khak	peh khak 01	peel off or open the nutshells with the hands
白麴	pe8h-khak	peh khak 02	type of yeast, made of grain
爬起來 ,起床	peh khi2-la5i	peh khi lai	climb up, rise up, get out of bed
剝開 ,張開	peh-khui	peh khui	break open with the hands, to peel (an orange)
白旗	pe8h-ki5	peh ki	white flag ─ for surrender
上坡	peh-ki7a	peh kia	go uphill
白走	pe8h-ki5a*	peh kia*	worthless effort
白金	pe8h-kim	peh kim 01	platinum
眼睛張開	peh-kim	peh kim 02	open eyes
白菊花	pe8h kiok-hoe	peh kiok hoe	feverfew
白黴 ,白霉	pe8h-ko+	peh ko+	white mold
爬上爬下	peh-ko5an peh-ke7	peh koan peh ke	climb about everywhere (like over-active child)
白公 (患皮膚色素缺乏症之人 )	pe8h-kong	peh kong 00	albino
白說	pe8h-ko2ng	peh kong 01	to waste one's breath, to speak in vain, might as well not have said it at all
伯祖父	peh-kong	peh kong 02	paternal grandfather's elder brother
曾祖父	peh-kong-cho2+	peh kong cho+	elder brother of great-grandpa
白開水	pe8h-ku2n-chu2i	peh kun chui	plain boiled water
白骨	pe8h-kut	peh kut	bones of the dead
白蠟	pe8h-la8h	peh lah	white wax, type of insect secretion
白來	pe8h-la5i	peh lai	wasted one's time in coming
白內障	pe8h-la7i-chio3ng	peh lai chiong	cataract
白人	pe8h-la5ng	peh lang	white man, Caucasian, white race
白鷺	pe8h-le7ng-si	peh leng si	egret, white heron
白皚皚	pe8h-liak-siak	peh liak siak	very white
白費	pe8h-lia2u	peh liau	all lost or spent uselessly
白露	Pe8h-lo7+	peh lo+	one of the 24 climatic periods (beginning Sept. 8 or 9) of the lunar year
白芝麻	pe8h-mo5a-a2	peh moa a	white sesame
白俄羅斯	Pe8h-ngo5+-lo5-su	peh ngo+	White Russian, Byelorussian
白話	pe8h-o7e	peh oe	colloquial language, the vernacular
白話文	pe8h-o7e-bu5n	peh oe bun	writing in vernacular Chinese
白話小說	pe8h-o7e sia2u-soat	peh oe siau soat	novels in vernacular Chinese
焦慮	peh-pak	peh pak	anxious, grieved state of mind
白斑	pe8h-pan	peh pan	white specks, white spots
白白的	pe8h-pe8h	peh peh 01	in vain, to no purpose, without monetary profit (implies unwillingness or complaint)
白白送他	::pe8h-pe8h sa3ng i	peh peh 01a	give gratis
替你白做	::pe8h-pe8h ka7 li2 cho3	peh peh 01b	do (something) gratis for you
硬將白布染成黑 ,無中生有 ,加罪於人	pe8h-pe8h po3+ ni2 kah o+	peh peh po+	bear false witness against the innocent (Lit. dye a snow white cloth into a black one)
白沫	pe8h-pho	peh pho	white froth, foam
白口沫	pe8h-pho-no7a	peh pho noa 01	frothy saliva
流白口沫	::la5u pe8h-pho-no7a	peh pho noa 01a	froth at the mouth
剝皮	peh-pho5e	peh phoe	skin, to rind (strip off) the bark of a tree, to bark (a tree), peel (an orange), peel off with the hand without a knife
白皮書	pe8h-pho5e-su	peh phoe su	White Paper (in the sense of an official government report)
灰色	pe8h-phu2	peh phu	gray, ashy, pessimistic, gloomy, obscure, ambiguous
白葡萄酒	pe8h phu5-to5-chi2u	peh phu to chiu	white wine
白飯	pe8h-pn7g	peh png	cooked white rice (especially if not mixed with any other food)
白布	pe8h-po3+	peh po+	white calico
白送	pe8h-sa3ng	peh sang	give away, five gratis, send (a gift) with nothing in return
走紗	peh-se	peh se 01	unravel, endless put out thread from the garment
那種布很稀鬆 ,所以很容易走紗。	::Hit kho2an e5 po3+ siu* lang, so2+-i2 chin io5ng-i7 peh-se.	peh se 01a	That kind of cloth is too coarse so it unravels very easily.
百姓	peh-se3*	peh se*	one hundred clan names, common people
白色	pe8h-sek	peh sek	white, white color
臉無血色	pe8h-si2-n2g	peh si ng	pale, pallid, wan
蒼白	pe8h-si2-sat	peh si sat	sallow and unhealthy looking
八成	peh-si5a*	peh sia*	eight-tenths, 80%
白皚皚	pe8h-siak-siak	peh siak siak	brilliantly white
白癬	pe8h-sia2n	peh sian	favus, honey-comb ringworm
平民	pe8h-sin-la5ng	peh sin lang	man with no official standing
爬山 ,登山	peh-soa*	peh soa*	climb or go up into the mountains
白穗	pe8h-su7i	peh sui	rice plants become white (as a result of wind or worms)
白如雪 (讚美詞 )	pe8h-sut-sut	peh sut sut	white like snow (praise)
白帶	pe8h-ta3i	peh tai	leukorrhea
白等	pe8h-ta2n	peh tan	wait in vain
白賺	pe8h-tha3n	peh than	earn with little or no effort
白頭翁 (鳥 )	pe8h-tha5u-khok-a2	peh thau khok a	grackle (bird), gray starling
白帖	pe8h-thiap-a2	peh thiap a	funeral announcement card or letter
白鐵 ,不銹鋼	pe8h-thih-a2	peh thih a	stainless steel, galvanized iron, tin plate
白糖 ,精製糖	pe8h-thn5g	peh thng	white sugar, refined sugar
憨直	pe8h-ti8t	peh tit	very simple and straightforward
平白得到 ,不勞而獲	pe8h tit-tio8h	peh tit tioh	got it for nothing
白帶魚	pe8h-to3a-hi5	peh toa hi	ribbonfish
逼迫	pek	pek 01	press, compel to force, to pressure, coerce, close in, draw near, annoy, importune, harass, narrow, strait
推迫	::chhui-pek	pek 01a	urge something very quickly (work or payment)
強迫	::kio5ng-pek	pek 01b	compel by strong pressure
白	pe8k (pe8h)	pek 02	white, clear, clean, bright, pure, plain, futile, fruitless, empty
明明白白	::be5ng-be5ng pe8k-pe8k	pek 02a	very clearly (understood)
明白	::be5ng-pe8k	pek 02b	clear, intelligible
清白	::chheng-pe8k	pek 02c	unsullied in character
帛	pe8k	pek 03	silk ─ wealth, property
財帛	::cha5i-pe8k	pek 03a	wealth
舶	pe8k	pek 04	ocean going junk or vessel
船舶	::chu5n-pe8k	pek 04a	ships, boats
迫緊	pek-a5n	pek an	press very urgently (for payment)
百無一失	pek bu5 it sit	pek bu it sit	There is not a single miss in a hundred tries ─ never a failure in many trials
百無一長	pek bu5 it tio5ng	pek bu it tiong	skilled in nothing, good for nothing
百無可為	pek bu5 kho2-ui5	pek bu kho ui	nothing can be done
百無禁忌	pek bu5 ki3m-khi7	pek bu kim khi	nothing to be superstitious about ─ no restrictions of any kind here by way of taboo
百聞不如一見	pek-bu5n put-ju5 it-kia3n	pek bun put ju	hear about a thing many times is not equal to a single look at it ─ "Seeing is believing."
逼走	pek-cha2u	pek chau	force to leave
逼債	pek-che3	pek che	strongly demand payment of a debt
百尺竿頭	pek-chhek kan-thi5o	pek chhek kan thio	at the top of a hundred foot pole ─ at the highest point
迫切	pek-chhiat	pek chhiat	urgent, pressing
迫切需要	pek-chhiat su-ia3u	pek chhiat su iau	urgent need
迫促	pek-chhiok	pek chhiok	urgent, pressed for time
百戰百勝	pek-chia3n pek-se3ng	pek chian pek seng	ever victorious
百折不撓	pek-chiat put-la2u	pek chiat put lau	unmoved by a hundred difficulties, unflinching, unbending
逼真	pek-chin	pek chin	life-like, almost real (acting, performance)
伯爵	pek-chiok	pek chiok 01	rank of nobility, count
伯爵夫人	pek-chiok hu-ji5n	pek chiok 02	countess
百子千孫	pek-chu2 chhian-sun	pek chu chhian sun	May you have descendants abundantly! ─ exceedingly happy lot
迫害	pek-ha7i	pek hai	persecute, oppress cruelly
百合	pek-ha8p	pek hap	lily, lily bulb
百合花	pek-ha8p-hoe	pek hap hoe	lily
迫虎傷人	pek ho2+ siong-ji5n	pek ho+ siong jin	tiger when pressed will injure a person ─ harass a man until he turns on his persecutor
百花齊放	pek-hoa che5-ho3ng	pek hoa che hong	All flowers are in bloom.
百發百中	pek-hoat pek-tio3ng	pek hoat pek tiong	hit the mark every time, hit the target with every shot
迫婚	pek-hun	pek hun	force somebody to marry
百依百順	pek-i pek-su7n	pek i pek sun	assent to every proposal
白衣天使	pe8k-i thian-sa3i	pek i thian sai	angels in white ─ nurses
柏油	pek-iu5	pek iu	pitch, asphalt
柏油路	pek-iu5-lo7+	pek iu lo+	asphalt pavement, macadam
逼人太甚	pek-ji5n tha3i-si7m	pek jin thai sim	drive to desperation, push someone too hard
百家姓	pek-ka-se3*	pek ka se*	Book of Family Names
逼得很緊	pek kah chin a5n	pek kah chin an	press urgently for payment of a debt
百感交集	pek-ka2m kau-chi8p	pek kam kau chip	hundred emotions crowd into the heart
逼姦	pek-kan	pek kan	rape
逼嫁	pek-ke3	pek ke	force a woman to marry
迫擊砲	pek-kek-pha3u	pek kek phau	mortar (short barreled cannon)
百科全書	pek-kho cho5an-su	pek kho choan su	encyclopedia
逼近	pek-ki7n	pek kin	bordering on, close in, draw near, press near
逼供	pek-kiong	pek kiong 01	extort evidence, exact confession by means of torture
白宮	Pe8k-kiong	pek kiong 02	White House
舶來品	pe8k-la5i-phi2n	pek lai phin	imported goods, foreign goods
逼人	pek la5ng	pek lang	overawe
白冷外方傳教會	Pe8k-le2ng Go7a-hng Tho5an-ka3u-ho7e	pek leng goa hng	SMB: Societas Miss de Bethlehem (Switz)
白冷城	Pe8k-le2ng-si5a*	pek leng sia*	Bethlehem, town in Palestine where Jesus Christ was born (Catholic)
伯利恆	Pek-li7-he5ng	pek li heng	Bethlehem, town in Palestine where Jesus Christ was born (Protestant)
百年樹人	pek-lia5n chhi7u-ji5n	pek lian chhiu jin	Education of the people takes a hundred years to bear fruit
百練成鋼	pek-lia7n se5ng-kn3g	pek lian seng kng	Mastery comes from long training Expertise is the result of long and hard practice
百年樹人	pek-lia5n su7-ji5n	pek lian su jin	Education of the people takes a hundred years to bear fruit
百年大計	pek-lia5n ta7i-ke3	pek lian tai ke	great plan covering a very long period, long range program
柏林	Pek-li5m	pek lim	Berlin, Germany
逼良為娼	pek-lio5ng u5i-chhiong	pek liong ui chhiong	force good women to be a prostitute
逼問	pek-mn7g	pek mng	interrogate, demand an answer
迫近	pek-oa2	pek oa	press near
逼死	pek-si2	pek si	be so hard-pressed that one has to commit suicide as an escape, to ill-use so as to force suicide
百善孝為先	pek-sia7n ha3u u5i-sian	pek sian hau	of all virtues filial piety is chief
白首	pe8k-si2u	pek siu	hairy head ─ old age
白首偕老	pe8k-si2u kai-lo2 (pe8k-thi5o kai-lo2)	pek siu kai lo	grow old together, (of a married couple) to stick to each other till old age
百思不解	pek-su put-ka2i	pek su put kai	unable to comprehend, incomprehensible
白帶	pe8k-ta3i	pek tai	white flow ─ leucorrhoea, leukorrhea
百讀不厭	pek-tho8k put-ia3	pek thok put iam	not boring even after repeated readings, very interesting (book)
不得已	pek-tio8h	pek tioh	be compelled or forced to, couldn't help but, have no alternative
伯仲	pek-tio7ng	pek tiong	brothers
伯仲之間	pek-tio7ng chi kan	pek tiong chi kan	nearly equal, be fifty-fifty
伯多祿	Pek-to-lo8k	pek to lok 01	St. Peter (Catholic)
伯多祿前後書	Pek-to-lo8k Chia5n Ho7+ Su	pek to lok 02	First and Second Epistles of Peter (Catholic)
兵	peng	peng 01	soldier, troops, military, a force, army, a piece in Chinese chess
志願兵	::chi3-goa7n-peng	peng 01c	volunteers
憲兵	::hia3n-peng	peng 01e	military policeman
閱兵	::ia8t-peng	peng 01f	review troops
工兵	::kang-peng	peng 01g	engineers, sappers
救兵	::ki3u-peng	peng 01i	reinforcements
砲兵	::pha3u-peng	peng 01j	artillery
步兵	::po7+-peng	peng 01k	infantry
冰	peng	peng 02	ice, icicles, cold, frost
製冰	::che3-peng (kek-peng)	peng 02a	make ice
結冰	::kiat-peng	peng 02b	be frozen
溜冰	::li5u-peng	peng 02c	skate, skating
翻 ,反 ,顛	pe2ng	peng 03	turn over, turn down, invert, be upset
顛倒	::to3-pe2ng	peng 03a	inverted
併	pe3ng	peng 04	on a level with, even, equal, all, entire, together
合併	::ha8p-pe3ng	peng 04a	combine, unite
柄	pe3ng (pe3*)	peng 05	handle, haft, hilt
權柄	::ko5an-pe3ng	peng 05b	authority
平	pe5ng (pe5*, pi5*)	peng 06	level, even, equal, equity, equality, peaceful, satisfactory, amity, conquer, quell, calm down, to control, regulate, (prices) go back to normal after sharp rises
和平	::ho5-pe5ng	peng 06a	peace, peaceful
公平	::kong-pe5ng	peng 06b	fair, just, equitable
生平	::seng-pe5ng	peng 06c	one's brief biographical sketch, during one's whole past life
不平	::put-pe5ng	peng 06d	indignant at injustice done to another, to grumble
太平	::tha3i-pe5ng	peng 06e	great peace and prosperity
秤	pe5ng	peng 07	steelyard, weighing scale, balance
天秤	::thian-pe5ng	peng 07a	Libra, a balance (for weighing)
朋	pe5ng	peng 08	friend, companion, group, clique
親朋	::chhin-pe5ng	peng 08a	relatives and friends
旁 ,邊 ,方	pe5ng	peng 09	by the side of, a side
右邊	::chi3a*-pe5ng (chi3a*-chhi2u pe5ng)	peng 09a	right hand side
這邊	::chit pe5ng	peng 09b	this side, this way, on my (our) part, here, this place
那邊	::hit pe5ng	peng 09c	over there, the other, the other party, the other side
分邊 ,切成兩半	::pho3a-pe5ng	peng 09d	cut or split into two halves
雙方	::siang-pe5ng	peng 09e	both sides, both parties
左邊	::to3-pe5ng	peng 09f	left hand side
大邊 ,大的一半	::to7a-pe5ng	peng 09g	the side of honor, larger half
軍人 ,士兵	peng-a2	peng a	common soldier
平安	pe5ng-an	peng an	safe and sound, free from danger, peace, peaceful, tranquil
平安無事	pe5ng-an bu5-su7	peng an bu su	perfect tranquility, in peace, freedom from anxiety, safe and without any mishaps
