მოკითხვა	Greetings	mokit`xva
ხანსაც	Even though	xansac`
თაფლზე	On honey	t`ap`lze
უტკბესი	Sweetest	utkbesi
ფურით	With bread	p`urit`
გეხნათ	You are welcome.	gexnat`
გამოიცნობდით	You guessed it.	gamoic`nobdit`
აშკელონში	In Ashkelon	ashkelonshi
დავლა	Walk	davla
საცვლები	Underwear	sac`vlebi
გამომცნობთ	Guess me.	gamomc`nobt`
მაყარმა	Makarma	maqarma
შეუშვა	Let in	sheushva
მაყარს	I am tired.	maqars
მივათხოვე	I borrowed it.	mivat`xove
მელა	Fox	mela
გადაუსკვნა	Reconsider	gadauskvna
ჩაატანა	To bring in	ch`aatana
მოუკიდა	He/She/It was	moukida
ზვინები	Bells	zvinebi
თიმნათელის	Timnatheli	t`imnat`elis
სიძემ	Son-in-law	siz'em
ურტყა	Hit	urtqa
წვივებსა	Shins	cvivebsa
თეძოებს	Hips	t`ez'oebs
ეხს	Remember	exs
განივრცნენ	They spread out.	ganivrc`nen
ლეხამდე	To Lech	lexamde
ამოხვედით	You came out.	amoxvedit`
ამოვედით	We went out.	amovedit`
მოვექცეთ	Let's treat	movek`c`et`
მოგვექცა	We were treated	mogvek`c`a
გვიქენი	Make us	gvik`eni
ჩამოვედით	We arrived.	ch`amovedit`
მიგცეთ	Give it to you.	migc`et`
შემომფიცეთ	Swear to me.	shemomp`ic`et`
მიგცემთ	I will give you	migc`emt`
შეჰკრეს	They gathered	shehkres
მოხვეული	Arrived	moxveuli
დამწვარი	Burnt	damcvari
სელივით	Like flax	selivit`
საკვრელები	Bindings	sakvrelebi
თავყბა	Head	t`avqba
დასწვდა	Reached out	dascvda
ყბით	With jaw	qbit`
ყბა	Jaw	qba
ლეხი	Lech	lexi
ჩავუვარდე	I fell for it.	ch`avuvarde
ქვაბური	Boiler	k`vaburi
ლეხში	In Lech	lexshi
დალია	He drank.	dalia
მოიბრუნა	Turned around	moibruna
გამოცოცხლდა	Revived	gamoc`oc`xlda
ჰაკორე	Hakore	hakore
ღაზელებს	Gazelles	g'azelebs
უდარაჯებდნენ	They were watching.	udarajebdnen
მოვიცადოთ	Let's try.	movic`adot`
მოხვია	I have been there.	moxvia
ურდულებიანად	In Urdu	urdulebianad
მოგლიჯა	Moglija	moglija
გაიდო	Gaido	gaido
სორეკის	Sorek's	sorekis
დალილა	Delilah	dalila
შეაცდინე	Tempt me.	sheac`dine
რაშია	What is it?	rashia
ვიღონოთ	Let's take it.	vig'onot`
დასაძლევად	To overcome	dasaz'levad
შესაკრავად	To tie	shesakravad
დავიმორჩილოთ	Let's obey.	davimorch`ilot`
დალილამ	Delilah	dalilam
დაგიმორჩილოს	To obey you	dagimorch`ilos
გამოუშრობი	Undried	gamoushrobi
ლარით	In GEL	larit`
შემკრან	Shemkran	shemkran
დავუძლურდები	I will become weak.	davuz'lurdebi
შევიქნები	I will be there.	shevik`nebi
დალილას	Delilah	dalilas
სამსონ	Samson	samson
დაწყვიტა	Stopped.	dacqvita
ლარები	Lari	larebi
ძენძის	Zhendzi	z'enz'is
წყდება	It is being decided.	cqdeba
გამაწბილე	Make me happy.	gamacbile
უხმარი	Unused	uxmari
თოკებით	With ropes	t`okebit`
შემკრავენ	They will tie me up.	shemkraven
ძაფივით	Like a thread	z'ap`ivit`
შემოიწყვიტა	It was cut off.	shemoicqvita
მატყუე	Liar	matque
მაწბილე	I am a glutton.	macbile
ნაწნავს	Braided	nacnavs
საძახველში	In the exclamatory	saz'axvelshi
ჩაგრეხ	Chagreh	ch`agrex
პალოზე	On Palo	paloze
მიაბამ	I am sorry.	miabam
ნაწნავი	Braided	nacnavi
ჩაგრიხა	Twisted	ch`agrixa
საძახველის	Exclamation mark	saz'axvelis
პალოც	Palots	paloc`
ამოგლიჯა	Tore it out	amoglija
ნაძახიც	Shoutout	naz'axic`
მიყვარხარო	I love you.	miqvarxaro
გამიმხილე	Reveal to me.	gamimxile
ჩასჩიჩინებდა	He would chirp.	ch`asch`ich`inebda
ეხვეწებოდა	He was begging.	exveceboda
შეუწუხა	It bothered him.	sheucuxa
გადამპარსონ	Let me shave.	gadamparson
გამომეცლება	I will change.	gamomec`leba
ამოუტანეს	They took it out.	amoutanes
ჩააძინა	He fell asleep.	ch`aaz'ina
მოაპარსვინა	Let me shave.	moaparsvina
მოთრგუნვა	Suppression	mot`rgunva
დავიხსნი	I will save you.	davixsni
აფქვევინებდნენ	They were shaking.	ap`k`vevinebdnen
თმამ	My hair	t`mam
წამოზრდა	Growing up	camozrda
დაგონისათვის	For Dagon	dagonisat`vis
ემხიარულათ	Have fun.	emxiarulat`
მაოხარი	Mokhari	maoxari
გუნებაზე	In the mood	gunebaze
გაგვართოს	To comfort us	gagvart`os
მასხრობდა	He was joking.	masxrobda
დაჰყავდა	He was taking	dahqavda
შემავლებინე	Bring me in.	shemavlebine
სვეტებისთვის	For columns	svetebist`vis
მივეყუდო	I will lean on you.	mivequdo
კაცებითა	With men	kac`ebit`a
ქალებით	With women	k`alebit`
გამაძლიერე	Strengthen me.	gamaz'liere
ვიძიო	To search	viz'io
შუათანა	Middle	shuat`ana
მიეყრდნო	Lean on	mieqrdno
ჩამოემხო	To fall down	ch`amoemxo
მთავრებსაც	Even the princes	mt`avrebsac`
სიკვდილისას	At death	sikvdilisas
მანოახის	Manoah	manoaxis
დაიწყევლე	Curse me.	daicqevle
აღებულია	Taken	ag'ebulia
შემიწირავს	I will sacrifice myself.	shemiciravs
დამიბრუნებია	I have it back.	damibrunebia
გადამდნობელს	To the melting pot	gadamdnobels
შეხიზნულიყო	To be afraid	shexiznuliqo
მიქამ	Micah	mik`am
დავდგე	I stood up.	davdge
გამიხდი	Pay me.	gamixdi
წლიურად	Annually	cliurad
სამოსელსა	The garment	samoselsa
დაყაბულდა	It was closed.	daqabulda
მომაგებს	It will make me sick.	momagebs
წილხვდომილს	To the beneficiary	cilxvdomils
ხვდომოდა	I was realizing	xvdomoda
ეშთაოლიდან	From Eshtaol	esht`aolidan
დაეზვერათ	To spy on	daezverat`
გამოეკვლიათ	They investigated.	gamoekvliat`
ეცნოთ	To know	ec`not`
მოგიყვანა	Brought you	mogiqvana
მომექცა	He treated me well.	momek`c`a
დამიქირავა	Hire me.	damik`irava
მოგვემართება	We will apply.	mogvemart`eba
ვადგავართ	We are standing.	vadgavart`
ადგახართ	Are you standing up?	adgaxart`
ლაიშში	In Laish	laishshi
წყნარი	Quiet	cqnari
რაიმეზე	About something	raimeze
მებატონე	Master	mebatone
ციდონელთაგან	From the Sidonians	c`idonelt`agan
კაციშვილთან	With Katsishvili	kac`ishvilt`an
ცორყაში	In the forest	c`orqashi
ეშთაოლში	In Eshtaol	esht`aolshi
დაგიკრეფიათ	You have been picked up.	dagikrep`iat`
დააყოვნებთ	You will hesitate.	daaqovnebt`
შეჭურვილი	Equipped	shechurvili
ხუთმა	Five	xut`ma
მოიფიქრეთ	Think about it.	moip`ik`ret`
ლევიანის	Leviticus	levianis
წამოგვყევი	Follow us.	camogvqevi
გაგვიხდი	You will pay us.	gagvixdi
გამოცილებულები	The excluded	gamoc`ilebulebi
დაჰკივლეს	They screamed.	dahkivles
მოუბრუნდნენ	They returned.	moubrundnen
გაყვირებს	Will scream.	gaqvirebs
მომტაცეთ	Kidnap me.	momtac`et`
დაგემართაო	It happened to you.	dagemart`ao
დაგეცემიან	You will be beaten.	dagec`emian
გააფთრებული	Furious	gaap`t`rebuli
წყნარ	Quiet	cqnar
ციდონისაგან	From Sidon	c`idonisagan
რეხობთანაა	It is near Rehob.	rexobt`anaa
სახელობაზე	Named after	saxelobaze
ლაიში	Laish	laishi
დაეყვავებინა	To bloom	daeqvavebina
სიძეს	Son-in-law	siz'es
გაიმაგრე	Get stronger.	gaimagre
გაათიე	Hang up.	gaat`ie
მოილხინოს	Moilkhino	moilxinos
დაინაყრე	Put it down.	dainaqre
შეიცადე	Try it.	sheic`ade
გადაიხრებოდეს	To deviate	gadaixrebodes
საღამოსკენ	Towards evening	sag'amosken
იხრება	Bends over	ixreba
სადაცაა	Where is it?	sadac`aa
მიიწურება	It will expire.	miicureba
გაუდექით	Stand up.	gaudek`it`
გათევა	Spending time	gat`eva
იებუსამდე	To Jebus	iebusamde
კეხდადგმული	Crouched	kexdadgmuli
იებუსს	Jebus	iebuss
მიწურული	Expired	micuruli
შევუხვიოთ	Let's turn around.	shevuxviot`
გავათიოთ	Let's disconnect.	gavat`iot`
შევუხვევთ	We will turn around.	shevuxvevt`
გიბყამდე	To Gibeah	gibqamde
გასწი	Go away.	gasci
შემოაღამდათ	They came in the evening.	shemoag'amdat`
ბერიკაცი	Old man	berikac`i
სამუშაოდან	From work	samushaodan
ბერიკაცმა	The old man	berikac`ma
მოვდივართ	We are coming.	movdivart`
კალთებამდე	To the skirts	kalt`ebamde
შემიშვა	Let me in.	shemishva
ჩალაც	Straw too	ch`alac`
საჭმელიც	Food too	sachmelic`
სახედრებისთვის	For donkeys	saxedrebist`vis
პურ	Bread	pur
მხევლისთვისაც	For the maid too	mxevlist`visac`
ბიჭისთვისაც	For the boy too	bichist`visac`
დაუყარა	He laid it down.	dauqara
უხამსობას	Obscenity	uxamsobas
უხამს	Indecent	uxams
გაგონებაც	To hear too	gagonebac`
გამოუყვანა	He brought it out.	gamouqvana
აწვალებდნენ	They were burning.	acvalebdnen
მოახლოებაზე	On the approach	moaxloebaze
აგდია	Agdia	agdia
ხელებდაყრილი	Hands folded	xelebdaqrili
მიუღია	Received	miug'ia
გადაჰკიდა	He hung up.	gadahkida
შინისკენ	Homeward	shinisken
ნახულა	Seen	naxula
ჩაუფიქრდით	Think about it.	ch`aup`ik`rdit`
ბოქიმში	In Bokimia	bok`imshi
ამოგიყვანეთ	We took you out.	amogiqvanet`
დავარღვევ	I will break it.	davarg'vev
დადებულ	Committed	dadebul
ბოქიმი	Bochem	bok`imi
წილხვდომილი	Shared	cilxvdomili
ხერესში	In Jerez	xeresshi
ბაყალსა	Baal	baqalsa
ძარცვეს	Robbed	z'arc`ves
ერტყნენ	They were hit.	ertqnen
იხსნიდნენ	They were opening	ixsnidnen
მძარცველების	Robbers	mz'arc`velebis
მსაჯულებისაც	The judges too	msajulebisac`
აღუდგენდა	He was recovering.	ag'udgenda
მჩაგვრელებისა	Of the oppressors	mch`agvrelebisa
შემაჭირვებლების	Those in need	shemachirveblebis
ეშვებოდნენ	They were going down.	eshvebodnen
ანებებდნენ	They were giving up.	anebebdnen
ავყრი	I will throw it away.	avqri
დანარჩენტომებს	The rest of the volumes	danarch`entomebs
გამოცხადნენ	They announced	gamoc`xadnen
გამიუპატიურეს	I was raped.	gamiupatiures
დავჭერი	I will cut.	davcheri
დავაგზავნე	I sent it.	davagzavne
განიხილეთ	Discuss.	ganixilet`
გადაწყვიტეთ	Decide.	gadacqvitet`
ასიდან	From a hundred	asidan
შევარჩიოთ	Let's choose	shevarch`iot`
ათასიდან	Out of a thousand	at`asidan
მოვატანინოთ	Let's bring it.	movataninot`
გიბყაზე	On Gibeah	gibqaze
უხამსობის	Obscenity	uxamsobis
გაერთიანდნენ	Unite	gaert`iandnen
ტომებმა	The tribes	tomebma
გყოლიათ	Have you had any?	gqoliat`
აღმოვფხვრათ	Let's eliminate	ag'movp`xvrat`
გაემართად	Straight ahead	gaemart`ad
აღირიცხა	Recorded	ag'iric`xa
ცაცია	Tsatsia	c`ac`ia
ღერისთვისაც	For the shaft too	g'erist`visac`
ესროლა	Shot	esrola
ააცდენდა	He/She/It was missed.	aac`denda
დაეკითხენ	They will ask.	daekit`xen
გიბყასთან	At Gibeah	gibqast`an
ბენიამინთან	With Benjamin	beniamint`an
აღავლინეს	They performed	ag'avlines
შევწყვიტოთ	Let's stop.	shevcqvitot`
მუსრის	Musri	musris
გიბყასაკენ	Towards Gibeah	gibqasaken
ოცდაათამდე	About thirty	oc`daat`amde
პირვანდელის	Original	pirvandelis
გამოვიტყუოთ	Let's deceive.	gamovitquot`
განლაგდა	Deployed	ganlagda
ელოდათ	They were waiting.	elodat`
უტიეს	Utiye	uties
ჩაყენებული	Installed	ch`aqenebuli
გაეჩქარნენ	They hurried.	gaech`k`arnen
ჩასაფრებულ	In ambush	ch`asap`rebul
აადენდნენ	They were building	aadendnen
მუსრვა	Crushing	musrva
სვეტივით	Like a column	svetivit`
დაატყდათ	They hit you.	daatqdat`
წამოეწიათ	They caught up.	camoeciat`
მენუხამდე	Until the end	menuxamde
ჟლიტეს	Zhlite	zhlites
ბენიამინისაგან	From Benjamin	beniaminisagan
კლდისაკენ	To the rock	kldisaken
გაქუსლეს	They were beaten.	gak`usles
გიდომამდე	Until Gidom	gidomamde
კლდისკენ	To the rock	kldisken
მიუბრუნდნენ	They turned to me.	miubrundnen
დაუხვდათ	They met.	dauxvdat`
ჩვენგანმა	Of us	ch`venganma
ბენიამინელთ	Benjaminites	beniaminelt`
აიმაღლეს	They were raised.	aimag'les
მოაკლდა	It is missing.	moaklda
ავიდოდა	I would go up.	avidoda
ინანეს	They repented.	inanes
მოიკვეთა	Cut off	moikvet`a
მივათხოვებთ	We will lend it to you.	mivat`xovebt`
იაბეშიდან	From Jabesh	iabeshidan
დედაწულიანად	As a mother	dedaculianad
ნაწოლი	Bed	nacoli
დაენანა	Look at it.	daenana
ტომებში	In tribes	tomebshi
ამოუწყდნენ	They were cut off.	amoucqdnen
სამემკვიდრეო	Inheritance	samemkvidreo
გაქრეს	They disappeared.	gak`res
მისცესო	Give it to me.	misc`eso
იმართება	It is being held	imart`eba
შექემისაკენ	Towards Shechem	shek`emisaken
ლებონას	Lebonas	lebonas
ჩასაფრდით	Ambush	ch`asap`rdit`
საფერხულოდ	For the sake of the country	sap`erxulod
გაიტაცეთ	Kidnapped	gaitac`et`
შილოელ	Shiloh	shiloel
საჩივლელად	To complain	sach`ivlelad
ვეტყვით	We will tell you.	vetqvit`
წაგვიყვანია	We have taken it.	cagviqvania
თითეული	Each one	t`it`euli
გაგიტანებიათ	They took you away.	gagitanebiat`
მეფერხულეთაგან	From the blacksmiths	mep`erxulet`agan
გაიტაცეს	Kidnapped	gaitac`es
აცდუნებდნენ	They were tempting.	ac`dunebdnen
სცოდნოდათ	You should know.	sc`odnodat`
ციდონელნი	Cydonia	c`idonelni
დატოვებულნი	Left behind	datovebulni
დაემორჩილებოდნენ	They would obey.	daemorch`ilebodnen
ქუშან	Kushan	k`ushan
რიშათაიმს	Rishatims	rishat`aims
ემსახურობოდნენ	They served	emsaxurobodnen
ღოთენიელი	Goth	g'ot`enieli
სალაშქროდ	For hiking	salashk`rod
რიშთაიმი	Rishtaim	risht`aimi
არამისა	Without you	aramisa
რიშთაიმს	Rishtimes	risht`aims
მოაბისა	Moab	moabisa
ყამალეკნი	Amalek	qamalekni
ყეგლონს	Eglon	qeglons
გერასი	Geras	gerasi
ეჰუდმა	Ehud	ehudma
ერთწყრთიანი	One-armed	ert`cqrt`iani
მომტანები	Bringers	momtanebi
საგრილებელ	Cooling	sagrilebel
სავარძლიდან	From the chair	savarz'lidan
გაიკრა	It was broken.	gaikra
აძგერა	Pushed	az'gera
წვერიან	Bearded	cverian
ვადიანად	For a fixed term	vadianad
ჩაიფლო	Immerse yourself	ch`aip`lo
გადაფარა	Overlap	gadap`ara
ქონმა	Konma	k`onma
გამოუძვრია	It has moved.	gamouz'vria
გამოუვიდა	It worked out.	gamouvida
ტალანში	In Talani	talanshi
გამოიხურა	Closed	gamoixura
დახვდათ	You met.	daxvdat`
ჩაიკეტებოდა	It would be closed.	ch`aiketeboda
იცადეს	They waited.	ic`ades
გააღწია	Reached	gaag'cia
ყოვნდებოდნენ	They were lingering.	qovndebodnen
სეყირს	Sekir	seqirs
გადასასვლელი	Passage	gadasasvleli
ხელქვეითად	Underhand	xelk`veit`ad
დამშვიდდა	Calmed down	damshvidda
შამგარი	Shamgar	shamgari
ყანათისა	Kanat's	qanat`isa
საგმირით	With a hero	sagmirit`
ეჰუდის	Ehud	ehudis
იაბინს	Jabin	iabins
სისარა	Sisera	sisara
ხაროშეთ	With a smile	xaroshet`
გოიმში	In Goyim	goimshi
ცხრაასი	Nine hundred	c`xraasi
ლაფიდოთის	Lapidot's	lap`idot`is
დებორას	Deborah	deboras
რამასა	Ramasa	ramasa
ბარაკს	Barack	baraks
აბინოყამის	Abinoam	abinoqamis
კედეშ	Kedesh	kedesh
იაბინის	Jabin's	iabinis
ბარაკმა	Barack	barakma
დებორამ	Deborah	deboram
წამოყოლით	By following	camoqolit`
დაადგები	You will stand.	daadgebi
დიაცის	Diaz	diac`is
კედეშში	In Kedesh	kedeshshi
ზებულენელთ	Zebulunites	zebulenelt`
ნაფთალელთ	Naphtali	nap`t`alelt`
დებორაც	Deborah too	deborac`
ქებერ	Keber	k`eber
გამოჰყოფოდა	It was separating.	gamohqop`oda
ხობაბის	Khobab's	xobabis
კადეშთან	Near Kadesh	kadesht`an
სისარამ	Sisera	sisaram
ეტლიონი	Etlion	etlioni
გოიმიდან	From the Goyim	goimidan
ბარაკი	Barack	baraki
ჩამოჰყვა	Followed	ch`amohqva
დააფრთხო	Be careful.	daap`rt`xo
ბარაკის	Barack	barakis
გადმოხტა	Jumped out	gadmoxta
გოიმამდე	To the Goyim	goimamde
ეტლიონსა	Etlionsa	etlionsa
კაცისშვილი	Son of man	kac`isshvili
იაყელის	Yakeli's	iaqelis
ხებერ	Heber	xeber
კენიელის	Kenyan	kenielis
იაბინისა	Jabin's	iabinisa
ხებერის	Heber	xeberis
იაყელი	Yakel	iaqeli
შემობრძანდი	Come in.	shemobrz'andi
ფარდაგის	Carpet	p`ardagis
გეთაყვა	Please.	get`aqva
იაყელმა	Yakel	iaqelma
ტიკს	Ticks	tiks
ჩამოიაროს	To walk down	ch`amoiaros
მანდო	Mando	mando
ურო	Uro	uro
ფეხაკრეფით	With a footstool	p`exakrep`it`
ჩაურჭო	Chaurcho	ch`aurcho
საფეთქელში	In the wind	sap`et`k`elshi
დააჭედა	He/She stepped on it.	daacheda
იაბინი	Jabin	iabini
იაბინზე	On Jabin	iabinze
დებორასა	Deborah	deborasa
დიდებულნო	Your Excellencies	didebulno
ვუმღერი	I sing to him.	vumg'eri
გადმოხვედი	You got off.	gadmoxvedi
ღრუბლებიც	Clouds too	g'rublebic`
წყლად	Water	cqlad
იდრიკებოდნენ	They were sleeping.	idrikebodnen
სინაიც	Sinay	sinaic`
შამგარის	Shamgar	shamgaris
ირიბი	Indirect	iribi
მოიშალა	It broke.	moishala
მოიშალნენ	They broke up.	moishalnen
აღვდექი	I got up.	ag'vdek`i
მთავრებთანაა	He is with the princes.	mt`avrebt`anaa
ამხედრებულნო	Horsemen	amxedrebulno
ხალიჩებზე	On the carpets	xalich`ebze
ფეხმორთხმულნო	Footprints	p`exmort`xmulno
გზაზედ	On the road	gzazed
ქვეითად	On foot	k`veit`ad
მავალნო	I owe you.	mavalno
იგალობეთ	Sing.	igalobet`
დასარწყულებელ	To be watered	dasarcqulebel
მოსთვლიან	They will follow.	most`vlian
სამართლიან	Fair	samart`lian
დაატყვევე	Captured	daatqveve
ჩამომაკითხა	He asked me.	ch`amomakit`xa
ვაჟკაცებით	With men	vazhkac`ebit`
ყამალეკში	In Amalek	qamalekshi
გადგმული	Staged	gadgmuli
მაქირისაგან	From Makir	mak`irisagan
მწიგნობრობის	Literacy	mcignobrobis
კვერთხისმპყრობლები	The Scepters	kvert`xismpqroblebi
დასებში	In the sisters	dasebshi
ჩხრეკა	Search	ch`xreka
ფარეხებს	To the barns	p`arexebs
უსტვენენ	They whistle.	ustvenen
იორდანის	Jordanian	iordanis
დავანებულა	I gave up.	davanebula
ხომალდებზე	On ships	xomaldebze
დამკვიდრებულა	Established	damkvidrebula
ნავსაყუდელში	At the dock	navsaqudelshi
შეიბნენ	They got together.	sheibnen
თანაქში	In the middle	t`anak`shi
ხევმა	Valley	xevma
ძველმა	The old one	z'velma
ჭენებით	With the trees	chenebit`
იმსხვრეოდა	It was crumbling.	imsxvreoda
ბედაურების	Bedauri	bedaurebis
დაწყევლეთ	Curse you.	dacqevlet`
მეროზი	Meroz	merozi
დიაცთა	Diazta	diac`t`a
ხებერისა	Heber	xeberisa
დიაცებს	Diaspora	diac`ebs
თასით	With a cup	t`asit`
ნაღები	Cream	nag'ebi
პალოსკენ	To Palo	palosken
უროსაკენ	Towards Uros	urosaken
გაუჩეხა	He cut it off.	gauch`exa
საფეთქელი	Blower	sap`et`k`eli
შეულეწა	He/She broke it.	sheuleca
ჩაიკეცა	Folded	ch`aikec`a
გასცქეროდა	He/She would stare.	gasc`k`eroda
მოსთქვამდა	He would say	most`k`vamda
ცხაურიდან	From the grill	c`xauridan
აყოვნებენ	They are delaying.	aqovneben
ეტლიონთა	Etlions	etliont`a
ნაკვალევები	Footprints	nakvalevebi
სეფექალები	Sepekals	sep`ek`alebi
იყოფენ	Divide	iqop`en
დაქარგული	Embroidered	dak`arguli
ორნაქარგიანი	Double-breasted	ornak`argiani
მონობა	Slavery	monoba
მიდიანს	Midian	midians
დარანები	Daranes	daranebi
გამოქვაბულები	Caves	gamok`vabulebi
თესვას	To sow	t`esvas
მოათავებდა	would end	moat`avebda
ამოდიოდნენ	They were coming.	amodiodnen
ესხმოდნენ	They were attacking.	esxmodnen
ბანაკდებოდნენ	They were camping.	banakdebodnen
აჩანაგებდნენ	They were shouting.	ach`anagebdnen
კარვებით	With tents	karvebit`
ურიცხვნი	Countless	uric`xvni
გასაჩანაგებლად	To be destroyed	gasach`anageblad
დაგლახაკდა	You are weak.	daglaxakda
მჩაგვრელის	The oppressor	mch`agvrelis
ამორეველებისა	Amorites	amorevelebisa
ყოფრაში	In the open air	qop`rashi
შთამომავალს	To the descendant	sht`amomavals
გედეონი	Gideon	gedeoni
ცეხვავდა	It was raining.	c`exvavda
გადაემალა	Hide	gadaemala
მიდიანელთაგან	From the Midianites	midianelt`agan
მამაცო	Brave	mamac`o
მებრძოლო	Fighter	mebrz'olo
გედეონმა	Gideon	gedeonma
დაგვემრთებდა	It would be nice to meet you.	dagvemrt`ebda
გვიყვებოდნენ	They told us	gviqvebodnen
მიგვატოვა	He left us.	migvatova
ჩაგვაგდო	He threw us in.	ch`agvagdo
გაგზავნი	Send	gagzavni
გლახაკია	It is poor.	glaxakia
მოსრავ	You are welcome.	mosrav
გამოვიტან	I will take it out.	gamovitan
დაგიცდი	I will try you.	dagic`di
დაბრუნდებოდე	Come back.	dabrundebode
კალათში	In the basket	kalat`shi
ქილაში	In a jar	k`ilashi
აბიყეზერელთა	Abiezerites	abiqezerelt`a
ბაყალისა	Baal's	baqalisa
აჩეხე	Cut it.	ach`exe
აჩეხავ	You are cutting.	ach`exav
აჩეხილი	Chopped	ach`exili
ახლადაგებულ	Newlywed	axladagebul
აღვლენილი	Raised	ag'vlenili
გამოიძიეს	They investigated.	gamoiz'ies
გამოიკვლიეს	They investigated.	gamoikvlies
გედეონ	Gideon	gedeon
გამოესარჩლოთ	Protect yourself.	gamoesarch`lot`
იხსნათ	Save them.	ixsnat`
გამოესარჩლოს	To protect	gamoesarch`los
დაუნგრევია	It is not destroyed.	daungrevia
აბიყეზერელებმა	The Abiezrites	abiqezerelebma
მეუბნებოდი	You were telling me.	meubnebodi
მატყლის	Wool	matqlis
საწმისს	Fleece	sacmiss
საწმისზე	On the fleece	sacmisze
მშრალი	Dry	mshrali
გამოწურა	Exhausted	gamocura
საწმისი	Fleece	sacmisi
ნამი	Dew	nami
მიდიანელებთან	With the Midianites	midianelebt`an
ხაროდის	Harodi	xarodis
გედეონს	Gideon	gedeons
საიმისოდ	For this reason	saimisod
ჩავუგდო	I threw it.	ch`avugdo
გაყოყოჩდეს	To be proud	gaqoqoch`des
შეშინებულია	Scared	sheshinebulia
კანკალებს	Trembling	kankalebs
გამოგირჩევ	I will choose you.	gamogirch`ev
გამოგყვეს	They followed you.	gamogqves
შესვლეპს	Shevleps	shesvleps
სვლეპს	Slaps	svleps
ჩაიმუხლება	Will be buried.	ch`aimuxleba
გამოაცალკევე	Separate	gamoac`alkeve
მსვლეპავთა	Of the poor	msvlepavt`a
მსვლეპელი	The killer	msvlepeli
ჩასვლისა	Arrival	ch`asvlisa
ფურა	Fur	p`ura
იარაღასხმულთა	Armed forces	iarag'asxmult`a
რიგებისაკენ	To the ranks	rigebisaken
განლაგებულნი	Arranged	ganlagebulni
უყვება	Tells	uqveba
დაგორდა	It rolled down.	dagorda
თავდაყირა	Upside down	t`avdaqira
მოყვასმა	Neighbor	moqvasma
გედეონისა	Gideon's	gedeonisa
აბრუნდა	He returned.	abrunda
დოქები	Jugs	dok`ebi
დოქებში	In jars	dok`ebshi
მიყურეთ	Look at me.	miquret`
დავაყვირებთ	We will shout.	davaqvirebt`
გედეონისათვის	For Gideon	gedeonisat`vis
შუაღამე	Midnight	shuag'ame
გამოცვალეს	They changed.	gamoc`vales
დააყვირეს	They shouted.	daaqvires
გუნდმა	The team	gundma
გაჰყვირეს	They shouted.	gahqvires
სამასმა	Three hundred	samasma
აღამართინა	Raised	ag'amart`ina
მირბოდა	He was running.	mirboda
შიტამდე	To the point of shit	shitamde
ცერარასაკენ	Toward Ceres	c`erarasaken
მექოლას	Mekola	mek`olas
ტაბათის	Tabati	tabat`is
მენაშედან	From Manasseh	menashedan
დაუხვდით	You met.	dauxvdit`
ბარამდე	To the bar	baramde
ყორები	Crows	qorebi
ზეები	Zeeb	zeebi
ზეების	Zeeb's	zeebis
ყორებისა	Of the gods	qorebisa
გედეონის	Gideon	gedeonis
მოგვიხმე	Call us.	mogvixme
მიდიანთან	Midian	midiant`an
აუტეხეს	They broke it.	autexes
თქვენოდენი	As much as you	t`k`venodeni
ნამცვრევი	Frosty	namc`vrevi
გამეკეთებია	I have done it.	gameket`ebia
დაქანცულმა	Exhausted	dak`anc`ulma
სუქოთის	Sukkoth	suk`ot`is
მომყვება	Follow me.	momqveba
დაქანცულები	Exhausted	dak`anc`ulebi
მივდევ	I will follow you.	mivdev
ზებახს	Zebach	zebaxs
ცალმუნაყს	To the fool	c`almunaqs
ზებახი	Zebach	zebaxi
ცალმუნაყი	One-eyed	c`almunaqi
გყვანან	They are taking you.	gqvanan
ჩამაგდებინებს	It makes me crazy.	ch`amagdebinebs
ეკლით	With thorns	eklit`
დაგიფლეთთ	I will destroy you.	dagip`let`t`
ხორცებს	Meats	xorc`ebs
ფენუელისაკენ	Towards Penuel	p`enuelisaken
მკვიდრებმაც	The inhabitants also	mkvidrebmac`
მკვიდრებსაც	The inhabitants too	mkvidrebsac`
კარკორში	In Karkor	karkorshi
მობინადრეთა	Residents	mobinadret`a
ნობახისა	Nobachi	nobaxisa
იოგბეჰას	Yogbeha	iogbehas
იოაშისა	Joash	ioashisa
ქერესის	Keres's	k`eresis
სუქოთელი	Succoth	suk`ot`eli
ჩამოუწერა	Write off	ch`amoucera
სუქოთელებდთან	With the Sukotels	suk`ot`elebdt`an
დამცინოდით	Make fun of me.	damc`inodit`
სუქოთელები	Succothites	suk`ot`elebi
ზებახსა	Zebach	zebaxsa
რანაირები	What kind of things?	ranairebi
თაბორზე	On Tabor	t`aborze
შენნაირები	People like you	shennairebi
ტანადობით	Physically	tanadobit`
მეფისწულს	The prince	mep`isculs
გეცოცხლებინათ	To make you alive	gec`oc`xlebinat`
დაგხოცავდით	We would kill you.	dagxoc`avdit`
იეთერს	Yeter	iet`ers
ზებახმა	Zebach	zebaxma
ცალმუნაყმა	One-eyed	c`almunaqma
დაგვხოცე	Kill us.	dagvxoc`e
ძალღონეც	Strongman	z'alg'onec`
ჩამოხსნა	Remove	ch`amoxsna
ნახევარმთვარეები	Crescents	naxevarmt`vareebi
იხელმწიფეთ	Rule the country.	ixelmcip`et`
მიდიანელის	Midianite	midianelis
ვიხელმწიფებ	I reign.	vixelmcip`eb
