鼓舞人心的	encouraging
委託	entrusts
委託	entrusting
委託	entrusted
委託	entrust
委託	commissioned
委曲	perverting
委屈	wronged
姑媽	aunt
姐妹	sisters
始終	throughout
妻子	wives
妻子	wife
妹妹	sister
妥協	compromise
妖嬈	enchanting
妖媚	seductive
妓院	brothels
妓女	whores
妓女	whore
妓女	prostitutes
妓女	prostitute
妒忌	jealousy
妄言	raved
妄想	delusion
如飛	swiftly
如果	if
如實	truthfully
如下	follows
好處	favors
好處	benefits
好看	good-looking
好奇	curious
她的	hers
她的	her
奸詐	treacherous
奸商	shortchange
奶牛	cows
奶油	cream
奶昔	shakes
奴隸	slaves
奴隸	slave
奴役	enslaves
奴役	enslaved
奴役	enslave
女神	goddess
女王	queen
女性	females
女巫	witches
女孩	girls
女孩	girl
女婿	son-in-law
女兒	daughters
女兒	daughter
女傭	maids
女傭	maid
女人	woman
奧秘	mysteries
奧倫	Oren
套索	noose
契約	covenants
契據	deed
奉獻	devote
奉獻	dedicate
奉承	flatter
奈恩	Nain
奇蹟	wonders
奇蹟	wonder
奇蹟	miracles
奇蹟	miracle
奇怪	strangely
奇怪	strange
奇妙	wondrous
奇妙	wonderfully
奇妙	marvelous
夾緊	clamped
夾板	splint
夾子	clamps
夾克	jacket
夸脫	quarts
夸脫	quart
失踪	missing
失語	muteness
失望	disappointment
失望	disappointed
失明	blindness
失明	blinded
失敗	failure
失敗	fails
失敗	failing
失敗	failed
失敗	fail
失控	uncontrollably
失去	losing
失去	loses
失去	lose
失利	loss
失事	wrecked
太陽	sun
太監	eunuchs
太古	immemorial
天賦	talent
天賦	endowed
天空	sky
天空	skies
天生	born
天氣	weather
天才	talented
天才	gifted
天堂	paradise
天堂	heaven
天使	archangels
天使	archangel
天使	angels
天使	angelic
天使	angel
天上	heavenly
大鼠	rats
大麥	barley
大風	gale
大雅	Pedaiah
大雅	Jedaiah
大陸	mainland
大錘	sledgehammers
大量	considerable
大車	cart
大衣	coats
大衛	David
大蒜	garlic
大致	roughly
大膽	daring
大膽	boldly
大腿	thighs
大腿	thigh
大腦	brains
大能	almighty
大綱	outline
大碗	bowlful
大片	expanses
大火	blazes
大漢	Tahan
大步	stalked
大概	probably
大桶	vats
大廳	halls
大廳	hall
大幅	sharply
大家	everyone
大坍	Dathan
大喜	exultation
大叫	yelled
大力	vigorously
大利	Gedaliah
大使	ambassadors
大使	ambassador
夥伴	partners
夥伴	partner
夢見	dreamed
夢想	dream
多頭	longs
多變	varied
多葉	leafy
多益	Doeg
多爾	Dor
多森	Dothan
多數	majority
多情	passionate
外部	external
外衣	garb
外甥	nephew
外人	outsiders
夏甲	Hagar
夏瑣	Hazor
夏季	summer
壯麗	magnificence
壯觀	spectacular
士兵	soldiers
士兵	soldier
壟斷	monopoly
壞蛋	wretches
壞蛋	scoundrels
壞蛋	rascal
壞處	disadvantage
壞人	wrongdoer
壞事	wrongdoing
壞事	villainy
壓迫	oppression
壓迫	oppressing
壓迫	oppresses
壓迫	oppressed
壓迫	oppress
壓痛	tenderness
壓抑	pent
壓抑	oppressive
壓抑	depressing
壓扁	squashed
壓延	rolling
壓力	pressures
壓力	pressure
壓制	pressed
壓倒	overwhelming
壓倒	overwhelm
壓倒	overpowers
壓倒	overpower
壇子	jug
壁龕	alcoves
壁虎	gecko
壁爐	fireplaces
壁爐	fireplace
壁櫥	closet
壁架	ledges
墳墓	graves
墮落	fallen
墮落	depraved
墨水	ink
增長	grow
增加	increasing
增加	increases
增加	increased
增加	increase
增加	adds
墜毀	crashed
墓葬	tombs
墓旁	graveside
墓地	graveyard
墓地	Golgotha
境界	realms
填充	populate
填充	fills
填充	filling
填充	filled
塞拉	Sela
塗抹	smearing
塗抹	smear
塗抹	blotted
塗層	coat
塌陷	subside
場面	spectacle
場合	occasions
場合	occasion
報警	alarm
報復	retaliated
報復	retaliate
報導	reported
報告	reports
報告	reporting
報告	report
報價	offers
報仇	avenge
堡壘	forts
堡壘	fortresses
堡壘	fortress
堡壘	citadels
堡壘	citadel
堅決	resolutely
堅果	nuts
堅果	nut
堅持	uphold
堅持	upheld
堅持	persisted
堅持	persist
堅持	insists
堅持	insisting
堅持	insistent
堅持	insisted
堅定	steadfast
基順	Kishon
基達	Kedar
基遍	Gibeonites
基遍	Gibeonite
基遍	Gibeon
基述	Geshurites
基述	Geshur
基訓	Gihon
基色	Gezer
基羅	Eliam
基綠	Keros
基納	Kenath
基礎	foundation
基礎	basis
基礎	base
基石	cornerstone
基督	Christ
基爾	Kir
基柄	Gebim
基本	basics
基本	basic
基於	based
基提	Kittim
基拉	Gerar
基尼	Kenites
基尼	Kenite
基多	Gedor
基地	bases
基列	Gileadites
基列	Gileadite
基倫	Kitron
基什	Kish
培養	train
培育	cultivating
培育	cultivate
執行	performing
執行	performed
執行	execution
執行	executing
執行	executed
執行	execute
執行	comply
執著	clinging
執事	deacons
執事	deacon
城牆	ramparts
城市	towns
城市	cities
城垛	battlements
埋葬	bury
埃蘭	Elamites
埃蘭	Elam
埃拉	Ela
埃及	Egypt
埃丁	Adin
垃圾	trash
垃圾	rubbish
垃圾	refuse
垃圾	garbage
垂耳	lop
垂直	plumb
垂死	dying
坦白	confesses
坦率	frankness
坦克	tank
坡道	ramps
坐鎮	sits
坐墊	cushion
坐在	sitting
坐在	seated
坍方	collapse
均衡	balanced
地點	place
地點	locations
地面	ground
地震	quakes
地震	quake
地震	earthquakes
地震	earthquake
地穴	Anub
地球	earth
地獄	underworld
地獄	hell
地獄	he'll
地牢	dungeons
地牢	dungeon
地毯	rugs
地毯	carpets
地段	lots
地板	floors
地板	floor
地方	places
地塊	plots
地址	address
地圖	map
地區	regions
地區	region
地主	landowner
地下	underground
在位	reigned
土明	Thummim
土墩	mounds
土塊	clods
土地	lands
土地	land
土匪	bandit
團結	uniting
團結	unite
團結	rally
團塊	clumps
圖表	chart
圖片	pictures
圖片	picture
圖片	images
圖片	image
圖案	patterned
圖書	books
圓周	circumference
園丁	gardener
圍觀	onlookers
圍裙	apron
圍繞	revolves
圍欄	fences
圍攻	mobbed
圍攻	besieging
圍攻	besieged
圍攻	besiege
圍巾	scarves
圍城	siege
國際	international
國籍	nationality
國界	borders
國王	kings
國王	king
國民	national
國家	nations
國家	nation
國家	country
國家	countries
國外	foreign
國外	abroad
國內	domestic
國內	civil
國債	treasuries
圈套	snare
固體	solid
固定	retaining
固定	fixed
固定	fix
固定	fastened
固執	stubbornness
困難	difficulty
困難	difficulties
困窘	embarrassment
困擾	plagued
困擾	bothering
困擾	bothered
困擾	afflicting
困惑	puzzled
困惑	perplexed
困惑	confused
困惑	baffled
困境	woes
困境	predicament
困境	plight
囤積	hoarded
因為	because
因此	therefore
回覆	re
回答	replied
回答	answering
回答	answered
回答	answer
回收	reclaim
回應	responded
回憶	memories
回复	reply
回复	replies
回報	returns
回報	repays
回國	returning
回合	round
四肢	limbs
四肢	fours
四月	April
四方	four-sided
四十	forty
囚禁	imprisoned
囚禁	captivity
囚犯	prisoners
囚犯	prisoner
嚴重	severely
嚴重	severe
嚴重	serious
嚴重	heavily
嚴肅	stern
嚴肅	seriousness
嚴正	sternly
嚴格	strictness
嚴格	strictly
嚴格	strictest
嚴格	strict
嚴格	demanding
嚮往	yearned
嚮往	yearn
嚎叫	howling
嚇唬	frighten
嚇倒	intimidated
噴薄	gushing
噴漿	Gunite
噴泉	fountains
噴泉	fountain
噴口	spout
噪聲	noise
噩夢	nightmares
器物	implements
器官	organs
嘶鳴	neighing
嘶叫	bray
嘴饞	tempts
嘴硬	fooling
嘴巴	mouths
嘴唇	lips
嘲諷	taunt
嘲諷	mocking
嘲笑	scoffs
嘲笑	scoffing
嘲笑	scoff
嘲笑	ridiculing
嘲笑	ridicule
嘲笑	mocks
嘲笑	mocked
嘲笑	mock
嘲笑	jeered
嘲笑	jeer
嘲笑	deride
嘲弄	taunts
嘲弄	taunted
嘲弄	mockingly
嘮叨	nagging
嘟囔	grumbled
嘗試	try
嘗試	tries
嘗試	attempts
嘗試	attempting
嘗試	attempted
嘗試	attempt
嘔吐	vomit
嘈雜	noisy
嘆息	sighing
嘆息	groanings
嗜血	bloodthirsty
嗚嗚	whining
嗚嗚	blare
嗚咽	sobs
嗅探	sniffing
單薄	flimsy
單獨	alone
單挑	singled
單元	unit
單位	units
喬達	Joda
喬爾	Joel
喪失	forfeit
喝道	shouted
喜歡	likes
喜歡	liked
喜歡	like
喜歡	fond
喜愛	loved
喜愛	favorite
喜悅	joy
喜人	delighting
喚醒	wakened
喚醒	waken
喚醒	wake
喚醒	rouse
喘氣	pant
喘氣	gasps
喘氣	gasping
喘氣	gasp
喊叫	outcry
喊叫	exclaim
喉嚨	throats
喇合	Rahab
喇叭	trumpet
喇叭	horn
善良	kindness
善良	goodness
善意	goodwill
喃喃	muttered
啥樣	sawed
啤酒	beer
啟閉	shuts
啟示	revelations
啟示	revelation
啟發	inspired
啟發	inspire
啟用	enabled
啟封	unsealed
啟封	Unseal
啟動	starts
問題	questions
問題	problems
問題	problem
問題	issue
問責	accountable
問候	regards
問候	greetings
商標	trademark
商榷	deliberate
商業	commerce
商業	business
商店	stores
商店	store
商店	shops
商家	merchants
商品	wares
商品	merchandise
商人	trader
商人	merchant
唾液	saliva
唾沫	spittle
唾棄	spurned
唱歌	singing
唬弄	Yanking
哽咽	choked
哲學	philosophy
哭聲	cries
哭泣	wept
哭泣	weeps
哭泣	weep
哭泣	sob
哭了	crying
哭了	cried
哪裡	wherever
哪裡	where
哨兵	sentry
哨兵	sentries
哨兵	sentinels
哥巴	Geba
哥哥	brother
員工	staffs
員工	staff
員工	hires
哈馬	Hamathites
哈馬	Hamath
哈順	Hashum
哈隆	Jalon
哈達	Hadad
哈達	Ben-hadad
哈諾	Hanoch
哈蘭	Haran
哈薛	Haziel
哈薛	Hazael
哈蒙	Hammon
哈臘	Halah
哈突	Hattush
哈曼	Haman
哈摩	Hashmonah
哈拉	Hariph
哈拉	Haradah
哈拉	Halak
哈抹	Hamor
哈及	Haggith
哈博	Habor
哈南	Hanan
哈利	Hali
哄騙	lulled
哄然	boisterous
品脫	pints
品脫	pint
品種	variety
品種	varieties
品種	breed
品牌	makes
品牌	branded
品嚐	savored
哀號	wailed
哀號	wail
哀悼	mourns
哀悼	mourned
哀思	grief
哀嘆	lament
咬緊	clench
咬定	insist
咬傷	bites
咩咩	bleating
咕噥	muttering
咕噥	mutter
咕咕	cooing
咒語	incantation
咒罵	cursing
和諧	harmony
和解	reconciliation
和藹	kindly
和睦	peaceably
和弦	chords
和平	peace
咋舌	breathless
咆哮	snarled
咆哮	roaring
咆哮	ranting
咀嚼	chewing
命運	fortunes
命運	fate
命運	destiny
命脈	lifeblood
命名	naming
命名	named
命令	orders
命令	commands
命令	command
呼吸	breathing
呼吸	breathe
呼吸	breath
呼叫	call
呻吟	moans
呻吟	moaning
呻吟	moaned
呻吟	moan
呻吟	groans
呻吟	groaned
呻吟	groan
味道	taste
味道	flavor
周圍	surrounding
周圍	around
周到	considerate
告訴	told
告訴	tells
告訴	telling
告訴	tell
告別	farewells
告別	farewell
呈現	rendered
呈現	presenting
呈現	presented
呂馬	Elymas
吹牛	bragging
吹牛	braggarts
吹牛	brag
吹噓	bragged
吹噓	boasted
吸盤	suckers
吸收	absorbed
吸引	attracted
吸引	attract
吵架	quarrel
吮吸	suck
含蓄	veiled
含義	meanings
含義	meaning
否認	denies
否認	denied
吠聲	growl
吞食	swallowed
吞食	devouring
吞食	devour
吞沒	engulfs
吞沒	engulfed
吞嚥	swallowing
吞噬	devours
吞噬	devoured
吝嗇	tightfisted
吝嗇	begrudging
君主	Sovereign
君主	monarchs
向西	westward
向外	outwardly
向外	outward
向南	southward
向前	onward
向前	forth
向下	downward
向上	upward
向上	up
吐氣	breathes
吐奶	spits
名譽	fame
名聲	renown
名稱	name
名單	lists
名單	list
同胞	countrymen
同樣	similarly
同樣	likewise
同意	consented
同意	consent
同意	agrees
同意	agreeing
同意	agreed
同意	agree
同情	sympathy
同情	sympathize
同情	compassion
同性	homosexual
同伴	fellow
同伴	companions
同事	colleagues
同事	co-worker
吊裝	lifting
吊繩	sling
吊墜	pendants
吉甲	Gilgal
吉德	Giddel
合謀	conspiring
合謀	conspire
合算	worthwhile
合理	reasonable
合法	lawful
合法	authorized
合格	qualified
合格	eligible
合意	desirable
合徵	co-sign
合式	well-formed
合唱	chorus
合同	deal
合同	contract
合力	Heli
合作	cooperation
合作	cooperated
合作	cooperate
各自	respective
各個	various
吃驚	shocked
吃驚	amazed
吃飽	gorged
吃過	eaten
司機	drivers
司機	driver
司得	Lystra
司令	commanding
右手	right-hand
史昂	Shion
台島	Toi
可靠	trustworthy
可靠	reliable
可鄙	contemptible
可見	visible
可能	possible
可能	may
可疑	suspicious
可拉	Korahites
可拉	Korah
可憐	wretched
可憐	pity
可憐	pitied
可愛	lovely
可愛	lovelier
可惡	hateful
可惡	abominable
可恨	detestable
可恥	shamefully
可恥	shameful
可恥	disgraceful
可怕	terribly
可怕	terrible
可怕	horrible
可怕	hideous
可怕	fearfully
可怕	fearful
可怕	dreadful
可怕	awful
可口	tasty
可信	faithful
可以	could
召開	convened
召回	recall
召喚	summoning
召喚	summon
叫好	applauds
叫好	applauded
叫囂	clamor
叫嚷	blustering
叫喊	shouting
只要	only
只是	simply
只是	just
句子	sentence
古老	age-old
古珊	Cushan
古爾	Gur
古實	Cushite
古實	Cush
口音	accent
口譯	interpreters
口袋	pockets
口袋	pocket
口渴	thirst
口才	eloquence
口味	tastes
叛逆	treason
叛逃	defecting
叛逃	defected
叛軍	rebels
叛徒	traitors
叛徒	traitor
叛亂	rebellions
受驚	frightened
受難	crucifixion
受限	confined
受阻	hindered
受阻	blocked
受辱	insulted
受辱	dishonored
受賄	bribery
受虐	battered
受精	fertilized
受益	benefited
受洗	baptized
受控	controlled
受挫	thwarted
受挫	frustrated
受戒	ordained
受傷	injuring
受傷	injuries
受傷	injured
取締	outlawed
取締	outlaw
取締	banned
取消	withdrawn
取消	lifted
取消	cancels
取消	canceling
取消	canceled
取消	cancel
取消	abolished
取悅	pleaser
取代	substituted
叔叔	uncles
叔叔	uncle
反駁	retorted
反駁	retort
反駁	refute
反駁	countered
反映	reflects
反映	reflecting
反映	reflect
反應	reaction
反應	reacted
反彈	bounced
反常	pervert
反對	opposition
反對	opposing
反對	opposes
反對	opposed
反對	oppose
反對	objections
反對	objected
反對	against
反复	repeatedly
反叛	revolt
反叛	rebelling
反叛	rebel
友誼	friendship
友誼	companionship
友善	friendly
及時	Timely
及時	promptly
叉子	forks
叉子	fork
參觀	visited
參與	participation
參與	involved
參考	reference
參考	refer
參數	arguments
參孫	Samson
參天	towering
參加	participated
參加	participate
參加	partake
去除	removing
去除	removed
去皮	peeled
去掉	remove
厭惡	loathes
厭惡	loathed
厭惡	loathe
厭惡	distaste
厭惡	disgust
厭惡	abomination
厭倦	weary
厭倦	wearied
原諒	forgives
原諒	forgiven
原諒	forgive
原諒	excused
原種	elite
原理	principle
原因	reasons
原因	reason
原因	causes
原因	cause
原告	accusers
原告	accuser
原則	principles
厄運	doom
厄斯	Tiberius
卸載	unloaded
卸貨	discharge
卸下	unload
卷鬚	tendrils
即時	immediate
即刻	instantly
危險	dangers
危險	dangerous
危險	danger
危機	crisis
危害	harms
危害	harm
危害	endanger
印跡	blotting
印跡	blots
印象	impression
印章	chops
印度	India
卡蒙	Kamon
卡納	Cana
卡米	Carmi
卡住	stuck
卜筮	divination
博昂	Bohan
博學	educated
南寧	Aiath
協議	pact
協議	agreement
協助	assisting
卓越	remarkable
卓越	excellence
卑鄙	meanness
卑鄙	despicable
卑賤	lowly
卑劣	vileness
半燒	half-burned
午餐	luncheon
午餐	lunch
午夜	midnight
升起	rising
升值	appreciation
千鈞	supremely
十月	October
十弦	ten-stringed
十四	fourteen
十六	sixteen
十八	eighteen
十五	fifteen
十二	twelve
十九	nineteen
十三	thirteen
十七	seventeen
十一	eleven
區別	distinguishing
區別	discrimination
區別	difference
區分	distinguish
匿伏	lurk
匹配	matched
匯集	converge
北方	northward
北方	northern
化妝	makeup
匕首	daggers
匕首	dagger
匆忙	hurry
匆匆	hurriedly
包裹	wrapped
包裹	parcels
包裝	wraps
包紮	bandaged
包皮	foreskins
包皮	foreskin
包括	includes
包括	included
包括	include
包圍	surrounded
包圍	hemmed
包圍	encircled
包圍	encircle
包含	including
包含	contains
包含	contain
勾銷	nullifies
勾引	tempt
勾引	seduce
勸告	counseled
勸告	advise
勤奮	diligent
勤勞	industrious
勤勉	diligence
勞碌	toils
勞動	labor
勝利	winning
勝利	victory
勝利	victories
勝利	triumphed
勝利	triumph
勝任	competent
動量	momentum
動盪	turmoil
動畫	Anim
動物	animals
動物	animal
動機	motives
動機	motive
動機	motivated
動搖	wavers
動搖	wavered
動搖	waver
動搖	swayed
動搖	shaken
動心	tempted
動員	mobilizing
動員	mobilized
動員	mobilize
勒索	extortioners
勒索	extorting
勒索	extorted
勒索	extort
勒死	strangled
勒撒	Rissah
勒住	reined
勉強	reluctantly
勉強	grudgingly
勇氣	courage
勇敢	courageous
勇敢	brave
勇士	warriors
勃然	excitedly
劫財	robbing
劫匪	robbers
努力	efforts
助理	assistants
助理	assistant
助攻	assist
助手	aides
加馬	Gamaliel
加重	aggravated
加迪	Gadi
加迪	Gaddi
加載	load
加薪	raises
加盟	joining
加盟	joined
加略	Kerioth
加熱	heated
加深	deepens
加沙	Gaza
加成	addition
加強	strengthened
加強	strengthen
加強	stepped
加強	reinforced
加強	Reinforce
加布	Carpus
加工	working
加劇	aggravate
加冕	crowning
加冕	crowned
加冕	coronation
加入	joins
加入	join
加入	adding
加侖	gallons
加侖	gallon
功能	function
功績	feat
功率	power
功夫	effort
功勳	feats
劑量	dose
劍士	swordsmen
劈柴	woodchoppers
劈柴	kindling
劈啪	crackled
劃分	divide
剷除	uproot
創建	creation
創建	creating
創建	creates
創建	created
創建	create
割禮	circumcision
割禮	circumcising
割禮	circumcised
割禮	circumcise
副歌	refrain
副本	copies
副手	lieutenants
剪毛	shorn
剪毛	shearing
剪斷	shear
剪切	sheared
剩餘	surplus
剩下	left
剝離	stripping
剝離	stripped
剝奪	deprived
剝奪	deprive
前額	forehead
前鋒	forward
前進	advancing
前輩	senior
前輩	predecessors
前線	battlefront
前沿	frontiers
前夕	Eve
前哨	outposts
前哨	outpost
前任	predecessor
削減	slash
削減	cuts
削弱	weakens
削弱	weaken
削弱	Cripple
削尖	sharpened
削尖	sharpen
剃刀	razor
剃光	shaved
刻薄	unkind
刺繡	embroidery
刺繡	embroiderers
刺穿	pierces
刺穿	pierced
刺穿	pierce
刺穿	impaled
刺穿	impale
刺痛	stung
刺痛	stinging
刺激	stimulate
刺激	irritate
刺槐	locust
刺槐	acacia
刺棒	goad
刺客	assassins
刷牆	whitewashers
刷新	refreshes
刷新	refreshed
刷新	refresh
制皮	leatherworker
制服	uniforms
制服	uniform
制服	subdued
制服	overpowered
制定	instituted
制勝	subdues
到達	reaching
到達	reaches
到達	reached
到達	arriving
到達	arrives
到達	arrived
到達	arrive
到達	arrival
到處	everywhere
到期	maturity
刮出	scrapings
利雅	Athaliah
利達	Lydda
利肯	Rekem
利益	interests
利益	interest
利甲	Recab
利用	exploiting
利用	exploited
利用	exploit
利潤	profits
利潤	profit
利沙	Elishah
利比	Sherebiah
利差	spreads
利合	Rehob
利加	Elkanah
利健	Regem
利亞	Leah
別處	elsewhere
別加	Perga
判斷	judgments
判斷	judgment
判斷	judging
判斷	judged
判刑	sentenced
初熟	firstfruits
列維	Levi
划船	rowing
刑事	criminal
切除	removal
切絲	shredded
切斷	severing
切斷	severed
切實	earnestly
切割	cutting
分類	sort
分類	classified
分離	separating
分離	separated
分離	separate
分離	detachment
分隊	detachments
分鐘	minutes
分鐘	minute
分配	distribution
分配	distributes
分配	assigning
分配	assigned
分配	assign
分配	allotted
分贓	spoils
分裂	split
分裂	splintered
分發	distribute
分為	divided
分毫	hairsbreadth
分歧	divides
分歧	disagreements
分歧	differences
分析	analyze
分數	marks
分散	scatter
分散	dispersed
分散	disperse
分手	parted
分心	distractions
分心	distracting
分子	elements
分娩	childbirth
分娩	birth
分區	partitioned
分割	separation
分別	separately
分別	distinction
分佈	distributions
分佈	distributing
分享	sharing
分享	shares
分享	share
出院	discharged
出逃	flees
出血	hemorrhage
出色	brilliantly
出租	rental
出租	rent
出租	letting
出發	departing
出生	births
出現	emerge
出現	arose
出現	arises
出現	arise
出現	appears
出現	appearing
出現	appeared
出現	appearance
出現	appear
出沒	infested
出沒	haunts
出沒	haunt
出席	attending
出席	attended
出席	attend
出售	sold
出口	exit
出動	dispatched
凹進	recessed
凱撒	Caesar
凱因	Kain
凱南	Kenan
凡人	mortals
凡人	mortal
凝視	staring
凝視	peered
凝視	gazing
凝視	gazed
凝視	gaze
凝塊	Gob
凝乳	curds
凜然	awe-inspiring
凍結	freezes
冷靜	calm
冷笑	sneered
冷笑	sneer
冷漠	indifferent
冷杉	firs
冷杉	fir
冷卻	cooling
冷卻	cooled
冷凍	freezing
冶煉	smelt
冰雹	hailstones
冰雹	hail
冬季	winter
冤屈	wrongs
冠軍	champion
冒險	venture
冒險	risked
冒著	risking
冒犯	offends
冒瀆	sacrilege
冒泡	bubbling
冒泡	bubbled
冒充	imitating
再見	good-bye
再續	adjourned
再現	reappeared
再現	reappearance
再次	again
再婚	remarry
再婚	remarries
具體	specific
具有	possess
具有	has
其餘	remaining
其次	followed
其實	actually
其他	others
其他	other
其他	else
其中	among
共計	totaling
共治	governs
共同	common
共享	shared
六月	June
六十	sixty
公雞	rooster
公開	publicity
公路	highways
公豬	boar
公認	accepted
公羊	rams
公牛	bulls
公牛	bull
公然	publicly
公然	openly
公民	civic
公民	citizens
公民	citizen
公正	impartial
公平	fairness
公平	fair
公寓	flats
公墓	cemetery
公園	parks
公告	proclamation
公告	announcement
公司	firm
公司	company
公佈	announced
公主	princess
八月	August
八卦	gossip
八十	eighty
兩聲	mutterings
兩次	twice
兩刃	two-edged
兩側	flanked
全然	completely
全年	annual
全國	nationwide
內陸	inland
內部	internal
內部	insides
內裡	Neri
內衣	underclothes
內置	built
內容	content
入選	inducted
入迷	enchanted
入口	entryway
入口	entrances
入口	entrance
入侵	invading
入侵	invaded
入侵	invade
入住	stays
入伍	enlisted
兒童	child
兒子	sons
兒子	son
免除	absolved
免得	lest
兌換	convert
克服	overcomes
克服	overcome
克勞	Claudius
克制	restraint
光頭	baldhead
光環	halo
光澤	sheen
光澤	luster
光滑	smooth
光滑	sleek
光榮	honorably
光榮	gloriously
光柵	grating
光束	beam
光明	brighter
光彩	honorable
先鋒	herald
先祖	patriarchs
先知	prophets
先生	sir
先於	precedes
先前	previously
兇猛	fiercest
兇手	murderer
充電	charging
充足	adequate
充滿	fullness
充斥	glutted
充分	fully
充分	full
兄弟	brothers
元帥	Marshal
允許	permitting
允許	permitted
允許	permission
允許	allows
允許	allowing
允許	allowed
允許	allow
優點	advantages
優點	advantage
優雅	gracefully
優雅	elegant
優越	superior
優美	graceful
優秀	outstanding
優秀	excellent
優於	precede
優惠	preferential
償還	repay
償還	repaid
儘管	spite
儘管	despite
儀式	rituals
儀式	ritually
儀式	ritual
儀式	rites
儀式	rite
儀式	observance
儀式	ceremony
儀式	ceremonies
儀式	ceremonially
儀式	ceremonial
儀器	instruments
儀器	instrument
價錢	price
價格	prices
價值	worth
價值	valued
僱用	hired
僱員	employees
僕人	servant
僅僅	merely
僅僅	barely
傾覆	topple
傾覆	overturning
傾斜	tilt
傾斜	slant
傾倒	dump
傻瓜	simpletons
傻瓜	simpleton
傻瓜	fools
傻子	fool
傷處	injures
傷痕	welts
傷疤	scars
傷心	sad
傷心	grieved
傷害	hurts
傷害	hurting
傷害	hurt
傷害	harmed
傷口	wounds
傷口	wound
傷人	wounding
傷亡	casualties
債務	debts
債務	debt
債券	bonds
傳達	convey
傳道	preach
傳輸	transporting
傳說	legends
傳言	rumblings
傳聞	rumors
傳聞	hearsay
傳統	traditions
傳統	traditional
傳統	tradition
傳播	spreading
傳播	spread
傳喚	summoned
傲然	proudly
傲氣	haughtiness
傲慢	insolence
傲慢	haughty
傲慢	arrogantly
傲慢	arrogant
傲慢	arrogance
備註	remarks
備用	spare
備用	alternate
備件	spares
傑西	Jesse
傑作	masterpiece
偽造	counterfeit
偽裝	disguised
偽裝	disguise
偷聽	overheard
偷偷	secretly
偷了	stole
偶然	accidentally
偶然	accidental
偶像	idols
偶像	idol
偵察	scouting
偵察	scout
側翼	flank
側翻	overturns
健談	talkers
健忘	forgetfulness
健康	wholesome
健康	healthy
健康	healthier
健康	health
停頓	standstill
停靠	docked
停產	discontinued
停止	stops
停止	stopping
停止	stopped
停止	stop
停止	ceased
停止	cease
做法	practices
做工	workmanship
做夢	dreaming
偏離	deviate
偏愛	preference
偏愛	favoritism
偏愛	favor
偏心	partiality
偉大	greatness
假設	suppose
假設	assuming
假裝	pretends
假裝	pretending
假裝	pretend
假期	holidays
假日	holiday
假意	hypocrisy
假想	imaginary
假定	presumed
假定	assumed
值得	worthy
值得	deserving
值得	deserves
值得	deserve
借閱	borrows
借給	lent
借給	lends
倖存	surviving
倖存	survived
倖免	spared
倔強	stubborn
倒退	backsliding
倒車	reversing
倒掉	drained
倒彩	hooting
倒塌	collapsed
倒台	downfall
倒下	topples
個股	stocks
個月	months
個人	personal
個人	individual
倉庫	warehouse
倉庫	storehouses
俯瞰	overlooking
俯瞰	overlook
修飾	qualify
修補	patched
修補	mending
修補	mend
修理	repair
修正	correcting
修正	corrected
修改	modify
修改	amend
修復	repairing
修復	repaired
修剪	trimmed
修剪	trim
修剪	pruning
修剪	pruned
修剪	prune
信託	trusts
信號	signal
信用	credit
信息	message
信息	information
信心	confident
信徒	follower
信徒	believers
信徒	believer
信使	messenger
信任	trusted
信任	confide
信仰	godliness
信仰	faith
信仰	belief
保養	maintenance
保障	safeguard
保鏢	bodyguards
保鏢	bodyguard
保釋	bail
保護	protects
保護	protection
保護	protecting
保護	protected
保護	protect
保證	warrant
保證	pledge
保證	guaranteed
保證	guarantee
保證	assuring
保證	assures
保證	assured
保證	assure
保證	assurances
保證	assurance
保衛	defend
保羅	Paul
保羅	Pau
保管	safekeeping
保管	custody
保留	retains
保留	retain
保留	reserve
保留	reservation
保留	preserve
保持	remained
保持	maintained
保持	maintain
保持	keeps
保持	keeping
保持	keep
保持	holding
保持	hold
保持	held
保存	saving
保存	saved
保存	save
保佑	bless
俘虜	captives
俘虜	captive
俄立	Oreb
俄德	Oded
促進	promotes
促進	promote
便士	pennies
侵擾	intrusion
侵占	overran
侵入	invasion
侵入	invades
侮辱	insults
侮辱	insulting
侮辱	insult
依靠	rely
依靠	depends
依靠	depend
依賴	relies
依賴	dependence
依賴	depended
依托	relying
依偎	cling
供稿	feeds
供應	supplying
供應	supply
供應	supplied
供應	serves
供奉	enshrined
供品	offerings
例子	examples
例外	exceptions
例外	exception
來襲	struck
來源	sources
來人	bearer
來了	came
使者	messengers
使節	envoys
使用	uses
使用	use
使徒	apostles
使徒	apostle
使命	errand
使勁	straining
使出	resorted
佯庇	Jambres
佩服	admires
佣金	commission
你的	yours
你的	your
你會	you'll
你好	hello
作證	testifying
作證	testify
作證	testifies
作證	testified
作者	author
作物	crops
作物	crop
作弊	cheating
作弊	cheat
作家	writer
作孽	evildoers
作品	works
佘山	Sheshan
何薩	Hosah
何巴	Hobab
佔用	occupying
佔用	occupation
佔據	occupy
佔據	occupied
住處	quarters
住房	housing
住宿	lodging
住宅	residence
住宅	dwelling
低斯	Kedesh
低廉	cheap
低地	lowlands
低保	guaranteeing
位置	positions
位置	position
位置	location
位於	situated
位於	located
似乎	seems
似乎	seemed
似乎	seem
伸開	outstretched
伸展	stretch
