aa	胺基酸
trihybrid	三雜交
trihybrids	三雜交體
trihydroxy	三羥基
trijet	三噴射發動機
trijets	三引擎飛機
trijugate	三叉戟
trijugous	三叉戟
trike	三輪車
trikes	三輪車
trilateral	三邊
trilbies	軟氈帽
trilby	氈帽
trilinear	三線
trilingual	三種語言
triliteral	三字面的
trilith	三石
trilithon	三石塔
trilithons	三石塔
triliths	三石柱
trill	顫音
trilled	顫抖的
triller	顫音
trillers	顫音
trilling	顫音
trillion	百萬
trillions	兆
trillionth	兆分之一
trillium	延齡草
trilliums	延齡草
trills	顫音
trilobal	三葉形
trilobate	三裂的
trilobed	三葉的
trilobite	三葉蟲
trilobites	三葉蟲
trilogies	三部曲
trilogy	三部曲
trim	修剪
trimaran	三體船
trimarans	三體船
trimer	三聚體
trimeric	三聚體
trimerism	三聚體
trimerisms	三聚體
trimerous	三葉的
trimers	三聚體
trimester	三個月
trimesters	三個月
trimeter	三音步
trimeters	三音步
trimetric	三角柱形
trimly	整潔地
trimmed	修剪
trimmer	修剪器
trimmers	修剪器
trimmest	最修剪
trimming	修剪
trimmings	飾物
trimness	整潔
trimnesses	修整
trimonthly	每三個月
trimorph	三嗎啉
trimorphic	三態的
trimorphs	三形體
trimotor	三引擎
trimotors	三馬達
trims	裝飾
trinal	特里納爾
trinary	三元的
trindle	特林德爾
trindled	特林德萊德
trindles	特林德爾斯
trindling	特林德林
trine	三位一體
trined	特里內德
trines	三分相
trining	特林寧
trinities	三位一體
trinity	三位一體
trinket	小飾品
trinketed	飾有小飾品
trinketer	小飾品
trinketers	小飾品
trinketing	小飾品
trinketry	小飾品
trinkets	小飾品
trinkums	特林庫姆斯
trinocular	三目
trinodal	三節的
trinomial	三項式
trinomials	三項式
trio	三重奏
triode	三極體
triodes	三極體
triol	三醇
triolet	三重奏
triolets	三重奏
triols	三醇
trios	三重奏
triose	丙糖
trioses	丙糖
trioxid	三氧化二鐵
trioxide	三氧化物
trioxides	三氧化物
trioxids	三氧化物
trip	旅行
tripack	三重包裝
tripacks	三重包裝
tripart	三部分
tripartite	三方
tripe	肚
tripedal	三足動物
tripes	牛肚
triphase	三相
triphthong	三元音
tripinnate	三回羽狀複葉
triplane	三翼飛機
triplanes	三翼飛機
triple	三倍
tripled	三倍
triples	三元組
triplet	三胞胎
tripletail	鮭魚
triplets	三胞胎
triplex	三重
triplexes	三層
triplicate	重複三份
triplicity	三重性
tripling	三倍
triplite	輝長岩
triplites	三輝石
triploid	三倍體
triploids	三倍體
triploidy	三倍體
triply	三倍
tripod	三腳架
tripodal	三腳架
tripodic	三腳架的
tripodies	三腳架
tripods	三腳架
tripody	三腳架
tripoli	矽藻土
tripolis	的黎波里
tripos	特許狀
triposes	三重
tripped	絆倒
tripper	脫鉤器
trippers	旅行者
trippet	三重奏
trippets	三連音
trippier	特里皮爾
trippiest	最迷幻的
tripping	絆倒
trippingly	絆倒地
trippings	絆倒
trippy	迷幻
trips	旅行
triptan	曲坦類
triptane	曲坦
triptanes	曲坦類
triptans	曲坦類
triptyca	三聯
triptycas	三聯體
triptych	三聯畫
triptychs	三聯畫
tripwire	絆線
tripwires	絆網
triradiate	三放射狀
trireme	三列槳戰船
triremes	三列槳戰船
triscele	特里斯凱萊
trisceles	三腳架
trisect	三等分
trisected	三等分
trisecting	三等分
trisection	三等分
trisector	三分線
trisectors	三分線
trisects	三等分
triseme	三行詩節
trisemes	三音節
trisemic	三色的
trishaw	三輪車
trishaws	三輪車
triskele	三曲腿
triskeles	三腳架
triskelia	三腳架
triskelion	三曲腿圖
trismic	三色的
trismus	咬緊牙關
trismuses	三叉戟
trisodium	三鈉
trisome	三體
trisomes	三體
trisomic	三體
trisomics	三體性
trisomies	三體性
trisomy	三體性
tristate	三態
triste	悲傷
tristearin	三硬脂酸甘油酯
tristeza	沮喪
tristezas	悲傷
tristful	憂傷的
tristfully	悲傷地
tristich	三行詩
tristichs	三行詩
trisulfide	三硫化物
trite	陳腔濫調
tritely	陳腔濫調地
triteness	陳腔濫調
triter	崔特
tritest	三重測試
tritheism	三神論
tritheisms	三神論
tritheist	三神論者
tritheists	三神論者
trithing	三項
trithings	三事
tritiated	氚化
triticale	小黑麥
triticales	小黑麥
triticum	小麥
triticums	小麥
tritium	氚
tritiums	氚
tritoma	三胞藻
tritomas	三體瘤
triton	海衛一
tritone	三全音
tritones	三全音
tritons	海神
triturable	可研磨
triturate	磨碎
triturated	研磨
triturates	研磨物
triturator	研磨器
triumph	勝利
triumphal	勝利的
triumphant	凱
triumphed	勝利
triumphing	勝利
triumphs	勝利
triumvir	三頭執政官
triumviri	三巨頭
triumvirs	三頭執政聯盟
triune	三位一體
triunes	三位一體
triunities	三位一體
triunity	三位一體
trivalent	三價
trivalve	三瓣
trivalves	三瓣瓣
trivet	三腳架
trivets	三腳架
trivia	瑣事
trivial	瑣碎的
trivialise	輕視
trivialist	瑣碎主義者
triviality	瑣事
trivialize	輕視
trivially	平凡地
trivium	三學科
triweekly	三週刊
troak	特羅克
troaked	被騷擾
troaking	特羅阿金
troaks	特羅阿克斯
trocar	套管針
trocars	套管針
trochaic	揚抑格
trochaics	揚抑格
trochal	特羅查爾
trochanter	轉子
trochar	套管針
trochars	套管針
troche	片劑
trochee	揚抑格
trochees	抑揚格
troches	片劑
trochil	特羅奇爾
trochili	特羅奇利
trochils	特羅基爾斯
trochilus	雪蓮屬
trochlea	滑車
trochleae	滑車
trochlear	滑車
trochlears	滑車
trochleas	滑車
trochoid	擺線
trochoidal	擺線
trochoids	擺線
trock	特羅克
trocked	拖曳
trocking	拖釣
trocks	特洛克斯
trod	踏
trodden	踐踏
trode	電極
troffer	凹槽
troffers	暗槽
trog	特洛格
troglodyte	穴居人
trogon	咬鵑
trogons	咬鵑
trogs	特洛格斯
troika	三駕馬車
troikas	三駕馬車
troilism	三葉草主義
troilisms	三元論
troilite	硫鐵礦
troilites	硫鐵礦
troilus	特洛伊羅斯
troiluses	特洛伊洛斯
trois	杜魯瓦
troke	行程
troked	特羅克
trokes	特羅克斯
troking	撫摸
troland	特羅蘭
trolands	特羅蘭茲
troll	巨魔
trolled	被拖釣
troller	拖釣者
trollers	拖釣者
trolley	手推車
trolleybus	電車
trolleyed	有推車的
trolleying	推車
trolleys	手推車
trollied	被拖曳
trollies	手推車
trolling	拖釣
trollings	惡意攻擊
trollop	蕩婦
trollops	蕩婦
trollopy	托洛皮
trolls	巨魔
trolly	手推車
trollying	拖釣
trombone	長號
trombones	長號
trombonist	長號手
trommel	旋轉篩
trommels	旋轉篩
tromp	特羅普
trompe	特龍普
tromped	踩踏
trompes	特龍普
tromping	踐踏
tromps	特羅姆普斯
trona	天然鹼
tronas	特羅納斯
trone	特羅內
trones	特羅內斯
troop	部隊
trooped	成群結隊
trooper	士兵
troopers	士兵
troopial	熱帶地區
troopials	特洛伊人
trooping	成群結隊
troops	軍隊
troopship	運兵船
troopships	運兵船
troostite	屈氏體
troostites	屈氏體
trooz	特羅茲
trop	特羅普
tropaeola	金蓮花
tropaeolum	金蓮花
trope	比喻
tropeolin	蒺藜皂苷
tropeolins	亞鐵蛋白
tropes	比喻
trophic	營養型
trophied	獎盃
trophies	獎盃
trophy	杯
trophying	獎盃
tropic	熱帶
tropical	熱帶
tropically	熱帶地
tropicals	熱帶地區
tropics	熱帶
tropin	肌醇
tropine	托品
tropines	托品類
tropins	肌醇
tropism	向性
tropisms	趨向性
tropistic	向性的
tropologic	比喻
tropology	比喻
troponin	肌鈣蛋白
troponins	肌鈣蛋白
tropopause	對流層頂
tropotaxes	原流目
tropotaxis	趨向性
trot	小跑步
troth	真理
trothed	訂婚
trothing	訂婚
troths	誓言
trotline	滑線
trotlines	滑索
trots	小跑步
trotted	小跑步
trotter	豬蹄
trotters	豬蹄
trotting	小跑步
trotyl	三甲基苯胺
trotyls	苯並噻嗪
troubadour	吟遊詩人
trouble	麻煩
troubled	困擾
troubler	麻煩製造者
troublers	麻煩製造者
troubles	麻煩
troubling	令人不安
troublous	麻煩的
trough	槽
troughs	低潮
trounce	擊敗
trounced	慘敗
trouncer	擊倒者
trouncers	搗蛋鬼
trounces	擊敗
trouncing	痛擊
troupe	劇團
trouped	成群結隊的
trouper	劇團成員
troupers	劇團成員
troupes	劇團
troupial	黃鷂
troupials	黃鷂
trouping	成群結隊
trouser	褲子
trousers	褲子
trousseau	嫁妝
trousseaus	嫁妝
trousseaux	嫁妝
trout	鱒魚
troutier	特魯蒂爾
troutiest	鱒魚
trouts	鱒魚
trouty	特勞蒂
trouvere	特魯韋雷
trouveres	特魯韋雷斯
trouveur	歌手
trouveurs	流浪者
trove	寶庫
trover	特羅韋爾
trovers	特羅韋爾斯
troves	寶庫
trow	特羅
trowed	拖曳
trowel	鏝
troweled	抹平
troweler	抹泥工
trowelers	抹泥工
troweling	抹平
trowelled	抹平
troweller	抹泥機
trowellers	拖船者
trowelling	抹平
trowels	土刀
trowing	特洛因
trows	特洛斯
trowsers	褲子
trowth	真理
trowths	真理
troy	特洛伊
troys	特洛伊
truancies	逃學
truancy	逃學
truant	逃學
truanted	逃學
truanting	逃學
truantly	逃學
truantries	逃學
truantry	逃學
truants	逃學學生
truce	休戰
truced	休戰
truceless	不和睦
truces	停戰
trucing	休戰
truck	卡車
truckable	可卡車運輸
truckage	卡車運輸
truckages	貨車運輸
trucked	卡車運輸
trucker	卡車司機
truckers	卡車司機
truckful	滿載卡車
truckfuls	卡車
trucking	卡車運輸
truckings	卡車運輸
truckle	卡車
truckled	卡車
truckler	卡車司機
trucklers	卡車司機
truckles	卡車
truckline	卡車線
trucklines	卡車運輸線
truckling	卡車運輸
truckload	卡車
truckloads	卡車
truckman	卡車司機
truckmen	卡車司機
trucks	卡車
truculence	桀騁不馴
truculency	粗暴無禮
truculent	好鬥的
trudge	跋涉
trudged	跋涉
trudgen	爬泳
trudgens	特魯德金斯
trudgeon	跋涉者
trudgeons	跋涉者
trudger	跋涉者
trudgers	跋涉者
trudges	跋涉
trudging	跋涉
true	真的
trueblue	真藍
trueblues	真藍
trueborn	特魯伯恩
truebred	純種
trued	真
trueing	校正
truelove	真正的愛情
trueloves	真愛
trueness	真實性
truenesses	真實性
truepenny	特魯彭尼
truer	更真實
trues	真
truest	最真實的
truffe	松露
truffes	松露
truffle	松露
truffled	松露
truffles	松露
trug	特魯格
trugs	貨梯
truing	修整
truism	真理
truisms	真理
truistic	真理的
trull	特魯爾
trulls	特魯爾斯
truly	確實
trumeau	特魯莫
trumeaux	特魯莫
trump	王牌
trumped	勝出
trumperies	廢話
trumpery	虛假的東西
trumpet	喇叭
trumpeted	吹響號角
trumpeter	號手
trumpeters	號手
trumpeting	吹響號角
trumpets	喇叭
trumping	勝過
trumps	王牌
truncate	截短
truncated	截斷
truncates	截斷
truncating	截斷
truncation	截斷
truncheon	警棍
truncheons	警棍
trundle	捲動
trundled	拖曳
trundler	特倫德勒
trundlers	推車
trundles	特倫德爾斯
trundling	捲動
trunk	樹幹
trunked	叢集
trunkfish	箱魚
trunkful	滿滿一車
trunkfuls	滿滿一車
trunks	樹幹
trunnel	隧道
trunnels	隧道
trunnion	耳軸
trunnions	耳軸
truss	桁架
trussed	桁架
trusser	捆紮機
trussers	桁架工
trusses	桁架
trussing	捆紮
trussings	桁架
trust	相信
trustable	值得信賴
trusted	值得信賴
trustee	受託人
trusteed	受託人
trusteeing	受託管理
trustees	受託人
truster	委託人
trusters	信任者
trustful	值得信賴的
trustfully	信任地
trustier	更值得信賴
trusties	信託人
trustiest	最值得信賴
trustily	信任地
trustiness	信任
trusting	信任
trustingly	信任地
trustless	無需信任
trustor	委託人
trustors	委託人
trusts	信託
trusty	可靠
truth	真相
truthful	真實
truthfully	如實
truthless	不誠實
truths	真相
try	嘗試
trying	嘗試
tryingly	嘗試地
tryma	特里馬
trymata	特里馬塔
tryout	試用
tryouts	試鏡
trypsin	胰蛋白酶
trypsins	胰蛋白酶
tryptamine	色胺
tryptic	胰蛋白酶
tryptophan	色氨酸
trysail	三角帆
trysails	三角帆
tryst	幽會
tryste	特里斯特
trysted	幽會
tryster	特里斯特
trysters	特里斯特斯
trystes	特里斯特斯
trysting	幽會
trysts	幽會
tryworks	嘗試
tsaddik	察迪克
tsaddikim	查迪基姆
tsade	察德
tsades	察德斯
tsadi	恰迪
tsadis	查迪斯
tsar	沙皇
tsardom	沙皇制
tsardoms	沙皇國
tsarevna	沙皇
tsarevnas	沙皇
tsarina	皇后
tsarinas	沙皇
tsarism	沙皇制度
tsarisms	沙皇制度
tsarist	沙皇
tsarists	沙皇
tsaritza	沙皇
tsaritzas	沙皇
tsars	沙皇
tsatske	察茨克
tsatskes	察茨克斯
tsetse	采采蠅
tsetses	采采蠅
tsimmes	齊姆斯
tsk	嘖嘖
tsked	嘶嘶
tsking	嘖嘖
tsks	嘖嘖
tsktsk	嘖嘖
tsktsked	嘖嘖嘖
tsktsking	嘖嘖
tsktsks	嘖嘖
tsooris	措里斯
tsores	措雷斯
tsoris	措里斯
tsorriss	索里斯
tsouris	楚里斯
tsuba	鍔
tsunami	海嘯
tsunamic	海嘯
tsunamis	海嘯
tsuris	駭客
tuatara	喙頭蜥
tuataras	喙頭蜥
tuatera	圖阿泰拉
tuateras	圖阿特拉斯
tub	浴缸
tuba	大號
tubae	管狀
tubaist	大號演奏家
tubaists	大號演奏家
tubal	輸卵管
tubas	大號
tubate	管狀
tubbable	可盆栽的
tubbed	桶裝
tubber	塊莖
tubbers	塊莖
tubbier	塔比耶
tubbiest	最胖的
tubbiness	肥胖
tubbing	澡
tubby	矮胖的
tube	管子
tubed	管狀
tubeless	無內胎
tubelike	管狀
tubenose	管鼻
tubenoses	管鼻
tuber	塊莖
tubercle	結節
tubercles	結節
tubercular	結核病
tuberculin	結核菌素
tuberoid	結節狀
tuberose	晚香玉
tuberoses	晚香玉
tuberosity	結節
tuberous	塊莖
tubers	塊莖
tubes	管
tubework	管狀結構
tubeworks	管道工程
tubeworm	管蟲
tubeworms	管蟲
tubful	滿桶
tubfuls	桶
tubifex	水蚯蚓
tubifexes	水蚯蚓
tubificid	顫蚓
tubificids	顫蚓
tubiform	管狀
tubing	管道
tubings	油管
tubist	大號演奏家
tubists	大號演奏家
tublike	管狀
tubs	浴缸
tubular	管狀
tubularly	管狀地
tubulate	管狀
tubulated	管狀
tubulates	管狀
tubulating	管狀
tubulator	湍流器
tubulators	湍流器
tubule	小管
tubules	小管
tubulin	微管蛋白
tubulins	微管蛋白
tubulose	管狀
tubulous	管狀的
tubulure	小管
tubulures	小管
tuchun	土純
tuchuns	突春
tuck	塔克
tuckahoe	茯苓
tuckahoes	茯苓
tucked	塞進去
tucker	塔克
tuckered	疲憊不堪
tuckering	塔克林
tuckers	塔克斯
tucket	塔克特
tuckets	褶襉
tucking	塞入
tucks	褶襉
tuckshop	雜貨店
tuckshops	福利社
tufa	石灰華
tufaceous	凝灰質
tufas	石灰華
tuff	凝灰岩
tuffaceous	凝灰質
tuffet	塔夫
tuffets	矮凳
tuffs	凝灰岩
tufoli	圖弗利
tuft	簇
tufted	簇絨
tufter	塔夫特
tufters	塔夫特
tuftier	塔夫蒂爾
tuftiest	塔夫特
tuftily	笨拙地
tufting	簇絨
tuftings	簇絨
tufts	塔夫茨
tufty	塔夫蒂
tug	拖船
tugboat	拖船
tugboats	拖船
tugged	拉扯
tugger	拖船
tuggers	拖船
tugging	拉扯
tughrik	圖格里克
tughriks	圖格里克
tugless	無拖曳
tugrik	圖格里克
tugriks	圖格里克
tugs	拖船
tui	推
tuille	杜伊爾
tuilles	塔伊耶
tuis	圖伊斯
tuition	學費
tuitional	學費
tuitions	學費
tuladi	圖拉迪
tuladis	圖拉迪斯
tularemia	土拉菌病
tularemias	土拉菌病
tularemic	土拉菌病
tule	圖萊
tules	圖萊斯
tulip	鬱金香
tuliplike	鬱金香型
tulips	鬱金香
tulipwood	鵝掌藤
tulipwoods	鵝掌楸
tulle	薄紗
tulles	薄紗
tullibee	塔利比
tullibees	塔利比斯
tumble	翻滾
tumblebug	翻滾蟲
tumblebugs	風滾蟲
tumbled	翻滾
tumbledown	倒塌
tumbler	不倒翁
tumblerful	滿滿一桶
tumblers	不倒翁
tumbles	翻滾
tumbleset	翻滾裝置
tumblesets	翻滾裝置
tumbleweed	風滾草
tumbling	翻滾
tumblings	翻滾
tumbrel	囚車
tumbrels	囚車
tumbril	糞車
tumbrils	囚車
tumefied	腫脹的
tumefies	腫塊
tumefy	腫塊
tumefying	腫大
tumesce	腫脹
tumesced	腫脹
tumescence	腫脹
tumescent	腫脹
tumesces	腫脹
tumescing	腫脹
tumid	腫脹的
tumidities	腫脹
tumidity	腫脹
tumidly	腫脹地
tumidness	腫脹
tummies	肚子
tummler	滾筒
tummlers	翻滾者
tummy	肚子
tumor	瘤
tumoral	腫瘤的
tumorlike	腫瘤狀
tumorous	腫瘤
tumors	腫瘤
tumour	瘤
tumours	腫瘤
tump	川普
tumped	翻倒
tumping	翻倒
tumpline	塔普林
tumplines	塔普林斯
tumps	川普
tumular	土丘
tumuli	古墓
tumulose	丘陵
tumulous	動盪的
tumult	騷亂
tumults	騷亂
tumultuary	吵
tumultuous	喧鬧的
tumulus	古墓
tumuluses	古墓
tun	屯
tuna	鮪魚
tunability	可調性
tunable	可調
tunably	可調
tunas	鮪魚
tundish	中間包
tundishes	中間包
tundra	苔原
tundras	苔原
tune	調
tuneable	可調
tuneably	可調
tuned	調整
tuneful	旋律優美
tunefully	旋律地
tuneless	無調的
tunelessly	不成調地
tuner	調諧器
tuners	調諧器
tunes	曲調
tunesmith	樂曲匠
tunesmiths	樂曲匠
tuneup	調音
tuneups	調音
tung	桐
tungs	桐子
tungstate	鎢酸鹽
tungstates	鎢酸鹽
tungsten	鎢
tungstens	鎢
tungstic	鎢
tungstite	鎢礦
tungstites	鎢礦
tunic	束腰外衣
tunica	蒂尼卡
tunicae	被膜
tunicate	被囊動物
tunicated	有囊的
tunicates	被囊動物
tunicle	外膜
tunicles	外膜
tunics	束腰外衣
tuning	調優
tunnage	運土量
tunnages	礦量
tunned	調諧
tunnel	隧道
tunneled	隧道
tunneler	隧道工
tunnelers	隧道工
tunneling	隧道
tunnelings	隧道
tunnelled	隧道式
tunneller	隧道工人
tunnellers	隧道工人
tunnellike	隧道狀
tunnelling	隧道施工
tunnels	隧道
tunnies	鮪魚
tunning	調音
tunny	鮪魚
tuns	屯斯
tup	頭
tupelo	塔珀洛
tupelos	塔珀洛斯
tupik	圖皮克
tupiks	圖皮克
tupped	被簇擁的
tuppence	兩便士
tuppences	兩便士
tuppenny	兩便士
tupping	交配
tups	塔普斯
tuque	塔克
tuques	圖克斯
turaco	蕉鵑
turacos	蕉鵑
turacou	圖拉庫
turacous	青雉
turban	頭巾
turbaned	戴頭巾的
turbanned	戴頭巾的
turbans	頭巾
turbaries	泥炭沼澤
turbary	泥炭地
turbeth	特爾貝斯
turbeths	特爾貝斯
turbid	混濁
turbidite	濁積岩
turbidites	濁積岩
turbidity	濁度
turbidly	渾濁地
turbidness	渾濁度
turbinal	鼻甲
turbinals	鼻甲
turbinate	鼻甲
turbinated	鼻甲狀
turbinates	鼻甲
turbine	渦輪
turbines	渦輪機
turbit	濁流
turbith	濁積
turbiths	濁積物
turbits	濁積物
turbo	渦輪
turbocar	渦輪增壓汽車
turbocars	渦輪汽車
turbofan	渦輪扇發動機
turbofans	渦輪扇發動機
turbojet	渦輪噴射發動機
turbojets	渦輪噴射發動機
turboprop	渦輪螺旋槳發動機
turboprops	渦輪螺旋槳飛機
turbos	渦輪增壓器
turboshaft	渦輪軸發動機
turbot	大菱鮃
turbots	大菱鮃
turbulence	湍流
turbulency	湍流
turbulent	湍流
turd	糞
turdine	土爾丁
turds	糞便
tureen	湯碗
tureens	湯碗
turf	草皮
turfed	草皮
turfgrass	草皮
turfier	土爾菲耶
turfiest	草皮
turfing	鋪草皮
turfless	無草皮
turflike	類似草皮的
turfman	草坪人
turfmen	草坪工人
turfs	草皮
turfski	草坪滑雪
turfskiing	草地滑雪
turfskis	草皮滑雪板
turfy	草皮
turgencies	緊急狀況
turgency	緊迫性
turgent	緊急
turgescent	膨脹的
turgid	浮腫的
turgidity	腫脹
turgidly	浮誇地
turgidness	腫脹
turgite	突厥
turgites	突厥
turgor	膨壓
turgors	膨壓
turion	突擊者
turions	突擊者
turista	旅遊
turistas	遊客
turk	土耳其人
turkey	火雞
turkeys	火雞
turkois	土耳其人
turkoises	土耳其人
turks	土耳其人
turmeric	薑黃
turmerics	薑黃
turmoil	動盪
turmoiled	動盪
turmoiling	動亂
turmoils	動亂
turn	轉動
turnable	可轉動
turnabout	轉變
turnabouts	轉變
turnaround	迴轉
turnbuckle	螺絲扣
turncoat	叛徒
turncoats	叛徒
turndown	駁回
turndowns	拒絕
turned	轉身
turner	車工
turneries	車床廠
turners	特納
turnery	車工
turnhall	特恩霍爾
turnhalls	特恩霍爾斯
turning	轉向
turnings	轉彎
turnip	蕪菁
turnips	蘿蔔
turnkey	交鑰匙
turnkeys	統包工程
turnoff	關
turnoffs	岔路
turnon	特農
turnons	轉向器
turnout	結果發現
turnouts	投票率
turnover	週轉
turnovers	失誤
turnpike	收費公路
turnpikes	收費公路
turns	轉彎
turnsole	轉底
turnsoles	轉底
turnspit	旋轉烤肉叉
turnspits	烤肉叉
turnstile	旋轉閘門
turnstiles	旋轉閘門
turnstone	翻石
turnstones	翻石鷸
turntable	轉盤
turntables	唱盤
turnup	到場
turnups	出現次數
turnverein	轉輪協會
turophile	嗜酸性
turophiles	嗜酸菌
turpentine	松節油
turpeth	圖爾佩特
turpeths	特爾佩特
turpitude	卑鄙
turpitudes	卑劣行徑
turps	松節油
turquois	綠松石
turquoise	綠松石
turquoises	綠松石
turret	砲塔
turreted	有砲塔的
turrets	砲塔
turrical	圖里卡爾
turtle	龜
turtleback	龜背
turtled	龜鱉
turtledove	斑鳩
turtlehead	龜頭
turtleneck	高領毛衣
turtler	龜甲俠
turtlers	海龜獵人
turtles	海龜
turtling	龜縮
turtlings	小海龜
turves	草皮
tusche	圖什
tusches	塔甚切斯
tush	屁股
tushed	塔什德
tusheries	圖舍裡
tushery	圖舍裡
tushes	獠牙
tushie	屁股
tushies	屁股
tushing	塔辛
tushy	屁股
tusk	象牙
tusked	長著獠牙
tusker	塔斯克
tuskers	象牙
tusking	長牙
tuskless	無牙
tusklike	獠牙狀
tusks	獠牙
tussah	柞蠶
tussahs	柞蠶
tussal	塔薩爾
tussar	柞蠶
tussars	柞蠶
tusseh	圖塞
tussehs	塔塞什
tusser	圖瑟
tussers	塔瑟斯
tusses	拔毛
tussis	吐西斯
tussises	咳嗽
tussive	咳嗽
tussle	爭鬥
tussled	扭打
tussles	爭鬥
tussling	扭打
tussock	草叢
tussocked	草叢生的
tussocks	草叢
tussocky	特索基
tussor	特索爾
tussore	塔索爾
tussores	檉柳
tussors	檉柳屬
tussuck	草叢
tussucks	草叢
tussur	吐蘇爾
tussurs	吐蘇爾斯
tut	嘖嘖
tutee	導師
tutees	導師
tutelage	監護
tutelages	監護
tutelar	監護人
tutelaries	監護人
tutelars	監護人
tutelary	保護
tutor	導師
tutorage	輔導
tutorages	輔導
tutored	輔導
tutoress	女導師
tutoresses	女導師
tutorial	教學
tutorials	教學
tutoring	輔導
tutors	導師
tutorship	輔導
tutorships	輔導
tutoyed	玩具
tutoyer	圖托耶爾
tutoyered	輔導
tutoyering	托托耶林
tutoyers	教學
tuts	嘖嘖
tutted	嘖嘖
tutti	合奏
tutties	塔蒂斯
tutting	嘖嘖
tuttis	全民
tutty	塔蒂
tutu	芭蕾舞裙
tutued	tutued
tutus	芭蕾舞裙
tux	晚禮服
tuxedo	燕尾服
tuxedoed	穿著燕尾服
tuxedoes	燕尾服
tuxedos	燕尾服
tuxes	燕尾服
tuyer	風口
tuyere	風口
tuyeres	風口
tuyers	塔伊爾斯
twa	特瓦
twaddle	廢話
twaddled	胡言亂語
twaddler	廢話連篇
twaddlers	廢話連篇
twaddles	廢話
twaddling	廢話
twae	特韋
twaes	特韋斯
twain	吐溫
twains	吐溫
twang	鼻音
twanged	鼻音
twanger	轉調
twangers	轉調
twangier	特旺吉爾
twangiest	特溫吉斯特
twanging	鼻音
twangle	纏結
twangled	纏結的
twangler	纏結者
twanglers	纏結者
twangles	糾結
twangling	纏結
twangs	鼻音
twangy	鏗鏘有力
twankies	特旺基
twanky	特旺基
twas	那是
twasome	胞漿體
twasomes	胞漿體
twat	傻逼
twats	傻逼
twattle	鬍鬚
twattled	顫抖的
twattles	肉垂
twattling	喋喋不休
twayblade	雙面刃
twayblades	雙面刃
tweak	調整
tweaked	調整
tweakier	更精巧
tweakiest	最狡猾的
tweaking	調整
tweaks	調整
tweaky	扭曲的
twee	彧
tweed	粗花呢
tweedier	特威迪爾
tweediest	粗花呢
tweediness	粗花呢
tweedle	琴聲
tweedled	鬢角鬢角
tweedles	特維德
tweedling	嘰嘰喳喳
tweeds	花呢
tweedy	粗花呢
tween	吐溫
tweener	中間人
tweeners	中間人
tweeness	矯揉造作
tweenesses	幼稚
tweenies	青少年
tweens	青少年
tweeny	特維尼
tweet	鳴叫
tweeted	發推文
tweeter	高音揚聲器
tweeters	高音揚聲器
tweeting	發推文
tweets	推文
tweeze	鑷子
tweezed	用鑷子
tweezer	鑷
tweezers	鑷子
tweezes	鑷子
tweezing	用鑷子
twelfth	第十二
twelfths	十二分之一
twelve	十二
twelvemo	十二莫
twelvemos	十二星座
twelves	十二
twenties	二十多歲
twentieth	第二十
twentieths	二十分之一
twenty	二十
twerp	笨蛋
twerps	小傢伙
twibil	特威比爾
twibill	特威比爾
twibills	特威比爾
twibils	特維比爾
twice	兩次
twiddle	擺弄
twiddled	擺弄
twiddler	擺弄者
twiddlers	擺弄者
twiddles	玩弄
twiddlier	擺弄
twiddliest	最繁瑣的
twiddling	擺弄
twiddly	瑣碎地
twier	特維爾
twiers	特威爾斯
twig	枝條
twigged	枝條
twiggen	特維根
twiggier	特維吉爾
twiggiest	最細枝的
twigging	枝條
twiggy	細枝
twigless	無枝的
twiglike	細枝狀
twigs	樹枝
twilight	暮
twilights	暮靄
twilit	暮靄
twill	斜紋布
twilled	斜紋
twilling	斜紋
twillings	斜紋布
twills	斜紋布
twin	雙
twinberry	雙莓
twinborn	孿生子
twine	纏繞
twined	孿生的
twiner	孿生子
twiners	雙子星
twines	麻繩
twinflower	雙花
twinge	刺痛
twinged	孿生的
twingeing	刺痛
twinges	刺痛
twinging	纏繞
twinier	雙胞胎
twiniest	孿生姊妹
twinight	雙夜
twining	纏繞
twinjet	雙引擎噴射發動機
twinjets	雙引擎飛機
twinkie	雙胞胎
twinkies	奶油小生
twinkle	閃爍
twinkled	閃爍
twinkler	閃爍者
twinklers	閃爍者
twinkles	閃爍
twinkling	閃爍
twinklings	閃爍
twinkly	閃閃發光
twinned	孿生
twinning	孿生
twinnings	孿生
twins	雙胞胎
twinset	雙套
twinsets	雙胞胎
twinship	孿生
twinships	孿生兄弟
twiny	孿生的
twirl	捻
twirled	旋轉
twirler	旋轉者
twirlers	旋轉者
twirlier	旋轉木馬
twirliest	最旋轉的
twirling	旋轉
twirls	旋轉
twirly	旋轉
twirp	特維爾普
twirps	特維爾普斯
twist	捻
twistable	可扭曲
twisted	扭曲的
twister	扭轉者
twisters	龍捲風
twistier	更曲折
twistiest	最曲折的
twisting	扭曲
twistings	扭曲
twists	曲折
twisty	曲折的
twit	推特
twitch	抽搐
twitched	抽搐
twitcher	抽搐者
twitchers	觀鳥者
twitches	抽搐
twitchier	更加抽搐
twitchiest	最緊張的
twitchily	抽搐地
twitching	抽搐
twitchy	抽搐
twits	蠢貨
twitted	推特
twitter	嘰嘰喳喳
twittered	推特
twitterer	推特者
twitterers	推特用戶
