্নানি	Grandma	naani
উপঢৌকনবাহক	Gift bearer	upddhauknbaahk
উপঢৌকনদ্রব্য	Gift items	upddhaukndrby
উপঢৌকন।	Gift.	upddhaukn / 
উপঢৌকন	Gift	upddhaukn
উপড়ে	Uprooted	updd'e
উপড়িয়েছেন।	He has taken it.	updd'iy'echen / 
উপড়িয়েছে	Has blown up	updd'iy'eche
উপড়িয়ে	Uprooted	updd'iy'e
উপড়িয়া	Uparia	uprriyyaa
উপড়ালেন	Uprooted	updd'aalen
উপড়াইলেন	Uprooted	uprraailen
উপড়াইয়াছে	Uprooted	uprraaiyyaache
উপড়াইয়া	Uprooting	uprraaiyyaa
উপজীবিকা	Livelihood	upjiibikaa
উপজাতীয়েরা	Tribals	upjaatiiyyeraa
উপজাতীয়দেরও	Tribals too	upjaatiiyydero
উপজাতীয়দের	Tribals	upjaatiiyyder
উপজাতির	Tribe	upjaatir
উপজাতিদের	Tribes	upjaatider
উপজাতি	Tribe	upjaati
উপছে	Upcoming	upche
উপচে	Overflowing	upce
উপচিয়ে	Overpriced	upciy'e
উপচিয়া	Upachiya	upciy'aa
উপচারে	In therapy	upcaare
উপচার	Treatment	upcaar
উপচয়ে	In appreciation	upcyye
উপচয়	Appreciation	upcy'
উপগিরিতে	In the foothills	upgirite
উপগিরি	Sub-mountain	upgiri
উপগত।	Upagat.	upgt / 
উপগত	Origin	upgt
উপখ্যান	Anecdote	upkhyaan
উপক্রম	Undertaking	upkrm
উপকৃত।	Benefited.	upkRt / 
উপকৃত	Benefited	upkRt
উপকূলের	Coastal	upkuuler
উপকূলে।	On the coast.	upkuule / 
উপকূলে	On the coast	upkuule
উপকূলসমূহ	Coasts	upkuulsmuuh
উপকূলভাগ।	Coastal area.	upkuulbhaag / 
উপকূলবাসীরা	Coastal dwellers	upkuulbaasiiraa
উপকূলবাসী।	Coastal people.	upkuulbaasii / 
উপকূলবাসী	Coastal people	upkuulbaasii
উপকূলবর্তী	Coastal	upkuulbrtii
উপকূলনিবাসিগণ	Coastal dwellers	upkuulnibaasignn
উপকূলগুলোর	The coasts	upkuulgulor
উপকূলগুলোতে	On the coasts	upkuulgulote
উপকূলগুলোকে	The coasts	upkuulguloke
উপকূলগুলো	The coasts	upkuulgulo
উপকূলগুলি	The coasts	upkuulguli
উপকূল	Coast	upkuul
উপকুলের	On the coast	upkuler
উপকুলে।	On the coast.	upkule / 
উপকুলে	On the coast	upkule
উপকুলভূমি	Coastal land	upkulbhuumi
উপকুলবাসীর	Coastal people	upkulbaasiir
উপকুলবাসী	Coastal people	upkulbaasii
উপকুলবর্তী	Coastal	upkulbrtii
উপকুল	Coast	upkul
উপকারের	Benefits	upkaarer
উপকারেই	For the benefit of	upkaarei
উপকারে	For the benefit	upkaare
উপকারীতা।	Beneficial.	upkaariitaa / 
উপকারী।	Useful.	upkaarii / 
উপকারী	Beneficial	upkaarii
উপকারিণী	Benefactor	upkaarinnii
উপকারার্থে	For the benefit of	upkaaraarthe
উপকারার্থক	Beneficial	upkaaraarthk
উপকারানুসারে	According to benefits	upkaaraanusaare
উপকারটা	The benefit	upkaarttaa
উপকারজনক	Beneficial	upkaarjnk
উপকারও	Benefits too	upkaaro
উপকারই	The benefit	upkaari
উপকার।	Benefit.	upkaar / 
উপকার	Benefits	upkaar
উপকরণে	In the materials	upkrnne
উপকরণসহ	With materials	upkrnnsh
উপকরণগুলির	Materials	upkrnngulir
উপকরণ।	Materials.	upkrnn / 
উপকরণ	Ingredients	upkrnn
উপকন্ঠে	On the outskirts	upkntthe
উপকণ্ঠে	On the outskirts	upknntthe
উপ	Sub	up
উন্মোচন।	Unveiling.	unmeaacn / 
উন্মোচন	Unveiling	unmeaacn
উন্মোচকের	Revealer	unmeaacker
উন্মোচক	Revealer	unmeaack
উন্মেষ।	Unmesh.	unmess / 
উন্মূলিত	Uprooted	unmuulit
উন্মূলনের	Eradication	unmuulner
উন্মূলন	Eradication	unmuuln
উন্মুলন	Removal	unmuln
উন্মুখ।	Looking forward.	unmukh / 
উন্মুখ	Looking forward	unmukh
উন্মুক্তা	Open	unmuktaa
উন্মুক্ত।	Open.	unmukt / 
উন্মুক্ত	Open	unmukt
উন্মীলীত	Unmiliit	unmiiliit
উন্মীলিতচক্ষু	Open eyes	unmiilitckssu
উন্মীলিত	Unveiled	unmiilit
উন্মীলন	Unfolding	unmiiln
উন্মাহ্	Insanity	unmaah
উন্মাদের	Crazy people	unmaader
উন্মাদে	In madness	unmaade
উন্মাদনায়	In madness	unmaadnaayy
উন্মাদনা	Madness	unmaadnaa
উন্মাদ।	Crazy.	unmaad / 
উন্মাদ	Crazy	unmaad
উন্মত্ব	Madness	unmtb
উন্মত্তের	Crazy	unmtter
উন্মত্ততায়	In a frenzy	unmtttaayy
উন্মত্ততা।	Madness.	unmtttaa / 
উন্মত্ততা	Madness	unmtttaa
উন্মত্ত।	Crazy.	unmtt / 
উন্মত্ত	Crazy	unmtt
উন্ন্নত	Advanced	unnnt
উন্নো।	Unno.	unno / 
উন্নো	Unno	unneaa
উন্নীত।	Promoted.	unniit / 
উন্নীত	Upgraded	unniit
উন্নি	Unni	unni
উন্নাসিকতার	Unconsciousness	unnaasiktaar
উন্নাসিক	Unnasik	unnaasik
উন্নয়ন	Development	unny'n
উন্নতিলাভ	Progress	unntilaabh
উন্নতির	Progress	unntir
উন্নতিপ্রাপ্ত	Improved	unntipraapt
উন্নতিতে	In progress	unntite
উন্নতিকে	Progress	unntike
উন্নতিই	Progress	unntii
উন্নতি।	Improvement.	unnti / 
উন্নতি	Progress	unnti
উন্নতশির।	Noble.	unntshir / 
উন্নতশির	Noble	unntshir
উন্নতমস্তক	Advanced head	unntmstk
উন্নত।	Advanced.	unnt / 
উন্নত	Advanced	unnt
উনুনের	Oven	ununer
উনুনে	In the oven	unune
উনুন	Oven	unun
উনুইর	Unuir	unuir
উনুইয়ের	Unui's	unuiy'er
উনুইবিশিষ্ট	With a hole	unuibishisstt
উনুইদ্বারের	Unuidwar	unuidbaarer
উনুইতে	To boil	unuite
উনুইগুলিও	The wells too	unuigulio
উনুইগুলি	The wells	unuiguli
উনুইকে	Unui	unuike
উনুই	Unui	unui
উনীকীর	Unikir	uniikiir
উনিশটি	Nineteen	unishtti
উনিশ	Nineteen	unish
উনিও	One too	unio
উনিই	He is the one.	unii
উনি	He/She	uni
উনার	His	unaar
উনানের	Unan's	unaaner
উনানে	Unan	unaane
উনানটি	The stove	unaantti
উনান।	Oven.	unaan / 
উনান	Heater	unaan
উনসত্তর	Sixty-nine	unsttr
উনপঞ্চাশ	Fifty-nine	unpnycaash
উনত্রিশটি	Thirty-nine	untrishtti
উনত্রিশ	Thirty-nine	untrish
উধাও	Disappeared	udhaao
উদ্রেক	Excitement	udrek
উদ্রিক্ত	Emerging	udrikt
উদ্যোগেই	On initiative	udyeaagei
উদ্যোগে	On initiative	udyoge
উদ্যোগী।	Entrepreneurial.	udyeaagii / 
উদ্যোগী	Entrepreneurial	udyeaagii
উদ্যোগকে	Initiative	udyogke
উদ্যোগ	Initiative	udyeaag
উদ্‌যাপন	Celebration	udyaapn
উদ্যানেরও	Also in the garden	udyaanero
উদ্যানের	Garden	udyaaner
উদ্যানে	In the garden	udyaane
উদ্যানস্থিত	in the garden	udyaansthit
উদ্যানস্থ	In the garden	udyaansth
উদ্যানসমূহ	Gardens	udyaansmuuh
উদ্যানবাটীর	Garden house	udyaanbaattiir
উদ্যানঃ	Garden:	udyaanH
উদ্যান	Garden	udyaan
উদ্যাগ	Initiation	udyaag
উদ্যমের	Of enthusiasm	udymer
উদ্যমে	With enthusiasm	udyme
উদ্যম	Enthusiasm	udym
উদ্যত।	Urgent.	udyt / 
উদ্যত	Urgent	udyt
উদ্ভ্রান্ত	Confused	udbhraant
উদ্ভেদ	Origin	udbhed
উদ্ভূত।	Originated.	udbhuut / 
উদ্ভূত	Originated	udbhuut
উদ্ভিন্ন	Growing	udbhinn
উদ্ভিদ্‌রাজির	Plant nutrition	udbhidraajir
উদ্ভিদের	Plants	udbhider
উদ্ভিদসমূহ	Plants	udbhidsmuuh
উদ্ভিদরাজি	Flora	udbhidraaji
উদ্ভিদ	Plant	udbhid
উদ্ভিজ্জের	Vegetable	udbhijjer
উদ্ভিজ্জ	Vegetable	udbhijj
উদ্ভাসিত।	Revealed.	udbhaasit / 
উদ্ভাসিত	Revealed	udbhaasit
উদ্ভাবিত	Invented	udbhaabit
উদ্ভাবন	Innovation	udbhaabn
উদ্ভবের	Origin	udbhber
উদ্ভব	Origin	udbhb
উদ্ব্যস্ত	Busy	udbyst
উদ্বোধনের	Inauguration	udbodhner
উদ্বোধন।	Inauguration.	udbeaadhn / 
উদ্বোধন	Opening	udbodhn
উদ্বেলিত	Excited	udbelit
উদ্বেল।	Udbel.	udbel / 
উদ্বেল	Udbel	udbel
উদ্বেগের	Of concern	udbeger
উদ্বেগে	In anxiety	udbege
উদ্বেগমুক্ত	Worry-free	udbegmukt
উদ্বেগ।	Anxiety.	udbeg / 
উদ্বেগ	Anxiety	udbeg
উদ্বৃত্তও	Surplus too	udbRtto
উদ্বৃত্ত	Surplus	udbRtt
উদ্বুদ্ধ	Motivated	udbuddh
উদ্বিগ্না	Anxiety	udbignaa
উদ্বিগ্ন।	Worried.	udbign / 
উদ্বিগ্ন	Worried	udbign
উদ্বাস্তুরা	Refugees	udbaasturaa
উদ্বাস্তুর	Refugee	udbaastur
উদ্বাস্তুদের	Refugees	udbaastuder
উদ্বাস্তু।	Refugees.	udbaastu / 
উদ্বাস্তু	Refugee	udbaastu
উদ্বমন	Vomiting	udbmn
উদ্ধৃত	Quoted	uddhRt
উদ্ধিগ্ন	Opened	uddhign
উদ্ধারের	Rescue	uddhaarer
উদ্ধারে	To the rescue	uddhaare
উদ্ধারার্থে	To the rescue	uddhaaraarthe
উদ্ধারস্বরূপ	As a rescue	uddhaarsbruup
উদ্ধারসাধন	Rescue	uddhaarsaadhn
উদ্ধাররূপ	Rescue form	uddhaarruup
উদ্ধারপ্রাপ্ত।	Rescued.	uddhaarpraapt / 
উদ্ধারপ্রাপ্ত	Rescued	uddhaarpraapt
উদ্ধারপর্ব্বের	Passover	uddhaarprbber
উদ্ধারপর্ব	The Feast of Deliverance	uddhaarprb
উদ্ধারক্ষমতা।	Salvageability.	uddhaarkssmtaa / 
উদ্ধারকে	To the rescue	uddhaarke
উদ্ধারকারীদের	Rescuers	uddhaarkaariider
উদ্ধারকারী	Rescuer	uddhaarkaarii
উদ্ধারকল্পে	To the rescue	uddhaarklpe
উদ্ধারকর্ত্তা।	Savior.	uddhaarkrttaa / 
উদ্ধারকর্ত্তা	Savior	uddhaarkrttaa
উদ্ধারকর্তারূপে	As a savior	uddhaarkrtaaruupe
উদ্ধারকর্তার	Savior	uddhaarkrtaar
উদ্ধারকর্তাকে	To the Savior	uddhaarkrtaake
উদ্ধারকর্তা।	Savior.	uddhaarkrtaa / 
উদ্ধারকর্তা	Savior	uddhaarkrtaa
উদ্ধারক।	Rescuer.	uddhaark / 
উদ্ধারক	Rescuer	uddhaark
উদ্ধারও	Rescue too	uddhaaro
উদ্ধার।	Rescue.	uddhaar / 
উদ্ধার	Rescue	uddhaar
উদ্ধতভাবে	Arrogantly	uddhtbhaabe
উদ্ধতভাব	Arrogance	uddhtbhaab
উদ্ধতভঙ্গীতে	In a haughty manner	uddhtbhnggiite
উদ্ধতচিত্ত	Arrogant	uddhtcitt
উদ্ধতকে	To the arrogant	uddhtke
উদ্ধত।	Arrogant.	uddht / 
উদ্ধত	Arrogant	uddht
উদ্দ্যেশে	For the purpose	uddyeshe
উদ্দেশ্যেসেই	For that purpose	uddeshyesei
উদ্দেশ্যের	Purpose	uddeshyer
উদ্দেশ্যেও	Also for the purpose	uddeshyeo
উদ্দেশ্যেই	For the purpose	uddeshyei
উদ্দেশ্যে।	For the purpose.	uddeshye / 
উদ্দেশ্যে	For the purpose	uddeshye
উদ্দেশ্যর	Purpose	uddeshyr
উদ্দেশ্যমত	On purpose	uddeshymt
উদ্দেশ্যটাই	The purpose is	uddeshyttaai
উদ্দেশ্যগুলোও	The objectives too	uddeshyguloo
উদ্দেশ্যগুলো	Objectives	uddeshygulo
উদ্দেশ্যকে	Purpose	uddeshyke
উদ্দেশ্যই	The purpose is	uddeshyi
উদ্দেশ্য।	Purpose.	uddeshy / 
উদ্দেশ্য	Purpose	uddeshy
উদ্দেশেও	Also for	uddesheo
উদ্দেশেই	For the purpose of	uddeshei
উদ্দেশে।	To.	uddeshe / 
উদ্দেশে	For	uddeshe
উদ্দেশ	Destination	uddesh
উদ্দীপ্ত	Excited	uddiipt
উদ্দীপিত	Stimulated	uddiipit
উদ্দীপনার	Of excitement	uddiipnaar
উদ্দীপনায়	In excitement	uddiipnaay'
উদ্দীপনা	Stimulus	uddiipnaa
উদ্দাম	Arrogant	uddaam
উদ্দশ্যে	For the purpose	uddshye
উদ্দশে	For the purpose	uddshe
উদ্ঘাটিত।	Unveiled.	udghaattit / 
উদ্ঘাটিত	Revealed	udghaattit
উদ্ঘাটনে	In the revelation	udghaattne
উদ্ঘাটনকারী	Revealer	udghaattnkaarii
উদ্ঘাটন	Revelation	udghaattn
উদ্‌গ্রীব।	Excited.	udgriib / 
উদ্গীর্ণ	Excited	udgiirnn
উদ্‌গীরণ	Exclamation	udgiirnn
উদ্গার	Extract	udgaar
উদ্গম	Origin	udgm
উদ্গত	Origin	udgt
উদ্‌	Ud	ud
উদেশ্যে	For the purpose	udeshye
উদূখল	Open	uduukhl
উদুখলে	Udukhale	udukhle
উদীর্ণ	Bold	udiirnn
উদীয়মানা	Emerging	udiiyymaanaa
উদীয়মান	Emerging	udiiyymaan
উদিত	Udit	udit
উদাহরণের	Example	udaahrnner
উদাহরণে	In the example	udaahrnne
উদাহরণস্বরূপ	For example	udaahrnnsbruup
উদাহরণরূপে	For example	udaahrnnruupe
উদাহরণটা	The example	udaahrnnttaa
উদাহরণ	Examples	udaahrnn
উদাসীনতা	Indifference	udaasiintaa
উদাসীন।	Indifferent.	udaasiin / 
উদাসীন	Indifferent	udaasiin
উদারা	Generous	udaaraa
উদারহস্তে	Generous	udaarhste
উদারহস্ত।	Generous.	udaarhst / 
উদারমনা	Generous	udaarmnaa
উদারভাবে	Generously	udaarbhaabe
উদারতার	Generosity	udaartaar
উদারতা।	Generosity.	udaartaa / 
উদারতা	Generosity	udaartaa
উদারচিত্ত	Generous	udaarcitt
উদার।	Generous.	udaar / 
উদার	Generous	udaar
উদাত্ত	Udatta	udaatt
উদরের	Abdominal	udrer
উদরে।	In the stomach.	udre / 
উদরে	In the stomach	udre
উদরস্থ	Abdominal	udrsth
উদরম্ভরি	Abdominal	udrmbhri
উদরতৃপ্তিকে	To satiety	udrtRptike
উদরকে	In the stomach	udrke
উদরই	Abdominal	udri
উদর।	Abdomen.	udr / 
উদর	Abdomen	udr
উদযোগী	Industrious	udyogii
উদয়ের	Udayer	udy'er
উদয়াস্তের	Sunrise	udyyaaster
উদযাপিত	Celebrated	udyaapit
উদযাপন	Celebration	udyaapn
উদয়াচলের	Udayachal	udyyaacler
উদয়াচল	Udayachal	udyyaacl
উদয়স্থানকে	To the rising sun	udyysthaanke
উদয়স্থান	Origin	udyysthaan
উদয়ই	Udayi	udyyi
উদয়	Uday	udy'
উদবমন	Udvaman	udbmn
উদঘাটিত	Revealed	udghaattit
উদগ্রীব	Eager	udgriib
উদগীর্ণ	Opened	udgiirnn
উদগীরণ	Exclamation	udgiirnn
উদগার	Exclamation	udgaar
উদগম	Origin	udgm
উদগত	Emerging	udgt
উথ্‌লে	Shallow	uthle
উথলে	Shallow	uthle
উথলিয়ে	Upside down	uthliy'e
উথলিয়া	Uthlia	uthliyyaa
উথয়।	Wake up.	uthy' / 
উথয়	Awakening	uthy'
উৎসের	Source	user
উৎসে।	At the source.	use / 
উৎসে	At the source	use
উৎসৃষ্ট	Dedicated	usRsstt
উৎসৃজ্য	Cultivation	usRjy
উৎসুকভাবে	Eagerly	usukbhaabe
উৎসুক।	Curious.	usuk / 
উৎসুক	Eager	usuk
উৎসিয়েলের	Utsiel	usiyyeler
উৎসিয়ের	Utsiyar	usiyyer
উৎসিয়কে	To Uzziah	usiyyke
উৎসিয়	Utsiya	usiyy
উত্সাহের	Enthusiasm	utsaaher
উৎসাহে	With enthusiasm	usaahe
উত্সাহী	Enthusiastic	utsaahii
উত্সাহিত	Encouraged	utsaahit
উৎসাহহীন	Unmotivated	usaahhiin
উৎসাহযুক্ত	Enthusiastic	usaahyukt
উৎসাহমূলক	Encouraging	usaahmuulk
উৎসাহব্যঞ্জক	Encouraging	usaahbynyjk
উৎসাহবর্ধক	Motivational	usaahbrdhk
উৎসাহদানে	In encouragement	usaahdaane
উৎসাহদান	Encouragement	usaahdaan
উৎসাহদাতা	Encourager	usaahdaataa
উৎসাহজনক	Encouraging	usaahjnk
উত্সাহ	Encouragement	utsaah
উৎসারিত।	Sourced.	usaarit / 
উৎসারিত	Sourced	usaarit
উৎসার	Source	usaar
উৎসস্বরূপ।	As a source.	ussbruup / 
উৎসস্বরূপ	As a source	ussbruup
উৎসসমূহের	Sources	ussmuuher
উৎসর্জ্জনীয়	Exciting	usrjjniiyy
উৎসর্জনীয়	Sacrificial	usrjniiyy
উৎসর্গেরও	Also for sacrifice	usrgero
উত্সর্গের	Dedication	utsrger
উৎসর্গেও	Also dedicated	usrgeo
উৎসর্গে	In dedication	usrge
উৎসর্গীত	Dedicated	usrgiit
উত্সর্গীকৃত	Dedicated	utsrgiikRt
উৎসর্গীকরণের	Dedication	usrgiikrnner
উৎসর্গীকরণ	Dedication	usrgiikrnn
উৎসর্গিত।	Dedicated.	usrgit / 
উৎসর্গিত	Dedicated	usrgit
উৎসর্গদাতা	Dedicator	usrgdaataa
উৎসর্গগুলোর	The offerings	usrggulor
উৎসর্গগুলোও	The offerings too	usrgguloo
উৎসর্গগুলো	The offerings	usrggulo
উৎসর্গকৃত	Dedicated	usrgkRt
উৎসর্গকারীর	The dedicator	usrgkaariir
উৎসর্গকারীকে	To the dedicator	usrgkaariike
উৎসর্গকারী	Dedicator	usrgkaarii
উৎসর্গকরণ	Dedication	usrgkrnn
উৎসর্গও	Dedication	usrgo
উৎসর্গই	Dedication	usrgi
উত্সর্গ।	Dedication.	utsrg / 
উত্সর্গ	Dedication	utsrg
উৎসরূপে	As a source	usruupe
উৎসমুখে।	At the source.	usmukhe / 
উৎসমুখে	At the source	usmukhe
উৎসমুখ।	Source.	usmukh / 
উৎসমুখ	Source	usmukh
উত্সবের	Festival	utsber
উৎসবে।	At the festival.	usbe / 
উত্সবে	At the festival	utsbe
উৎসবাদি	Festivals	usbaadi
উৎসবসমূহ	Festivals	usbsmuuh
উৎসবধ্বনি	Festive sounds	usbdhbni
উৎসবদিনে	On the festival day	usbdine
উৎসবচক্র	Festival cycle	usbckr
উৎসবগুলো	Festivals	usbgulo
উৎসবকে	To the festival	usbke
উৎসবকালে	During the festival	usbkaale
উৎসবও	Festival too	usbo
উৎসব।	Festival.	usb / 
উত্সব	Festival	utsb
উৎসন্না	Excitement	usnnaa
উৎসন্নতারূপ	Despair	usnntaaruup
উৎসন্নতার	Of excitement	usnntaar
উৎসন্নতায়	In excitement	usnntaayy
উৎসন্নতা	Despair	usnntaa
উৎসন্নকারীরা	The deserters	usnnkaariiraa
উত্সন্ন	Uplifting	utsnn
উৎস।	Source.	us / 
উত্স	Source	uts
উৎশৃঙ্খল	Chaotic	ushRngkhl
উৎর্গের	Sacrifice	urger
উৎরাইয়ের	Downhill	uraaiyyer
উৎরাই	Downhill	uraai
উত্যক্ত	Teased	utykt
উৎফুল্ল।	Cheerful.	uphull / 
উৎফুল্ল	Cheerful	uphull
উৎপীড়িতের	Of the oppressed	upiirriter
উৎপীড়িতদের	The oppressed	upiirritder
উৎপীড়িত	Bullied	upiidd'it
উৎপীড়নের	Of oppression	upiirrner
উৎপীড়নকারীরা	The oppressors	upiirrnkaariiraa
উত্পীড়ন	Bullying	utpiidd'n
উৎপীড়কের	The bully	upiirrker
উত্পীড়কদের	Bullies	utpiidd'kder
উত্পীড়ক	Bully	utpiidd'k
উৎপিড়ক	Bully	upirrk
উত্পাদিত	Produced	utpaadit
উৎপাদনের	Production	upaadner
উৎপাদনে	In production	upaadne
উৎপাদনকারী	Producer	upaadnkaarii
উৎপাদনকর্ত্তা	Producer	upaadnkrttaa
উৎপাদনকর্তা	Producer	upaadnkrtaa
উত্পাদন	Production	utpaadn
উত্পাদক।	Producer.	utpaadk / 
উৎপাদক	Producer	upaadk
উৎপাতে	In the event	upaate
উৎপাত	Origin	upaat
উৎপাটিত।	Destroyed.	upaattit / 
উত্পাটিত	Uprooted	utpaattit
উৎপাটনের	Excavation	upaattner
উৎপাটনীয়	Destructible	upaattniiyy
উৎপাটনহেতু	For the sake of production	upaattnhetu
উৎপাটনরূপ	Derivative form	upaattnruup
উৎপাটনপূর্ব্বক	Excavator	upaattnpuurbbk
উৎপাটনপূর্বক	By uprooting	upaattnpuurbk
উৎপাটনকালে	During the excavation	upaattnkaale
উৎপাটনকারীরা	The Excavators	upaattnkaariiraa
উৎপাটনকারী	Excavator	upaattnkaarii
উৎপাটন।	Expulsion.	upaattn / 
উৎপাটন	Expulsion	upaattn
উৎপন্নের	Production	upnner
উত্পন্নকারী	Producer	utpnnkaarii
উৎপন্ন।	Generated.	upnn / 
উত্পন্ন	Generated	utpnn
উৎপত্তিস্থান	Place of origin	upttisthaan
উৎপত্তিস্থল।	Place of origin.	upttisthl / 
উৎপত্তিরও	Also of origin	upttiro
উৎপত্তির	Origin	upttir
উৎপত্তিকাল	Origin	upttikaal
উৎপত্তি।	Origin.	uptti / 
উত্পত্তি	Origin	utptti
উত্থিত	Raised	utthit
উত্থাপিতও	Raised too	utthaapito
উত্থাপিত	Raised	utthaapit
উত্থাপনকারী	Raiser	utthaapnkaarii
উত্থাপন	Raising	utthaapn
উত্থানের	Rise	utthaaner
উত্থান	Rise	utthaan
উত্থলিত	Raised	utthlit
উত্ত্যক্ত	Harassed	uttykt
উত্তোলিত	Lifted	utteaalit
উত্তোলনীয়	lifting	utteaalniiyy
উত্তোলনকারী।	Hoist.	utteaalnkaarii / 
উত্তোলনকর্ত্তা	Hoist	utteaalnkrttaa
উত্তোলনকর্তা	Lifter	uttolnkrtaa
উত্তোলন	Lifting	utteaaln
উত্তেজিত	Excited	uttejit
উত্তেজনার	Excitement	uttejnaar
উত্তেজনায়।	In excitement.	uttejnaayy / 
উত্তেজনায়	In excitement	uttejnaayy
উত্তেজনা	Excitement	uttejnaa
উত্তেজক	Provocative	uttejk
উত্তুরে	Northern	utture
উত্তীর্ন	Pass	uttiirn
উত্তীর্ণগণ	Passers-by	uttiirnngnn
উত্তীর্ণ	Passed	uttiirnn
উত্তাল।	Upheaval.	uttaal / 
উত্তাল	Upheaval	uttaal
উত্তাপের	Heat	uttaaper
উত্তাপে।	In the heat.	uttaape / 
উত্তাপে	In the heat	uttaape
উত্তাপযুক্ত	Insulated	uttaapyukt
উত্তাপকালে	During the heat	uttaapkaale
উত্তাপ।	Heat.	uttaap / 
উত্তাপ	Heat	uttaap
উত্তরোত্তরর	Later and later	uttreaattrr
উত্তরোত্তর	Successive	uttreaattr
উত্তরের	Northern	uttrer
উত্তরে।	In the north.	uttre / 
উত্তরে	In the north	uttre
উত্তরীয়ের	Northern	uttriiyyer
উত্তরীয়।	Northern.	uttriiyy / 
উত্তরীয়	Northern	uttriiyy
উত্তরাভিমুখ।	Northward.	uttraabhimukh / 
উত্তরাভিমুখ	Northward	uttraabhimukh
উত্তরাধীকারের	Inheritance	uttraadhiikaarer
উত্তরাধিকারের	Inheritance	uttraadhikaarer
উত্তরাধিকারে	Inheritance	uttraadhikaare
উত্তরাধিকারীরূপে	Inheritance	uttraadhikaariiruupe
উত্তরাধিকারীরাই	The heirs	uttraadhikaariiraai
উত্তরাধিকারীরা	Heirs	uttraadhikaariiraa
উত্তরাধিকারীদেরকে	To the heirs	uttraadhikaariiderke
উত্তরাধিকারীদের	Heirs	uttraadhikaariider
উত্তরাধিকারীকেও	The heir too	uttraadhikaariikeo
উত্তরাধিকারীকে	To the heir	uttraadhikaariike
উত্তরাধিকারীও	Heir too	uttraadhikaariio
উত্তরাধিকারী।	Heir.	uttraadhikaarii / 
উত্তরাধিকারী	Heir	uttraadhikaarii
উত্তরাধিকারিরূপে	Inheritance	uttraadhikaariruupe
উত্তরাধিকারিণীর	Heiress	uttraadhikaarinniir
উত্তরাধিকারিণীদের	Heiresses	uttraadhikaarinniider
উত্তরাধিকারিণী	Heiress	uttraadhikaarinnii
উত্তরাধিকারি	Heir	uttraadhikaari
উত্তরাধিকারস্বরূপ	Inheritance	uttraadhikaarsbruup
উত্তরাধিকারসূত্রে	Inherited	uttraadhikaarsuutre
উত্তরাধিকাররূপ	Inheritance	uttraadhikaarruup
উত্তরাধিকারকে	Inheritance	uttraadhikaarke
উত্তরাধিকারও	Inheritance too	uttraadhikaaro
উত্তরাধিকার।	Inheritance.	uttraadhikaar / 
উত্তরাধিকার	Legacy	uttraadhikaar
উত্তরাঞ্চলের	Northern	uttraanycler
উত্তরাঞ্চলে	In the northern region	uttraanycle
উত্তরাঞ্চলবাসী	Northerners	uttraanyclbaasii
উত্তরাঞ্চল	Northern region	uttraanycl
উত্তরা	Uttara	uttraa
উত্তরসূরীর	Successor	uttrsuuriir
উত্তরসূরী	Successor	uttrsuurii
উত্তরসীমা	Northern boundary	uttrsiimaa
উত্তরমুখী।	North facing.	uttrmukhii / 
উত্তরমুখী	Northbound	uttrmukhii
উত্তরমুখ	North face	uttrmukh
উত্তরভাগকে	To the north	uttrbhaagke
উত্তরপ্রাপ্তির	Answering	uttrpraaptir
উত্তরপ্রান্তে	At the northern end	uttrpraante
উত্তরপ্রান্ত।	North end.	uttrpraant / 
উত্তরপ্রান্ত	North end	uttrpraant
উত্তরপূর্ব্ব	Northeast	uttrpuurbb
উত্তরপূর্ব	Northeast	uttrpuurb
উত্তরপুরুষেরা	Descendants	uttrpurusseraa
উত্তরপুরুষের	Descendant	uttrpurusser
উত্তরপুরুষদের	Descendants	uttrpurussder
উত্তরপুরুষ	Descendant	uttrpuruss
উত্তরধিকার	Inheritance	uttrdhikaar
উত্তরদ্বারের	North Gate	uttrdbaarer
উত্তরদ্বারে	At the north gate	uttrdbaare
উত্তরদ্বার	North door	uttrdbaar
উত্তরদেশে	In the north	uttrdeshe
উত্তরদেশীয়দের	Northerners	uttrdeshiiyyder
উত্তরদেশবাসীকে	To the people of the north	uttrdeshbaasiike
উত্তরদেশও	Uttar Pradesh too	uttrdesho
উত্তরদেশ	Uttarakhand	uttrdesh
উত্তরদিক্‌্‌স্থ	Northward	uttrdiksth
উত্তরদিক্‌স্থ	Northward	uttrdiksth
উত্তরদিক্‌	Northward	uttrdik
উত্তরদিকের	Northbound	uttrdiker
উত্তরদিকে	Northward	uttrdike
উত্তরদিক	North	uttrdik
উত্তরদাতার	Respondent's	uttrdaataar
উত্তরদাতা	Respondent	uttrdaataa
উত্তরণের	Of passage	uttrnner
উত্তরণস্থান	Passage	uttrnnsthaan
উত্তরণ।	Passage.	uttrnn / 
উত্তরণ	Passage	uttrnn
উত্তরটা	The answer	uttrttaa
উত্তরকালে	Later	uttrkaale
উত্তরকালীন	Later	uttrkaaliin
উত্তরকারী	Answerer	uttrkaarii
উত্তরও	Answer too	uttro
উত্তরই	The answer is	uttri
উত্তর৷	Answer.	uttr4/
উত্তর।	Answer.	uttr / 
উত্তর	Answer	uttr
উত্তমের	Better	uttmer
উত্তমা	Good	uttmaa
উত্তমর্ণ	Good morning	uttmrnn
উত্তমরূপে	Well done	uttmruupe
উত্তমভাবে	Well done	uttmbhaabe
