a	and
Damayanti	Damayanti
dámska	women's
dámske	women's
dance	dance
dango	dango
Danihel	Daniel
Danihelová	Danihelová
Dankort	Credit card
Dánska	Denmark
Dánske	Danish
daným	given
Darčeková	Gift shop
darčekové	gift
darčeky	gifts
Dari	Dari
Darjeeling	Darjeeling
Darkwave	Darkwave
DART	DART
Darussalam	Darussalam
Darwin	Darwin
dashboard	dashboard
dashboardu	dashboard
Dashcode	Dashcode
dát	data
data	dates
databáze	database
databázových	database
databázu	database
databázy	databases
dátach	data
dataclass	data class
datafork	data fork
dátam	data
dátami	data
DataZoneBlocksKey	DataZoneBlocksKey
ďatelinka	clover
Ďateliny	Clovers
dateTime	dateTime
Ďatle	Woodpecker
datľovníky	date palms
dátová	data
dátové	data
dátového	data
dátovej	data
dátovou	data
dátovú	data
dátových	data
dátovým	data
dátovýrokvidea	datayearvideos
dátovýtok	data output
dátovýtokaudia	dataflowaudio
dátumnahrávania	recording date
dátumom	date
dátumov	dates
Dátumová	Date
dátumové	date
dátumového	date
dátumových	date
dátumy	dates
DAVE	DAVE
dávi	he/she is vomiting
dávia	they vomit
dáviaca	vomiting
dáviace	vomiting
dávil	choked
dávila	she choked
dávili	they choked
dávkovača	dispenser
dávkovači	dispensers
Dayi	Dayi
days	days
dáždniky	umbrellas
dažďová	rainy
dažďové	rainy
dažďovým	rainy
dB	dB
Dbajte	Pay attention
DbCreate	DbCreate
dBm	dBm
DbOpen	DbOpen
DC	DC
dcérskou	daughter
DCI	DCI
dd	dd
DDL	DDL
DDNS	DDNS
DDS	DDS
DdZXCVAsRrdDH	DdZXCVAsRrdDH
DEA	DEA
deaktivované	deactivated
deaktivovaný	deactivated
deaktivuje	deactivates
Deaktivujem	Deactivating
deaktivujete	you deactivate
Deaktivujú	Deactivate
Death	Death
Deautentifikovať	Deauthenticate
debetná	debit
debetné	debit
debetnej	debit
debetnou	debit
debetnú	debit
debetných	debit
debug	debug
Dec	Dec
deceleration	deceleration
decká	kids
decUKMs	decUKMs
dedičnosti	heredity
deduško	grandfather
defaultAction	defaultAction
DefaultImageableArea	DefaultImageableArea
DefaultPaperDimension	DefaultPaperDimension
definícií	definitions
definíciu	definition
definičný	definitional
definovaná	defined
definované	defined
definovaného	defined
definovanú	defined
definovanými	defined
definuje	defines
definujú	define
Deflate	Deflate
deformované	deformed
deformuje	deforms
degradoval	degraded
degradované	degraded
Degradovanie	Degradation
degraduje	degrades
Deininger	Deininger
dekár	roofer
dekáre	acres
dekárov	decares
dekáru	acre
Dekóder	Decoder
dekódovania	decoding
dekóduje	decodes
dekódujú	decode
dekompresie	decompression
dekomprimácie	decompression
dekomprimovanie	decompression
dekomprimuje	decompresses
dekorácie	decoration
DelChr	DelChr
delegáta	delegate
delená	divided
delené	divided
delenia	divisions
deleným	divided
delete	delete
DeleteDriveGroup	DeleteDriveGroup
DeleteVolume	DeleteVolume
delfíny	dolphins
Delgada	Delgada
Delhi	Delhi
Deliaca	Dividing
Deliace	Dividing
delicious	delicious
DelLn	DelLn
Delobuch	Cannonball
Delobuchy	Artillery
deltu	delta
Dem	Demo
deme	demo
Demi	Demi
Demibold	Demibold
demokratická	democratic
demokratickej	democratic
démone	demon
Denimy	Denims
denníky	diaries
Denver	Denver
deny	deny
DEP	DEP
departure	departure
depresívna	depressive
deprimovaná	depressed
derspiendem	derspiendem
DES	DES
desatinná	decimal
desatinnou	decimal
desaťtisíciny	ten thousandths
Desc	Description
description	description
Descriptor	Descriptor
Deseret	Deseret
Deserializácia	Deserialization
deserializovať	deserialize
dešifroval	decrypted
dešifrovaní	decrypted
dešifrovania	decryption
dešifrovaný	decrypted
dešifruje	decrypts
Dešifrujem	I am deciphering.
Design	Design
Designer	Designer
DeskJet	DeskJet
deskriptor	descriptor
deskriptora	descriptor
DesktopServices	DesktopServices
destilačná	distillation
destination	destination
DestTypes	DestinationTypes
DESwrap	DESwrap
DESX	DESX
Detailná	Detailed
detailné	detailed
detailnejšie	in more detail
detailnú	detailed
detailov	details
detaily	details
Detect	Detect
detegoval	detected
detegovalo	detected
detegovaná	detected
detegované	detected
detegovaný	detected
detegovaných	detected
detegovať	detect
deteguje	detects
Detegujem	I detect
detekciu	detection
detektorov	detectors
Detektory	Detectors
Detergenty	Detergents
Detroit	Detroit
Detská	Children's
dev	dev
Dévanágarí	Devanagari
Dévanágarská	Devanagari
Dévanágarské	Devanagari
Developer	Developer
device	device
deviced	deviced
DeviceID	DeviceID
DeviceN	DeviceN
devices	devices
Devinetácia	Deviation
dezerty	desserts
DFS	DFS
DFW	DFW
DFX	DFX
dh	dh
Dha	Dha
Dháka	Dhaka
dharma	religion
dharmy	dharmas
dhcp	dhcp
DHS	DHS
dhSinglePass	dhSinglePass
di	there
Diadém	Tiara
diagnostické	diagnostic
diagnostického	diagnostic
diagnostickú	diagnostic
diagnostických	diagnostic
diagnostík	diagnostics
diagnostiku	diagnostics
diagnostiky	diagnostics
diagnózu	diagnosis
diagonálne	diagonally
diakritické	diacritical
diakritických	diacritical
diakritiku	diacritics
diakritiky	diacritics
diaľkové	remote
diaľkového	remote
diaľkovým	remote
diaľku	distance
Dialog	Dialogue
DIALOGIC	DIALOGIC
dialógové	dialogic
dialógového	dialogical
dialógovom	dialogical
dialógu	dialogue
diamantové	diamond
diamantového	diamond
diamantu	diamond
diamanty	diamonds
diáre	diaries
dic	child
DICOM	DICOM
Didot	Didot
Dídžej	DJ
Dídžeji	DJs
Diego	Diego
dielna	workshop
dierami	through holes
dierovač	hole punch
dierovača	puncher
Dierované	Perforated
dierovania	punching
Dierové	Holes
dieťatká	babies
dievčenská	girl's
dievčy	girls
diferenciálna	differential
Diferenciálne	Differential
diferenciálnej	differential
diferenčná	differential
different	different
Diffie	Diffie
difrakciou	diffraction
difrakčných	diffraction
digest	digestion
Digestom	Digest
DIGIADPCM	DIGIADPCM
DIGIFIX	DIGIFIX
DIGIREAL	DIGIREAL
DIGISTD	DIGISTD
Digital Touch	Digital Touch
digitalizácie	digitalization
Digitalizátor	Digitizer
digitalizátora	digitizer
digitalizovaný	digitized
DIGITALK	DIGITALK
digitálna	digital
digitálne	digital
digitálneho	digital
digitálnej	digital
Dikobrazy	Porcupines
diktovanej	dictated
diktovaní	dictated
diktovanie	dictation
Diktovaním	By dictation
DIME	DIME
dimension	dimension
DIMM	DIMMs
Diners	Diners
dingbat	dingbat
Dingbats	Dingbats
dinosaury	dinosaurs
Diplomatky	Diplomats
Diplomaty	Diplomats
Directory	Directory
direktívu	directive
disableOwners	disableOwners
disc	disc
DiscHelper	DiscHelper
Disciplíny	Disciplines
Disclaimer	Disclaimer
disco	disco
Discover	Discover
disjunkcie	disjunctions
DiskArb	DiskArb
disketovej	floppy disk
Diskety	Floppy disks
DiskImageMounter	DiskImageMounter
DiskManagement	Disk Management
diskmanagementd	diskmanagementd
diskoch	disks
diskom	disk
diskov	disks
disková	disk
diskové	disk
diskovej	disk
diskovú	disk
disku	disk
diskusie	discussions
disparitu	disparity
disparity	disparities
DisplayLink	DisplayLink
DisplayPad	DisplayPad
DisplayPort	DisplayPort
DisplayPortu	DisplayPort
displeja	display
displeje	displays
displejoch	displays
displejov	displays
disponujú	they have
Dištančné	Spacers
Distribučné	Distribution
diva	diva
divadelné	theatrical
divadlá	theaters
diviačia	wild boar
diviaka	wild boar
diviaky	wild boars
Divina	Wild game
divoká	wild
Divotvorstvá	Miracles
Divotvorstvo	Miracles
DivX	DivX
dizajnéra	designer
dizajnérka	designer
dizajnom	by design
dizajnu	design
Dizajny	Designs
DJ	DJ
DL	DL
Dlabs	Dlabs
dlaždicami	tiles
dlaždice	tiles
dlaždicového	tiled
dlážke	floor
dlg	dlg
dlhoplutvé	long-finned
dlhoplutvý	long-finned
dlhšej	longer
dlhším	longer
dlhšou	longer
DLS	DLSS
DM	DM
dmd	dmd
dmg	damage
dmm	dmm
dmy	houses
DN	DN
Dňa 	On 
DNASP	DNASP
dnes o 	today at 
dneškom	today
dnešku	today
dnešná	today's
DNG	DNG
dnl	daily
dns	DNS
dNSName	DNSName
DNT	DNT
do medzipamäte	to the buffer
do týchto	to these
do vašej	to yours
Dobermani	Dobermans
Dobermany	Dobermans
dobitá	recharged
dočasného	temporary
dočasnej	temporary
dočasných	temporary
dochádza	is running out
dochádzajú	they are running out
dochádzaní	commuting
dochádzanie	commuting
Dockovacia	Docking
docku	dock
document	document
documents	documents
DoD	DoD
dodacia	delivery
dodacích	delivery
dodacie	delivery
dodaciu	delivery
dodaná	delivered
dodanej	delivered
dodanú	delivered
dodatočná	additional
dodatočne	additionally
dodatočného	additional
dodatočnej	additional
dodatočných	additional
dodatočným	additional
dodávaná	supplied
Dodržať	Comply
Dodržte	Follow
DOE	DOE
dog	dog
Dogy	Great Danes
Doha	Doha
Dohrávka	Passing
Dohrávky	Overtime
DOI	DOI
DOJ	DOJ
dojčená	breastfed
dojčené	breastfed
dojčenská	infant
dojčenské	infant
dojčenským	infantile
dôkazu	proof
dokladu	document
dokončením	by completion
dokončeniu	completion
dokončených	completed
dokončíte	you will finish
dokončovaní	finishing
dokončovanie	finishing
Dokončujem	I am finishing.
doktorka	doctor
dokumentáciu	documentation
dokumente	document
dokumentmi	documents
dokumentoch	documents
dokumentom	document
dokumentov	documents
dokumentu	document
Dokúpte	Buy more
Doky	Docks
dolára	dollar
doláre	dollars
dolárov	dollars
dolárové	dollar
Dolby	Dolby
dôležitá	important
dôležitých	important
dolná	lower
dolnopriepust	underpass
dolnopriepustný	low-pass
dolnú	lower
Dolných	Lower
dolor	pain
dolore	pain
doloria	pain
dolum	valley
domain	domain
domén	domains
domena	domain
počiatočnej	initial
doméne	domain
doménou	domain
Doménová	Domain
doménové	domain
doménovej	domain
doménový	domain
doménu	domain
domény	domains
Dominá	Dominoes
Domingo	Sunday
Dominika	Dominica
Dominikánska	Dominican
Dominikánskej	Dominican
Dominiky	Dominica
domnievame	we believe
domovská	home
domovské	home
domovského	home
domovskej	home
domovskom	home
domovskú	home
domovským	home
domovy	homes
domsec	house
don	don
doner	doner
DoNotLoc	DoNotLoc
doplatku	additional payment
dopĺňania	replenishment
doplnené	supplemented
doplnkoch	accessories
Doplnková	Supplementary
doplnkové	additional
doplnku	supplement
doplnky	accessories
doplňovať	to supplement
doplňujúce	complementary
doporučené	recommended
doprave	transportation
dopravná	transportation
dopravnej	transport
dopravnú	transport
Dopravný	Traffic
dopravou	by transport
dopravy	transport
Dormitóriá	Dormitories
Dormitórium	Dormitory
doručená	delivered
doručené	delivered
doručenia	deliveries
doručovacia	delivery
doručovaciu	delivery
doručovania	delivery
DOS	DOS
Dosah	Range
dosiahly	reached
Dosiahnite	Reach
dosiahnutá	achieved
dosiahnuté	achieved
dosiahnutého	achieved
dosiahnuteľná	achievable
dosiahnuteľnosť	accessibility
dosiahnutých	achieved
dospelá	adult
dostatočná	sufficient
dostávanie	receiving
dostihovom	racing
dostupného	available
dostupnej	available
dostupnosť	availability
dostupnosti	availability
dostupnú	available
dostupnými	available
dot	touch
Dotkli	They touched
dotknite	touch
DotMac	DotMac
dotyky	touches
Douala	Douala
DoubleCommand	DoubleCommand
dôverné	confidential
dôverujete	you trust
dôveryhodná	trustworthy
dôveryhodné	trustworthy
dôveryhodnej	trustworthy
dôveryhodnému	trustworthy
dôveryhodnosť	credibility
dôveryhodnosti	credibility
Dôvodom	The reason
dovolenku	vacation
Dovolenky	Holidays
down	down
Downloader	Downloader
DownloadInternetFile	DownloadInternetFile
downloads	downloads
Dozéry	Dozers
Dožinky	Harvest Festival
dozniev	aftertaste
doznievania	fading
dozv	permission
dp	dp
DPCD	DPCD
dpi	dpi
dpišírka	width
dpivýška	dpi height
Dračí	Dragon
dračia	dragons
dračie	dragon
Dragobete	Dragobete
Drahý	Dear
Drakula	Dracula
dram	dram
dramov	drams
dramu	drama
dramy	dramas
Draw	Draw
DRBurnDoubleLayerL	DRBurnDoubleLayerL
DRC	DRC
Dream	Dream
drel	worked hard
drene	marrow
drepy	squats
dreziny	handcars
Drezúry	Dressage
Drezy	Sinks
driblujúca	dribbling
driblujúci	dribbling
drie	wears
driem	I am sleeping.
driemajúca	slumbering
drinky	drinks
driverd	driver
DriverType	DriverType
Drivu	Drive
DRM	DRM
drobca	little one
Drony	Drones
Dropbox	Dropbox
DropDrives	DropDrives
Droste	Droste
Drôty	Wires
Drsnosť	Roughness
Druhotné	Secondary
Druhy	Types
Družičky	Bridesmaids
drv	crush
držaní	holding
držania	holding
držiace	holding
držiaci	holding
DS	DS
DSA	DSA
DSAP	DSAP
DSAT	DSAT
DSC	DSC
dscl	dscl
DSP	DSP
dsped	dsp
DSSS	DSSS
dst	dst
DTS	DTS
DTV	DTV
Dual	Dual
Dublin	Dublin
Dubové	Oak
Duet	Duet
Dúfajme	Let's hope
dúhová	rainbow
Dúhovkový	Iridescent
dúhy	rainbows
dum	house
dumanie	contemplation
Dumbo	Dumbo
dumdumy	dumdums
DummyString	DummyString
dumy	thoughts
DUN	DUN
duny	dunes
duplicitná	duplicate
duplicitné	duplicate
duplicitnú	duplicate
duplicitných	duplicate
duplikátu	duplicate
duplikáty	duplicates
duplikované	duplicated
duplikovanie	duplication
Duplikujem	I am duplicating
Duployého	Duployé's
duration	duration
Durian	Durian
Duriany	Durians
Dusená	Steamed
Dusené	Steamed
DV	DV
Dvanásťnásobná	Twelvefold
dvc	dvc
DVCPRO	DVCPRO
dvcs	dvcs
DVCSRequestData	DVCSRequestData
DVCSResponseData	DVCSResponseData
dvd	DVD
DVGA	DVGA
DVI	DVI
dvíhajúca	lifting
dvíhajúce	lifting
dvíhajúci	lifting
dvíhaná	lifted
dvojbodkami	colons
Dvojčipový	Dual-chip
dvojčlenná	two-member
dvojfaktorová	two-factor
dvojfaktorovej	two-factor
dvojfaktorovú	two-factor
dvojfázové	two-phase
dvojhlások	diphthong
dvojhrbá	double-humped
dvojitá	double
dvojito	doubly
dvojkliku	double-click
dvojkolesové	two-wheeled
dvojkrížik	double cross
Dvojrovinné	Biplane
dvojstránku	double page spread
dvojstupňové	two-stage
dvojtón	duotone
Dvojvrstvový	Double-layer
Dvor	Courtyard
Dvorak	Dvorak
Dvorná	Courtroom
Dvorné	Courtroom
dvr	DVR
dx	dx
dychové	respiratory
dýky	daggers
Dylan	Dylan
Dymo	Dymo
Dymová	Smoke
Dymové	Smoke
Dymovod	Chimney
Dymovody	Flues
Dynamic	Dynamic
dynamická	dynamic
dynamické	dynamic
dynamického	dynamic
dynamickej	dynamic
dynamickú	dynamic
dynamicky	dynamically
dynamickými	dynamic
dynastie	dynasty
Džibutska	Djibouti
Džibutsko	Djibouti
džinka	jinx
džinky	jeans
džinovia	jinn
džípy	jeeps
džokeji	jockeys
Džokejské	Jockey
Džungle	Jungle
džúsy	juices
é	star
EAN	EAN
EAP	EAP
EAPOL	EAPOL
eaptlstrust	eaptlstrust
Ear	Ear
EarPods	EarPods
EAS	EAS
East	East
EasyLink	EasyLink
EAV	EAV
EB	EB
eBay	eBay
EBCDIC	EBCDIC
ebi	ebi
EC	EC
ECAPHelperApp	ECAPHelperApp
ECB	ECB
ECC	ECC
ECDSA	ECDSA
ECHOSC	ECHOSC
ECID	ECID
EcoPlus	EcoPlus
ECSIE	ECSIE
EČV	Registration number
ed	ed.
Edamame	Edamame
EDE	EDE
EDI	EDI
EDID	EDID
Edinburgh	Edinburgh
Editions	Editions
editora	editor
EDN	EDN
EDR	EDR
edu	education
EEEE	EEEE
eFax	eFax
efaxovania	faxing
efektívne	effectively
efektívneho	effective
efektívnejšie	more efficient
efektívnu	effective
efektívnych	effective
efektov	effects
efektu	effect
efekty	effects
Efficiency	Efficiency
EFI	EFI
eftpos	eftpos
Egejské	Aegean
Egrešovce	Egresovce
Egrešovec	Egresovec
Ehois	Ehois
EiB	EiB
eID	eID
EIDI	EID
eight	eight
EISA	EISA
Eisu	Eisu
eiusmod	eiusmod
EKEntity	EKEntities
Ekvádora	Ecuador
Ekvádoru	Ecuador
ekvalizér	equalizer
ekvalizéra	equalizer
el	electric
El Capitan	El Capitan
eLab	eLab
Elba	Elba
Elbasanské	Elbasan
ELCO	ELCO
elegantných	elegant
elektrická	electric
električková	tram
Električkové	Trams
električky	trams
elektronická	electronic
elektronického	electronic
elementu	element
elfka	elf
elfky	elves
elfovia	elves
ElGamal	ElGamal
elipsu	ellipse
eliptická	elliptical
eliptické	elliptical
eliptickej	elliptical
elit	elite
Ellen	Ellen
Elrond	Elrond
elvis	Elvis
eMac	eMac
emailom	by email
emailov	emails
emailová	email
emailové	email
emailového	email
emailovej	email
emailovú	email
emailových	email
emailovým	email
emailovými	by email
emailu	email
emaily	emails
Emil	Emil
emirátov	Emirates
emiráty	Emirates
EMM	EMM
Emmy	Emmy
emócie	emotions
emócií	emotions
emocionálna	emotional
emoji	emojis
eMoney	eMoney
emotikon	emoticon
emotikony	emoticons
Emphasized	Emphasized
empty	empty
emuláciu	emulation
Emulovaná	Emulated
EMULTIHOP	EMULTIHOP
en	en
EnableDisableSMART	EnableDisableSMART
Enabler	Enabler
encapContentType	encapContentType
encrypKeyPref	encryptKeyPref
Encrypted	Encrypted
end	end
endCollection	endCollection
EndComments	EndComments
EndDocument	EndDocument
endian	endian
endif	end
Endpoint	Endpoint
energeticky	energetically
engine	engine
Engravers	Engravers
ENOLINK	ENOLINK
Enroll	Enroll
enter	enter
entered	entered
enterprise	enterprise
entity	entities
Entrust	Entrust
enum	enum
enumerovaná	enumerated
EOF	EOF
EPCS	EPCS
epde	where
Ephemeral	Ephemeral
epidémie	epidemic
EPL	EPL
eppc	eppc
EPS	EPS
epsilon	epsilon
Epson	Epson
epub	epub
EQ	EQ
EQUAL	EQUAL
equivalentLabels	equivalentLabels
erase	erase
EraseMetadata	EraseMetadata
Erika	Erica
Eritrey	Eritrea
Err	Err
error	error
Eruptatem	Eruptate
es	es
esc	esc
escape	escape
Escher	Escher
eSCO	eSCO
escTimeStamp	escTimeStamp
ESDH	ECDH
ESDHwith	ESDHwith
ESDHwithRC	ESDHwithRC
ESET	ESET
Eskalátory	Escalators
eskulap	Aesculapius
eskulapka	aesculapius
espace	space
ESPCM	ESPCM
especially	especially
ESPN	ESPN
espresso	espresso
ESPVK	ESVPK
Essentials	Essentials
Estimated	Estimated
Estónska	Estonian
Estragóny	Tarragons
Esys	Esys
Esytime	Easytime
et	etc.
eta	eta
etc	etc.
ETD	ETD
Eten	Ethene
ethernet	ethernet
Ethernetová	Ethernet
ethernetové	Ethernet
ethernetového	Ethernet
ethernetový	Ethernet
ethernetu	ethernet
etiópčiny	Ethiopian
Etiópske	Ethiopian
etiópskych	Ethiopian
etnicita	ethnicity
Etnická	Ethnic
eTouch	eTouch
ets	ets
EUC	EUC
Eukalyptové	Eucalyptus
eur	euros
eura	euro
eurá	euros
Eurobraille	Eurobraille
Eurodance	Eurodance
European	European
európska	European
Európske	European
európu	Europe
eurové	euro
EV	EV
EvaRose	EvaRose
event	event
events	events
every	every
Everyday	Everyday
everyone	everyone
evidencii	records
Evolution	Evolution
Ewa	Eva
EWS	EWS
example	example
Excel	Excel
Excelu	Excel
exchange	exchange
exclude	exclude
exec	executive
Executive	Executive
exercip	exercise
exerum	exercise
ExFAT	ExFAT
Exif	Exif
ExifAux	ExifAux
exist	exist
exists	exists
existujú	exist
existujúce	existing
existujúceho	existing
existujúcej	existing
existujúcemu	existing
existujúcich	existing
existujúcu	existing
Expanded	Expanded
ExpandVolume	ExpandVolume
Expedované	Dispatched
experimentálne	experimental
Expertné	Expert
expirácie	expiration
expirované	expired
expirovaný	expired
expirovaných	expired
explabore	explora
explicitné	explicit
explicitným	explicit
explodujúca	exploding
expo	exhibition
exponenciálna	exponential
exportCount	exportCount
exportované	exported
exportovaného	exported
exportovaní	exported
exportovanie	exporting
exportovaných	exported
exportu	export
exportuje	exports
Exportujem	I am exporting
Exportujte	Export
exposé	exposé
expozície	exposures
expozícii	exposure
expozícií	exposures
expozíciu	exposure
Expozičný	Exposure
expozičnýčas	exposure time
expresná	express
Expresné	Express
expresnú	express
Express	Express
ExpressCard	ExpressCard
expression	expression
expressions	expressions
EXR	EXR
Exs	Exs
Ext	Ext
ExtendedKeyUsage	ExtendedKeyUsage
eXtensible	eXtensible
ExtensionPoints	ExtensionPoints
Extents	Extents
externá	external
Externe	Externally
externého	external
externému	external
externom	external
externým	external
ExtraBlack	ExtraBlack
ExtraBold	ExtraBold
ExtraExpanded	ExtraExpanded
extrahovaní	extracted
extrahovania	extraction
extrahuje	extracts
Extralight	Extralight
ExtraNarrow	ExtraNarrow
Extranet	Extranet
ExtraSlant	ExtraSlant
ExtraWide	ExtraWide
Extreme	Extreme
extrémnejšieho	more extreme
Eyjafjallajökull	Eyjafjallajökull
f 	f 
f s	f with
fabrike	factory
Face	Face
Face ID	Face ID
Facebooku	Facebook
facepalm	facepalm
facetime	Facetime
faerčina	Faroese
Faerská	Faroese
Faerské	Faroese
Faerských	Faroese
Fahrenheita	Fahrenheit
FAIL	FAIL
failed	failed
failures	failures
FairPlay	Fair Play
fajčenia	smoking
Fajita	Fajita
Fajitas	Fajitas
fajky	pipes
fajné	nice
Fajočka	Smoke
Fajočky	Smokers
fakturačná	billing
Fakturačné	Invoicing
fakturačnej	billing
fakturačnú	billing
falafel	falafel
Falafely	Falafels
Falklánd	Falkland Islands
Falklandské	Falkland Islands
Falklandských	Falkland Islands
FALSE	FALSE
FamilyControls	FamilyControls
familynotificationd	familynotificationd
Fanfold	Fanfold
fantastické	fantastic
fantazírovanie	fantasizing
fanúšikovia	fans
farebná	colored
farebné	colored
farebného	colored
farebnej	colored
farebnosti	colors
farebnú	colored
farebnými	colored
FarebnýPriestor	ColorSpace
farieb	colors
Farm	Farm
farmárka	farmer
Farmy	Farms
Farsi	Persian
Fársí	Farsi
fascikle	folders
fašírky	meatballs
Faso	Faso
fast	fast
FastCut	FastCut
FASTSPEECH	FASTSPEECH
Fawkesa	Fawkes
faxe	faxes
faxmodemy	fax modems
faxov	faxes
faxovaní	faxing
faxovania	faxing
faxovanie	faxing
faxové	fax
faxového	fax
faxu	fax
Faxujem	I am faxing.
faxy	faxes
fázová	phase
Fazule	Beans
fázy	phases
FBCA	FBCA
FBI	FBI
FBProfile	FBProfile
FC	FC
FDA	FDA
FDDI	FDDI
FDERecovery	FDERecovery
FDF	FDF
FDIC	FDIC
feat	feat
Feb	Feb
februára	February
febUKMs	febUKMs
FEC	FEC
federácie	federations
Federal	Federal
federálneho	federal
Federica	Federica
Fedora	Fedora
FEE	FEE
Felipe	Felipe
Fender	Fender
Fenické	Phoenician
FFF	FFF
FFFFFFF	FFFFFFF
FHD	HD
Fi	Fi
fí	phi
Fibre	Fiber
fibreconfig	fiberconfig
field	field
figuríny	mannequins
Filadelfia	Philadelphia
file	file
FileDevice	FileDevice
filename	filename
Filer	Filer
files	files
FileSync	FileSync
Filevault	Filevault
FileVaultom	FileVault
FileVaultu	FileVault
FileVersion	FileVersion
Filipín	Philippines
Filipínske	Philippine
fill	fill
filme	movie
filmom	film
filmov	movies
filmová	cinematic
filmovania	filming
filmové	cinematic
filmového	film
filmových	film
filmu	movie
filmy	movies
filters	filters
filtri	filters
filtrov	filters
Filtrovacie	Filtering
filtrované	filtered
filtrovania	filtering
Filtruje	Filters
FIN	FIN
Final	Final
Finálne	Final
finálneho	final
Finance	Finance
Financie	Finance
finančná	financial
finančné	financial
findera	finder
Finderi	Finders
FinderPop	FinderPop
FindInputCodeTool	FindInputCodeTool
FindMyMacMessenger	FindMyMacMessenger
finger	finger
Fínska	Finnish
Fiona	Fiona
Firefox	Firefox
FirePro	FirePro
firewallmi	firewalls
firewallom	firewall
firewallu	firewall
FireWire	FireWire
FireWireKPrintf	FireWireKPrintf
firiem	companies
firmám	companies
firmami	companies
firmvéru	firmware
firmwaru	firmware
first	first
FIS	FIS
Fish	Fish
five	five
fixovaná	fixed
fixovania	fixing
fízly	fizzes
FL	FL
FLAC	FLAC
Flags	Flags
Flámska	Flemish
flámskej	Flemish
Flámsko	Flanders
flan	flan
Flany	Flanes
Flapjack	Flapjack
Flapjacky	Flapjacks
fľaše	bottles
FlashPix	FlashPix
fľaška	bottle
fľašky	bottles
flat	flat
Flate	Flat
FLC	FLC
fldr	fldr
Flexibilná	Flexible
Flexo	Flexo
Flickr	Flickr
FLO	FLO
floatingGMTDate	floatingGMTDate
floatingOffset	floatingOffset
flow	flow
Flurry	Flurry
flushing	flushing
FM	FM
FMS	FMS
fn	fn
focus	focus
folder	folder
Folio	Folio
Fólio	Folio
Folklórna	Folklore
FollowUpUI	FollowUpUI
fonetická	phonetic
fonetické	phonetic
foneticky	phonetically
fongman	fongman
Fontány	Fountains
foo	foo
food	food
Foolscap	Foolscap
Footers	Footers
for	for
forest	forest
foriem	forms
fork	fork
formálne	formally
format	format
formáte	format
formátov	formats
formátovací	formatting
formátované	formatted
formátovania	formatting
formátovaním	formatting
formátu	format
formátujem	I am formatting.
FormatVersion	FormatVersion
formáty	formats
Forms	Forms
formujúcich	forming
formulára	forms
formuláre	forms
formulári	form
formulároch	forms
formulárov	forms
Fortezza	Fortress
FortiClient	FortiClient
Fortran	Fortran
forward	forward
fotení	photoshoot
fotenia	photoshoots
fotiek	photos
fotkách	photos
fotkám	photos
fotkami	with photos
fotke	photo
fotkou	photo
fotku	photo
fotky	photos
Fotky nedokázala	She couldn't take photos.
fotoaparáte	camera
fotoaparátom	camera
fotoaparátu	camera
fotoaparáty	cameras
fotoefektu	photo effect
fotografa	photographer
Fotografia	Photography
Fotografická	Photographic
fotografického	photographic
fotografie	photo
fotografii	photograph
fotografií	photos
fotografiu	photo
fotografovi	to the photographer
Fotografujem	I am taking photos.
Fotoknižnica	Photo library
Fotoknižnice	Photo libraries
Fotoknižnici	Photo libraries
Fotoknižnicou	Photo library
Fotoknižnicu	Photo library
fotokonduktor	photoconductor
Fotometrické	Photometric
fotopolymér	photopolymer
fotosériu	photo series
Fotospráva	Photo report
fotosprávu	photo message
fotostream	photostream
fotostreame	photostream
fotostreamov	photostreams
fotostreamu	photostream
fotostreamy	photo streams
Foundation	Foundation
fox	fox
fpgm	fpgm
FPO	FPO
fps	fps
fr	fr
fragmentovaný	fragmented
frajerské	dude's
fraková	tailcoat
frakové	tailcoat
framerate	frame rate
framework	framework
frameworku	framework
Frameworky	Frameworks
Francesca	Francesca
Francisco	Francisco
Francúzska	French
francúzske	French
francúzskej	French
Francúzskych	French
frankfurťák	frankfurter
Frankfurťáky	Frankfurters
Frankfurtské	Frankfurt
František	Francis
fráz	phrases
frázu	phrase
frázy	phrases
Fred	Fred
free	free
Freedom	Freedom
Freetown	Freetown
frekv	frequency
frekvencie	frequencies
frekvencií	frequencies
frekvenciu	frequency
Frekvenčné	Frequency
Fretky	Ferrets
friend	friend
Friendly	Friendly
friends	friends
Frisbee	Frisbee
Frisby	Frisbee
fritované	deep-fried
Fro	From
from	from
frontu	queue
frustrovaná	frustrated
fsck	fsck
FSDisconnectLoginPlugin	FSDisconnectLoginPlugin
FSRef	FSRef
fstop	fstop
ft	feet
ftp	ftp
fts	fts
fu	phew
fú	phew
fudži	Fuji
Fugu	Fugu
fuji	Fuji
Fujitsu	Fujitsu
fúkajúca	blowing
full	full
FullName	Full Name
Function	Function
fungovaniu	functioning
fungujúce	functioning
funkciám	functions
funkcie	functions
funkcii	function
funkcií	functions
funkciou	function
funkčná	functional
funkčné	functional
fusion	fusion
futbalová	football
futbalové	football
futbaly	footballs
Futuna	Futuna
Futuny	Futunas
fúúj	phew
Fúzač	Beard
Fúzače	Beards
Fúzonôžka	Whiskered
fuzzy	fuzzy
Fwd	Forward
FWSkeletonKey	FWSkeletonKey
FWVGA	FWVGA
fx	fx
Fyzická	Physical
fyzické	physical
fyzického	physical
fyzickej	physical
